week_start	sub-TS110-3/sub-TS110-3_ses-TS110-3_behavior+ecephys.nwb	sub-TS111-1/sub-TS111-1_ses-TS111-1_behavior+ecephys.nwb	sub-TS111-2/sub-TS111-2_ses-TS111-2_behavior+ecephys.nwb	sub-TS112-0/sub-TS112-0_ses-TS112-0_behavior+ecephys.nwb	sub-TS112-1/sub-TS112-1_ses-TS112-1_behavior+ecephys.nwb	sub-TS113-1/sub-TS113-1_ses-TS113-1_behavior+ecephys.nwb	sub-TS113-2/sub-TS113-2_ses-TS113-2_behavior+ecephys.nwb	sub-TS114-0/sub-TS114-0_ses-TS114-0_behavior+ecephys.nwb	sub-TS114-1/sub-TS114-1_ses-TS114-1_behavior+ecephys.nwb	sub-TS114-2/sub-TS114-2_ses-TS114-2_behavior+ecephys.nwb	sub-TS114-3/sub-TS114-3_ses-TS114-3_behavior+ecephys.nwb	sub-TS115-1/sub-TS115-1_ses-TS115-1_behavior+ecephys.nwb	sub-TS115-2/sub-TS115-2_ses-TS115-2_behavior+ecephys.nwb	sub-TS116-0/sub-TS116-0_ses-TS116-0_behavior+ecephys.nwb	sub-TS116-1/sub-TS116-1_ses-TS116-1_behavior+ecephys.nwb	sub-TS116-2/sub-TS116-2_ses-TS116-2_behavior+ecephys.nwb	sub-TS116-3/sub-TS116-3_ses-TS116-3_behavior+ecephys.nwb	sub-TS117-0/sub-TS117-0_ses-TS117-0_behavior+ecephys.nwb	sub-TS117-1/sub-TS117-1_ses-TS117-1_behavior+ecephys.nwb	sub-TS118-0/sub-TS118-0_ses-TS118-0_behavior+ecephys.nwb	sub-TS118-2/sub-TS118-2_ses-TS118-2_behavior+ecephys.nwb	sub-TS118-3/sub-TS118-3_ses-TS118-3_behavior+ecephys.nwb	sub-TS118-4/sub-TS118-4_ses-TS118-4_behavior+ecephys.nwb	sub-TS86-1/sub-TS86-1_ses-TS86-1_behavior+ecephys.nwb	sub-TS86-2/sub-TS86-2_ses-TS86-2_behavior+ecephys.nwb	sub-TS88-3/sub-TS88-3_ses-TS88-3_behavior+ecephys.nwb	sub-TS89-1/sub-TS89-1_ses-TS89-1_behavior+ecephys.nwb	sub-TS89-2/sub-TS89-2_ses-TS89-2_behavior+ecephys.nwb	sub-TS89-3/sub-TS89-3_ses-TS89-3_behavior+ecephys.nwb	sub-TS90-0/sub-TS90-0_ses-TS90-0_behavior+ecephys.nwb	sub-TS90-2/sub-TS90-2_ses-TS90-2_behavior+ecephys.nwb	sub-TS91-1/sub-TS91-1_ses-TS91-1_behavior+ecephys.nwb	sub-TS91-2/sub-TS91-2_ses-TS91-2_behavior+ecephys.nwb
2025-06-02	79998976	86804131392	53726660660	33466737024	34525604784	59090010759	50142322404	53745132896	0	0	52509326512	0	63909696304	29120670288	0	33206945584	0	0	0	56102856228	18546766112	27721416072	0	101555337859	0	116116931967	43582062384	45527572256	49285383288	53455747284	47070623096	80079387280	50064576096
2025-06-09	0	0	0	0	0	0	0	0	63414733184	58900811272	0	22170760032	0	0	0	0	13374428480	21823070368	0	25479116824	0	0	0	0	52173848688	38554067752	21791031192	0	0	0	0	0	0
2025-07-07	126064348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	102053714112	112550173480	61315488	25505980	0	0	0	21407764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-21	32802910020	0	53408824	0	0	0	0	0	0	0	0	0	0	0	0	16603472792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	17556144	12850395400	0	34488658272	20971520	20971520	63604505004	20971520	20971520	17425128	22170760032	40988559720	0	0	0	0	0	0	33274301792	0	27721416072	0	16245984	52190749752	38554067752	0	19914432	20971520	0	15001332	0	0
2025-08-04	72225452	0	53726660660	0	0	0	0	0	0	0	4228011948	0	0	0	0	0	0	0	0	0	0	0	24726410984	45727685336	0	0	0	87343176000	0	0	0	40039693640	25032288048
2025-08-11	144335349808	153114826468	67481132604	48838614084	56639685308	10741026735	59531435024	11323785528	7855032312	26760312	2912198364	28214836	32370679642	27304128	20192484118	16630391972	13401154028	21848684940	23730623888	25532839901	24914620	27967888	22762528	28658320	24050272	27764948	28458604	28861028	30254588	70817419564	7079158910	44428767888	17744875374
2025-08-18	15686924	0	0	33466737024	0	59090010759	0	0	0	0	49625742512	0	40000000	0	0	0	0	0	0	0	18546766112	0	0	0	0	20000000	0	0	49285383288	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	0	0	0	22170760032	31954848152	0	0	16603472792	0	0	23679012364	0	0	0	0	0	52173848688	0	0	0	0	23801937824	0	0	0
2025-09-01	0	0	0	0	0	0	0	53686101320	63414733184	0	0	0	0	0	0	16603472792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	43402065696	0	0	0	59090010759	50128107168	0	0	58900811272	0	0	0	29120670288	20037094376	0	0	0	0	0	0	0	0	0	0	0	21791031192	0	0	0	93809013448	0	25032288048
2025-09-15	0	43420105494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25505233525	0	0	0	45745314870	0	0	0	0	0	0	0	0	0
2025-09-22	5295960	6271008	6349080	6544028	5694076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	6802644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	82094940	24887508	23693112	24472904	23365876	24178344	22921756	22431892	26266168	24959724	21436096	21082636	24300072	26545416	23843828	24916296	27309972	24110720	22740160	27018420	22555564	23894308	24493984	29444668	19556728	27406076	21669308	19175352	20015124	18549132	18541500	19837656	18546636
2025-10-13	1488159384	16651260	18916224	19828608	17344260	18379413	19009164	16578264	20321952	16279620	15946056	15926616	17995776	17714544	18030264	17999388	19843776	17952024	16072500	67788068	25874892	17282028	18435996	80092560	16206984	17786844	17988096	16751556	19753092	18287100	18607008	19837656	17891556
2025-10-20	6016548	6205500	6218064	6609536	6021616	6519519	6270880	5853628	6468280	6518340	5621056	5287036	6042264	6996648	6075596	6327336	6745608	5307092	5357500	7065768	6441364	5957200	6057988	6460432	5708032	7129928	6105212	6195260	7130264	6052028	6442532	6547044	5963852
2025-10-27	5164944	6467532	6218064	6544028	5694076	6126471	6074356	5460580	6533788	6387324	5817580	5745592	5976756	6538092	6075596	6065304	6680100	5962172	5291992	6869244	6441364	6219232	6647560	6656956	5511508	6474848	5974196	6195260	6606200	6052028	6704564	6547044	6029360
2025-11-03	73946916	91331544	88363056	88275484	80765192	84722466	89167988	79133948	93045224	84050880	75615908	77555936	83150520	94350132	84992836	86945004	94897068	85173616	76773716	98069148	85921076	82025132	84877340	92607812	78012716	89927284	85866016	87781768	93796960	86169568	91440100	93558348	86310772
2025-11-10	58452084	69243120	70101912	68184844	64600076	67522197	69831284	58101140	69316856	64757892	60128408	57436808	65023728	76897620	66700540	66652836	76625484	65911432	59587580	75168636	68889764	65856740	70961396	73750580	60757604	72336964	71179256	66248128	74371408	67685944	70147264	73458660	68484724
2025-11-17	37202736	42193848	44836608	47576912	40448104	43802409	43830652	39599728	47243200	42811536	40854076	38843476	42361356	47404344	42005108	42850176	48856956	43176380	36847420	48346740	43255324	41700400	43978108	46074628	38646064	46634096	42867500	43563344	46505432	43936388	44311628	44650164	42598568
2025-11-24	158748748	64401060	71236332	67622360	57021628	81338493	84183580	80018164	77114848	71176500	66729736	72383572	90706260	98173044	77051888	81434388	83838228	85691072	83161576	80445660	76467880	68624188	83086384	90358036	61246324	81222320	87412940	62102108	98322260	87826748	89119100	115595328	91991600
2025-12-01	37333752	44159088	44378052	46528784	40644628	43212837	45861400	38682616	45802024	43990680	37578676	37795348	42950928	50155680	42660188	43308732	46695192	42783332	38354104	47757168	43255324	40521256	43257520	46664200	38711572	47485700	43064024	43497836	46963988	46032644	43918580	47401500	42402044
2025-12-08	32430840	37822572	38880576	40901868	35998680	36627810	39131964	34204656	39857808	37603356	32940240	33425424	35991552	40407696	39204912	39798240	39425520	37017684	33258636	40298352	36551928	35546676	36347928	39483180	33396588	40879836	36762288	37499100	39833724	37098264	37410540	40723440	35848620
2025-12-15	62806176	70475544	70314024	69056764	63108752	68598660	68836820	59668592	70285004	67737624	56039300	59655908	65501208	67633608	68781232	67912800	13445818472	69904588	62577908	71658492	68104436	63051980	67133684	68781044	61058636	71058136	65349712	55850848	67130344	66823972	68572336	66460572	59829796
2025-12-22	32520681048	43402065696	53726660660	33466737024	34488658272	59090010759	50128107168	53666101576	63414733184	58900811272	52509326512	22170760032	31954848152	29120670288	20037094376	16603472792	0	21823070368	23654708896	25479116824	18546766112	27721416072	49452821968	91455370672	52173848688	38554067752	21791031192	45527572256	49285383288	23801937824	47070623096	40039693640	25032288048
2025-12-29	32520681048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25479116824	0	0	0	0	0	0	0	0	49285383288	0	0	0	0
2026-01-05	57807192	63103128	53789823920	67995092	59102524	62509362	63232864	56046976	66320500	61252920	52567502312	54704584	32016842984	66560064	60952484	60522024	67325064	21883281660	54885160	70199124	62120860	58851412	62217580	66831592	54656524	66844736	61969232	62345648	67306652	62551028	63049652	40105884668	62782904
2026-01-12	23347800592	10257052060	0	0	0	0	0	0	0	0	25476090396	14934758108	0	0	12403974808	0	0	0	0	0	0	0	23391850640	14518610276	0	15795185376	0	0	12026673220	0	18526996400	20327013272	0
2026-01-19	21511380	25280556	25330812	33493568216	34512089656	24833424	25083520	21907828	26266168	24370152	21632620	21737716	24103548	26872956	23909336	24326724	26458368	24962324	22019572	27018420	18571024884	23959816	24887032	26431300	21915016	27078536	24551864	45552287788	26555816	24863192	25049540	26974272	24051932
2026-01-26	31513728	43441919016	37963464	40443312	35016060	59127490173	37756296	53700044200	40512888	37668864	31957620	22203202836	37891284	29160881460	36191544	16639733600	13414181540	37083192	30310776	41477496	38255136	27756635208	37265040	40334784	52207114260	38593899460	35910684	37302576	40357788	37032756	47109016256	42492156	25069905384
2026-02-02	32541602856	43427477268	53752253504	33493240676	34511893132	59115171723	100281952936	53688598976	126856453124	117822586280	52531417688	22192301224	31978886192	29147084688	40098360120	16627602992	13401214388	21846984564	47331633888	25506659308	18582819908	27745244872	24750642936	45754509684	52195632688	38581015272	43605959168	45553139392	49312004612	47627494188	47096262208	40067126468	25056339980
2026-02-09	22297476	25215048	25723860	26241620	23103844	24833424	25411060	22300876	29672584	24566676	21501604	21934240	24693120	26152368	24105860	24457740	27047940	24372752	19137220	27214944	24717328	25138960	24625000	26431300	22046032	26750996	25075928	25436120	26883356	24732176	24590984	26843256	25034552
2026-02-16	29769912	33689736	29603712	36438220	32273840	31909830	32551016	32129900	33469880	12381600	10652540	27852332	12346560	14582868	12085684	12523656	13098168	12382900	11370080	13476456	12162140	11783384	12115976	13117388	11547080	13539268	12406948	13176616	13212400	12104056	11967952	13552644	12779308
2026-02-23	34195804	39860924	49180212	42058364	37684212	49044591	39590104	36229952	44506708	43859832	49846360	35732300	59346204	52687652	48909168	50929836	45751524	44386496	40239772	55417188	57374116	55064512	52334432	48934348	40380696	45175996	45875768	45040264	53306776	43566776	44539220	46267428	43410596
2026-03-02	10143552	2137370488	6283572	13677628	2239014708	10743312	8563660	5460580	0	6059784	0	2135993468	0	2130706432	0	0	0	0	5357500	7589832	6310348	0	0	6853480	2136021416	6540356	6105212	6588308	2244981056	6117536	2130706432	0	2130706432
2026-03-09	0	8573157376	0	0	8573157376	0	0	0	6926836	0	0	8573157376	0	8573157376	0	0	13491216	5962172	0	0	0	0	0	0	8573157376	0	0	0	8573157376	0	8579337876	6809076	8579383260
2026-03-16	32593123900	43440702472	53795666632	33510854776	34556164964	59098606894	50135264156	53676591820	63414733184	58900811272	52526293084	22170760032	31979610176	29120670288	20045872448	16603472792	13374428480	21837547636	23654708896	25497000508	18563601668	27721416072	24747766592	45748909928	52173848688	38554067752	21791031192	45527572256	49308507612	23801937824	47070623096	40055088020	25032288048
2026-03-23	15157140	70909644	12567144	69740412	37270124	17145702	0	0	13726444	0	0	5961228	0	53192496	0	4127004	0	0	12446520	0	0	0	0	0	0	0	0	0	0	0	60594900	0	7598928
2026-03-30	0	0	0	8843580	7729944	15898104	6943848	4127004	5547840	0	6485292	0	45528060	0	6812832	69438480	0	0	8254008	0	0	0	21028068	0	0	0	8057484	0	0	1048128	0	0	10808820
2026-04-06	3685700	0	0	8254008	0	917112	0	0	7598928	45724584	19038700	1113636	15632284	0	9040104	0	11136360	0	0	20045448	0	0	0	0	8581548	0	16770048	0	0	0	16704540	5151004	0
2026-04-13	0	1048128	0	8188500	9891708	0	7729944	0	917112	917112	1048128	10022724	8450532	0	0	0	917112	0	0	9433152	0	0	0	1113636	8516040	1048128	0	1048128	9760692	11660424	10153740	1048128	0
2026-04-20	46731960	33862104	61949784	22704188	47835148	0	18538764	8385024	917112	0	13036092	10022724	31574856	0	0	0	0	33605604	0	14542776	0	11136360	26137692	40090896	59677788	19455876	0	7991976	38453196	0	0	47886348	0
2026-04-27	13494648	4258020	18473256	18342240	18669780	11750760	9957216	5240640	22158256	22993308	25679136	8188500	8057484	4454544	3733956	9105612	24451036	5044116	16049460	10022724	4651068	0	24106944	0	9891708	0	9171120	8647056	0	10743312	26989296	0	6157752
2026-05-04	0	0	0	0	20241972	0	4258020	0	0	26268708	50899716	0	0	0	36094908	0	27644376	0	0	0	0	0	0	0	0	0	0	19193844	0	0	33474588	0	0
2026-05-11	0	0	11571480	0	0	9943887	22534752	0	0	0	0	22170760032	22762080	0	0	0	0	0	0	0	0	0	53460912	0	0	0	38977260	0	0	0	0	0	0
2026-05-18	22469944	139341308	37590228	75838624	108170960	4872420	46257688	29780724	56336880	18847020	34486780	25213656	8258496	0	21392816	12647520	13075468	16704540	7230708	26150456	24234172	36709604	7988188	2317608	4835528	65560100	23609724	1773204	31968172	0	35290716	46298460	17870868
2026-05-25	18027757	33864218	3917877	29299149	8910081	6573664	8454889	8090829	4194305	7920125	32454030	7450481	33183222	11780973	7636985	3466137	51084910	27537261	24549237	63337198	9481129	2180297239	2032084971	31484858	83717110	51760118	8227753	35694933	3359865	3302473252	5242881	17508033	4876081
2026-06-01	18357516	101994494	6549112	24198804	12142188	5320312	6037112	20512404	67151500	11984588	72669174	19963512	56852906	5766804	29911752	13507824	20809584	22216312	27127024	97369378	46599416	93849994	149281866	34075690	151088818	127553146	13819512	41313644	5832312	128998438	30408312	32655956	13205112
2026-06-08	22847125	15472652	2043512	1679080	1539788	0	1912496	0	0	37208544	0	0	0	0	0	0	5084480	1113636	0	15918444	0	0	0	0	0	0	917112	0	0	0	0	0	0
2026-06-15	13898960	917112	16199112	0	0	0	0	21407764	0	14322480	24672644	0	0	0	0	0	0	0	0	39828864	0	0	49857972	11758016	0	23839080	0	0	0	0	0	0	0
2026-06-22	4575372	17024408	7009356	0	0	16539567	0	0	0	0	25655264	0	21779460	0	0	0	13391170680	26094292	0	2423796	0	0	52740324	14509352	0	49256184	0	27803060	10047120	0	0	24615312	28994412
2026-06-29	84965064	60721488116	21767992	6215204896	46212152	18930682	29235412	3886698740	11615591140	46059836	9558694360	6206771144	121418700800	35907596	3695034292	1220413016	13040081936	4087516148	4337028452	33941286456	3436766020	34936244652	37574911820	37612704368	16324099796	51363143748	5552633408	8341360340	33258672	59265334656	8653348416	10162180428	6359323708
2026-07-06	487380701	351467429	362216921	304302989	44332916	43692415	44810904	66406032	45193172	58922048	47706592	44718128	48356112	44798404	44699344	55988072	52109576	47701032	61307848	33087432	65709968	34126176	6150176	5580944	39889992	3026132	18115328	3063024	6498056	3267824	3091640	6694580	2960624
