date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-04-03	5546752	8	8	0
2026-04-04	11118080	16	16	0
2026-04-05	13956992	20	20	0
2026-04-06	13173025	20	19	1
2026-04-07	10424224	15	15	0
2026-04-08	10471328	15	15	0
2026-04-09	3469280	5	5	0
2026-04-10	4175424	6	6	0
2026-04-11	11826272	17	17	0
2026-04-12	17340256	25	25	0
2026-04-13	12468928	18	18	0
2026-04-14	13240608	19	19	0
2026-04-15	169907218	245	244	1
2026-04-16	13195552	19	19	0
2026-04-17	15318080	22	21	1
2026-04-18	3508192	5	5	0
2026-04-19	6918080	10	10	0
2026-04-20	2773376	4	4	0
2026-04-21	52970624	76	76	0
2026-04-22	4895904	7	7	0
2026-04-23	8416384	12	12	0
2026-04-24	4150848	6	6	0
2026-04-25	6993856	10	10	0
2026-04-26	11889760	17	17	0
2026-04-27	4146752	6	6	0
2026-04-28	2767232	4	4	0
2026-04-29	6940608	10	10	0
2026-04-30	2781568	4	4	0
2026-05-01	2073376	3	3	0
2026-05-02	693856	1	1	0
2026-05-03	1393856	2	2	0
2026-05-04	693856	1	1	0
2026-05-06	1383616	2	2	0
2026-05-07	704096	1	1	0
2026-05-08	689760	1	1	0
2026-05-11	1393856	2	2	0
2026-05-12	689760	1	1	0
2026-05-15	1743232	6	2	2
2026-05-16	10716224	31	10	12
2026-05-17	13741088	38	10	17
2026-05-18	57515456	100	80	10
2026-05-19	19978848	39	27	6
2026-05-20	4405320	16	5	5
2026-05-21	4861888	14	6	4
2026-05-22	3642944	7	5	1
2026-05-23	5602848	15	7	4
2026-05-24	14143848	43	17	12
2026-05-25	4908992	14	6	4
2026-05-26	6962024	17	9	4
2026-05-27	22937272	75	27	24
2026-05-28	22082184	71	26	22
2026-05-29	7923616	21	10	5
2026-05-30	5958640	20	7	6
2026-05-31	5901160	19	7	6
2026-06-01	2688684	10	3	3
2026-06-02	3447688	12	4	4
2026-06-03	15115432	34	20	6
2026-06-04	9590272	19	13	3
2026-06-05	8818728	18	12	3
2026-06-06	7683616	11	11	0
2026-06-07	9773376	14	14	0
2026-06-08	8467584	12	12	0
2026-06-09	7714336	11	11	0
2026-06-10	40603348	123	49	21
2026-06-11	11874176	24	16	2
2026-06-12	24314328	84	28	13
2026-06-13	8647912	23	11	3
2026-06-14	14590208	28	20	2
2026-06-15	5928896	12	8	1
2026-06-16	19277736	45	25	5
2026-06-17	21362464	41	29	3
2026-06-18	16394880	34	22	3
2026-06-19	3100360	8	4	1
2026-06-20	14060680	50	16	8
2026-06-21	1735040	6	2	1
2026-06-22	8800264	30	10	5
2026-06-23	5262464	18	6	3
2026-06-24	12366736	44	14	7
2026-06-25	1735040	6	2	1
2026-06-26	55252824	104	76	7
2026-06-27	10291200	29	13	4
2026-06-28	12931704	45	14	8
2026-06-29	16429832	34	22	3
2026-06-30	5217680	18	6	3
2026-07-01	5931744	19	7	3
2026-07-02	3502848	12	4	2
2026-07-03	10347160	36	12	6
2026-07-04	12080288	42	14	7
2026-07-05	8790160	32	10	5
2026-07-06	10557144	35	9	8
2026-07-07	7318660	18	6	1
2026-07-08	10804008	33	13	5
2026-07-09	48710920	84	68	4
2026-07-10	21856732	77	25	17
2026-07-11	8317768	26	10	4
2026-07-12	12381128	70	14	8
2026-07-13	9369328	31	11	5
2026-07-14	6105960	21	7	3
2026-07-15	12894568	43	15	7
2026-07-16	12196616	42	14	7
2026-07-17	19643040	65	23	11
2026-07-18	12566088	39	15	6
2026-07-19	20008420	69	23	14
2026-07-20	1569568	4	2	1
2026-07-21	3464072	12	4	4
2026-07-26	3435400	12	4	4
2026-07-27	11595336	42	13	13
2026-07-28	17786068	61	20	20
2026-07-29	7979712	28	9	9
2026-07-31	867520	3	1	1
2026-08-01	4378560	15	5	5
2026-08-02	8127720	24	10	7
2026-08-03	2602560	9	3	3
2026-08-06	867520	3	1	1
2026-08-07	1743232	6	2	2
2026-08-08	2445280	7	3	2
2026-08-09	6989312	24	8	8
2026-08-10	6130400	20	7	6
2026-08-11	6864800	22	8	7
2026-08-12	7807680	27	9	9
2026-08-13	1792384	6	2	2
2026-08-14	6113600	21	7	7
2026-08-15	11337288	39	13	13
2026-08-16	13055944	45	15	15
2026-08-17	4456800	15	5	5
2026-08-18	7642208	25	9	8
2026-08-19	4163936	13	5	4
2026-08-20	2693088	9	3	3
2026-08-21	167058824	261	236	13
2026-08-22	5935840	19	7	6
2026-08-23	875712	3	1	1
