week_start	sub-P1/sub-P1_ses-2018-09-10_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-17a_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-17b_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-24_ecephys.nwb	sub-P1/sub-P1_ses-2018-09-26_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-01_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-12_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-15_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-17_ecephys.nwb	sub-P1/sub-P1_ses-2018-10-22_ecephys.nwb
2025-10-06	9098464	35300084	4910232	430728	417440	4494032	4854476	4849368	9213408	5212596
2025-10-13	9599492	913216	13272096	13834980	8845668	9718068	11019112	13512268	5816740	9592620
2025-10-20	5544692	4902996	397832	4114568	4598372	4494032	363736	367400	4380024	8612240
2025-10-27	25991400	24323828	18713592	26742140	22422436	23617068	28152896	15574348	23822920	18889624
2025-11-03	43073332	26001652	44527428	47046972	38294092	27826924	39411612	49699832	53786724	49139172
2025-11-10	30228600	54296536	48510324	24714848	45433552	25533108	34841596	40930192	36896628	44439764
2025-11-17	10601548	23129276	10218296	18744640	13861480	23067436	17795748	19193584	22275012	22105256
2025-11-24	24766964	23187700	24088020	10084776	14146192	19189400	30474988	16242784	22065152	26802020
2025-12-01	18830684	20458836	22695080	27405780	28823296	26887624	22650224	18560728	15328328	22835260
2025-12-08	20785124	9864416	19177436	27505964	10449064	9746992	13567040	13711360	18669820	28011652
2025-12-15	68907016	56805140	42448336	51402552	41487748	31377376	67281228	41617240	58090952	44628308
2025-12-22	0	0	0	0	9735840	0	0	0	0	0
2025-12-29	5212872	5679008	4903432	430728	5527468	4380024	4142580	10282732	0	383104
2026-01-05	28085164	33711280	15128880	36230916	24092196	31230208	15058180	24007372	14720284	28047856
2026-01-12	10572264	0	9806864	9032328	38943360	27322656	10501336	24407200	7986552	18966912
2026-01-19	8862892	18300584	5772260	17917004	9263108	14363548	23924188	15370460	9036272	13707188
2026-01-26	18844352	18550160	22628716	27439600	24233520	16397284	12774060	21940496	19564856	22717612
2026-02-02	4983896	14123128	13736292	17758556	13576768	4939860	5581948	13144040	13349932	9025504
2026-02-09	14112244	14642624	4512400	9754232	17558608	10429352	17628536	10326796	5330656	9511176
2026-02-16	9460168	13143548	9620632	17292892	1039680	5144660	204800	11192460	17685776	25820884
2026-02-23	20238120	6592224	14127324	10350232	23909884	14230820	9410724	10951168	22077256	9541336
2026-03-02	0	0	0	0	0	0	0	4910936	4114568	4711844
2026-03-09	5146508	0	0	0	0	0	0	0	0	0
2026-03-16	10395860	3103228	9813664	5042388	23179880	5006224	24985488	2424684	6989756	15981288
2026-03-23	10165996	7040092	10386672	963856	5649124	7210128	5350620	1633568	9368092	1628940
2026-03-30	0	5679008	4903432	9032328	9735840	6830664	21919784	6101800	7986552	6322304
2026-04-06	0	4421768	0	0	0	0	0	307200	0	0
2026-04-13	0	0	4903432	0	0	0	0	0	0	0
2026-04-20	0	0	0	0	0	0	363736	0	408952	0
