week_start	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-19-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-20-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-20-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-27-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-27-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-28-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-19-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-20-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-20-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-27-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-27-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-28-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-10-30-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-10-30-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-18-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-24-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-24-Run2_behavior+ecephys.nwb
2025-09-15	2397151103	2407211257	3759886118	3733251150	2941461040	0	0	0	15855264	14449040	0	0	0	0	658207486	0	0	735091706	0	283710806
2025-09-22	32426460	536776732	57279047	637202203	150261828	11253040	22862292	26031224	4556760	14449040	24497720	17341136	17360784	23694592	0	0	0	0	0	0
2025-10-06	15478668	2407211257	0	1866625575	64266864	0	2137463302	27044616	0	14449040	14278472	0	0	0	0	0	0	0	0	0
2025-10-13	36913869	0	0	0	0	0	0	18750332	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	2414983364	0	1879943059	0	0	1787200753	0	38792668	0	0	14278472	17341136	17360784	0	0	0	0	0	0	283710806
2025-10-27	343774351	261528444	0	2196638551	111776024	1773775197	1877416454	31823588	31710528	28898080	14278472	17341136	17360784	23694592	329103743	307734686	0	367545853	0	0
2025-11-03	2462523614	2407211257	1879943059	1866625575	1470730520	1773775197	0	65839712	15855264	14449040	14278472	17341136	17360784	23694592	329103743	0	0	0	0	283710806
2025-11-10	16530481241	18311142131	8764202820	10599603584	13038637256	7361007516	12860070704	159478472	79276320	130041360	99949304	104046816	138886272	165862144	1445232372	1846408116	2036107650	2205275118	534572732	567421612
2025-11-17	4358465883	2821883069	1887673003	3219475890	2390797608	1133813609	2789341174	14046372	31710528	14449040	14278472	17341136	17360784	23694592	658207486	556749116	607830394	404426857	534572732	591041328
2025-11-24	35126373	0	0	0	0	0	0	16039272	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	4826681938	4814422514	0	3733251150	1470730520	3547550394	4274926604	44191984	31710528	28898080	28556944	34682272	34721568	47389184	658207486	307734686	0	735091706	267286366	0
2025-12-08	4822685950	2407211257	3759886118	1866625575	1470730520	1773775197	4274926604	57539888	15855264	14449040	28556944	34682272	17360784	47389184	658207486	307734686	607830394	735091706	534572732	283710806
2025-12-15	2438505431	2417168473	1879943059	10350264	1483963136	19521384	8254008	58250972	10612296	46882312	18470984	33063056	32034576	32210632	18473256	317953934	312234713	0	6223260	298384598
2025-12-22	2397151103	0	1879943059	1866625575	1470730520	1773775197	2137463302	21196248	15855264	14449040	0	17341136	17360784	23694592	329103743	307734686	303915197	367545853	267286366	283710806
2025-12-29	2397151103	4814422514	0	3733251150	2941461040	1773775197	4274926604	31906736	0	0	0	0	0	0	658207486	307734686	303915197	367545853	0	0
