week_start	sub-20190924-01/sub-20190924-01_ses-20190924_ophys.nwb	sub-20190924-02/sub-20190924-02_ses-20190924_ophys.nwb	sub-20190924-03/sub-20190924-03_ses-20190924_ophys.nwb	sub-20190925-01/sub-20190925-01_ses-20190925_ophys.nwb	sub-20190925-04/sub-20190925-04_ses-20190925_ophys.nwb	sub-20190928-01/sub-20190928-01_ses-20190928_ophys.nwb	sub-20190928-03/sub-20190928-03_ses-20190928_ophys.nwb	sub-20190928-05/sub-20190928-05_ses-20190928_ophys.nwb	sub-20190928-07/sub-20190928-07_ses-20190928_ophys.nwb	sub-20190928-08/sub-20190928-08_ses-20190928_ophys.nwb	sub-20190928-11/sub-20190928-11_ses-20190928_ophys.nwb	sub-20190928-13/sub-20190928-13_ses-20190928_ophys.nwb	sub-20190929-02/sub-20190929-02_ses-20190929_ophys.nwb	sub-20190929-03/sub-20190929-03_ses-20190929_ophys.nwb	sub-20190929-05/sub-20190929-05_ses-20190929_ophys.nwb	sub-20190929-06/sub-20190929-06_ses-20190929_ophys.nwb	sub-20190929-07/sub-20190929-07_ses-20190929_ophys.nwb	sub-20191030-03/sub-20191030-03_ses-20191030_ophys.nwb	sub-20191030-07/sub-20191030-07_ses-20191030_ophys.nwb	sub-20191104-08/sub-20191104-08_ses-20191104_ophys.nwb	sub-20191104-10/sub-20191104-10_ses-20191104_ophys.nwb
2024-07-08	1506832051	20294372	1483983132	1457089588	1495592188	20230520	1474743512	1482000180	19821996	1457915644	0	7304332	1461569728	0	20175332	20296300	6747324	1455740870	6288768	10350264	27508488
2024-07-15	43431804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-22	9957216	0	0	0	0	11136360	0	0	0	0	10874328	11987964	0	10153740	11398392	0	10022724	12708552	13887696	12577536	12446520
2024-07-29	11267376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16966572	0
2024-08-12	0	0	0	1416064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1455020516	0	0	0	0	0	0
2024-09-02	0	1238877940	0	0	0	0	0	1049167884	0	0	0	0	0	0	0	0	0	0	814071896	0	0
2024-09-09	858826168	0	134667808	769334532	0	13326524	0	0	0	0	796917760	0	0	0	0	0	0	0	0	903133108	1007380080
2024-09-16	25477268	39297796	21522656	41078920	33137748	20054016	19791872	54610180	0	7012712	0	98452	60088124	20426116	34200036	0	19899364	20709376	60727700	31124	26984424
2024-09-23	234116532	310011920	177520536	11463900	21075028	191684476	196726088	25297412	143290148	13298124	270253560	21454996	274013032	180519168	303430504	147846540	285219708	172532556	198446492	164827944	35926448
2024-09-30	2911094648	1455401700	1467701116	1596017368	1473348596	1464027612	1461672744	1455114500	2905402200	130522396	1587093144	1592546732	1584497640	1460249964	1584165832	1593554984	1427019992	1455740870	0	3041103036	2910426600
2024-10-07	5907401404	1730504860	150385088	1727542744	3079793416	2920718328	1584078040	2910360016	1589702480	3039016788	27376452	1482765656	3059017680	3025826460	2917181404	155319768	1553875172	1594466672	1590768328	3171296848	1480842228
2024-10-14	2911094648	0	0	10350264	0	1455118524	1454925420	1466119844	0	1464138904	0	0	0	0	1455020516	1455403628	12774060	1455740870	0	1463643112	0
2024-11-11	8057484	0	0	0	0	0	0	0	0	4061496	0	7860960	4520052	4061496	0	0	0	0	4127004	4389036	0
2024-11-18	0	0	0	0	7860960	8057484	8581548	0	0	0	6550800	10153740	10088232	16639032	0	10088232	0	7860960	0	10088232	0
2024-11-25	5822189296	0	1457285344	0	1453958228	1455118524	1454925420	1455114500	0	1454247196	0	1455259796	0	0	0	0	0	1455740870	0	0	0
2024-12-09	0	0	1457285344	0	1453958228	1455118524	0	0	1452701100	0	1456944972	0	0	0	1455020516	0	1420403684	0	0	0	1455213300
2025-01-20	338492180	256418820	207091296	186689636	406583664	559012616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-03	2936247376	4653244828	3119369204	3207049116	1660459952	3191682508	2952327884	4385424400	4651068	4387806436	0	2914777612	2909656040	4366207116	1455020516	1459596140	1420403684	2911481740	2908204360	2910909224	4389696636
2025-02-10	2957817172	252218540	2935081632	4417337704	1486312696	5810131696	2938602792	0	4362581972	2929858388	2921472320	2611493592	2913783044	4391726892	20396516	1477002456	3885300652	1459998890	1458360200	1593123624	4369115612
2025-02-17	2915221652	0	1457285344	1457089588	1453958228	1455118524	1454925420	0	0	1454247196	1456944972	1455259796	1454828020	1455402372	2935688872	1455403628	0	1455740870	1454102180	0	1455213300
2025-02-24	0	0	0	0	0	0	0	0	0	1454247196	1456944972	18604272	0	1455402372	1455020516	9760692	0	1455740870	1454102180	0	1455213300
2025-03-10	0	1455401700	0	0	1458674804	0	4782084	1455114500	0	1454247196	1456944972	1455259796	2909656040	1455402372	1455020516	0	0	1455740870	1454102180	0	0
2025-03-17	9399904084	1529532592	33108820	3035885004	48691880	1393183796	1416850556	24207904	1403828796	29191852	4323528	28553988	43511044	9302136	19167716	1377506836	1325184968	1388998540	4061496	1384125224	1368555296
2025-04-07	0	0	0	0	0	0	0	1455114500	0	1454247196	0	0	1454828020	0	1455020516	1455403628	1420403684	0	0	0	0
2025-05-19	1455547324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	3007876292	1455401700	0	24954192	2928069884	1455118524	1474100440	1479256896	23944904	2929039188	1477115544	1459386800	4323528	4061496	1474188232	1500942320	1439770568	1455740870	4651068	20216212	1479008004
2025-06-16	7306011472	56123368	4316333724	2899314952	4277713348	5645474728	2850338584	4306087224	2827349472	2824060844	2962384460	4323024020	2845138676	4280802976	1518903384	2957312576	2754868452	5762388020	5732391224	1497328828	2831142720
2025-06-23	52723588	155946724	4061496	4258020	138516052	131008700	154211744	25575968	1048576	24970640	32122736	786432	25289320	6616756	20175332	5372160	149243848	10089016	25677732	138971884	130431732
2025-06-30	5109960	0	5961228	0	786432	21190844	20735596	0	4651068	5044508	27340652	0	0	0	0	0	0	0	0	0	0
2025-07-07	1676470348	1179648	26828804	655360	0	1048576	24731192	25838000	8254008	26018768	0	786432	19720692	0	40350664	5633688	0	0	24956696	26767292	786432
2025-07-14	0	20294372	786432	42391656	26385160	0	4258020	20400388	20870572	917504	12316176	4323528	1048576	5175580	27250644	21475948	19899364	20764614	20436644	27226184	5175468
2025-07-21	0	773827300	0	0	0	1391810196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	891289600	0	1048576000	0	878208620	0	0	576716800	0	0	0	681574400	734003200	0	0	0	0	471859200	563923700
2025-08-04	1455547324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576716800	931452870	772527780	0	0
2025-08-11	721544124	0	0	1457089588	0	1455118524	1454925420	1455114500	2029417900	1454247196	1456944972	2398978196	1926687220	1455402372	1455020516	668971628	1420403684	1455740870	1454102180	1455454612	0
2025-08-18	0	0	19259352	0	6354276	0	0	983255300	22338228	0	576716800	0	20241972	0	0	0	15394380	9367644	4061496	22600260	0
2025-08-25	51816828	1455401700	0	0	0	1455118524	1454925420	1455114500	1452701100	1454247196	0	2491089192	0	1455402372	1455020516	564114028	0	1455740870	0	1455454612	1455213300
2025-09-01	2071769032	0	891289600	0	342139124	2505786476	0	22403736	0	1454247196	0	0	1454828020	0	0	1455403628	738829284	0	0	0	0
2025-09-08	0	0	0	618228788	0	0	0	0	0	0	786432000	0	0	0	825874916	0	0	983881670	0	1153433600	419430400
2025-09-15	0	0	1457285344	1457089588	0	0	1454925420	1455114500	1452701100	0	1456944972	0	0	0	0	0	0	1455740870	1454102180	1455454612	1455213300
2025-09-29	5961228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	1455547324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	590326500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	1500826240	2925411684	2924003840	1468487980	1463653412	0	1463310444	2918548516	1470650292	1454247196	1473518496	19914432	2916403364	2919189768	1455020516	1455403628	0	2917246444	1469365544	1455454612	4373893908
2025-12-22	11519824816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555745280	0	0
2026-01-05	3073938172	4585677408	1468068288	3060656852	2928991484	1457268924	3562615620	3691418120	4369426920	4366868592	2913889944	3241705916	5844388520	3882913552	5862665848	1887397080	2840807368	2911481740	4401938880	5163977096	4436519556
2026-01-12	1089000708	3473348968	0	0	2708382664	0	0	0	0	0	0	0	1454828020	0	0	0	0	0	0	0	0
2026-01-19	1274240	1455401700	1457285344	19495988	686817280	0	1454925420	0	1452701100	1454247196	1456944972	0	0	0	1455020516	1455403628	1420403684	0	1454102180	1455454612	0
2026-01-26	1998638360	0	482344960	602931200	0	623902720	0	0	598111660	725486876	555745280	0	553052660	0	0	0	440401920	700766150	0	665845760	0
2026-02-02	0	0	0	1457089588	1453958228	0	1454925420	0	1452701100	0	1456944972	527270036	0	1455402372	647616996	532656748	0	0	0	0	506252020
2026-02-16	1455547324	12905076	614400	11767312	4536604	409600	1455744620	4667620	4389036	10088232	1496329616	1455259796	1454828020	0	1455020516	0	0	0	1454102180	0	1455213300
2026-02-23	4061496	0	4389036	4454544	0	0	0	4454544	4520052	24999340	0	0	0	0	0	0	0	0	0	0	0
2026-03-02	0	20368100	0	0	0	4913100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4061496
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	4389036	0	0	0	0	0	0	0	0	0
2026-03-16	0	1455401700	0	1457089588	0	0	0	0	0	0	0	0	0	0	0	0	1420403684	0	10022724	0	1455213300
2026-03-23	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
