week_start	sub-MEAREC-250neuron-Neuropixels/sub-MEAREC-250neuron-Neuropixels_ecephys.nwb	sub-P29-16-05-14-retina02-left/sub-P29-16-05-14-retina02-left_ecephys.nwb	sub-c1/sub-c1_ecephys.nwb	sub-mouse412804/sub-mouse412804_ses-20200824T155542.nwb	sub-mouse412804/sub-mouse412804_ses-20200824T155543.nwb
2023-04-24	29570669840	0	18780074	0	157218439
2023-05-01	32914668	46022027	14002804	0	79023636
2023-05-08	9224596	22099212	0	0	183916530
2023-05-15	0	47879281	0	0	77862859
2023-05-22	27308317	0	15628253	680424	56327272
2023-05-29	19111894	0	0	10274360	68021279
2023-06-05	0	0	0	940504	30061954
2023-06-12	0	1472529215	27606486	819608	54713890
2023-06-19	327167596	6710958157	0	58842936	0
2023-06-26	0	22131925	16490985	131981448	55499129
2023-07-03	9091868	10020964	17785552	589752	64245289
2023-07-10	5595280	16126452	11480972	420344	92762984
2023-07-17	29530187056	18581920	24916614016	10244136	84287217
2023-07-24	29530187056	12941817280	0	520160	47667294
2023-07-31	50303912	36301108	41908397	722480	89411133
2023-08-07	75767460	29133796	32982908	550384	6370944
2023-08-14	0	6480929604	0	849832	108756708
2023-08-21	0	4375001452	13007344	450568	0
2023-08-28	21833756	25284684	10551048	810464	166517260
2023-09-04	18316464	0	0	10374176	113507140
2023-09-11	33381092	10419148	0	719792	14865536
2023-09-18	29930164	21634664	0	680424	13405528
2023-09-25	36234744	8627320	6304580	580608	53740952
2023-10-02	0	8892776	0	160264	62315796
2023-10-09	0	0	20307384	0	40932700
2023-10-16	15244131276	8760048	10020964	0	0
2023-10-23	0	16790092	24916614016	9823792	38529708
2023-10-30	50406405080	0	20373748	0	55067404
2023-11-06	570318368	6517893524	24928692264	6304580	57390972
2023-11-13	28536520	0	0	9754200	99730376
2023-11-20	14135532	0	0	19194320	0
2023-11-27	0	0	0	130040	0
2023-12-04	12772656	6437600	7691136	9953832	6489660
2023-12-11	0	0	24916614016	9693752	23465080
2024-01-01	0	0	0	9693752	35197620
2024-01-08	59078026936	0	0	8923000	38423928
2024-01-15	0	0	0	9693752	0
2024-01-22	2075372404	662240	5086696	545904	12392748
2024-02-05	0	0	0	19110099	0
2024-02-12	29530187056	0	0	0	0
2024-03-04	0	0	0	29081256	36765656
2024-03-11	23681728	137939028	22142368	2190012	43800240
2024-03-18	135966020528	7120945032	0	9158232	137146612
2024-03-25	49971799496	6484348804	45687545128	9892844	92733492
2024-04-01	1102871836	30761168	441216	16064696	0
2024-04-08	30392670568	6986027704	546705660	1305144	122101708
2024-04-15	171182476	1490849792	0	123112780	0
2024-04-22	1070698412	525716192	1034121216	272952	55448324
2024-04-29	0	1338609664	0	101545308	26678328
2024-05-06	1854166656	525004800	897695744	0	131275484
2024-05-13	0	1049858048	1128648704	57091472	56569400
2024-05-20	811376128	1060475460	5246976	57475832	24753772
2024-05-27	1072118204	511761832	534590716	9693752	36851800
2024-06-03	0	0	25200134884	94930852	11732540
2024-06-10	1225723304	567702976	0	0	55821276
2024-06-17	0	6470908640	0	0	0
2024-07-01	29586111656	8288392	102400	1032	15129802
2024-07-08	13664282356	503244616	482176	6758584	462004
2024-07-22	29546379872	21949108144	24916614016	19387504	22815328
2024-07-29	26218732540	6568108364	35703832	0	0
2024-08-05	0	200203320	27673788	0	11732540
2024-08-26	31390172	25019228	20705568	33850248	11732540
2024-09-02	26977123616	0	22586862320	0	58662700
2024-09-09	0	0	48595072	0	0
2024-09-16	33177172	13414560	22350492	28468828	19679540
2024-09-23	234201968	96564000	115367040	164793784	144530820
2024-09-30	29530187056	6470908640	0	13808320	23465080
2024-10-07	52955689656	6485243264	0	9693752	11732540
2024-10-14	47865708	0	0	0	0
2024-10-21	18015536	6437600	7691136	9693752	11732540
2024-10-28	18015536	12012176	15455724	26993668	11732540
2024-11-04	0	6470908640	0	0	0
2024-11-11	97175688	0	0	0	0
2024-11-18	6304580	0	0	28943920	31694216
2024-11-25	30512320496	12956019176	0	9693752	0
2024-12-02	24593684	0	0	0	11732540
2024-12-16	0	0	0	0	11732540
2025-02-10	29530187056	6544122992	24916614016	9693752	11732540
2025-02-24	54219388	48180264	0	0	11732540
2025-03-10	0	0	0	9693752	35197620
2025-03-17	33646548	0	12997403728	0	0
2025-04-07	0	8192	0	0	0
2025-04-14	42873421524	6470908640	48045642308	9693752	23465080
2025-04-21	266590764	6567893764	24931784628	9693752	0
2025-04-28	610323006	7018449296	8909271236	19387504	23465080
2025-05-05	232717933944	37019148472	70307281856	116851328	70395240
2025-05-12	44781165966	14850342600	49912614484	38775008	35197620
2025-05-19	0	21037388	207809408	0	0
2025-05-26	64805883440	19194229216	16556046748	1444422972	46930160
2025-06-02	0	466944	0	0	0
2025-06-09	814936780436	0	0	0	0
2025-06-16	0	6470908640	0	0	0
2025-06-23	168196096	0	0	0	0
2025-06-30	48791146168	6470908640	24916614016	9693752	11732540
2025-07-07	13206436	20134872424	0	0	0
2025-07-14	0	0	0	11370732	0
2025-07-28	19254008288	3901897440	0	0	0
2025-08-04	29530187056	6470908640	18860556084	9693752	35197620
2025-09-01	0	0	0	19387504	11732540
2025-09-08	20160116788	10087328	9689144	29081256	9689144
2025-09-15	0	0	0	9693752	0
2025-09-29	0	0	0	12343704	0
2025-10-06	0	0	0	41608900	0
2025-10-20	4114568	0	0	0	0
2025-10-27	0	11945520	0	0	0
2025-11-03	0	28536520	5773668	0	0
2025-11-24	21103752	16060088	12011884	26621180	11680064
2025-12-08	39674958904	178150696	150344180	9693752	11732540
2025-12-15	59298134540	13176060416	49852208136	43162528	15131116
2025-12-29	0	6470908640	16984136576	0	0
2026-01-05	21065891840	0	0	0	0
2026-01-12	0	0	0	0	23465080
2026-01-19	0	4572986080	0	19387504	0
2026-01-26	0	6475155936	0	9693752	0
2026-02-02	19421916	560015416	2758034048	351696128	287677884
2026-02-16	65790312804	23113281552	79187170024	51789848	50059724
2026-02-23	894256	1017280	9511040	4180932	0
2026-03-02	12728105540	4247296	24978926588	4380024	0
2026-03-09	0	0	184455276	9693752	4444672
2026-03-16	8494592	13174708	74166808	18328568	24683976
2026-03-23	5274280	662240	7850030928	42902848	18966216
2026-03-30	0	10020964	0	272952	0
2026-04-06	666703443992	3166792132	1941284748	10829436	11732540
2026-04-13	0	0	0	8435724	0
