week_start	sub-BH395/sub-BH395_ses-20221213T174039_ecephys.nwb	sub-BH395/sub-BH395_ses-20221213T180853_ecephys.nwb	sub-BH395/sub-BH395_ses-20221213T183140_ecephys.nwb	sub-BH395/sub-BH395_ses-20221213T185547_ecephys.nwb	sub-BH395/sub-BH395_ses-20221213T195834_ecephys.nwb	sub-BH396/sub-BH396_ses-20221117T215447_ecephys.nwb	sub-BH396/sub-BH396_ses-20221117T220434_ecephys.nwb	sub-BH396/sub-BH396_ses-20221117T221038_ecephys.nwb	sub-BH396/sub-BH396_ses-20221117T224848_ecephys.nwb	sub-BH396/sub-BH396_ses-20221117T225429_ecephys.nwb	sub-BH401/sub-BH401_ses-20230207T202916_ecephys.nwb	sub-BH401/sub-BH401_ses-20230207T213946_ecephys.nwb	sub-BH401/sub-BH401_ses-20230207T221353_ecephys.nwb	sub-BH401/sub-BH401_ses-20230207T224653_ecephys.nwb	sub-BH401/sub-BH401_ses-20230207T231819_ecephys.nwb	sub-BH401/sub-BH401_ses-20230208T000953_ecephys.nwb	sub-BH401/sub-BH401_ses-20230208T005106_ecephys.nwb	sub-BH401/sub-BH401_ses-20230208T012808_ecephys.nwb	sub-BH444/sub-BH444_ses-20230214T200303_ecephys.nwb	sub-BH444/sub-BH444_ses-20230214T204015_ecephys.nwb	sub-BH444/sub-BH444_ses-20230214T212616_ecephys.nwb	sub-BH444/sub-BH444_ses-20230214T215744_ecephys.nwb	sub-BH444/sub-BH444_ses-20230214T222833_ecephys.nwb	sub-BH444/sub-BH444_ses-20230214T230505_ecephys.nwb	sub-BH444/sub-BH444_ses-20230214T235435_ecephys.nwb	sub-BH444/sub-BH444_ses-20230215T002717_ecephys.nwb	sub-BH444/sub-BH444_ses-20230215T010415_ecephys.nwb	sub-BH444/sub-BH444_ses-20230215T013638_ecephys.nwb	sub-BH444/sub-BH444_ses-20230215T015857_ecephys.nwb
2023-10-16	2110010144	0	1022841912	0	88432	0	0	0	0	0	0	0	0	0	0	0	0	1132462080	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	253384944	0	0	0	0	1067463456	0	0	1015021568	0	1358954496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-30	0	0	957071880	0	0	0	0	1824548416	0	0	0	0	0	1098907648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1332196128
2023-11-06	0	0	1041446184	0	350112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	0	0	675190956	0	283213328	0	0	2059459460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-20	0	0	0	0	156589420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	10760992	4495861312	13546272	12717512	1870261816	1081029408	1063334688	0	0	1228190496	2055713568	2045686560	0	2029761312	2042737440	2022388512	0	0	2067477280	2031825696	14150520	0	0	4073429344	2042127936	5242880	2040799456	2048157248	2049926720
2023-12-11	0	0	0	0	0	0	0	1067463456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	2134926912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	39715384	25404844	11718848	8729816	20115080	13381068	7206904	1089623788	14349324	619296	6069744	12345200	17145744	5057456	2337120	9249968	9255060	6929596	15381348	4186452	15512400	1058368	11597188	33428844	22591128	34206552	1909128	22835148	27954788
2024-01-29	131016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-12	26530740	6354276	57188484	63542760	24368976	26465232	27120312	31902396	27644376	36225924	74286072	27054804	195344856	67014684	63870300	50965224	0	37339560	107171088	60922440	87387672	45986616	16377000	94003980	61512012	46052124	41532072	26661756	62363616
2024-03-04	6878340	0	0	97999968	113533376	0	0	0	112346220	0	0	0	0	0	33409080	0	0	0	0	0	0	0	107957184	0	0	0	0	0	0
2024-03-11	11118656	119308372	94205496	7140372	16644024	109730892	96760308	17013632	18020716	17066796	107700144	2161764	14220228	20771028	6157752	62036076	65114952	13263236	144462632	98820780	4179428	99577152	10486272	2932612	66233580	87942356	16026396	13402500	123649208
2024-03-18	27140428	14241860	14787456	14378360	19835640	18246096	13233640	21898300	13824236	23052756	14258244	93051056	94969248	14569456	14266632	15120200	20587944	81568836	11302360	14143668	12407268	10889688	33740028	15545160	12964496	1230400	176343684	13528524	615200
2024-03-25	13144412	22575488	10398420	13608964	1624416	114465372	209254236	20719156	15788452	8116932	7576428	17032080	239179156	14110900	10663692	13494648	7888608	10467028	80347532	24071160	8240924	17102708	14283016	1541696	12774060	20424244	14486664	14183604	0
2024-04-01	6419784	6826144	6981736	0	0	0	5437164	84899888	5109624	5306148	4803588	553760	6223260	6891680	2220216	6354276	3284616	7140372	738080	6812832	98773908	5909116	7336896	0	0	6026736	7243332	150737564	5921348
2024-04-08	221634928	0	0	27126648	0	0	0	0	107623204	0	82683768	0	0	0	0	239598044	0	0	0	126030796	0	0	0	91096564	0	0	0	0	0
2024-04-15	6354276	537376	2751336	6550800	80943848	607008	525088	7051424	5633688	2781060	545568	3305096	2816844	173590396	87970188	5384996	98439796	7297016	5699196	12279720	838520	157085132	91188428	0	107036256	615200	5437164	10056600	98509400
2024-04-22	0	0	89892044	0	0	0	0	0	0	141404520	0	234632268	0	0	0	0	56795436	147087020	113333144	0	0	0	0	0	0	280166560	0	0	0
2024-04-29	0	0	0	0	129216268	169687124	151827500	0	0	167092180	0	0	0	0	81503980	130472568	0	0	0	0	108899544	0	0	0	76617700	0	0	0	0
2024-05-06	0	125325796	164103132	0	0	0	0	93977060	0	0	47883048	0	33751948	0	0	112346376	0	0	0	0	0	0	0	0	87447124	0	0	0	178530704
2024-05-13	101424108	0	0	0	0	0	0	0	0	0	0	90156732	0	142183036	0	0	110329896	0	0	0	70350580	95675372	0	0	0	136933124	0	0	0
2024-05-20	65639172	0	0	0	0	0	0	146824988	0	0	0	0	0	0	0	0	72361120	0	0	0	109165528	0	72932484	85048008	0	0	0	0	98520888
2024-05-27	0	117455844	39504520	0	0	0	0	0	0	139987216	131219016	0	0	273973568	0	0	0	0	0	0	156517656	97286028	0	0	0	0	0	0	0
2024-06-03	0	102538128	0	0	0	0	103526960	0	0	0	0	0	0	0	0	128236840	0	0	142348884	0	0	121296136	0	0	0	0	0	212715860	0
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133115120	0	0	0	0	0	78356952	0	0	0	0	0	0	7729944	0
2024-07-08	7153684	570144	104841472	7537340	14847235509	602912	101762596	537376	105693076	4959180	6989956	7120944	570144	2138598772	100452436	102889572	7612240	602912	7219220	602912	7135452	537376	537376	602912	537376	7481252	7869656	102365480	7645036
2024-07-22	17752668	0	0	40766036	2689670343	0	0	0	0	0	0	0	0	0	0	17752668	0	0	0	0	2032659320	0	0	0	0	0	0	0	0
2024-07-29	13167108	0	4389036	550930432	4956005240	0	12774060	0	10088232	11660424	0	23779404	10088232	9105612	12315504	10022724	12774060	2058957600	12315504	12708552	0	10088232	8122992	11201868	12315504	0	12315504	11725932	13625664
2024-08-05	0	0	0	10284756	24645292886	0	0	1158394320	0	0	0	0	0	0	0	20700528	0	0	0	214018712	0	0	0	17716717	0	0	0	0	0
2024-08-12	0	0	0	855066840	707419632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7795452	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	9236628	25548120	16901064	2076414685	26792772	0	21748656	0	7140372	12118980	0	10153740	11987964	7336896	8712564	14149728	20110956	9891708	15459888	12053472	14018712	0	14411760	0	0	8516040	21355608	13887696	10022724
2024-09-02	4297139820	0	0	1930507401	0	0	0	0	0	0	0	0	1320858400	1076065760	0	7860960	0	0	0	0	2032659320	0	1635159840	0	0	0	0	0	1425304276
2024-09-09	32282976	0	132402208	0	7186851200	34445664	0	0	0	803960092	100452436	0	0	33757536	1593078956	0	1217786464	101893612	0	1377252128	0	1370060280	0	1480930080	0	32872800	101369548	1308200628	0
2024-09-16	7219192	570144	4454544	921032	602912	6812832	7205880	5515984	0	102594772	0	4631640	0	5221240	0	602912	0	6354276	0	4991948	106413664	4520052	537376	602912	7153684	602912	663776	4585560	0
2024-09-23	10760992	11842336	13546272	12717512	15020832	22963776	29517376	27289152	25585216	23684672	21980736	22898240	27092544	22505024	27485760	28730944	29124160	28468800	24536640	26633792	17815280	28337728	24143424	12137248	14431008	21915200	23609792	12202784	22913720
2024-09-30	0	0	0	0	80000000	0	0	20000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-21	23010988	18589660	13546272	22740236	21637140	11481888	14758688	23929332	12792608	11842336	21340632	21602860	13546272	23437000	21276300	14365472	26091488	22684932	22946124	13316896	24107736	14168864	12071712	19998208	23274588	17311876	16783504	19015616	24616928
2024-10-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10874328
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	0	10284756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	18407748	18080208	8974596	10350264	48516040	1503867220	0	0	10153740	0	10022724	0	8385024	0	0	10153740	7860960	5699196	7926468	6747324	7860960	7860960	0	10153740	0	10088232	0	7860960	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	9105612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13087520
2025-02-10	0	14346252	0	19783416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566048	4651068	4127004	0	0	0
2025-03-31	0	0	0	0	0	1121029408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000000	0	0	0	0	0	0	0	0	0	0
2025-07-07	0	0	0	0	0	1191539592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	4548627288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-21	2737058592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681574400	0	0	0	0	1101004800	0	0	0	0	0	0
2025-07-28	16311492	0	2118123520	0	0	0	681574400	1015034656	471859200	599044896	0	0	1277080352	1348186912	0	1078670112	0	0	1101004800	0	0	1372074784	0	0	0	0	1673797856	0	1302836000
2025-08-04	0	0	0	0	1891971872	0	0	0	0	0	0	1154396960	0	0	0	0	0	0	0	0	524288000	0	0	0	734003200	0	0	0	0
2025-08-11	0	3068441376	0	1992294400	0	976171808	0	0	0	0	1111995168	0	0	0	1468006400	20000000	0	0	0	1370251296	0	0	0	1205862400	0	0	0	0	0
2025-08-25	0	3407872000	0	0	0	0	0	0	0	0	0	1206825760	0	0	0	0	0	0	0	1310720000	0	0	0	0	576716800	0	0	0	0
2025-09-01	0	0	0	0	1524970272	524288000	0	0	725824288	0	0	0	0	0	0	1445671712	0	0	0	0	0	0	0	1415577600	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565064480	0	0	0	0	0	0	0	0	576716800	0	891289600	0
2025-09-29	0	0	0	0	541472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	0	16731220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	0	0	0	0	0	0	0	0	0	0	0	2045686560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	6616308	42252660	62691156	50506668	37601592	40090896	13167108	14542776	23124324	39435816	34064160	22141704	13429140	34064160	49655064	19521384	39042768	31116300	37732608	19128336	22403736	35898384	12774060	23386356	11922456	24762024	29151060	25875660	30526728
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1366897440	0	0	0	0	650117120	0	0	0	0	0	0
2025-12-15	1903440672	0	4533561672	4444320060	18014700	4192512	14084220	1067463456	0	20831544	2055713568	6288768	2181471552	2038277352	2050925940	13036092	5895720	12315504	8188500	12446520	12381012	5895720	2034115704	10415772	4061496	2042240460	0	2044208472	2050006308
2025-12-22	0	0	0	2212495360	0	0	0	0	0	0	1143452448	0	1172222752	0	0	0	0	10240	0	0	1130883960	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	600847136	0	0	0	0	0	1196143392	0	0	0	0	1032847360	0	0	0	0	0	0	0	0	0	980418560
2026-01-12	1180745060	275903368	0	4427222472	0	3222116704	1750865836	0	0	0	5533286336	2056172320	1070376724	0	0	0	3729849036	2069443360	0	0	5280409604	0	4050675264	0	0	0	0	0	0
2026-01-19	0	0	0	0	0	0	0	0	0	793031456	0	0	0	0	1135719200	0	0	0	0	0	0	1230517024	0	0	0	0	0	0	0
2026-01-26	0	2245309216	2168369952	0	828375040	0	617689888	0	0	0	0	1075753760	0	0	0	1006632960	0	0	0	0	0	0	0	0	937177888	1022361600	1123295456	0	0
2026-02-02	0	0	0	0	45331536	388969248	0	0	605238048	0	0	0	0	0	0	0	1005466400	0	0	998978336	0	0	0	1080033280	0	0	0	1006632960	0
2026-02-16	10543716	9394268	16611412	512000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10477492	0	0	0	6223260	0	0	11187560	15642160
2026-02-23	0	0	0	0	1139380840	4865028	0	0	0	619296	0	0	0	4795424	4585560	0	4127004	0	5061608	0	0	0	787232	0	0	0	0	5209008	0
2026-03-02	5217944	0	5213020	572872	10760720	0	5109624	762656	4782084	0	0	4454544	0	0	0	0	0	5069744	0	0	0	4066616	0	0	4585560	0	0	4323528	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	0	561952	0	0	0	0	0	0	0	0	0	0	770848	0	4258020	0	0	4283648
2026-03-16	9891708	0	0	0	0	0	0	0	0	0	17425128	0	15983952	10481280	0	0	0	14084220	16377000	0	10415772	14215236	0	0	0	0	0	0	11398392
2026-03-30	4467208992	0	110594112	4427222472	4799492	4799520	1063334688	0	0	1228190496	4127004	2046240320	2168369952	0	0	0	2090225472	720588	738080	4064568504	0	0	0	0	1612840008	0	0	2035954464	0
2026-04-06	0	0	0	0	0	0	0	0	0	0	0	2045686560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
