week_start	sub-2022-06-14-01-SWF702/sub-2022-06-14-01-SWF702_ses-20220614_behavior+image+ophys.nwb	sub-2022-06-14-07-SWF702/sub-2022-06-14-07-SWF702_ses-20220614_behavior+image+ophys.nwb	sub-2022-06-14-13-SWF702/sub-2022-06-14-13-SWF702_ses-20220614_behavior+image+ophys.nwb	sub-2022-06-28-01-SWF702/sub-2022-06-28-01-SWF702_ses-20220628_behavior+image+ophys.nwb	sub-2022-06-28-07-SWF702/sub-2022-06-28-07-SWF702_ses-20220628_behavior+image+ophys.nwb	sub-2022-07-15-06-SWF702/sub-2022-07-15-06-SWF702_ses-20220715_behavior+image+ophys.nwb	sub-2022-07-15-12-SWF702/sub-2022-07-15-12-SWF702_ses-20220715_behavior+image+ophys.nwb	sub-2022-07-20-01-SWF702/sub-2022-07-20-01-SWF702_ses-20220720_behavior+image+ophys.nwb	sub-2022-07-26-01-SWF702/sub-2022-07-26-01-SWF702_ses-20220726_behavior+image+ophys.nwb	sub-2022-08-02-01-SWF702/sub-2022-08-02-01-SWF702_ses-20220802_behavior+image+ophys.nwb	sub-2022-12-21-06-SWF702/sub-2022-12-21-06-SWF702_ses-20221221_behavior+image+ophys.nwb	sub-2023-01-05-01-SWF702/sub-2023-01-05-01-SWF702_ses-20230105_behavior+image+ophys.nwb	sub-2023-01-05-18-SWF702/sub-2023-01-05-18-SWF702_ses-20230105_behavior+image+ophys.nwb	sub-2023-01-06-01-SWF702/sub-2023-01-06-01-SWF702_ses-20230106_behavior+image+ophys.nwb	sub-2023-01-06-08-SWF702/sub-2023-01-06-08-SWF702_ses-20230106_behavior+image+ophys.nwb	sub-2023-01-09-08-SWF702/sub-2023-01-09-08-SWF702_ses-20230109_behavior+image+ophys.nwb	sub-2023-01-09-15-SWF702/sub-2023-01-09-15-SWF702_ses-20230109_behavior+image+ophys.nwb	sub-2023-01-09-22-SWF702/sub-2023-01-09-22-SWF702_ses-20230109_behavior+image+ophys.nwb	sub-2023-01-09-28-SWF702/sub-2023-01-09-28-SWF702_ses-20230109_behavior+image+ophys.nwb	sub-2023-01-10-07-SWF702/sub-2023-01-10-07-SWF702_ses-20230110_behavior+image+ophys.nwb	sub-2023-01-10-14-SWF702/sub-2023-01-10-14-SWF702_ses-20230110_behavior+image+ophys.nwb	sub-2023-01-13-07-SWF702/sub-2023-01-13-07-SWF702_ses-20230113_behavior+image+ophys.nwb	sub-2023-01-16-01-SWF702/sub-2023-01-16-01-SWF702_ses-20230116_behavior+image+ophys.nwb	sub-2023-01-16-08-SWF702/sub-2023-01-16-08-SWF702_ses-20230116_behavior+image+ophys.nwb	sub-2023-01-16-15-SWF702/sub-2023-01-16-15-SWF702_ses-20230116_behavior+image+ophys.nwb	sub-2023-01-16-22-SWF702/sub-2023-01-16-22-SWF702_ses-20230116_behavior+image+ophys.nwb	sub-2023-01-17-01-SWF702/sub-2023-01-17-01-SWF702_ses-20230117_behavior+image+ophys.nwb	sub-2023-01-17-07-SWF702/sub-2023-01-17-07-SWF702_ses-20230117_behavior+image+ophys.nwb	sub-2023-01-17-14-SWF702/sub-2023-01-17-14-SWF702_ses-20230117_behavior+image+ophys.nwb	sub-2023-01-18-01-SWF702/sub-2023-01-18-01-SWF702_ses-20230118_behavior+image+ophys.nwb	sub-2023-01-19-08-SWF702/sub-2023-01-19-08-SWF702_ses-20230119_behavior+image+ophys.nwb	sub-2023-01-19-15-SWF702/sub-2023-01-19-15-SWF702_ses-20230119_behavior+image+ophys.nwb	sub-2023-01-19-22-SWF702/sub-2023-01-19-22-SWF702_ses-20230119_behavior+image+ophys.nwb	sub-2023-01-23-01-SWF702/sub-2023-01-23-01-SWF702_ses-20230123_behavior+image+ophys.nwb	sub-2023-01-23-08-SWF702/sub-2023-01-23-08-SWF702_ses-20230123_behavior+image+ophys.nwb	sub-2023-01-23-15-SWF702/sub-2023-01-23-15-SWF702_ses-20230123_behavior+image+ophys.nwb	sub-2023-01-23-21-SWF702/sub-2023-01-23-21-SWF702_ses-20230123_behavior+image+ophys.nwb	sub-2023-03-07-01-SWF702/sub-2023-03-07-01-SWF702_ses-20230307_behavior+image+ophys.nwb
2025-03-24	16716380226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	43692486858	39311309249	27006538479	14717840612	44748171343	67530539522	26529545442	26465047468	0	26549950430	0	26480539883	26518144557	26728867246	26739030926	0	26827236525	0	26775716157	0	26587822101	0	26608522907	26721844686	26650577193	0	26713193977	26566316095	0	0	26432048149	0	26283315575	26373384337	0	0	26324799061	26508995421
2025-04-07	54455317330	53724529874	0	26960339505	26838190811	26746446581	53059090884	26465047468	26655362087	26549950430	0	52961079766	26518144557	0	26739030926	0	26827236525	26830212116	0	26687489224	26587822101	0	0	53443689372	53301154386	26647143668	0	0	53288098792	0	52864096298	26379164373	26283315575	26373384337	26332848044	26334665757	26324799061	53017990842
2025-04-14	30681068514	26862264937	30115913123	3148847296	53676381622	3401757356	0	26465047468	0	26549950430	26693956259	0	26518144557	0	26739030926	0	0	26830212116	26775716157	0	0	0	26608522907	0	0	0	0	26566316095	0	26526588060	0	0	52566631150	0	0	0	26324799061	0
2025-05-05	8103897888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-12	27391304	9957216	49340779302	13129651733	26838190811	10485760	0	20971520	26655362087	26560436190	26714927779	26491025643	26528630317	0	26749516686	26739489543	10485760	26830212116	26775716157	26687489224	10485760	26583710122	26619008667	26732330446	10485760	26657629428	26723679737	26566316095	10485760	26526588060	26442533909	26389650133	10485760	10485760	10485760	26345151517	26324799061	26519481181
2025-05-19	31413006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	1808882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-02	27046446546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1138899318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11463900	0	0	0	0	0	0	0
2025-06-09	60519826630	0	33016032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	225695696	309312448	37020344	88398964	428725368	116960452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	70324092	7844306	9069492	11959094	10082451	10608785	7964998	14056680	13760011	9548640	11283282	9119811	3229365	13427582	9231490	7478807	4586541	6894924	619488	696264	515488	647104	644944	721552	323496	361472	361928	696072	618552	361152	613176	370984	663296	370880	662696	549776	550080	15632528
2025-07-07	1687162770	29934259	83498503	17258279	15082632	30081519	22225290	25468480	15083596	21901754	24526641	4127004	16545710	12194918	10055736	10054738	14029753	4782084	14086133	16166968	9038122	17572334	12820670	14478552	18676178	8734284	12447373	20208377	4578280	6371640	7996721	6165461	1282423	10149197	5724276	9056402	17696710	14894702
2025-07-14	10941384	17083706	26956086425	16800986	26849485713	26754158706	26540253046	3673084	26663659014	26562944534	26710456369	26497729937	26530360290	53461808258	13060660	26740686905	26840667515	26847210252	8276997	8900292	26600994461	26596480924	26615979769	26734667186	26657995758	20662772	26729759723	6971920	26657084444	26540623784	26455606784	26392838686	10872330	4628900	26348538088	26349230856	26334323174	11574222
2025-07-21	55490617528	23253358941	13440793802	95670352	26744107983	13866177080	2476514004	1835980764	0	2373244724	1411251384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	0	0	0	0	16305356800	18108913630	0	17357928683	18391680557	0	0	18979225600	16551191725	17969744916	17076388157	0	0	16672358400	0	0	16672358400	0	0	19031654400	18360298996	0	0	0	17491763950	0	18192793600	0	0	0
2025-08-04	1310720	0	0	0	0	0	22206879916	0	0	0	19818086400	0	0	0	15257123726	0	0	0	0	0	0	0	0	19172097486	0	0	0	0	0	19868130460	0	0	0	0	0	0	31077713508	0
