week_start	sub-20221028-18-48-00/sub-20221028-18-48-00_ses-20221028T184800_ophys.nwb	sub-20221106-21-00-09/sub-20221106-21-00-09_ses-20221106T210009_ophys.nwb	sub-20221106-21-23-19/sub-20221106-21-23-19_ses-20221106T212319_ophys.nwb	sub-20221106-21-47-31/sub-20221106-21-47-31_ses-20221106T214731_ophys.nwb	sub-20221215-20-02-49/sub-20221215-20-02-49_ses-20221215T200249_ophys.nwb	sub-20230322-18-57-04/sub-20230322-18-57-04_ses-20230322T185704_ophys.nwb	sub-20230322-20-16-50/sub-20230322-20-16-50_ses-20230322T201650_ophys.nwb	sub-20230322-21-41-10/sub-20230322-21-41-10_ses-20230322T214110_ophys.nwb	sub-20230322-22-43-03/sub-20230322-22-43-03_ses-20230322T224303_ophys.nwb	sub-20230412-20-15-17/sub-20230412-20-15-17_ses-20230412T201517_ophys.nwb	sub-20230506-12-56-00/sub-20230506-12-56-00_ses-20230506T125600_ophys.nwb	sub-20230506-14-24-57/sub-20230506-14-24-57_ses-20230506T142457_ophys.nwb	sub-20230506-15-01-45/sub-20230506-15-01-45_ses-20230506T150145_ophys.nwb	sub-20230506-15-33-51/sub-20230506-15-33-51_ses-20230506T153351_ophys.nwb	sub-20230510-12-53-34/sub-20230510-12-53-34_ses-20230510T125334_ophys.nwb	sub-20230510-13-25-46/sub-20230510-13-25-46_ses-20230510T132546_ophys.nwb	sub-20230510-15-49-47/sub-20230510-15-49-47_ses-20230510T154947_ophys.nwb	sub-20230904-14-30-52/sub-20230904-14-30-52_ses-20230904T143052_ophys.nwb	sub-20230904-15-09-05/sub-20230904-15-09-05_ses-20230904T150905_ophys.nwb	sub-20230904-15-59-40/sub-20230904-15-59-40_ses-20230904T155940_ophys.nwb	sub-20230909-16-48-09/sub-20230909-16-48-09_ses-20230909T164809_ophys.nwb
2024-11-18	9826200	7860960	0	7402404	0	0	10219248	10153740	24499992	0	8516040	10153740	0	0	7860960	0	10088232	2161764	0	5764704	7926468
2024-11-25	507426496	664963520	0	0	253717112	8601780608	8586896022	276746192	276755656	553511232	921868352	921876192	27574901850	13806333453	921876152	921876120	0	845082776	0	845068584	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477279544	601813144	494927872	0	0
2024-12-09	253713248	253712472	507426928	253713592	507434224	0	8586896022	276746192	553511312	0	921868352	921876192	0	13794410997	921876152	921876120	921875768	0	845082432	845068584	0
2025-02-03	4389036	736744204	803250280	591194916	803662676	8600454112	12932615131	5535820	558614220	554094048	931994052	1848141420	13791643437	27595110762	932940784	922459440	1850302336	1692327316	1179264	851553876	1690128736
2025-02-10	396558300	949330232	267358836	401238672	0	3421215476	8539947513	170529064	443225972	285985488	0	1459854784	14389089406	5882584149	9040104	547245788	0	2161764	9105612	849392112	4127004
2025-02-17	0	0	0	0	0	0	0	0	276755656	0	921868352	921876192	13787450925	0	921876152	0	921875768	0	845082432	0	845064368
2025-02-24	0	0	0	253713592	253717112	4286413036	4293448011	276746192	276755656	0	0	0	10927104625	4192512	921876152	0	921875768	0	845082432	0	0
2025-03-10	253713248	512207028	253713464	0	253717112	4286413036	4293448011	276746192	276755656	276755616	0	921876192	0	0	0	0	921875768	845467952	0	845068584	0
2025-03-17	0	145742636	0	0	0	4286413036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-14	0	253712472	0	0	0	0	0	0	0	0	0	0	13787450925	13794410997	921876152	0	0	845082776	845082432	845068584	845064368
2025-05-12	0	0	0	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0
2025-06-02	281881688	0	0	0	0	485680492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	29474928	43993176	19014852	23378564	21956964	5415363196	3793941400	16103728	28217952	19367496	14435208	15007100	28957155837	26628289373	18239564	19764660	19960128	10543960	24103084	14745616	14764760
2025-06-23	744288	743512	7205880	744632	748152	0	0	708560	6613744	4782084	4755776	8956128	25937485	5175132	4763576	4960068	0	4192512	716608	702760	5611644
2025-07-07	266731232	11359072	11249700	11225912	6436968	30894604	125081651	16983968	9821072	15454680	15407272	11099424	29998981	23200245	5269132	10153740	5792428	2878716	8839600	4829764	5873676
2025-07-14	0	253712472	253713464	253713592	253717112	0	4293448011	0	276755656	276755616	0	921876192	0	0	921876152	921876120	921875768	845082776	845082432	845068584	0
2025-07-28	0	0	0	0	0	15787428	2164838731	0	157286400	119469216	0	554874592	0	7602176000	838860800	0	959038616	0	0	0	0
2025-08-04	0	104857600	0	0	52428800	0	0	0	0	0	524288000	0	0	0	0	0	0	629145600	0	0	314572800
2025-08-11	157286400	0	0	253713592	0	2044723200	0	209715200	0	0	0	0	0	0	0	0	0	0	320794432	478066984	0
2025-08-18	0	21945180	0	0	0	0	22731276	5895720	0	9760692	0	0	0	0	4127004	0	0	0	0	19979940	4061496
2025-08-25	0	157286400	104857600	140425584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	273365648	0	0	0	125427112	0	0	0	0	0	0	0	20241972	7130316800	0	817018520	0	0	22141704	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	6604705325	0	0	0	0	0	0	0	582920368
2025-09-15	267128052	270478936	264973672	0	22927800	4286413036	0	0	276755656	0	921868352	921876192	17340800090	13794410997	921876152	0	921875768	845082776	0	844873200	0
2025-09-22	0	253712472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	9151460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	507426496	761137416	507426928	569135720	570911476	401379860	4293448011	496677056	276755656	276755616	0	431542212	0	0	0	258646092	211545840	197563964	0	0	0
2025-11-10	253713248	0	253713464	0	253717112	3997510412	4293448011	276746192	0	0	972506036	935885316	13787450925	13794410997	0	278068716	0	366932120	0	0	845064368
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	13787450925	0	0	0	0	0	0	0	0
2025-12-15	253713248	525308628	253713464	257840596	525055876	4295649664	4299605763	294498860	294508324	290970852	1860572260	930130200	13795966965	13812687729	1843752304	935370768	2352088144	2280698776	845082432	1700356416	853449392
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545259520	0	0
2026-01-12	0	0	517912688	274685112	0	0	0	0	0	0	0	0	0	1582517968	0	0	1854237296	2416407448	20971520	1679651408	0
2026-01-19	117398368	0	0	0	0	2336061676	2689126731	150917072	0	0	550502400	0	0	0	0	0	0	0	0	0	0
2026-01-26	0	138369112	104857600	101670072	0	0	0	0	182383816	224326816	0	617789152	13787450925	8252293120	523417272	507688600	0	0	0	461373440	0
2026-02-02	0	0	0	0	136314880	0	0	0	0	0	0	0	6955978285	0	0	0	0	0	0	0	425633968
2026-02-09	0	0	0	0	0	0	0	0	0	114226336	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	0	154331828	507734128	254327992	521911492	4286413036	8586896022	287665688	557769332	553511232	922175552	930568416	13787450925	13794410997	921876152	921876120	1843751536	1690165552	0	1690137168	845064368
2026-02-23	5297024	4127004	0	0	0	27890072	0	0	582856	0	4258020	0	0	0	0	0	0	4389036	0	5109624	4258020
2026-03-02	0	0	4127004	0	0	0	0	0	0	582816	0	0	25360145	0	0	0	0	0	4716636	0	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	4520052	0	4258020	0	4454544	0	0	0	0	0
2026-03-16	0	253712472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12184488	0	0
2026-03-23	4651068	19857200	10153740	7074864	15787428	0	0	25286088	7140372	0	10808820	17097588	9433152	13232616	7205880	17687160	6157752	0	4127004	0	3078876
2026-03-30	0	0	0	0	53913084	0	0	0	0	0	0	61315488	0	0	0	0	0	0	0	0	0
2026-04-06	0	0	0	0	0	0	4293448011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
