week_start	sub-fly-087/sub-fly-087_ses-20200228161226_behavior+image+ophys.nwb	sub-fly-087/sub-fly-087_ses-20200228161226_behavior+image+ophys/715320fc-831c-4218-a723-32ca9e147cb2_external_file_0.avi	sub-fly-089/sub-fly-089_ses-20200618081653_behavior+image+ophys.nwb	sub-fly-089/sub-fly-089_ses-20200618081653_behavior+image+ophys/5c033c49-ed7c-49c1-841a-10cc13faf1d0_external_file_0.avi	sub-fly-094/sub-fly-094_ses-20200620122048_behavior+image+ophys.nwb	sub-fly-094/sub-fly-094_ses-20200620122048_behavior+image+ophys/a8173d1b-03df-4580-b6d3-9499604280c3_external_file_0.avi	sub-fly-097/sub-fly-097_ses-20200627113329_behavior+image+ophys.nwb	sub-fly-097/sub-fly-097_ses-20200627113329_behavior+image+ophys/2226474c-b04b-4bf0-8e32-b89ba3ee9587_external_file_0.avi	sub-fly-098/sub-fly-098_ses-20200627130208_behavior+image+ophys.nwb	sub-fly-098/sub-fly-098_ses-20200627130208_behavior+image+ophys/0fd93d4a-c7d9-4157-99aa-973815d2a707_external_file_0.avi	sub-fly-099/sub-fly-099_ses-20200627142647_behavior+image+ophys.nwb	sub-fly-099/sub-fly-099_ses-20200627142647_behavior+image+ophys/03a93cbc-f437-4686-b728-e4c231b35634_external_file_0.avi	sub-fly-100/sub-fly-100_ses-20200702083849_behavior+image+ophys.nwb	sub-fly-100/sub-fly-100_ses-20200702083849_behavior+image+ophys/3b40b188-a623-47f6-a5a3-e1d53b46e62a_external_file_0.avi	sub-fly-101/sub-fly-101_ses-20200702100612_behavior+image+ophys.nwb	sub-fly-101/sub-fly-101_ses-20200702100612_behavior+image+ophys/28ff4aa7-25cb-4439-9825-f4087dd31fd6_external_file_0.avi	sub-fly-105/sub-fly-105_ses-20200704142706_behavior+image+ophys.nwb	sub-fly-105/sub-fly-105_ses-20200704142706_behavior+image+ophys/fcc255da-02e5-448f-b491-123282813f0b_external_file_0.avi
2025-03-03	68975371022	230954542	0	0	67208806013	152311342	66914446036	150738478	67210717736	0	0	0	51835271063	221779502	67839866857	209983022	67255903464	155194926
2025-03-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644468055	0
2025-03-31	3236622	6735960	3243873	0	3276413	11387028	0	0	3242536	0	12257808	4127004	0	0	12482685	2150400	10877068	7849596
2025-04-07	0	0	0	0	0	0	434743488	0	0	0	0	0	0	0	0	0	0	0
2025-05-05	81317321156	612540648	217551072	545132658	199856744	631911136	1644349356	285147544	3727217028	580247634	0	546688980	1255976916	377680378	0	0	6747324	155194926
2025-05-12	83533116880	0	0	0	10485760	0	10485760	0	10485760	0	0	0	0	0	10485760	0	0	0
2025-05-19	70344901974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	1861332360	0	0	0	0	0	95473828	192074026	0	0	0	0	0	0	0	0	0	0
2025-07-14	14141337	0	0	0	0	0	0	0	294047000	0	0	0	0	0	0	0	0	0
2025-07-28	0	52428800	840201524	0	20971520	0	0	104857600	0	0	16245984	0	19390368	0	35910727657	0	37539020800	0
2025-08-04	0	8450532	34802552673	66852398	0	0	59071695468	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	34970009600	0	0	0	0	0	0	0	44246903336	190584366	46242201600	0	0	0	0	209715200	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	126096942	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	31525006036	45880878	0	0	33328273704	0	0	0	0	262679644	0	104857600
2025-09-01	560250162	0	0	0	39736114813	0	0	0	0	0	0	0	0	221779502	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	32688492	0	33550202775	0	47657779200	0	3725575744	11005344
2025-09-15	68975371022	0	66626834273	171709998	0	152311342	66914446036	0	67210717736	0	0	0	0	0	67839866857	0	67255903464	0
2025-09-22	0	230954542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	68284394	0	302813449	0	51386115	0	250644320	0	312198120	0	23341660	0	89711875	0	21073155	0	34538572	0
2025-10-13	11490630	0	4114473794	0	14806834	0	25143376	0	226166640	0	11668236	0	78786009	0	19396490	0	4061496	0
2025-10-20	5109934	0	20571966	0	34529181	0	36841748	0	60812044	0	3217704	0	32102381	0	7831617	0	7601668	0
2025-10-27	4192512	0	7370877	0	42445347	0	7861672	0	0	0	7344708	0	50719308	0	11762097	0	7667176	0
2025-11-03	843512906	230954542	61487847	0	70692249	0	62662944	0	46902848	0	52526592	0	31630913	0	45512361	0	38537884	0
2025-11-10	40578816	0	55364076	0	49006062	0	100091032	0	33162936664	0	59528136	0	46494571	0	36377406	0	41614020	0
2025-11-17	139171375004	230954542	133381458020	343419996	27580894	0	34993704	0	67281181196	0	68276026128	0	67694453175	0	25889304	209983022	134538217612	155194926
2025-11-24	38799822836	608709096	44186192869	288532456	13940988663	299884604	95708532987	534506760	64439702248	517895676	30247701960	357051484	29462431030	104499596	47512958090	229359054	22870512	106272198
2025-12-01	31130982	0	23590242	0	28041476	0	26281140	0	39238852	0	40989372	0	18938470	0	28742313	0	19464096	0
2025-12-08	32062776	0	22505679	0	24959561	0	15009620	0	22370652	0	33186108	0	18253965	0	29397393	0	26803732	0
2025-12-15	112255648225	425218830	84128534173	182387802	22749102343	408431226	45491560	161743822	35832436	197397198	32596536	194444186	42695107	460132528	30635223	209983022	53601984	310389852
2025-12-22	68975371022	0	66626834273	78643200	0	0	0	0	67210717736	0	0	89396782	67681351575	0	67839866857	0	67255903464	0
2025-12-29	38367437582	0	0	0	0	0	0	0	0	115343360	68193425704	0	0	0	0	0	0	0
2026-01-05	27108264	0	36145684	0	44618039	0	36565896	0	37306256	0	31752744	0	29557424	0	37258353	0	38073848	0
2026-01-12	138976303940	90397456	28214609509	759725118	10395573681	338232768	28483735696	91442000	58845240088	116567404	1737043176	178525742	1182579284	0	129341464	0	20425725664	127507240
2026-01-19	47820840	230954542	38346469437	0	14872342	0	9437296	0	41429371340	0	11537220	0	18712521	0	15139170	0	38333058208	0
2026-01-26	26021358	126096942	17495544	0	40113201094	0	42400252	103552558	59563844	0	33606561680	0	18319473	131072000	24179274	94371840	27783612	66065966
2026-02-02	14164410	0	3243873	0	12446520	0	33595741736	0	19062608	0	14951448	0	26406487662	0	35522099559	0	17558884	0
2026-02-09	10600248	0	14841243	0	8254008	0	15206144	0	31476484	0	22165140	0	3245975	0	7700601	0	19071048	0
2026-02-16	9898098	98304	17999725	65536	14886868	32768	26952760	0	3549736	32768	16589148	0	16167603	0	8057484	0	11794180	0
2026-02-23	3236622	0	21161538	0	29466622839	0	16381144	0	11005124	0	25665018908	0	16347575	0	8516040	0	11794180	0
2026-03-02	0	0	0	32768	0	32768	0	0	0	0	0	0	0	0	0	0	3474664	0
2026-03-09	0	17026402	13912524	0	0	10017046	1331200	0	135632630984	8385024	0	7205880	0	8575870	0	9695184	0	10153740
2026-03-16	10219248	10410094	24468465	14078542	7273414	6485292	13838764	0	21879232	13882018	10889952	12833890	14942482	8319516	12984228	20170786	12452000	9957216
2026-03-23	4350258	0	720588	0	0	0	0	0	6092244	0	4921376	0	3245975	0	0	0	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048128
2026-04-06	122621342	0	43233148314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
