week_start	sub-009/sub-009_ophys.nwb	sub-011/sub-011_ophys.nwb	sub-012/sub-012_ophys.nwb	sub-014/sub-014_ophys.nwb	sub-CFC16/sub-CFC16_ophys.nwb	sub-CFC17/sub-CFC17_ophys.nwb	sub-CFC19/sub-CFC19_ophys.nwb	sub-CFC4/sub-CFC4_ophys.nwb	sub-NR14/sub-NR14_ophys.nwb	sub-NR21/sub-NR21_ophys.nwb	sub-NR23/sub-NR23_ophys.nwb	sub-NR32/sub-NR32_ophys.nwb	sub-NR34/sub-NR34_ophys.nwb	sub-NR6/sub-NR6_ophys.nwb
2025-07-28	0	0	998591547	0	0	0	0	0	0	0	0	0	0	0
2025-08-04	0	0	0	0	0	0	272073360	1002242280	0	0	0	221953360	315393360	0
2025-08-11	580972881	787353287	0	591414906	405073360	0	0	0	0	0	0	0	0	193962496
2025-08-18	0	0	0	0	0	118073360	0	0	0	301282304	0	0	0	0
2025-09-01	0	0	0	591414906	0	0	0	0	257242304	0	0	221953360	315393360	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	448962304	0	0	0
2025-09-29	0	0	0	0	0	0	0	0	0	0	0	8228996	0	0
2025-10-06	0	0	0	0	0	0	0	0	0	0	0	24138812	0	0
2025-11-24	9695184	21486624	29216568	26203200	29609616	33671112	32491968	37405068	29871648	34195176	40942500	33409080	26203200	31902396
2025-12-15	1176095490	1594489990	2010481218	1193769648	820955540	249182812	831024888	2019616908	528372304	615797224	915808292	460218212	644936448	396113492
2025-12-22	0	0	0	0	0	118073360	0	0	0	301282304	0	0	0	193962496
2025-12-29	0	787353287	0	0	0	0	0	1002242280	0	0	0	0	0	0
2026-01-05	0	0	0	0	405073360	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	1400074848	0	0	816220080	0	771726912	0	0	0	946180080	483857376
2026-01-19	2038146871	2311303214	0	0	0	354220080	0	3006726840	0	903846912	0	0	0	0
2026-01-26	0	0	998591547	591414906	0	0	0	0	257242304	0	448962304	0	0	0
2026-02-02	580972881	787353287	998591547	591414906	405073360	118073360	272073360	1002242280	257242304	301282304	448962304	443906720	630786720	193962496
2026-02-16	0	0	0	0	16971060	23390844	24438972	16184964	17560632	32168916	16578012	19787904	19132824	18150204
2026-02-23	18195372	27063467	21798312	18653928	17940916	17224816	17028292	24079064	13425352	13097812	22195172	18993532	18290856	17782328
2026-03-02	24368976	0	4990183	6086130	0	0	0	0	4550108	0	0	4888088	0	0
2026-03-09	840635090	1000835695	1225765127	805093838	519675524	240231656	499399344	1226926556	482712676	528035384	667161288	324633068	540732716	416878056
2026-03-16	580972881	807398735	998591547	591414906	418633516	252654736	301486452	1026152700	257242304	317593796	448962304	226211380	315393360	215121580
2026-03-23	0	0	18439174	0	0	0	0	6699140	0	0	0	2628596	4397312	4528328
2026-03-30	4799085	1596707	9125463	1520910	4581072	4542764	4737964	5515472	4681124	54147664	4577308	4720180	4537964	4553500
2026-04-06	0	0	0	0	0	0	0	0	0	0	0	4499712	50965224	0
2026-04-13	0	0	0	0	0	0	0	0	0	0	0	43366296	0	0
2026-04-20	0	31312824	0	0	21421116	32033412	28954536	24041436	0	16049460	0	0	0	30592236
2026-04-27	1161945762	1574706574	1997183094	1182829812	810146720	236146720	544146720	2004484560	514484608	602564608	897924608	443906720	630786720	387924992
2026-05-04	0	0	0	0	0	7032068	5982616	4692484	6187808	4558108	0	0	0	0
2026-05-11	0	0	0	0	1436688	118073360	0	0	0	4689124	0	0	0	0
