week_start	sub-Jenkins/sub-Jenkins_ses-20090912_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090916_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090918_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090923_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090812_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090819_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090910_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090920_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090922_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20100923_behavior+ecephys.nwb
2023-11-20	4481616696	7931547764	15967131689	3773669430	26689788115	13108643848	7370604209	9775713708	8899729960	0
2023-11-27	5417737448	3965773882	4488374539	0	7375599469	0	6603818681	5989441241	0	0
2023-12-04	2901361864	159443002	4541272598	3908780140	7442624218	6743787528	404524402	154115801	56331540	0
2023-12-11	2709102544	121129160	5907349827	3773669430	10298046277	6619557736	4456644860	0	6255617596	0
2023-12-18	21170116	58773604	0	0	0	55015756	0	0	0	0
2023-12-25	1642467764	4013609450	0	3817496414	6074780829	6494021808	5404818269	24289224	4449864980	0
2024-01-01	0	3965773882	0	3773669430	7375599469	0	6603818681	0	4449864980	0
2024-01-08	5775255928	321865400	4804598999	4217643762	14768784570	6962458040	13525784722	11987377074	4648689868	0
2024-01-15	5442805200	4082390290	9206081278	8200627088	7375599469	6554321924	6661285173	5989441241	0	0
2024-01-22	739827668	11016424	5043664	4120630	2215397	13352232	16371131	14002804	6494760	0
2024-02-05	28809712	0	4488374539	0	7375599469	0	0	0	0	0
2024-02-12	2206732832	3146310416	0	3426589658	1632034440	2844398776	17121067110	6754622149	4474552388	0
2024-02-19	5417688352	8166361432	11013398894	3773669430	12355119810	15082785804	7503521401	12804877685	8358687876	0
2024-02-26	2017033808	4890304892	25550140	3365397800	3885994672	4365445864	1981993616	25351048	22099212	0
2024-03-04	14781113546	3965773882	4527064751	235326744	25373508084	5818788112	26251448826	597205496	6751077372	0
2024-03-11	434045208	246511422	134770863	485583220	406504373	78840748	810366980	162438869	14534032	0
2024-03-18	6142646988	7986125652	9248848502	4127435520	31042758	6647770552	6654508709	22985006	4509145664	0
2024-03-25	104497276	246447962	107072384	98515050	11307265	43585368	87102662	14627062	8684772	0
2024-04-01	0	16228026	9077447	42617312	219546857	15192096	8644281	2787288	2018580	0
2024-04-08	189659632	292934768	0	0	0	0	269794135	0	1456180868	0
2024-04-15	46720464	243052198	5233196990	90141650	357982208	170140712	6821407893	833686625	4585661568	0
2024-04-22	7761305508	4148385832	4488374539	4542887348	7941937497	6618298932	6821894219	6039624961	170012460	0
2024-04-29	138603156	14449337	135784403	560635587	0	240493732	334190371	25218072	1047425388	0
2024-05-06	0	278734972	0	890154322	574748146	178915556	1121346037	95905529	170817932	0
2024-05-13	387722544	1092140858	55794659	0	0	0	30863356	36303672	41809320	0
2024-05-20	2708844176	4120127762	4432044362	4941797602	7565471156	6704360568	7120610909	3711626724	4449864980	0
2024-05-27	7108466492	11184827048	6140796595	11675910780	7447144081	12010145144	13014916097	10678950453	12246174816	0
2024-06-03	3897292484	4212197074	227327534	3773669430	0	391298712	6759134796	11997132582	4449864980	0
2024-06-10	4664187392	194092214	0	648408502	0	0	0	62429029	0	0
2024-06-17	15605686921	904729623	692525348	490885302	8529087979	700164105	526109736	423058800	388072180	0
2024-06-24	39019233	0	0	0	0	0	0	0	0	0
2024-07-01	66751076	0	0	0	0	0	0	0	0	0
2024-07-08	3870997436	11963511919	18317145779	11524011276	14775631043	13173268680	13239943754	12024104859	8934183324	0
2024-07-15	42207504	0	4498262775	3785349494	7401968809	6554321924	8892776	0	25749232	0
2024-07-22	16635994692	11927318174	4642667819	11517958586	22160245863	13124239388	19854858099	11978882482	8961581208	6717868043
2024-07-29	32651088	0	0	0	0	0	0	0	0	0
2024-08-05	3025076928	0	0	0	7375599469	0	0	7764588	0	962008721
2024-08-19	201577188	0	0	0	0	0	0	0	0	0
2024-08-26	162397108	16989184	7366404	11348244	18648284	7100948	10020964	22165576	4446388	0
2024-09-02	6044696436	10760581930	4488374539	552997364	7907743677	6554321924	11613369451	5989441241	4449864980	7430448335
2024-09-09	289908836	4519080336	3550527063	3288713674	1230535846	107023372	0	10485760	0	0
2024-09-16	978389904	4555871600	9039898524	156379468	141413179	306202360	411358251	170868146	60777928	106144975
2024-09-23	2251125888	1911791848	2683074114	2241970500	2862191905	3377427816	3607618412	2648628363	1996079460	803354635
2024-09-30	529199244	14533716	0	224239670	11879156	9423688	13803712	0	2190012	1539086164
2024-10-07	254550520	977882488	3011938919	2249950656	203450240	2962808996	163882436	1073716953	2572687716	0
2024-10-14	5485934248	8297249293	22441872695	7579724492	22204326419	6673526528	19903454907	17968323723	8899729960	14860896670
2024-10-21	677331664	3966371234	5077317694	4109846617	7796551614	6838159368	7582027122	6002050401	4981328400	12970584
2024-10-28	2708844176	3965773882	0	0	0	6554321924	6603818681	0	4449864980	0
2024-11-04	0	0	0	0	55745760	0	0	0	0	0
2024-11-11	0	0	0	0	9821872	0	0	4114568	0	4192512
2024-11-18	3214324120	4624833460	4537815719	96466512	7501238206	7143429136	6651268941	6759457374	9451506664	6931090491
