week_start	sub-YMV01/sub-YMV01_ses-YMV01-170818_ecephys.nwb	sub-YMV02/sub-YMV02_ses-YMV02-170815_ecephys.nwb	sub-YMV03/sub-YMV03_ses-YMV03-170818_ecephys.nwb	sub-YMV04/sub-YMV04_ses-YMV04-170907_ecephys.nwb	sub-YMV05/sub-YMV05_ses-YMV05-170912_ecephys.nwb	sub-YMV06/sub-YMV06_ses-YMV06-170913_ecephys.nwb	sub-YMV07/sub-YMV07_ses-YMV07-170914_ecephys.nwb	sub-YMV08/sub-YMV08_ses-YMV08-170922_ecephys.nwb	sub-YMV09/sub-YMV09_ses-YMV09-171204_ecephys.nwb	sub-YMV10/sub-YMV10_ses-YMV10-171213_ecephys.nwb	sub-YMV11/sub-YMV11_ses-YMV11-171208_ecephys.nwb	sub-YMV12/sub-YMV12_ses-YMV12-171211_ecephys.nwb	sub-YMV13/sub-YMV13_ses-YMV13-180127_ecephys.nwb	sub-YMV14/sub-YMV14_ses-YMV14-180128_ecephys.nwb	sub-YMV15/sub-YMV15_ses-YMV15-180205_ecephys.nwb	sub-YMV16/sub-YMV16_ses-YMV16-180206_ecephys.nwb	sub-YMV17/sub-YMV17_ses-YMV17-180207_ecephys.nwb	sub-YMV18/sub-YMV18_ses-YMV18-180208_ecephys.nwb	sub-YMV19/sub-YMV19_ses-YMV19-180209_ecephys.nwb
2024-09-23	212864459	267878516	234076295	207102935	324776491	290845549	495536505	261468780	450545752	292820361	372586680	315189884	430650308	369762563	352846855	369288494	378358125	457774102	363620616
2024-09-30	32656157	0	42427265	0	59878333	52784107	0	0	0	53066223	0	116974126	0	75292709	0	0	0	0	0
2024-10-07	99295404	0	0	101352688	0	0	0	0	0	0	12808252	0	0	0	0	0	0	100091772	0
2024-10-14	0	0	0	0	0	0	0	0	0	0	0	9888236	0	0	0	0	0	0	0
2024-10-21	41548933	66668434	54107329	56910143	66249277	62871435	153168457	79224664	94314852	65409927	83954520	72230922	89251318	87570049	110454879	91102597	102934601	136234573	88078504
2024-10-28	0	4114568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	12882501	36754334	63803274	52511600	41128289	75152638	243396230	53655812	131873748	38006067	130458756	73334956	127683008	128485586	169665822	0	0	0	0
2024-11-25	0	0	0	0	0	0	0	32831828092	0	0	0	0	0	0	0	10153692	0	0	0
2024-12-23	21138152	68816176	0	0	0	0	60558400	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-30	0	57158668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-06	0	6376673382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-13	0	52977736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	0	0	0	0	207789232	0	0	0	0	0	39383152	0	0	0	20518672	20771932	0	0	0
2025-02-03	0	0	0	22167032	264025271	0	115737292	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	491592228	15820734	19543419	36947498	25410518	26190159	33021562	22243120	31545824	23902991	18990308	28684140	27227974	18853546	25490253	33433646	31280158	28494115	25630052
2025-02-17	0	8376020	0	0	81929678	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	24144	61856	94880	41960	27808	11904	328176	114288	537184	11904	195200	0	271512	9632	276848	11904	219320	235816	233000
2025-03-10	0	0	0	0	209907835	0	852453	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-17	0	0	0	0	108911451	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	76630520	59980299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-07	79078128	94798924	5243344	36703472	145633948	120515784	68587780	57765456	146351240	21233240	106717176	84318008	95325660	118758772	42529428	118033604	139352784	150464592	125706172
2025-04-21	15410023197	15447354046	0	20292568875	30662568893	30487702507	70303367653	32831828092	0	40528099823	0	0	47757516278	0	0	0	59976624201	3087538656	50245450796
2025-05-12	0	10485760	0	10485760	10485760	0	10485760	10485760	10485760	10485760	0	0	0	10485760	10485760	10485760	0	10485760	0
2025-06-23	15459995289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-30	48812182	0	0	0	0	0	41472216	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-07	0	0	0	0	30761317697	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	36967897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-21	149201132	0	0	0	23995405	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	30145141145	0	49856135653	0	0	0	46871415640	32117361124	0	0	0	0	0	44285133657	64043315596
2025-08-04	24144	0	0	0	0	20499660800	0	0	0	0	0	0	0	28009357349	0	59895531205	0	0	0
2025-08-11	10905190400	10447476092	11429478400	13998489600	0	0	0	24705004784	35205882212	0	0	0	0	0	34183577600	0	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	25166461423	0	0	0	0	0	0	90173690002	0	0
2025-08-25	352452280	0	0	50768460	0	0	0	0	0	0	0	0	0	0	29989273600	0	0	0	0
2025-09-08	0	0	0	0	20753525693	0	0	0	0	0	0	0	32815308278	0	0	0	0	0	0
