week_start	sub-1047717119/sub-1047717119_ses-1053917650_icephys.nwb	sub-1047717119/sub-1047717119_ses-1053917889_icephys.nwb	sub-1089230952/sub-1089230952_ses-1089231177_icephys.nwb	sub-1089230952/sub-1089230952_ses-1089232011_icephys.nwb	sub-1089233462/sub-1089233462_ses-1089235110_icephys.nwb	sub-1089233462/sub-1089233462_ses-1089235664_icephys.nwb	sub-681539651/sub-681539651_ses-PLACEHOLDER_obj-taag8t_icephys.nwb	sub-681539651/sub-681539651_ses-PLACEHOLDER_obj-v5bwie_icephys.nwb	sub-681561759/sub-681561759_ses-PLACEHOLDER_icephys.nwb	sub-701201569/sub-701201569_ses-PLACEHOLDER_icephys.nwb	sub-791205802/sub-791205802_ses-PLACEHOLDER_obj-10r9ed6_icephys.nwb	sub-791205802/sub-791205802_ses-PLACEHOLDER_obj-g7j7bb_icephys.nwb	sub-791205802/sub-791205802_ses-PLACEHOLDER_obj-xdlohj_icephys.nwb	sub-825455761/sub-825455761_ses-PLACEHOLDER_icephys.nwb	sub-847868497/sub-847868497_ses-847870147_icephys.nwb	sub-847868497/sub-847868497_ses-847870440_icephys.nwb	sub-847868497/sub-847868497_ses-847870571_icephys.nwb	sub-859638045/sub-859638045_ses-872843906_icephys.nwb	sub-893495139/sub-893495139_ses-901315954_icephys.nwb	sub-971847052/sub-971847052_ses-971847307_icephys.nwb	sub-971847052/sub-971847052_ses-971847789_icephys.nwb
2024-03-11	212640712	228463998	178829634	216983036	141357190	104202115	189879316	206892896	195476910	182155821	185099300	178421272	184833900	184985297	239539530	220279234	227320832	286297840	217200824	269519602	270013301
2024-03-18	252336512	208381186	184112698	212322504	99966362	87868893	151779136	147840916	140959336	124685774	153176744	127262555	138501320	132595342	326451570	320179966	338693276	300192684	312512412	323445338	226658703
2024-03-25	179305800	141674988	129429640	145063740	74028784	58628160	95887368	92900544	104617440	89744824	109717424	100049184	96209836	96921060	219393692	214954600	232855780	196869608	205540356	199475936	158291080
2024-04-01	55691020	42986002	39580573	43780096	21239242	24218645	25422344	26700004	32329714	26367911	30384648	28515955	28393764	27908039	73228698	71784828	75494892	64409144	69577816	69420127	47199151
2024-04-15	57284252	43313542	38794477	43583572	21239242	17536829	29876888	21983428	25320358	23747591	30188124	25895635	27280128	27514991	116155338	80747772	76084464	62768356	69577816	68699539	47461183
2024-06-17	0	0	0	20700528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20700528	0
2024-07-08	129931472	111926829	99650794	104775052	22828462	17561405	32940808	32434124	33764238	32417423	33853848	33963523	33496512	28956587	126792650	90462280	83154104	70712804	69277912	72639555	51892534
2024-07-15	0	0	0	0	15020083	0	0	0	32194622	0	0	0	0	0	0	0	0	100648960	0	0	0
2024-07-29	6485292	12577536	12512028	11594916	10088232	10088232	2161764	10088232	10088232	12053472	11660424	46741055	8843580	12381012	10415772	4782084	10088232	12315504	8057484	10022724	12381012
2024-08-05	71389636	0	0	0	0	27458265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	83574124	23975928	30854268	15459888	8974596	21748656	18538764	15066840	55187930	49910523	18997320	20569512	20438496	25482612	20504004	21552132	9105612	158979352	17228604	33998652	16704540
2024-09-02	0	80657715	0	0	0	0	0	0	140001590	38627614	0	0	63909024	0	0	0	298439332	773128392	0	0	0
2024-09-09	185154652	0	72870571	0	49594572	0	0	166173920	0	29799567	0	116751095	0	0	0	19979940	167792844	0	0	282557284	0
2024-09-16	58738360	43313626	39862917	46693048	23418034	17561405	34054444	32892680	33567714	30452183	33788340	32587855	31662288	29677175	127251206	89741692	82499024	70254248	69867484	73687683	51302962
2024-09-23	223798584	187097601	156756651	174442536	45060249	66646155	102959340	97704660	96583866	89398701	103536192	101507937	95863536	99067689	429734706	402919302	435179724	382803060	380253570	371870877	196987701
2024-09-30	71389636	59767383	52252217	58147512	15020083	22215385	34319780	32568220	32194622	29799567	34512064	33835979	31954512	33022563	143244902	132952602	145059908	127601020	126751190	123956959	65662567
2024-10-14	0	0	0	0	0	0	0	0	0	9891708	0	0	0	0	0	0	0	15459888	0	0	12381012
2024-10-21	71389636	59767383	52252217	58147512	15020083	22215385	34319780	32568220	32194622	29799567	34512064	33835979	31954512	33022563	143244902	132952602	145059908	127601020	126751190	123956959	65662567
2024-11-04	10219248	6092244	10219248	8122992	8385024	7271388	6616308	4520052	7860960	10219248	6616308	4389036	7860960	6681816	10088232	7729944	7860960	8385024	8188500	9695184	8778072
2024-12-02	71389636	0	0	0	0	0	4127004	0	32194622	0	0	0	31954512	0	0	0	145059908	127601020	0	0	0
2025-07-28	71389636	0	0	58147512	15020083	27458265	0	0	0	29799567	34512064	0	0	0	232373862	0	0	127601020	135856802	123956959	0
2025-08-04	0	65010263	57495097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	0	0	0	0	13155530	0	0	0	32194622	0	0	33835979	31954512	33022563	0	0	145059908	0	0	0	65662567
2025-08-18	0	0	14477268	22010688	9564168	0	0	0	21093576	4127004	0	0	0	0	4127004	161523050	0	4127004	0	0	22010688
2025-08-25	0	0	0	0	15020083	0	0	0	0	0	0	33835979	0	0	0	0	0	0	0	123956959	0
2025-09-01	0	0	0	58147512	0	35177796	34319780	32568220	0	0	34512064	0	0	0	0	0	31378332	0	0	0	65662567
2025-09-22	0	0	0	157927724	0	0	0	0	0	231945378	356012552	322372686	0	0	0	0	0	0	0	0	175447246
2025-09-29	0	0	0	0	0	0	0	0	0	36869010	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	229589256	158291158	135279645	125529880	60614096	58478492	202716672	188997928	196069872	197831714	205597508	186131412	164408352	185981860	173972972	177287172	139338912	79926876	79362308	83897752	70519540
2025-10-13	155020160	124680788	115547420	125595388	60679604	57102824	404385216	375179012	398821560	258791664	410277904	372000792	331895580	373339388	174103988	179776476	177924072	148376188	158200552	167861012	140121968
2025-10-20	39279104	31645130	28788593	31415224	13155530	14586869	101751384	93843884	97903920	65549520	103028032	92246856	81745620	93351224	43476866	45058758	45299868	37175932	39713908	41981630	35390786
2025-10-27	271874852	223677674	203092343	219972076	107417582	101977067	712063164	650749436	688799364	453933540	717200236	649461948	574708644	653458568	305779238	309777618	315068328	260297032	277342276	294985046	245901278
2025-11-03	544732324	444800536	405922654	440533724	209398000	202250926	428938704	400359568	415010778	275752239	432825020	395668455	349433256	395972983	610313824	627088656	628629972	521642192	553308884	588070360	493047208
2025-11-10	464601924	383410008	348279960	374951940	179680524	170260344	297131160	280352508	298035288	192063000	306201744	277788696	248643276	277957416	523818648	538543332	540585048	447945408	477352992	504107100	420889968
2025-11-17	272071376	223022594	202830311	220758172	100408226	98767175	172005432	159428336	169399374	113352369	178792372	161284605	143791800	164265377	304796618	313577082	314413248	260755588	277473292	294264458	245311706
2025-11-24	272071376	222498530	203485391	219579028	105255818	99225731	176394468	164079404	171757662	112304241	178726864	162005193	144315864	162758693	305255174	313970130	314937312	260166016	276949228	293936918	245180690
2025-12-01	272726456	224529278	203354375	220037584	106565978	101715035	175739388	163817372	170119962	113090337	180102532	161415621	143857308	162758693	304731110	314952750	314609772	260559064	272822224	294264458	246097802
2025-12-08	233185320	189936288	173124606	188556852	91052160	85818006	154854348	140274516	146724864	97243398	153493920	138403038	124092360	139601034	261581784	269828484	269833968	224955324	237300828	251824272	209069316
2025-12-15	537507352	397462310	357221394	378491144	169086534	181765222	285505960	264222600	273691732	203472234	288050776	263564062	240370848	264014950	825598744	679061620	663917152	689119604	586083960	594117222	423884574
2025-12-22	0	0	0	0	0	0	0	0	32194622	0	0	0	31954512	0	0	0	145059908	0	0	0	0
2025-12-29	41833916	31710638	28854101	31611748	15120770	14717885	25667124	23280824	24901782	45908538	25429468	23012583	20551044	23681723	43673390	44796726	44841312	37110424	166792638	41916122	35063246
2026-01-05	311415988	318760875	231487888	251583824	122276320	146511505	204157848	187884292	195611316	129985404	204156332	185672856	163622256	219659503	349190596	359290920	358992528	298259060	317776772	339586996	284305432
2026-01-12	214168908	0	0	0	0	0	0	0	96583866	0	0	0	95863536	0	0	153924122	435179724	382803060	0	0	0
2026-01-19	155740748	126973568	115743944	126119452	59238428	58675016	204972756	93909392	98231460	155210253	101848888	92377872	82073160	93940796	406412342	179776476	179954820	148703728	158135044	169040156	140121968
2026-01-26	234102432	190394844	231143767	248997144	107644435	89158914	187732952	172908244	146921388	97636446	187678444	138665070	127760808	140976702	262302372	269631960	269571936	222793560	241886388	376894867	275911027
2026-02-02	155544224	126908060	115874960	124350736	60745112	59592128	102209940	94171424	95873172	64697916	101652364	126999947	82662732	93744272	174235004	180759096	179823804	148441696	155842264	167729996	140252984
2026-02-09	156264812	126973568	115743944	126381484	60679604	59592128	101554860	93450836	98362476	65877060	102241936	92377872	82269684	93416732	174169496	179841984	179365248	149031268	158724616	168516092	140187476
2026-02-16	93691824	76417830	57773710	75503836	31289668	29173738	68496500	46889188	49607040	45879044	66556728	60716210	55230836	46970398	87019240	89658960	89879148	74286356	91474372	83897752	85033078
2026-02-23	191285896	128152712	116005976	125726404	76193422	59068064	127221984	126019056	98886540	64239360	127933436	92377872	103213776	93154700	174824576	176173536	227219928	186338216	197586920	168450584	140384000
2026-03-02	0	31645130	29116133	31808272	0	14914409	25536108	23346332	48624420	16108971	0	23340123	0	21126911	0	45189774	0	0	0	84618340	35456294
2026-03-09	0	0	0	0	0	0	0	0	0	0	9957216	0	0	0	43280342	0	0	0	0	0	0
