week_start	sub-CS41/sub-CS41_ses-P41CSR1_behavior+ecephys.nwb	sub-CS41/sub-CS41_ses-P41CSR2_behavior+ecephys.nwb	sub-CS42/sub-CS42_ses-P42CSR1_behavior+ecephys.nwb	sub-CS42/sub-CS42_ses-P42CSR2_behavior+ecephys.nwb	sub-CS43/sub-CS43_ses-P43CSR1_behavior+ecephys.nwb	sub-CS43/sub-CS43_ses-P43CSR2_behavior+ecephys.nwb	sub-CS44/sub-CS44_ses-P44CSR1_behavior+ecephys.nwb	sub-CS47/sub-CS47_ses-P47CSR1_behavior+ecephys.nwb	sub-CS47/sub-CS47_ses-P47CSR2_behavior+ecephys.nwb	sub-CS48/sub-CS48_ses-P48CSR1_behavior+ecephys.nwb	sub-CS48/sub-CS48_ses-P48CSR2_behavior+ecephys.nwb	sub-CS49/sub-CS49_ses-P49CSR1_behavior+ecephys.nwb	sub-CS49/sub-CS49_ses-P49CSR2_behavior+ecephys.nwb	sub-CS51/sub-CS51_ses-P51CSR1_behavior+ecephys.nwb	sub-CS51/sub-CS51_ses-P51CSR2_behavior+ecephys.nwb	sub-CS53/sub-CS53_ses-P53CSR1_behavior+ecephys.nwb	sub-CS53/sub-CS53_ses-P53CSR2_behavior+ecephys.nwb	sub-CS54/sub-CS54_ses-P54CSR1_behavior+ecephys.nwb	sub-CS54/sub-CS54_ses-P54CSR2_behavior+ecephys.nwb	sub-CS55/sub-CS55_ses-P55CSR1_behavior+ecephys.nwb	sub-CS55/sub-CS55_ses-P55CSR2_behavior+ecephys.nwb	sub-CS56/sub-CS56_ses-P56CSR1_behavior+ecephys.nwb	sub-CS56/sub-CS56_ses-P56CSR2_behavior+ecephys.nwb	sub-CS57/sub-CS57_ses-P57CSR1_behavior+ecephys.nwb	sub-CS57/sub-CS57_ses-P57CSR2_behavior+ecephys.nwb	sub-CS58/sub-CS58_ses-P58CSR1_behavior+ecephys.nwb	sub-CS60/sub-CS60_ses-P60CSR1_behavior+ecephys.nwb	sub-CS62/sub-CS62_ses-P62CSR1_behavior+ecephys.nwb	sub-CS62/sub-CS62_ses-P62CSR2_behavior+ecephys.nwb
2024-08-26	0	22010688	17490636	55435064	12053472	15918444	23975928	0	33343572	12249996	24696516	24565500	35046780	0	21355608	23582880	17752668	1158602323	24041436	0	22665768	1159681130	12249996	30657744	0	0	0	27447852	21224592
2024-09-02	953558359	803882951	913018422	0	1016236528	642034848	994457952	0	0	0	988293480	1257984064	946447895	1244681559	0	1033846161	0	2512083815	1127644867	924729036	811170897	2289163072	2126582245	910108268	935356986	815928563	913830001	0	492201332
2024-09-09	42449184	42263214	61155452	705563384	0	0	140455656	0	503316480	0	732022800	0	0	0	0	0	0	0	0	0	578763049	12446520	0	0	29468904	727045955	0	0	366372212
2024-09-16	1364569310	2086100153	2636828154	1942497468	2407290940	1594077104	2045123312	2006304860	1594127349	1516056824	1141970100	2035837536	1863116225	2479030645	3488688032	2019386246	2232109829	2382683974	414963999	1126410248	2253276752	1115273940	2413696049	1088842884	972648544	940036262	955876386	1133548876	475509492
2024-09-23	1858640798	2524089253	2739055266	1788614128	2032473056	2504770356	994457952	2783453214	2714026883	1990977128	2018272968	1294377088	2759244973	2517696517	2486670024	1066302242	1797464013	2303204165	1170013574	33439436	841152674	1139766698	2374557774	910108268	1870713972	1631857126	913830001	0	492201332
2024-09-30	489741988	72427015	4127004	0	1016236528	834923452	39821748	927817738	897685121	1013020690	0	0	946447895	1253197599	1227348888	1033846161	882270191	9367644	1127644867	935996752	811170897	1139766698	1187278887	910108268	0	0	913830001	548202540	492201332
2024-10-07	2959109389	2490057333	2782487070	3610375304	3080340820	1696901708	5005829856	3766497168	3590740484	3071334654	2981650488	3872239280	2839343685	4578721353	2498118828	3265824383	2080600154	2367674478	4510579468	3698916144	2433512691	3419300094	4763582064	2730324804	935356986	4079642815	3686415880	2192810160	508243624
2024-10-14	2299812686	1607765902	2739055266	2682921192	4064946112	2504770356	1988915904	3207199974	1236439333	3039062070	2272601284	1257984064	1981425770	1244681559	4909395552	2067692322	882270191	2270104394	1127644867	1849458072	1622341794	0	2374557774	910108268	935356986	1631857126	2741490003	548202540	492201332
2024-10-21	2572236604	1392432981	962992840	1196690960	1046811616	1725661364	1940040736	2833739376	1827980163	50092766	2005433400	2552361152	28943895	5007059635	2486670024	3133994564	1797464013	2303204165	3425303308	3732355580	3274665365	4603071570	2863561008	3669737500	2834409704	3293210815	3478555328	1763732612	1656806760
2024-10-28	4636890561	811743959	945233004	894307064	1022721820	841539760	1997370632	927817738	897685121	1023043414	988293480	1273705984	1900298194	1254966315	1227348888	1041707121	890458691	0	1127644867	924729036	811170897	1147824182	1195467387	910108268	7860960	54277628	8736428	1102562832	492201332
2024-11-04	104702308	0	204800	55550784	75297364	234932196	212266428	590063408	0	1722103970	0	0	249409464	0	0	99600832	0	143192324	1049671716	1155999412	696280548	1321084678	421191948	900911212	277213528	60398376	292083844	772901388	111261256
2024-11-11	0	0	0	5830212	0	4061496	0	0	8188500	13953204	4127004	0	0	28333399	0	0	4127004	0	0	0	4258020	3438362922	0	0	0	0	7860960	8647056	0
2024-11-18	970794764	840466718	1830163848	900530324	2037815860	12307704	1996023168	959287536	905520698	4716576	809416700	1529119612	616993803	762362966	359111136	1054350165	20372988	1132988695	20176464	944643468	25548120	1160532734	20176464	930022700	19390368	19586892	376552328	20094656	19390368
2024-11-25	3717281596	1703305238	3656200692	1788614128	2032473056	2513089872	2983373856	1855635476	2693055363	3071664200	4786517712	2163619264	2839343685	3762378076	4941367800	2805402598	2646810573	2418069394	3382934601	2701406136	2433512691	2279533396	2374557774	3640433072	2806070958	3263714252	913830001	1644607620	1476603996
2024-12-02	965818655	0	913018422	894307064	1016236528	834923452	994457952	927817738	0	1013020690	988293480	1257984064	946447895	1244681559	1227348888	1033846161	0	1132988695	1127644867	924729036	811170897	1139766698	1187278887	0	935356986	815928563	1888469444	548202540	0
2024-12-09	1858640798	1607765902	913018422	1788614128	1016236528	1669846904	1988915904	2783453214	897685121	1013020690	988293480	2515968128	1892895790	1244681559	1227348888	2067692322	0	2265977390	1127644867	924729036	811170897	1139766698	983217932	1820216536	0	815928563	966419212	490004020	32033412
2024-12-16	0	1511525055	1846599188	1788614128	1037926844	1522454600	0	0	1795370242	2026041380	1064690144	1651941504	946447895	1459434834	2454697776	2388703327	1078883878	1084355638	2127632847	1450000444	2001776474	2583801728	2392244934	1954587780	1976403464	1651181986	931517161	1113830208	492201332
2024-12-30	950151943	803882951	0	894307064	1016236528	834923452	0	927817738	897685121	1013020690	988293480	1257984064	946447895	1244681559	0	1033846161	882270191	1132988695	0	924729036	811170897	1139766698	1187278887	910108268	1870713972	825558239	913830001	1096405080	0
2025-01-06	942421999	1607765902	1827129884	894307064	1022590804	834923452	994457952	1856154932	897685121	2026041380	1976586960	2515968128	946447895	1244681559	1227348888	2067692322	882270191	1134583503	2255289734	1849458072	1622341794	1139766698	2374557774	910108268	935356986	1631857126	1827660002	1096405080	492201332
2025-01-13	0	853617419	0	0	0	0	530624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	2626578934	2856070149	1826036844	1788614128	1016236528	1669846904	1988915904	1855635476	1795370242	2026041380	0	1221716232	0	2489363118	2455030512	2067692322	0	1132988695	0	188851400	811170897	1139766698	1205162571	0	952847622	837415187	940688281	548202540	492201332
2025-01-27	0	803882951	913018422	894307064	1016236528	1669846904	0	927817738	897685121	1013020690	1976586960	2515968128	946447895	1244681559	0	1033846161	882270191	1132988695	2255289734	0	811170897	1139766698	0	910108268	935356986	815928563	0	548202540	492201332
2025-02-03	0	34451732	0	0	0	0	0	0	0	0	0	0	0	0	27232	0	0	0	566248	0	0	0	0	0	0	0	0	0	506904
2025-02-10	929320399	813643643	0	894307064	1016236528	0	994457952	927817738	897685121	1013020690	988293480	1257984064	0	1244681559	1227348888	0	882270191	1132988695	1127644867	924729036	811170897	0	1187278887	0	935356986	815928563	0	548202540	492201332
2025-02-17	972490171	0	913018422	0	1016236528	0	994457952	927817738	897685121	0	988293480	1274230096	946447895	1244681559	1227348888	1033846161	882270191	65990892	1127644867	924729036	811170897	1231628470	1187278887	910108268	365284952	815928563	913830001	0	0
2025-03-03	1891722338	0	1189679214	387361148	126066064	225302520	994457952	927817738	0	1013020690	0	1257984064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26399724	0	0
2025-03-10	4651068	0	0	0	0	4061496	0	0	0	0	0	0	0	0	0	1034358161	0	0	0	0	0	0	0	910108268	0	815928563	0	0	0
2025-03-17	3314256649	803882951	913018422	1788614128	1016236528	834923452	994457952	0	897685121	1013020690	0	1257984064	0	1244681559	1227348888	0	882270191	0	1127644867	924729036	0	1139766698	0	910108268	935356986	0	913830001	548202540	492201332
2025-03-24	1858640798	1607765902	2739055266	1788614128	2032473056	2504770356	0	1855635476	2693055363	3039062070	1976586960	1257984064	2839343685	1244681559	0	3101538483	1764540382	2265977390	2255289734	924729036	1622341794	3419300094	2374557774	910108268	2806070958	1631857126	1827660002	1644607620	1476603996
2025-03-31	929320399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-07	943339111	2411648853	2739055266	1788614128	2032473056	3339693808	1988915904	2783453214	1795370242	2026041380	1976586960	3773952192	2839343685	3734044677	3682046664	2067692322	2646810573	3398966085	4510579468	2774187108	1622341794	2279533396	2374557774	2730324804	2806070958	2447785689	2741490003	1644607620	1476603996
2025-04-21	929320407	2411648853	913018422	2682921192	3048709584	2504770356	2983373856	1855635476	2693055363	3039062070	1976586960	2515968128	1892895790	3734044677	2454697776	2067692322	2646810573	2265977390	3382934601	924729036	2433512691	1139766698	1187278887	1820216536	935356986	2447785689	913830001	548202540	492201332
2025-04-28	1858640798	3215531804	2739055266	3577228256	4064946112	1669846904	3340310620	2783453214	1795370242	2026041380	2964880440	2515968128	2202535778	1247849134	3682046664	4135384644	2646810573	4531954780	4510579468	924729036	4055854485	3419300094	3561836661	2730324804	2806070958	2447785689	3655320004	1644607620	1968805328
2025-05-05	1549022095	1400890207	913018422	0	1016236528	0	994457952	0	897685121	0	988293480	1257984064	946447895	1244681559	1227348888	0	882270191	1132988695	0	924729036	811170897	0	0	910108268	935356986	815928563	913830001	0	492201332
2025-05-12	929320399	0	913018422	894307064	1016236528	834923452	0	927817738	897685121	1013020690	988293480	0	0	1244681559	0	1033846161	882270191	1132988695	1127644867	924729036	811170897	1139766698	1187278887	0	0	0	913830001	548202540	0
2025-05-19	220440864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	1858640798	803882951	1826036844	1788614128	2032473056	965203832	994457952	927817738	1795370242	2026041380	1976586960	2515968128	946447895	2489363118	2454697776	2067692322	1764540382	2265977390	2255289734	2774187108	1622341794	2279533396	1187278887	1820216536	935356986	815928563	0	548202540	492201332
2025-06-02	224974980	1047003647	1126595010	1156752620	1272655348	1080467944	0	927817738	897685121	1013020690	988293480	0	946447895	1259217167	1240967384	832519569	882270191	189440972	1127644867	924729036	811170897	1139766698	1187278887	0	0	815928563	0	0	0
2025-06-09	13232616	0	0	64248900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	359161752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	948468979	231824	331008	177248	143096	133144	256720	350944	324496	327264	352512	243720	337704	254136	257008	95768	287304	369024	14774320	150808	274496	23590512	22054792	53264	219568	145688	333640	274816	141288
2025-06-30	1858640798	803882951	1826036844	894307064	1016236528	1669846904	1988915904	927817738	897685121	1013020690	988293480	2515968128	1892895790	0	2454697776	0	882270191	1132988695	0	1849458072	1622341794	2279533396	1187278887	910108268	935356986	1631857126	0	1096405080	492201332
2025-07-07	1640499935	803882951	913018422	894307064	1016236528	0	1023543504	927817738	0	1013020690	0	1257984064	0	0	1227348888	0	882270191	0	1127644867	0	811170897	0	1187278887	910108268	935356986	815928563	0	548202540	492201332
2025-07-14	2612831447	523717478	1977697908	2015650380	647594437	1940212671	2051884912	940687566	10584452	1019161226	7670020	2516224880	1903402322	2489534006	2454859016	2067883858	1764731918	1133357719	11100752	1612417416	887448949	2295296756	1209220703	930842312	70056	1637439978	927038457	553900916	502260704
2025-07-21	2359116338	2765149768	2116749890	1813048612	2325276776	2805894304	2803896568	955332240	2710140478	2213434282	1768002036	2830301377	2881113077	13030499	1255648084	3117129387	1796508286	3418159929	3395315613	1872509816	2455736632	1166980000	1195598403	1851594868	954705868	1801973238	2778822324	1657118456	1010940016
2025-07-28	581447135	0	0	0	0	0	0	0	262144000	0	778578280	0	684303895	681574400	0	0	0	0	865500867	0	0	0	1307161215	0	0	0	0	0	0
2025-08-04	2800376701	3207909580	3504593776	1341194756	2576850384	2128443920	1988915904	1541062676	1795370242	2026041380	1976586960	2515968128	1892895790	1244681559	2454697776	2067692322	1764540382	3031964485	2255289734	924729036	1622341794	2279533396	2374557774	910108268	1870713972	1631857126	1827660002	1096405080	492201332
2025-08-11	929320399	803882951	913018422	0	1016236528	834923452	1831629504	927817738	0	1013020690	988293480	2358988864	946447895	1244681559	1227348888	838860800	524288000	0	1127644867	1430027672	1283030097	0	0	0	1765856372	815928563	966258801	0	806774132
