week_start	sub-la-plaid-01-0119-nac-het-#2024-1-25/sub-la-plaid-01-0119-nac-het-#2024-1-25_ses-20240125T093800_behavior.nwb	sub-la-plaid-01-0124-nac-het-#2024-1-30/sub-la-plaid-01-0124-nac-het-#2024-1-30_ses-20240130T112900_behavior.nwb	sub-la-plaid-01-0126-nac-het-#2024-2-1/sub-la-plaid-01-0126-nac-het-#2024-2-1_ses-20240201T114900_behavior.nwb	sub-la-plaid-01-6dpf-0118-nac-het-#2024-1-18/sub-la-plaid-01-6dpf-0118-nac-het-#2024-1-18_ses-20240118T115100_behavior.nwb	sub-la-plaid-01-6dpf-1122-nac-het-#2023-11-28/sub-la-plaid-01-6dpf-1122-nac-het-#2023-11-28_ses-20231128T131400_behavior.nwb	sub-la-plaid-01-6dpf-1124-nac-het-#2023-11-30/sub-la-plaid-01-6dpf-1124-nac-het-#2023-11-30_ses-20231130T130400_behavior.nwb	sub-la-plaid-01-nac-het-#2023-10-26/sub-la-plaid-01-nac-het-#2023-10-26_ses-20231026T140200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-11-2/sub-la-plaid-01-nac-het-#2023-11-2_ses-20231102T140600_behavior.nwb	sub-la-plaid-01-nac-het-#2023-11-9/sub-la-plaid-01-nac-het-#2023-11-9_ses-20231109T130000_behavior.nwb	sub-la-plaid-01-nac-het-#2023-7-12/sub-la-plaid-01-nac-het-#2023-7-12_ses-20230712T133200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-7-13/sub-la-plaid-01-nac-het-#2023-7-13_ses-20230713T113500_behavior.nwb	sub-la-plaid-01-nac-het-#2023-7-19/sub-la-plaid-01-nac-het-#2023-7-19_ses-20230719T112100_behavior.nwb	sub-la-plaid-01-nac-het-#2023-7-26/sub-la-plaid-01-nac-het-#2023-7-26_ses-20230726T112200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-14/sub-la-plaid-01-nac-het-#2023-8-14_ses-20230814T105200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-2/sub-la-plaid-01-nac-het-#2023-8-2_ses-20230802T115900_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-24/sub-la-plaid-01-nac-het-#2023-8-24_ses-20230824T121300_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-3/sub-la-plaid-01-nac-het-#2023-8-3_ses-20230803T094300_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-30/sub-la-plaid-01-nac-het-#2023-8-30_ses-20230830T115300_behavior.nwb	sub-la-plaid-01-nac-het-#2023-8-31/sub-la-plaid-01-nac-het-#2023-8-31_ses-20230831T103000_behavior.nwb	sub-la-plaid-01-nac-het-#2023-9-13/sub-la-plaid-01-nac-het-#2023-9-13_ses-20230913T133200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-9-14/sub-la-plaid-01-nac-het-#2023-9-14_ses-20230914T122200_behavior.nwb	sub-la-plaid-01-nac-het-#2023-9-20/sub-la-plaid-01-nac-het-#2023-9-20_ses-20230920T124900_behavior.nwb	sub-la-plaid-02-0117-nac-het-#2024-1-23/sub-la-plaid-02-0117-nac-het-#2024-1-23_ses-20240123T145100_behavior.nwb	sub-la-plaid-02-0119-nac-het-#2024-1-25/sub-la-plaid-02-0119-nac-het-#2024-1-25_ses-20240125T112700_behavior.nwb	sub-la-plaid-02-0126-nac-het-#2024-2-1/sub-la-plaid-02-0126-nac-het-#2024-2-1_ses-20240201T134000_behavior.nwb	sub-la-plaid-02-6dpf-0118-nac-het-#2024-1-18/sub-la-plaid-02-6dpf-0118-nac-het-#2024-1-18_ses-20240118T143800_behavior.nwb	sub-la-plaid-02-6dpf-0201-nac-het-#2024-2-9/sub-la-plaid-02-6dpf-0201-nac-het-#2024-2-9_ses-20240209T114100_behavior.nwb	sub-la-plaid-02-6dpf-1122-nac-het-#2023-11-28/sub-la-plaid-02-6dpf-1122-nac-het-#2023-11-28_ses-20231128T151800_behavior.nwb	sub-la-plaid-02-6dpf-1124-nac-het-#2023-11-30/sub-la-plaid-02-6dpf-1124-nac-het-#2023-11-30_ses-20231130T150700_behavior.nwb	sub-la-plaid-02-nac-het-#2023-10-26/sub-la-plaid-02-nac-het-#2023-10-26_ses-20231026T161400_behavior.nwb	sub-la-plaid-02-nac-het-#2023-11-9/sub-la-plaid-02-nac-het-#2023-11-9_ses-20231109T145500_behavior.nwb	sub-la-plaid-02-nac-het-#2023-7-13/sub-la-plaid-02-nac-het-#2023-7-13_ses-20230713T132300_behavior.nwb	sub-la-plaid-02-nac-het-#2023-7-26/sub-la-plaid-02-nac-het-#2023-7-26_ses-20230726T142800_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-14/sub-la-plaid-02-nac-het-#2023-8-14_ses-20230814T123900_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-16/sub-la-plaid-02-nac-het-#2023-8-16_ses-20230816T155500_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-2/sub-la-plaid-02-nac-het-#2023-8-2_ses-20230802T134700_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-24/sub-la-plaid-02-nac-het-#2023-8-24_ses-20230824T143100_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-3/sub-la-plaid-02-nac-het-#2023-8-3_ses-20230803T125200_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-30/sub-la-plaid-02-nac-het-#2023-8-30_ses-20230830T134100_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-31/sub-la-plaid-02-nac-het-#2023-8-31_ses-20230831T122700_behavior.nwb	sub-la-plaid-02-nac-het-#2023-8-9/sub-la-plaid-02-nac-het-#2023-8-9_ses-20230809T125600_behavior.nwb	sub-la-plaid-03-0119-nac-het-#2024-1-25/sub-la-plaid-03-0119-nac-het-#2024-1-25_ses-20240125T133900_behavior.nwb	sub-la-plaid-03-6dpf-0201-nac-het-#2024-2-9/sub-la-plaid-03-6dpf-0201-nac-het-#2024-2-9_ses-20240209T134400_behavior.nwb	sub-la-plaid-03-nac-het-#2023-10-26/sub-la-plaid-03-nac-het-#2023-10-26_ses-20231026T180100_behavior.nwb	sub-la-plaid-03-nac-het-#2023-7-13/sub-la-plaid-03-nac-het-#2023-7-13_ses-20230713T152100_behavior.nwb	sub-la-plaid-03-nac-het-#2023-8-14/sub-la-plaid-03-nac-het-#2023-8-14_ses-20230814T142800_behavior.nwb	sub-la-plaid-03-nac-het-#2023-8-24/sub-la-plaid-03-nac-het-#2023-8-24_ses-20230824T174000_behavior.nwb	sub-la-plaid-03-nac-het-#2023-8-31/sub-la-plaid-03-nac-het-#2023-8-31_ses-20230831T142200_behavior.nwb	sub-la-plaid-03-nac-het-#2023-8-9/sub-la-plaid-03-nac-het-#2023-8-9_ses-20230809T120000_behavior.nwb	sub-la-plaid-04-0119-nac-het-#2024-1-25/sub-la-plaid-04-0119-nac-het-#2024-1-25_ses-20240125T152900_behavior.nwb	sub-la-plaid-04-nac-het-#2023-10-26/sub-la-plaid-04-nac-het-#2023-10-26_ses-20231026T202000_behavior.nwb	sub-la-plaid01-6dpf-0201-nac-het-#2024-2-9/sub-la-plaid01-6dpf-0201-nac-het-#2024-2-9_ses-20240209T093500_behavior.nwb
2026-02-16	15869488	15279916	1024000	4667620	8139544	819200	0	14493820	4602112	12921628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	0	7048462	0	0	0	0	6493900	0	0	34855178	0	0	4454544	0	0	0	0	0	2164195	2130721	0	6247339	0	6253889	4258020	0	0	2132575	2443640	2436251	4258020	0	3063912	0	6723583	0	0	0	0	0	0	0	6824026	2704851	0	0	0	0	4127004	0	0
2026-03-02	6330805	10817050	0	0	0	6257371	0	0	0	2879643	0	2172259	6321249	0	7214855	6642088	0	7229471	0	0	0	0	0	7097418	0	0	2508926	6632408	0	0	0	0	4127004	0	0	0	6913358	7934925	4258020	5763445	4192512	0	0	0	0	6149645	4389036	6550461	0	0	2187098	6608322
2026-03-09	0	0	0	0	0	0	0	0	2174528	0	17641190	0	0	0	0	0	0	0	0	0	0	6836156	0	0	0	0	0	0	0	0	0	0	0	0	12588218	0	0	0	0	0	0	2181901	4520052	0	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	8450532	11398392	0	12315504	0	18276732	9171120	0	9760692	0	0	0	0	0	0	0	11267376	0	0	0	0	25220580	0	13036092	0	0	0	0	0	0	0	0	23779404	0	0	9236628	18080208	0	0	23124324	24631008	0	0	11070852	19128336	9236628	8647056	0	0
2026-03-23	409600	0	0	14297296	0	0	0	0	0	0	0	37339560	0	0	0	0	0	21552132	0	20700528	35001121	0	0	3383802	0	0	35379326	0	0	0	0	0	0	0	0	35110823	0	0	0	9826200	23255340	4978608	32754000	0	0	0	0	11332884	0	0	0	35396886
2026-03-30	0	0	35398810	84539033	0	0	2	35040772	0	35340443	0	0	0	0	9564168	71385369	0	81591964	0	35751395	70002242	81271465	0	7140372	35304485	70136168	0	0	35412575	0	0	0	70449202	0	0	70221646	35292322	35368161	18145717	70881011	0	40195029	0	0	40549372	0	0	0	35024128	0	35364698	0
2026-04-06	0	0	35398810	0	0	0	9695185	0	35147328	0	34855178	35247459	35511137	0	70925606	0	0	0	0	0	0	9040105	35195535	59157874	0	70136168	70758652	4127005	35412575	52739168	0	0	0	0	0	0	0	40346770	0	0	0	0	0	0	0	0	0	0	0	0	35364698	0
2026-04-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35487362	0	0	0	0	0	0	64660546	0	35068084	0	0	0	0	35409051	0	0	0	35414351	25744644	0	0	0	0	0	0	0	0	0	0	0	0	35024128	0	0	0
2026-04-20	35315893	0	35398810	0	0	0	0	0	6681816	17818176	0	0	0	0	0	0	0	0	0	10153740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3340908	0	0	18997320	19521384	0	0	0	0	0	0	0	0	0	0	0	0
