week_start	participants.tsv	samples.tsv	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1611_conf.json	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1611_conf.png	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1624_conf.json	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1624_conf.png	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1631_conf.json	sub-01/ses-20201209/microscopy/sub-01_ses-20201209_sample-1631_conf.png	sub-01/ses-20201209/microscopy/sub-01_ses-20201210_sample-1648_conf.json	sub-01/ses-20201209/microscopy/sub-01_ses-20201210_sample-1648_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1821_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1821_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1829_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1829_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1838_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1838_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1841_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1841_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1853_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1853_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1861_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1861_conf.png	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1862_conf.json	sub-01/ses-20210204/microscopy/sub-01_ses-20210204_sample-1862_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2878_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2878_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2888_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2888_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2894_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2894_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2895_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2895_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2896_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2896_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2897_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2897_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2900_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2900_conf.png	sub-02/ses-20210723/sub-02_ses-20210723_sample-2901_conf.json	sub-02/ses-20210723/sub-02_ses-20210723_sample-2901_conf.png	sub-02/ses-20210813/sub-02_ses-20210813_sample-2945_conf.json	sub-02/ses-20210813/sub-02_ses-20210813_sample-2945_conf.png	sub-02/ses-20210813/sub-02_ses-20210813_sample-2946_conf.json	sub-02/ses-20210813/sub-02_ses-20210813_sample-2946_conf.png	sub-02/ses-20210813/sub-02_ses-20210813_sample-2947_conf.json	sub-02/ses-20210813/sub-02_ses-20210813_sample-2947_conf.png	sub-02/ses-20210813/sub-02_ses-20210813_sample-2952_conf.json	sub-02/ses-20210813/sub-02_ses-20210813_sample-2952_conf.png	sub-02/ses-20210827/sub-02_ses-20210827_sample-3013_conf.json	sub-02/ses-20210827/sub-02_ses-20210827_sample-3013_conf.png
2023-07-10	0	0	0	449311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397385	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394936	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2335660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-06	0	0	0	0	0	0	0	441733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	0	448268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418216	0	0	0	0	0	0
2024-07-01	67	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-22	67	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-29	0	0	425	449311	433	451597	425	441733	433	434174	429	422695	429	0	438	0	429	438153	430	878900	429	437242	438	423449	0	0	435	0	435	0	0	402541	435	385395	444	394936	436	794770	445	393181	0	0	440	418216	0	0	439	0	0	382309
2024-08-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	67	0	0	0	0	0	0	883466	0	0	0	422695	0	0	0	416298	0	0	0	0	0	437242	438	423449	436	415630	0	0	435	0	0	402541	0	0	0	0	0	397385	0	0	0	0	440	0	0	0	0	389874	0	382309
2024-09-02	0	0	0	0	0	0	0	441733	433	0	0	0	0	0	0	1248894	429	0	430	0	429	0	876	0	0	0	0	0	0	0	0	0	0	0	0	394936	0	0	1335	0	0	0	0	0	0	0	0	0	443	764618
2024-09-09	67	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437242	0	0	0	0	0	0	0	395493	0	402541	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-09-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-09-30	67	649	0	449311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0
2024-10-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406323	0	0	0	0	0	385395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-14	0	0	0	0	0	0	0	0	0	0	429	0	429	448268	438	416298	0	438153	430	439450	429	0	438	423449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-04	67	649	425	0	0	451597	0	883466	0	434174	0	0	429	448268	438	416298	429	0	0	0	429	437242	438	423449	436	415630	0	406323	435	395493	444	402541	435	0	444	394936	436	0	0	393181	449	0	440	0	449	412604	0	0	0	382309
2024-11-11	67	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	878900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394936	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	0	0	0	0	0	0	0	0	0	0	0	0	0	448268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	0	0	0	449311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	435	385395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389874	0	0
2025-02-24	0	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-07	67	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	433	0	0	0	433	434174	429	0	429	0	0	416298	429	0	0	0	0	437242	0	0	0	0	435	0	0	0	444	0	0	0	0	394936	0	0	0	0	0	0	0	418216	0	0	0	0	0	0
2025-08-04	67	0	0	449311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	439450	0	0	438	0	0	0	0	0	0	395493	0	0	0	0	0	0	0	397385	445	0	0	0	440	0	0	0	0	389874	0	0
2025-08-11	0	649	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	391900	0	0	449	412604	0	0	0	382309
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415630	0	0	0	395493	0	402541	0	770790	0	0	436	397385	0	393181	0	0	0	0	0	0	439	0	443	0
2025-08-25	0	0	0	0	433	0	0	0	0	434174	0	0	0	0	438	0	0	0	0	0	0	0	438	0	0	0	0	0	0	395493	0	402541	0	0	0	0	0	0	0	0	0	391900	0	0	0	0	0	0	0	0
2025-09-01	0	0	425	0	0	0	425	441733	0	434174	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	870	406323	870	0	888	0	435	0	444	394936	0	0	0	0	0	0	0	0	0	0	0	0	0	382309
2025-09-08	67	0	0	1347933	0	0	425	0	0	0	429	422695	0	0	0	0	0	0	860	0	0	0	0	423449	0	0	0	0	0	0	888	0	0	0	0	0	0	0	0	393181	449	0	0	0	0	0	0	0	443	382309
2025-09-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	0	0	449311	0	0	0	0	0	0	0	0	0	0	0	0	0	438153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	0	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	67	0	1275	898622	866	451597	425	1325199	0	868348	858	845390	0	1344804	438	832596	858	0	0	878900	1287	874484	438	846898	1308	0	870	812646	870	395493	888	402541	870	1156185	888	394936	0	794770	890	393181	0	0	0	0	0	0	0	0	443	764618
2025-12-01	0	0	0	0	0	0	0	0	0	0	0	0	0	448268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	201	1298	850	1797244	1299	1354791	1275	2208665	1299	1302522	429	845390	858	896536	1314	1248894	858	1752612	1290	1757800	1287	874484	1314	846898	872	0	1305	406323	1305	1186479	1332	805082	1305	1156185	888	1184808	1308	794770	2225	1179543	1347	783800	1320	1254648	449	1650416	1317	1169622	1329	764618
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	389874	443	0
2025-12-29	0	0	0	0	0	451597	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385395	0	0	436	0	0	0	0	0	0	0	0	0	439	0	0	0
2026-01-05	0	0	425	0	0	0	0	0	0	0	0	0	0	448268	0	0	0	438153	0	439450	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	201	649	850	1347933	866	903194	850	1325199	866	1302522	858	1690780	1287	448268	438	1248894	429	1314459	860	1318350	1287	874484	876	846898	1308	831260	1740	406323	870	0	1332	402541	870	1156185	888	789872	0	794770	1335	1179543	898	391900	1320	836432	449	825208	1317	779748	886	764618
2026-01-19	67	0	0	0	433	0	0	0	0	434174	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402541	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-26	0	0	0	0	0	0	0	0	0	0	429	422695	0	0	0	0	0	0	0	0	0	437242	0	0	0	415630	435	406323	435	395493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	0	0	0	0	0	0	441733	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	0	649	0	898622	0	0	0	441733	0	0	0	0	0	0	0	416298	0	0	430	0	858	0	0	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0	890	0	0	0	880	836432	449	0	439	779748	886	382309
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	880	0	0	0	0	0	443	0
