week_start	sub-EC2/sub-EC2_ses-EC2-B1.nwb	sub-EC2/sub-EC2_ses-EC2-B105.nwb	sub-EC2/sub-EC2_ses-EC2-B15.nwb	sub-EC2/sub-EC2_ses-EC2-B76.nwb	sub-EC2/sub-EC2_ses-EC2-B8.nwb	sub-EC2/sub-EC2_ses-EC2-B89.nwb	sub-EC2/sub-EC2_ses-EC2-B9.nwb	sub-EC9/sub-EC9_ses-EC9-B15.nwb	sub-EC9/sub-EC9_ses-EC9-B39.nwb	sub-EC9/sub-EC9_ses-EC9-B46.nwb	sub-EC9/sub-EC9_ses-EC9-B49.nwb	sub-EC9/sub-EC9_ses-EC9-B53.nwb	sub-EC9/sub-EC9_ses-EC9-B60.nwb	sub-EC9/sub-EC9_ses-EC9-B63.nwb	sub-GP31/sub-GP31_ses-GP31-B1.nwb	sub-GP31/sub-GP31_ses-GP31-B2.nwb	sub-GP31/sub-GP31_ses-GP31-B21.nwb	sub-GP31/sub-GP31_ses-GP31-B4.nwb	sub-GP31/sub-GP31_ses-GP31-B6.nwb	sub-GP31/sub-GP31_ses-GP31-B63.nwb	sub-GP31/sub-GP31_ses-GP31-B65.nwb	sub-GP31/sub-GP31_ses-GP31-B67.nwb	sub-GP31/sub-GP31_ses-GP31-B69.nwb	sub-GP31/sub-GP31_ses-GP31-B71.nwb	sub-GP31/sub-GP31_ses-GP31-B78.nwb	sub-GP31/sub-GP31_ses-GP31-B82.nwb	sub-GP31/sub-GP31_ses-GP31-B83.nwb	sub-GP31/sub-GP31_ses-GP31-B9.nwb	sub-GP33/sub-GP33_ses-GP33-B1.nwb	sub-GP33/sub-GP33_ses-GP33-B30.nwb	sub-GP33/sub-GP33_ses-GP33-B5.nwb
2022-08-22	1813849118	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	6697865340	2635779344	0	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2022-08-29	0	0	0	0	0	0	0	0	0	2686126892	0	0	0	0	0	0	0	0	0	0	27497209475	0	0	0	0	0	0	0	0	0	0
2022-09-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30796874612	0	0	0	0	0	0	0	0	0	0
2022-10-31	0	0	0	6226006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-07	1813849118	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2022-12-05	1813849118	2067944252	1721676907	1961799099	1820893957	1702875869	1724773275	666476353	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2023-03-06	5657060982	0	0	0	0	0	0	603746630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-10	7255396472	5804510577	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	2705972414	1513506428	1852978587	1744803249	1970742003	2010481380	3258392052	1551056946	3656779356	1949001673
2023-04-17	2629176450	3331465332	3052472347	3267394955	3114592804	1702875869	3003491711	1116310890	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2023-05-08	3717621456	0	28934704	0	0	1702875869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5499441895	0	0	0	42207504	0	0	25649217	0	0	0
2023-05-15	34553701311	30871448858	24396950370	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	0	0	0	0	0	0	0	4399553516	0	0	0	0	0	0	0	0	0	0
2023-05-22	1813849118	1934836859	1626463358	1042021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-29	25393887652	30957389744	27649877086	5587517114	1704045744	1702875869	1598965922	1116310890	5271558688	0	0	0	0	0	0	0	0	0	0	0	13198660548	0	0	0	0	0	0	0	0	0	0
2023-06-05	7255396472	7739347436	4879390074	900536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	7255396472	5804510577	3252926716	3725440236	3408091488	3405751738	3197931844	1116310890	5271558688	5372253784	5282022392	5329733834	5367678266	5523375202	3427254378	3003015844	2470148206	2651276556	3506832198	2500129896	9898995411	2705972414	3027012856	3705957174	3489606498	3941484006	4020962760	3258392052	3102113892	3656779356	3898003346
2023-06-19	0	0	0	128291154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	0	224052250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3299665137	0	0	0	0	0	0	0	0	0	0
2023-07-03	645589066	0	0	12369422	0	0	0	558155445	57537588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	0	0	0	900536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16498325685	0	0	0	0	0	0	0	0	0	0
2023-07-17	0	26428539	0	900536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5499441895	0	0	0	0	0	0	0	0	0	0
2023-07-24	0	0	0	900536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24274342346	0	0	0	0	0	0	0	0	0	0
2023-07-31	1813849118	1934836859	1626463358	1863106062	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	4399553516	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2023-08-07	0	0	0	900536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099888379	0	0	0	0	0	0	0	0	0	0
2023-08-14	2278593607	0	0	900536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	0	0	0	900536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34890058118	0	0	0	0	0	0	0	0	0	0
2023-08-28	0	0	0	1286480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56521448829	0	0	0	0	0	0	0	0	0	0
2023-09-04	58644373247	39282997224	15392990658	16171699592	14522374492	41519182710	13852433792	1737040045	0	0	0	0	0	0	0	0	0	0	0	0	3299665137	0	0	0	0	0	0	0	0	0	0
2023-09-11	0	0	0	900536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	0	0	0	900536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	0	0	0	1157832	0	10394672798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12098772169	0	0	0	0	0	0	0	0	0	0
2023-10-02	0	0	0	385944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	0	0	0	257296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	3627698236	1934836859	1626463358	1862334174	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	9898995411	2705972414	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2023-10-30	1840593810	0	0	257296	0	0	0	0	0	0	0	0	0	0	0	0	0	1325638278	0	0	35196428128	0	0	0	0	0	0	0	0	0	0
2023-11-06	34666028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	18449192	0	0	40093555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20897879201	0	0	0	0	0	0	0	0	0	0
2023-11-20	78656200	0	0	99504030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	0	0	0	385944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099888379	0	0	0	0	0	0	0	0	0	0
2023-12-04	1860472952	1956236657	1639290234	1908467014	1725236752	1721727127	1619712486	575871700	2653972272	2700157316	2659182068	2678320431	201940474	2780038803	1162330218	1516082166	1251554469	1344989074	1768490217	1265069724	1118627057	1374604061	1531106164	1867948241	1763623187	1985889766	2018182600	1638342132	1560707172	1837499996	1958137746
2023-12-11	0	0	0	0	0	0	0	0	0	0	0	0	2516066973	0	0	0	0	0	0	0	17598214064	0	0	0	0	0	0	0	0	0	0
2023-12-25	1813849118	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2719409245	2802341989	1142418126	1501507922	1235074103	1325638278	1376049664	1288700844	1099888379	1372183742	1545452272	1865946311	1744803249	1987345879	2031904076	1648175138	1570687814	1844223930	1964145541
2024-01-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14298548927	0	0	0	0	0	0	0	0	0	0
2024-01-08	1813849118	1934836859	1626463358	1862334174	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2024-01-22	10402212	3921734	7543916	12821408	12314860	9446330	10759352	8469222	7202540	4813296	9604840	7142414	13304334	8973246	11591256	12930892	4723718	7463428	12541062	13033744	3307936235	6614954	5334444	12135890	12319470	12673634	6451772	2181948	13635744	10915520	13412650
2024-01-29	0	408920541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4399553516	0	0	0	0	0	0	0	0	0	0
2024-02-05	11674091868	19781959534	9967882262	11697082888	10463116215	10462427711	9961853398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-12	0	58917544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-19	0	4133650540	3309667992	0	0	0	0	2498981442	10875628818	6024787851	5438810774	5449271359	5541487557	6191153487	2477917168	3297397706	2629026275	2761682757	3646694813	2632761048	2390708352	3115934213	3283806450	3911983190	3615302695	4153098506	4196253263	3348668914	0	0	0
2024-02-26	118341872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	0	0	0	51118424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	89606956	7118011	12582482	8161262	10488480	7959833	11502266	16444617	15922948	12533148	12867812	8158401	6726617	7879177	12964426	10162774	10227479	9738622	9838059	12807292	8094227	15466735	8731296	6885551	11691353	16921235	12281572	7380938	1558810144	10403238	3882917
2024-03-18	16748442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-25	81278964	1380210110	984099124	1231133744	1072569932	34332830	1045597012	570208323	34948400	35672556	34557704	40921690	32549894	35518846	39331408	31512812	33326602	37327228	39484846	31216652	34153886	37938762	32477320	38150578	39595074	33047382	38439220	31647564	35403136	32682912	37840310
2024-04-01	2204815388	1970837089	1634018064	1871702156	1710833632	1709722682	1605838788	6855989	6922324	9839416	9779720	6789861	7548081	8435281	6824270	6797266	9263715	7580826	10451463	6848692	7122343	6857951	6814972	6831131	7785653	6768183	6842724	9851022	7780150	6818222	9927833
2024-04-08	17197564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-15	60810239	0	0	16666716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-22	66965086	65914859	31930170	81082482	33383348	36133213	36159266	22126793	66164472	66891552	66367308	65567461	62078385	59381929	34186114	32500010	29856431	32885386	0	0	36740563	36409807	29863156	66405099	0	0	66416692	34763106	36469274	0	0
2024-04-29	1820826650	1944725095	1626463358	1900772818	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1789642378	1287527320	1099888379	1352986207	1513506428	1852978587	1810395662	2036420514	2010481380	1629196026	1551056946	1894383684	2031224338
2024-05-06	16458272	5298618109	0	0	0	0	0	684637159	0	0	0	0	33675859	33675785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-13	57023912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	10627528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	1831833762	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2701585065	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1373094499	1530707580	1876311971	1760093713	1990757187	2010481380	1629196026	1551056946	1828389678	1949001673
2024-06-10	6370944	0	0	0	7830952	0	0	0	0	22961944	0	9622780	0	0	0	0	0	0	0	7830952	0	0	0	0	7830952	24621044	0	0	0	0	0
2024-06-24	17785552	17785552	0	19245560	19245560	17785552	17785552	20771932	17785552	17785552	20771932	0	20639204	20705568	17785552	20572840	17785552	20572840	17785552	17785552	0	0	20771932	19444652	20041928	0	0	17785552	0	0	15396448
2024-07-08	1851283761	1941815158	4830514	30234801	38859696	15975545	7179282	584111954	7545004	6897264	6870336	7401865	6970457	7096541	113476004	40902321	7410447	7271142	6961187	6196512	7356643	7420803	6846912	7904415	8525461	35172711	6065180	7457778	11357226	7558858	6987337
2024-07-15	13140072	20174656	0	6370944	0	0	0	0	0	0	0	10087328	0	10153692	9888236	13471892	7830952	0	6304580	9888236	0	0	10020964	0	0	7830952	0	0	0	0	12078248
2024-07-22	11480972	11149152	4910936	11348244	11547336	12210976	8892776	10020964	10087328	13803712	11879156	10485512	8096408	10551876	12476432	10485512	12410068	11215516	12277340	9290960	6968220	11945520	12078248	7100948	10020964	12675524	9954600	3915476	9888236	9888236	11480972
2024-07-29	17121912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	1829390396	1953367710	1632876796	1873674412	1714641248	1732343426	1609339204	565808490	2644875808	2693142104	2650096632	2671593674	2693809466	2770863202	1152374172	1508795044	1243314286	1335313676	1760953158	1257567336	1109257718	1363795134	1522306296	1860463414	1754213218	1980646886	2018182600	1638342132	1560707172	1837499996	1958137746
2024-08-19	1813849118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	1902311502	2070713687	1779993010	2022425856	1851138088	1702875869	1730116046	702644733	2652038524	2686126892	2659062204	2676082433	2691670085	2768058545	1142418126	1510400698	1237065023	1338247438	1772595295	1263603204	1115815739	2705972414	1513506428	1858685891	1744935977	1982090247	2020568708	1633642414	1561144274	3670583068	1958889909
2024-09-02	4605132014	2407151627	0	0	0	0	0	0	0	0	0	3550827861	0	0	15860996	0	3916731404	0	0	0	0	2825907022	0	0	0	0	0	0	0	5814800020	13140072
2024-09-09	4567099196	1409005828	3497359560	1444459064	1495949652	2166830714	1473659224	1765566722	3517957540	0	9085436	0	3588249269	0	0	0	0	13604620	2201242551	1469264848	0	0	8799868	0	2194156073	2441862219	0	9146106	0	0	2404636918
2024-09-16	1899847834	1989076437	1663361062	1927174450	1761771864	1756821327	1658144342	621978995	2688474848	2728896584	2694105080	2705305291	2741192167	2815193059	1199222546	1545116018	1283619101	1384604610	1798726221	1294702496	1153958989	1422747145	1560835388	1897908953	1799781279	2030487969	2049743540	1682385162	1606948918	1881367398	2002001195
2024-09-23	2093592122	2148834839	1748318680	2132215910	1894764816	1872537191	1785684998	695910255	2799515696	2812400708	2804549044	2785948543	1680068129	2005951117	1321626954	1632676118	1375157214	1490120044	1323332807	686709812	1272838126	1525781451	615562196	127242059	159969473	168383011	130920740	163314754	164053842	154875406	155313241
2024-09-30	1826735588	19725403	6413438	21025302	10595504	20176597	14421486	7653045	9096464	7015212	9085436	19866001	508613597	238918861	16326990	14188978	17796599	9675398	225281311	273507136	9369339	38395070	353700520	199505599	9409969	17802199	7701220	9146106	9650226	9110318	15507017
2024-10-07	1835218326	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	3396355386	3493332066	1142418126	1501507922	1235074103	1325638278	2139489094	1719989352	1099888379	1352986207	2272038136	3546573622	3489606498	3941484006	4020962760	3258392052	3102113892	3656779356	3898003346
2024-10-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7830952	0	0	0	0	0	0	0	0	13073708	0
2024-10-21	15541278	10699899	6413438	11468886	10595504	9425629	10373282	7653045	9096464	7015212	9085436	6726757	9970333	9175601	9956046	7287122	8240183	9675398	7537059	7502388	9369339	10808927	8799868	7484827	9409969	9904883	7701220	9146106	9650226	9110318	9136073
2024-10-28	204097596	10699899	6413438	11468886	10595504	9425629	10373282	7653045	9096464	7015212	9085436	6726757	9970333	9175601	9956046	7287122	8240183	9675398	7537059	7502388	9369339	10808927	0	0	0	0	0	0	2827983554	0	0
2024-11-04	25562242	10153692	2190012	6901856	5176392	2588196	7963680	7897316	7963680	8627320	10020964	10020964	7896488	10153692	9091868	9954600	9490052	8361864	9158232	4114568	8030044	10020964	7896488	5110028	6570036	10352784	10286420	4446388	8959140	4512752	10020964
2024-11-11	1867998430	0	0	0	0	0	0	0	0	8361864	5906396	0	0	0	0	0	0	4114568	0	0	5707304	0	0	0	4114568	0	4114568	4114568	4180932	0	0
2024-11-18	0	0	0	8162772	0	0	0	0	0	0	0	0	0	0	0	5640940	8229136	0	0	0	0	0	0	0	10618240	0	0	0	0	0	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15529176	0	0	0	17121084	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	1813849118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-23	1813849118	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2025-01-27	1886864378	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2025-02-03	109913118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	1813849118	0	1626463358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	1813849118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9091868
2025-03-03	1813849118	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2025-03-31	3690425434	1934836859	1626463358	1862205526	1704045744	1702875869	1598965922	558155445	2635779344	2686126892	2641011196	2664866917	2683839133	2761687601	1142418126	1501507922	1235074103	1325638278	1753416099	1250064948	1099888379	1352986207	1513506428	1852978587	1744803249	1970742003	2010481380	1629196026	1551056946	1828389678	1949001673
2025-04-28	33248364	85624420	456275296	112568204	34376552	66496728	1663835836	30991988	158706044	35106556	114160940	64903992	81642580	223558532	48180264	45658432	84230776	32451996	572442016	32451996	44065696	206967532	373438164	88278980	79054384	121195524	153596016	74674360	88809892	86752608	165143352
2025-05-26	157099038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
