week_start	sub-Achilles/sub-Achilles_ses-Achilles-10252013_behavior+ecephys.nwb	sub-Achilles/sub-Achilles_ses-Achilles-11012013_behavior+ecephys.nwb	sub-Buddy/sub-Buddy_ses-Buddy-06272013_behavior+ecephys.nwb	sub-Cicero/sub-Cicero_ses-Cicero-09012014_behavior+ecephys.nwb	sub-Cicero/sub-Cicero_ses-Cicero-09102014_behavior+ecephys.nwb	sub-Cicero/sub-Cicero_ses-Cicero-09172014_behavior+ecephys.nwb	sub-Gatsby/sub-Gatsby_ses-Gatsby-08022013_behavior+ecephys.nwb	sub-Gatsby/sub-Gatsby_ses-Gatsby-08282013_behavior+ecephys.nwb
2024-09-16	7240055304	294866544	539639990	431861088	266743269	299049213	264405544	282276686
2024-09-23	1159281152	382669632	1332891850	1284344576	355872229	257037822	532565430	629495170
2024-09-30	160638784	5242880	152163553	177582432	0	0	0	0
2024-10-14	11214688	0	13123742	0	0	0	0	0
2024-10-21	160638784	5242880	152191448	177582432	0	0	110707390	134287642
2024-10-28	8898629248	0	5397818022	8683002537	0	19776472	8589146	0
2024-11-04	0	55347576	5274257353	0	688910836	0	65968	8439367302
2024-11-11	0	4114568	0	0	0	0	2248295037	0
2024-11-18	1484878377	1580949480	166041413	8892776	4114568	138850498	8054231673	55413567
2024-11-25	0	4114568	15713271459	0	0	8357219071	25273831	0
2024-12-02	0	0	43553945	0	0	0	0	0
2025-01-06	414266884	0	0	0	0	0	0	0
2025-01-20	22630124	0	0	0	0	0	0	0
2025-02-10	15411688	24271120	13428374	24360132	18493623	17751536	23595618	5016816
2025-03-31	8305291460	0	0	0	0	0	0	0
2025-04-21	0	0	52693016	0	0	8357219071	0	0
2025-04-28	26943784	9189442768	0	0	18722917238	16714438142	15887140220	0
2025-06-23	43667512	0	0	0	0	0	0	0
2025-07-07	479289918	0	0	0	0	0	0	0
2025-07-14	0	0	2454753	0	0	0	0	0
2025-07-28	5277689664	0	0	0	0	0	4141875200	4718592000
2025-08-04	0	0	0	0	0	4561305600	0	0
2025-08-11	0	4351590400	0	0	0	0	0	0
2025-08-18	0	0	0	0	5212601331	0	0	0
2025-09-01	40000000	0	2668745953	21966484	0	0	0	0
2025-09-08	0	0	29308031	5483376992	0	0	8693684	19710108
2025-09-15	26353780	9572904	15238385	4157792	4114568	4553471	4114568	8984166
2025-09-22	31729264	26902152	20695927	25148900	16020367	0	0	0
2025-10-06	29667516	16615732	91436587	12386928	42499603	16764447	15581248	24073820
2025-10-13	14341896	13753836	17444091	34924492	28913912	26203209	20153218	19453366
2025-10-20	0	4579116	0	0	3676663	8668039	7691078	4935962
2025-10-27	31065624	9211981384	10498027396	8710465440	18274206143	27622498	15934023838	14056405720
2025-11-03	82453176	34285044	32373937747	67416656	59277104	57158981	50379472	82757024
2025-11-10	123657948	32576068	35377237	77172164	47265220	67552484	40121636	55514044
2025-11-17	38701120	21460304	28087666	25925184	36075860	31261947	35343428	37753518
2025-11-24	36308380	26371240	28925063	25016172	34841587	43340195	31567826	29524382
2025-12-01	67806168	29714172	36199768	25192124	20493398	31420320	19290486	50719524
2025-12-08	19455560	24853112	5523906	26034772	126670082	35269432	16709436	18698336
2025-12-15	56497580	36226088	164230784	48774176	9176944547	4502210702	55561992	8487981298
2025-12-29	8763114974	9196286504	6494280293	8785906932	9122396663	23117914	7947556220	8461324732
2026-01-05	3716677536	27640400	131156177	47328236	19905876	45416653	40835210	4281394814
2026-01-12	0	0	52071748	0	0	8357219071	0	0
2026-01-19	25561048	16549368	9704838	25613140	13736915772	19003781	21182926	20563048
2026-01-26	8766534256	14236312812	2618190543	17384468292	9138155620	8384717444	4457243996	23784150
2026-02-02	14341896	9838360	9970294	3801770920	17353355	13590391	3986110	19240664
2026-02-09	14341896	3810056668	15570205	17153412	12176963	12476432	16072898	14396092
2026-02-16	0	11980576	5250023435	11119960	11235998	4909567	3986110	7952050970
2026-02-23	19588280432	57227185084	15720081616	10474045108	29412894827	25089613399	23839470378	8462630250
2026-03-02	503316480	0	68120440	4380024	0	8547912563	121555080	0
2026-03-09	17492758144	26952042912	10475514306	17278329628	19470301791	25304372734	7943570110	19008725556
2026-03-16	38071324	9192171936	33236141	8685896384	9134406885	5560347	6441578	14666444
2026-03-23	10596628	7422504	6942885	13538256	604663	6570036	4114568	1128188
2026-03-30	0	8295500	36963553	0	4977300	0	0	0
2026-04-06	4977300	0	0	0	0	0	0	0
