week_start	sub-M26/sub-M26_ses-20200319T153237_behavior+ecephys.nwb	sub-M27/sub-M27_ses-20200319T163241_behavior+ecephys.nwb	sub-M29/sub-M29_ses-20200612T143309_behavior+ecephys.nwb	sub-M36/sub-M36_ses-20200827T141103_behavior+ecephys.nwb	sub-M37/sub-M37_ses-20200829T154548_behavior+ecephys.nwb	sub-M38/sub-M38_ses-20200904T142415_behavior+ecephys.nwb	sub-M40/sub-M40_ses-20201126T145724_behavior+ecephys.nwb	sub-M41/sub-M41_ses-20201127T144127_behavior+ecephys.nwb	sub-M42/sub-M42_ses-20201201T143600_behavior+ecephys.nwb	sub-M43/sub-M43_ses-20201203T150431_behavior+ecephys.nwb	sub-M44/sub-M44_ses-20201207T155850_behavior+ecephys.nwb	sub-M45/sub-M45_ses-20201209T141009_behavior+ecephys.nwb	sub-M50/sub-M50_ses-20211026T152836_behavior+ecephys.nwb	sub-M52/sub-M52_ses-20211102T155806_behavior+ecephys.nwb
2023-07-31	16901064	22162300	6419784	18604272	19717908	23255340	6354276	25613628	0	16442508	18735288	6419784	32164428	9957216
2023-08-07	6983491310	1183492996	2550682524	2465540670	2182278574	2446969728	89811468	3467485524	2068531364	1920276754	2001973094	264062748	194624268	2577866660
2023-08-14	1927639132	4404240	485938344	0	335466468	879706932	0	3090552492	2312352140	2807910154	322757916	2451104324	2938818519	314765940
2023-08-21	547924016	40133584	437855472	429666972	285876912	338741868	90204516	0	266224512	339986520	99637668	653638824	365207100	0
2023-08-28	4070403924	5905528	490196364	303891612	113918412	250699116	358525284	0	0	48934476	339921012	242117568	309918348	524260524
2023-09-04	1045466860	230161492	0	498777912	300616212	244344840	26596248	418530612	0	9957216	695039880	0	643812624	1234563768
2023-09-11	22272720	5505744	245261952	0	0	578697672	269827452	190431756	270613548	113459856	0	390231156	116342208	693664212
2023-09-18	1381301300	1221844584	2213054292	2097975282	0	1856189884	2883427904	273954456	276902316	369399612	78871632	0	2921458899	2898921368
2023-09-25	75428380	267082072	0	0	121058784	15001332	0	175102884	0	0	150537384	0	258232536	177068124
2023-10-02	104330202	330919324	334418340	0	187221864	0	493995828	195672396	67014684	152895672	20045448	0	72648372	269172372
2023-10-09	179688444	492893252	0	274150980	0	499564008	192003948	0	301336800	337104168	195934428	137828832	0	237007944
2023-10-16	259411680	0	220892976	0	0	0	0	0	388134900	71338212	0	172089516	0	575291256
2023-10-23	1356801308	579184	0	249257940	0	0	57974580	0	1674266788	0	0	0	0	0
2023-10-30	2798560316	1431635352	3901032696	2097975282	2109237154	2533440288	401302008	167765988	2097354884	1920276754	2001973094	0	2318622800	224495916
2023-11-06	0	420328	0	0	263800716	0	526684320	0	306773964	358852824	385645596	228950460	0	320334120
2023-11-13	1356801308	1574755317	125971884	21879672	0	90073500	401367516	0	6354276	26792772	0	73827516	0	0
2023-11-20	1295163120	1607102004	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	129513640	1226160	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	288371788	284401760	247238642	131290698	179681704	346742412	323022384	275466404	263526674	182693734	103277848	273804499	126203832
2023-12-11	1388540984	2108768	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-18	21222298	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-25	2765028227	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	1356801308	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-08	22722012	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	90457656	105895192	30665512	36493680	76459984	26930508	33164304	51581072	34540092	49642676	24894152	20380276	21750831	14427324
2024-01-29	2736333892	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-05	62494632	1252733004	2264740104	2211959202	95641680	111363600	2553726140	2818563276	35046780	1946479954	2122049258	2178132488	2942028411	52406400
2024-02-12	0	0	0	0	0	0	0	0	0	173850068	0	0	0	0
2024-02-26	249729760	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	245917032	267386880	0	0	16508016	0	0	307625568	0	316141608	0	0	27906408	0
2024-03-11	21887172	106447128	421161212	37309668	18852964	705654768	304177132	27821668	44459016	5243144	720329632	459082576	18942263	250788148
2024-03-18	84496428	121805176	349967040	61946400	76407816	70434540	72458324	77657868	47058420	67978722	366193056	168166324	80974413	582441784
2024-03-25	131579344	59039840	79681032	61684368	137458228	50120340	87398760	270791456	67082952	68109738	36556800	249937592	175515060	29706252
2024-04-01	28165476	246780192	42333704	186797572	16691200	0	41784908	22253104	24544584	18401554	18605384	13829476	16575699	14492832
2024-04-08	0	0	130369232	0	0	160978116	25841448	0	0	138760300	173157528	345397320	0	269160032
2024-04-15	8115416	75887972	439552556	6747324	39750016	0	203660188	8819352	25592712	269503816	721443728	301013076	22995483	7680000
2024-04-22	75056016	50184404	51030732	0	0	0	0	0	266799384	8843580	0	230493544	858092592	0
2024-04-29	77502300	0	0	0	0	306287452	0	0	201543460	245330032	0	494110144	0	0
2024-05-06	52099724	0	0	0	32426460	0	567623160	205583908	0	0	311334312	230195616	147655032	97386616
2024-05-13	0	38032272	22534752	325007152	0	0	0	0	192467224	0	170072236	0	0	126705940
2024-05-20	301025720	392692956	0	0	0	0	0	0	247161896	0	0	222710260	422199776	162761984
2024-05-27	68444496	105999460	120191712	173758752	0	156562384	24499992	0	18669780	422689364	203764716	0	0	225553628
2024-06-03	199808600	130620036	0	0	754146488	757149072	0	0	157711412	0	349006212	0	0	0
2024-06-10	0	0	0	0	0	0	0	0	0	0	23451864	170338868	0	130477912
2024-06-17	14899647	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-01	53389020	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	2260707352	1208504044	29136324	38593116	1994738410	30723252	2589497236	5667005708	42084672	53683992	15859712	24897016	21224592	16577612
2024-07-15	1356801308	0	0	0	0	0	0	0	0	0	0	0	5842917798	0
2024-07-22	9105612	1190958960	12249996	0	11922456	11594916	0	0	0	10088232	2014026566	0	12184488	23451864
2024-07-29	0	0	0	2097975282	0	0	0	0	0	0	0	0	0	0
2024-08-26	10022724	238455768	17949192	2358288	1966298698	11791440	10546788	19062828	0	12184488	21224592	2150488112	12184488	11529408
2024-09-02	0	0	0	6157730882	0	0	0	0	2068531364	0	0	0	2784453659	0
2024-09-09	1068553764	0	0	0	304087040	220200960	1651068856	0	608174080	0	0	0	309329920	0
2024-09-16	263791900	249384544	307183808	274760906	273503818	14662056	382382492	61137672	305563112	51187178	114667366	112583960	86298546	141995348
2024-09-23	943374964	874951440	702448000	1051045846	550721098	401306448	1297128356	1391704256	857856492	757740068	386358988	456634184	1147646796	535523184
2024-09-30	240067868	218737860	289644640	268210162	283334218	62914560	362471052	333508144	112937124	274012434	0	119006488	294776019	141932472
2024-10-14	1289960604	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-21	67108864	183168780	295867900	167374632	70467914	203339052	10743312	10219248	241172480	252643386	193179494	0	14215236	12184488
2024-11-18	77786056	61756068	39033240	4061496	62146494	52865820	78763720	80727536	113935288	43848266	40413314	44752212	81254822	65498992
2024-11-25	0	0	0	0	0	23255340	0	0	0	0	0	0	0	0
2024-12-16	53389020	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	0	0	0	0	0	0	0	32229936	0	0	0	0	25024056	0
2025-02-17	35505336	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	4389036	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	11235672	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	13180572	4127004	0	0	0	0	0	0	0	0	0	0	0	4061496
2025-03-17	24841696	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-24	71798868	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	78629214	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-07	79754364	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-14	2457600	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-21	100355292	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-28	105851088	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-05	56255232	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-12	87003024	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-19	149004720	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	195318588	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-02	65887008	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	63659736	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	211578892	369429680	626152800	549301600	357735456	373710400	792423800	885940848	528978560	496214800	383780000	290846400	975408672	307279872
2025-07-07	69508188	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	184374704	181502408	639914400	629687200	371494512	330825600	771386000	787502976	528978560	502266200	352830000	268473600	928960640	316882368
2025-07-21	21127380	681574400	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	0	0	0	1835008000	0	0	1730150400	0	0	0
2025-08-04	2252552	259696096	1673764960	0	0	0	0	0	0	1258291200	0	0	0	0
2025-08-11	0	0	0	0	1075009098	1626716584	2066407052	0	1782579200	0	0	0	2711743699	0
2025-08-18	40237476	74533152	0	1678544882	0	0	0	0	0	0	0	0	0	1494595512
2025-08-25	0	0	0	0	1415577600	0	0	0	0	0	2569011200	0	0	0
2025-09-01	1042228508	0	0	0	0	0	0	0	0	1448417554	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	1625292800	0	0
2025-09-15	14933436	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	2713602616	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	5756244	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	273435612	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	1422636848	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	2048000	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	150130008	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	9042204	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	214867188	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	23644588692	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	5430174832	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	8153428164	2071304244	2210368464	4206693876	1977107518	2163320088	26661756	2820135468	2072658368	3846907784	2010161594	4294359916	5856871002	4679359144
2025-12-22	0	0	0	1410334720	0	0	0	0	1502300324	0	0	0	0	1510324152
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	2250370259	0
2026-01-05	58207708	0	1600364640	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	54933708	3534554700	0	8381415368	0	4302009168	0	0	4126576968	0	0	0	0	4036131980
2026-01-19	0	0	0	0	0	0	1809505932	0	0	0	0	0	0	0
2026-01-26	891289600	0	0	0	0	1479915944	0	1922100784	0	1347420160	1237319680	1263534080	0	0
2026-02-02	20320944	0	0	0	1326667338	0	0	0	0	0	0	0	0	0
2026-02-09	15853692	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	48680432	7771324	15185792	10469216	14858252	5347528	4127004	0	9081484	5151004	512000	0	0	0
2026-02-23	36443200	8897024	4901036	1024000	34288724	0	0	0	0	15328872	16378112	0	16575699	0
2026-03-02	37952972	0	17956960	16281600	0	15790788	22298252	0	22317312	22987114	0	0	0	11741496
2026-03-09	24766636	0	0	0	4097005130	0	0	527821084	0	0	0	4277853636	0	6625730612
2026-03-16	0	10022724	12184488	19259352	0	0	0	0	22993308	0	0	0	23320848	11267376
2026-03-23	4843804	6211012	589572	25518228	9896196	0	20377600	29176612	18124800	18401554	0	7475200	54640197	11938020
2026-03-30	0	0	0	0	0	0	0	917112	0	0	0	0	851604	0
2026-04-06	0	21959756	4192512	15288604	7092116	4127004	24330108	29793912	12185600	18932924	20715804	9871080	26883520	5458204
2026-04-13	22871968	1301700	0	0	0	0	0	0	0	9498660	0	0	6157752	0
2026-04-20	52890484	10743312	3078876	7860960	0	0	0	53716560	0	0	1048128	0	0	917112
2026-04-27	716800	0	0	0	0	0	0	0	0	0	0	0	0	0
