week_start	sub-ANM-0170/sub-ANM-0170_ses-20210905_behavior+ecephys.nwb	sub-ANM-0170/sub-ANM-0170_ses-20210906_behavior+ecephys.nwb	sub-ANM-0171/sub-ANM-0171_ses-20210920_behavior+ecephys+ogen.nwb	sub-ANM-0171/sub-ANM-0171_ses-20210922_behavior+ecephys+ogen.nwb	sub-ANM-0171/sub-ANM-0171_ses-20210926_behavior+ecephys+ogen.nwb	sub-ANM-0172/sub-ANM-0172_ses-20210907_behavior+ecephys.nwb	sub-ANM-0173/sub-ANM-0173_ses-20210928_behavior+ecephys+ogen.nwb	sub-ANM-0173/sub-ANM-0173_ses-20211001_behavior+ecephys+ogen.nwb	sub-ANM-0173/sub-ANM-0173_ses-20211002_behavior+ecephys+ogen.nwb	sub-ANM-0173/sub-ANM-0173_ses-20211004_behavior+ecephys+ogen.nwb	sub-ANM-0174/sub-ANM-0174_ses-20210909_behavior+ecephys.nwb	sub-ANM-0174/sub-ANM-0174_ses-20210910_behavior+ecephys+ogen.nwb	sub-ANM-0174/sub-ANM-0174_ses-20210915_behavior+ecephys+ogen.nwb	sub-ANM-0176/sub-ANM-0176_ses-20211108_behavior+ecephys.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211115_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211116_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211118_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211120_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211121_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211122_behavior+ecephys.nwb	sub-ANM-0179/sub-ANM-0179_ses-20211121_behavior+ecephys.nwb	sub-ANM-0180/sub-ANM-0180_ses-20211121_behavior+ecephys+ogen.nwb	sub-ANM-0180/sub-ANM-0180_ses-20211122_behavior+ecephys.nwb	sub-ANM-0181/sub-ANM-0181_ses-20211118_behavior+ecephys+ogen.nwb	sub-ANM-0181/sub-ANM-0181_ses-20211120_behavior+ecephys+ogen.nwb	sub-ANM-0181/sub-ANM-0181_ses-20211121_behavior+ecephys.nwb	sub-ANM-0188/sub-ANM-0188_ses-20211130_behavior+ecephys.nwb	sub-ANM-0188/sub-ANM-0188_ses-20211202_behavior+ecephys+ogen.nwb	sub-ANM-0188/sub-ANM-0188_ses-20211203_behavior+ecephys+ogen.nwb	sub-ANM-0190/sub-ANM-0190_ses-20211130_behavior+ecephys.nwb	sub-ANM-0190/sub-ANM-0190_ses-20211202_behavior+ecephys+ogen.nwb	sub-ANM-0190/sub-ANM-0190_ses-20211203_behavior+ecephys+ogen.nwb
2024-03-04	20971520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	12311716	11984176	11986424	12444980	14279204	7906128	13624124	11986424	8252468	16375460	11181528	14721208	18736484	6006396	19064080	16181728	17033332	17688412	20177716	3910140	5629900	16181728	5023776	20046700	19719160	5285808	5957440	13291100	15190832	7333108	24623984	14732276
2024-03-18	32149276	26712112	655212464	24746872	29004892	29659272	29332432	26908636	29659972	29266924	32279592	29724780	27301684	26711412	30315052	32935372	35490184	29070400	28611844	16361148	31756228	26843128	27038952	31821736	29528956	29790288	28349812	38863496	21962432	28546336	32574728	27727136
2024-03-25	21737292	22523388	19379004	21344244	21802800	19984428	15055476	19837560	25929804	15907080	10092720	20049936	12500664	22539240	22261356	22195848	22326864	21933816	21082212	9830688	21671784	17348256	20311968	21016704	21082212	14547264	21737292	21188400	18830112	22195848	20991876	21122892
2024-04-01	7398616	8839792	7071076	7071076	7136584	6661476	7136584	7071076	7071076	7136584	6726984	6661476	7071076	9150780	7660648	7136584	11067064	7136584	7071076	2468964	7136584	7464124	6661476	7005568	7136584	10722972	7398616	7259324	6866276	7660648	10993280	6866276
2024-04-15	7333108	7529632	7136584	1437388	6809044	6858000	5629900	7464124	2354500	7398616	7054524	4892760	6022948	6726984	7398616	7660648	6153964	5826424	6153964	3844632	5236852	5760916	438216	5760916	7595140	6726984	6415996	643016	7128308	7529632	4049432	3394352
2024-05-27	36160032	21519224	34168536	24770696	43201760	10217484	19697144	38855000	50193200	65244056	18004728	34274584	12434984	10098352	60714648	59614672	19009576	41565896	31067288	34836896	16466232	52475424	15455916	33271448	20719304	29578308	21599936	13483768	25376664	55115688	97834184	31688656
2024-06-03	0	0	0	0	17752668	0	0	0	10088232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-17	40633212	0	8372816	0	22496879	12246146	0	0	0	0	0	0	0	16488812	0	0	0	0	0	0	0	0	0	0	27836807	0	0	0	0	0	0	25546428
2024-07-08	10858712	28064100	43430032	32433612	7940368	6872432	7373576	5233156	9295152	8814396	7843484	7532872	7254924	7473888	10771792	7183016	6948152	6829072	7143764	6915816	7484804	6990640	8243652	7447296	6757420	7686204	7113652	7123948	7678864	10284864	7391648	7830416
2024-07-22	0	0	0	0	0	0	9957216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
