week_start	sub-Plaid-warm-01-nachet/sub-Plaid-warm-01-nachet_ses-20230213T132100_behavior.nwb	sub-Plaid-warm-02-nachet/sub-Plaid-warm-02-nachet_ses-20230214T095800_behavior.nwb	sub-Plaid-warm-03-nachet/sub-Plaid-warm-03-nachet_ses-20230214T115800_behavior.nwb	sub-Plaid-warm-04-nachet/sub-Plaid-warm-04-nachet_ses-20230214T134700_behavior.nwb	sub-Plaid-warm-05-nachet/sub-Plaid-warm-05-nachet_ses-20230228T090700_behavior.nwb	sub-Plaid-warm-06-nachet/sub-Plaid-warm-06-nachet_ses-20230228T111400_behavior.nwb	sub-Plaid-warm-07-nachet/sub-Plaid-warm-07-nachet_ses-20230228T135900_behavior.nwb	sub-Plaid-warm-08-nachet/sub-Plaid-warm-08-nachet_ses-20230228T154800_behavior.nwb	sub-Plaid-warm-09-nachet/sub-Plaid-warm-09-nachet_ses-20230301T110200_behavior.nwb	sub-Plaid-warm-10-nachet/sub-Plaid-warm-10-nachet_ses-20230301T161300_behavior.nwb	sub-Plaid-warm-11-nachet/sub-Plaid-warm-11-nachet_ses-20230307T114100_behavior.nwb	sub-Plaid-warm-12-nachet/sub-Plaid-warm-12-nachet_ses-20230307T134300_behavior.nwb	sub-Plaid-warm-13-nachet/sub-Plaid-warm-13-nachet_ses-20230307T161800_behavior.nwb	sub-Plaid-warm-14-nachet/sub-Plaid-warm-14-nachet_ses-20230308T093400_behavior.nwb	sub-Plaid-warm-15-nachet/sub-Plaid-warm-15-nachet_ses-20230308T124200_behavior.nwb	sub-Plaid-warm-16-nachet/sub-Plaid-warm-16-nachet_ses-20230308T153300_behavior.nwb	sub-Plaid-warm-17-nachet/sub-Plaid-warm-17-nachet_ses-20230314T092000_behavior.nwb	sub-Plaid-warm-18-nachet/sub-Plaid-warm-18-nachet_ses-20230314T120400_behavior.nwb	sub-Plaid-warm-19-nachet/sub-Plaid-warm-19-nachet_ses-20230314T155900_behavior.nwb	sub-Plaid-warm-20-nachet/sub-Plaid-warm-20-nachet_ses-20230315T114600_behavior.nwb	sub-Plaid-warm-21-nachet/sub-Plaid-warm-21-nachet_ses-20230315T133600_behavior.nwb	sub-Plaid-warm-22-nachet/sub-Plaid-warm-22-nachet_ses-20230315T161000_behavior.nwb	sub-Plaid-warm-23-nachet/sub-Plaid-warm-23-nachet_ses-20230327T121900_behavior.nwb	sub-Plaid-warm-24-nachet/sub-Plaid-warm-24-nachet_ses-20230327T141000_behavior.nwb	sub-Plaid-warm-25-nachet/sub-Plaid-warm-25-nachet_ses-20230327T155800_behavior.nwb	sub-Plaid-warm-26-nachet/sub-Plaid-warm-26-nachet_ses-20230328T092200_behavior.nwb	sub-Plaid-warm-27-nachet/sub-Plaid-warm-27-nachet_ses-20230328T113900_behavior.nwb	sub-Plaid-warm-28-nachet/sub-Plaid-warm-28-nachet_ses-20230328T140700_behavior.nwb	sub-Plaid-warm-29-nachet/sub-Plaid-warm-29-nachet_ses-20230404T120200_behavior.nwb	sub-Plaid-warm-30-nachet/sub-Plaid-warm-30-nachet_ses-20230404T140600_behavior.nwb	sub-Plaid-warm-31-nachet/sub-Plaid-warm-31-nachet_ses-20230404T160900_behavior.nwb	sub-Plaid-warm-32-nachet/sub-Plaid-warm-32-nachet_ses-20230411T111900_behavior.nwb	sub-Plaid-warm-33-nachet/sub-Plaid-warm-33-nachet_ses-20230411T141400_behavior.nwb	sub-Plaid-warm-34-nachet/sub-Plaid-warm-34-nachet_ses-20230411T160300_behavior.nwb	sub-Plaid-warm-35-nachet/sub-Plaid-warm-35-nachet_ses-20230412T105400_behavior.nwb	sub-Plaid-warm-36-nachet/sub-Plaid-warm-36-nachet_ses-20230412T124500_behavior.nwb	sub-Plaid-warm-37-nachet/sub-Plaid-warm-37-nachet_ses-20230412T143600_behavior.nwb
2025-09-29	8319516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	17803420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19187094	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	70494364	53435631	78071022	38529904	51850653	35401360	78587220	93376132	92294802	115681779	44469789	34973225	11660424	6812832	49877719	70674286	49372639	0	51641928	33712908	43060496	51048071	52141934	34529436	44872312	46248618	61186141	105343653	48359048	87537984	56832293	42081686	80535998	79619742	10219248	35493041	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	19287773	0	0	0	0	19077732	0	0	0	24820618	0	0	0	0	0	0	0	0	0	0	15728640	0	30250161	0
2026-01-05	0	0	0	0	0	0	0	0	19478925	0	0	0	0	0	15728640	0	0	0	0	0	14555556	0	0	0	0	34915734	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	59663166	0	0	0	58933176	0	45574429	0	59460690	0	0	0	81160046	0	0	69612744	70452624	0	10485760	70612756	70332426	0	69831468	0	0	35322956	0	70560322	0	95185889	45644563	0	0	0
2026-01-19	0	0	0	0	0	24915600	0	0	0	0	0	0	45382174	0	0	0	15728640	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24587765
2026-01-26	15728640	24673139	0	0	20971520	0	14391610	0	0	24602909	0	10485760	29653534	0	0	19608503	0	0	0	0	0	0	0	0	13943576	0	10485760	15728640	10485760	20971520	30037281	0	29981003	0	24513098	0	0
2026-02-02	0	0	9250925	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0	0	0	0
2026-02-16	4127004	11038448	614400	10579892	35396081	13167108	409600	4946204	10284756	0	0	0	34896414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33975546	0	0	0	0	0	0	0
2026-02-23	0	0	0	0	0	0	0	4192512	0	0	6424257	0	0	1224413	0	0	0	0	0	0	0	0	0	0	0	4705068	6894625	0	0	0	0	0	0	6620207	10775514	0	0
2026-03-02	0	4061496	0	4389036	0	0	2492730	0	0	4651068	0	2307625	6451942	0	0	2159543	2295279	4127004	4192512	2355912	4847592	2449031	0	2500613	6732656	0	0	6399771	0	4127004	0	4127004	0	0	0	0	0
2026-03-09	2171982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6340045	0
2026-03-16	0	0	0	0	0	0	0	0	4127004	0	0	0	0	25089564	0	0	0	9629676	0	0	0	13036092	11987964	8516040	0	0	0	0	0	0	0	0	0	13953204	0	0	0
2026-03-23	4127004	0	17687160	0	0	0	0	0	0	0	0	0	0	0	34941895	0	0	4127004	0	0	2144677	0	1	0	0	34915734	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	35074464	0	0	0	0	0	0	0	0	0	48052505	0	0	69921758	4127004	0	0	409600	0	0	1310161	0	0	0	0	35322956	0	0	0	0	0	0	0	35073525
2026-04-06	0	35158899	0	0	0	0	0	0	1	0	0	0	0	35016413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
