date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2024-08-29	5779056	30	30	0
2024-08-30	65356528	342	342	0
2024-08-31	48125392	252	252	0
2024-09-02	2679744	14	14	0
2024-09-03	768352	4	4	0
2024-09-04	10541720	55	55	0
2024-09-05	4578432	24	24	0
2024-09-06	4414984	23	23	0
2024-09-07	3081056	16	16	0
2024-09-08	5184872	27	27	0
2024-09-09	6548784	34	34	0
2024-09-10	5251968	27	27	0
2024-09-11	4017392	21	21	0
2024-09-13	386912	2	1	1
2024-09-14	1945504	10	1	1
2024-09-16	194824	1	1	0
2024-09-19	183224	1	1	0
2024-09-20	91019168	711	237	237
2024-09-21	50808976	391	133	129
2024-09-23	192088	1	1	0
2024-09-25	194824	1	1	0
2024-09-26	366480	2	2	0
2024-09-27	389648	2	2	0
2024-09-29	570168	3	3	0
2024-10-01	386912	2	2	0
2024-10-04	192088	1	1	0
2024-10-06	183224	1	1	0
2024-10-10	67030232	348	348	0
2024-10-11	386912	2	2	0
2024-10-12	2122808	11	11	0
2024-10-17	192088	1	1	0
2024-10-18	192088	1	1	0
2024-10-20	576264	3	3	0
2024-10-23	192088	1	1	0
2024-10-24	70844136	368	368	0
2024-10-30	384176	2	2	0
2024-11-04	192088	1	1	0
2024-11-05	194824	1	1	0
2024-11-07	378048	2	2	0
2024-11-08	375312	2	2	0
2024-11-10	192088	1	1	0
2024-11-12	192088	1	1	0
2024-11-13	579000	3	3	0
2024-11-15	183224	1	1	0
2024-11-16	2305056	12	12	0
2024-11-17	1344616	7	7	0
2024-11-18	192088	1	1	0
2024-11-20	4557120	24	24	0
2024-11-21	192088	1	1	0
2024-11-22	576264	3	3	0
2024-11-23	2313264	12	12	0
2024-11-24	1173792	6	6	0
2024-11-26	3465744	18	18	0
2024-11-27	1160736	6	6	0
2024-11-28	1903152	10	10	0
2024-11-29	1335752	7	7	0
2024-11-30	964792	5	5	0
2024-12-01	775440	4	4	0
2024-12-02	384176	2	2	0
2024-12-05	192088	1	1	0
2025-02-10	183256	1	1	0
2025-02-11	192088	1	1	0
2025-02-13	192088	1	1	0
2025-02-19	183224	1	1	0
2025-07-26	1899792	10	0	10
2025-07-27	1347368	7	0	7
2025-07-28	2295600	12	0	12
2025-07-29	1716568	9	0	9
2025-07-30	5635576	29	0	29
2025-07-31	3643928	19	0	19
2025-08-01	2736520	14	0	14
2025-08-02	3072456	16	0	16
2025-08-03	3652776	19	0	19
2025-08-04	2114800	11	0	11
2025-08-05	2493784	13	0	13
2025-08-06	1934928	10	0	10
2025-08-07	1527840	8	0	8
2025-08-08	1350104	7	0	7
2025-08-09	1546528	8	0	8
2025-08-10	2115064	11	0	11
2025-08-11	2109608	11	0	11
2025-08-12	3533280	18	0	18
2025-08-13	2122136	11	0	11
2025-08-14	2680176	14	0	14
2025-08-15	2877008	15	0	15
2025-08-16	2476024	13	0	13
2025-08-17	2526008	13	0	13
2025-08-18	1734264	9	0	9
2025-08-19	1146432	6	0	6
2025-08-20	762224	4	0	4
2025-08-21	1155280	6	0	6
2025-08-22	572872	3	0	3
2025-08-23	954360	5	0	5
2025-08-24	764960	4	0	4
2025-08-26	605768	3	0	3
2025-08-27	2717832	14	1	13
2025-08-28	1355576	7	0	7
2025-08-29	2308112	12	0	12
2025-08-30	1950112	10	0	10
2025-08-31	580616	3	0	3
2025-09-01	1528816	8	0	8
2025-09-02	1348968	7	0	7
2025-09-03	1746592	9	0	9
2025-09-04	1545800	8	0	8
2025-09-05	960440	5	0	5
2025-09-06	1581264	8	0	8
2025-09-07	386928	2	0	2
2025-09-08	1560128	8	0	8
2025-09-09	1332424	7	0	7
2025-09-10	1543152	8	0	8
2025-09-11	386912	2	0	2
2025-09-12	1538288	8	0	8
2025-09-13	1152528	6	0	6
2025-10-08	768352	6	2	2
2025-10-09	196440	1	0	1
2025-11-12	194824	1	1	0
2025-12-05	194824	1	1	0
2025-12-10	192088	1	1	0
2025-12-12	567432	3	3	0
2025-12-13	762240	4	4	0
2025-12-14	764960	4	4	0
2025-12-15	1542176	8	8	0
2025-12-16	71874512	373	373	0
2025-12-17	48513096	253	253	0
2025-12-18	95038720	492	492	0
2025-12-19	72266336	375	375	0
2025-12-20	2109608	11	11	0
2025-12-21	1544928	8	8	0
2025-12-22	1530608	8	8	0
2025-12-23	750656	4	4	0
2025-12-24	576264	3	3	0
2025-12-25	1149168	6	6	0
2025-12-26	581736	3	3	0
2025-12-27	942712	5	5	0
2025-12-28	764992	4	4	0
2025-12-29	1143696	6	6	0
2025-12-30	1783048	9	9	0
2025-12-31	1757256	9	9	0
2026-01-01	942744	5	5	0
2026-01-02	2517144	13	13	0
2026-01-03	1926352	10	10	0
2026-01-04	1729752	9	9	0
2026-01-05	1764488	9	9	0
2026-01-06	558568	3	3	0
2026-01-07	1527248	8	8	0
2026-01-08	1348224	7	7	0
2026-01-09	1528744	8	8	0
2026-01-10	572392	3	3	0
2026-01-11	386912	2	2	0
2026-01-12	384176	2	2	0
2026-01-14	192088	1	1	0
2026-01-15	965896	5	5	0
2026-01-16	219402032	1139	1139	0
2026-01-21	768352	4	4	0
2026-01-22	3274536	17	17	0
2026-01-23	4281688	22	22	0
2026-01-24	3458688	18	18	0
2026-01-26	4439816	23	23	0
2026-01-27	6995048	36	36	0
2026-01-28	3848776	20	20	0
2026-01-29	2889528	15	15	0
2026-02-20	5889760	40	20	20
2026-02-22	192088	1	0	1
2026-02-24	3033536	23	7	9
2026-02-25	8746168	67	22	23
2026-02-26	14999968	113	41	36
2026-02-27	11552960	89	31	29
2026-02-28	8520048	65	23	21
2026-03-01	13247864	102	36	33
2026-03-02	13241272	103	35	34
2026-03-03	8986024	70	24	23
2026-03-04	10395808	81	27	27
2026-03-05	9289808	72	24	24
2026-03-06	8452640	66	22	22
2026-03-07	12470936	97	33	32
2026-03-08	10730144	84	28	28
2026-03-09	12933896	100	34	33
2026-03-10	8888448	69	23	23
2026-03-12	386912	2	2	0
2026-03-17	192088	1	1	0
2026-03-18	391264	2	2	0
2026-03-19	56535248	294	294	0
2026-03-20	386912	2	2	0
2026-03-21	576264	3	3	0
2026-03-22	183256	1	1	0
2026-03-23	386912	2	2	0
2026-03-24	831472	4	4	0
2026-03-25	1347352	7	7	0
2026-03-26	2411304	14	11	3
2026-03-27	1157440	6	6	0
2026-03-28	1155264	6	6	0
2026-03-30	759488	4	4	0
2026-03-31	964792	5	5	0
2026-04-01	375312	2	2	0
2026-04-03	750624	4	4	0
2026-04-04	1175952	6	6	0
2026-04-05	192088	1	1	0
2026-04-06	386912	2	2	0
2026-04-07	389664	2	2	0
2026-04-08	603032	3	3	0
2026-04-09	183256	1	1	0
2026-04-11	769224	4	4	0
2026-04-12	577136	3	3	0
2026-04-13	386912	2	2	0
2026-04-14	567400	3	3	0
2026-04-15	410944	2	2	0
2026-04-16	192088	1	1	0
2026-04-17	1581264	8	8	0
2026-04-18	388528	2	2	0
2026-04-19	773824	4	4	0
2026-04-20	1530608	8	8	0
2026-04-21	51554496	268	268	0
2026-04-22	375344	2	2	0
2026-04-23	386928	2	2	0
2026-04-24	579016	3	3	0
2026-04-25	387784	2	2	0
2026-04-26	384176	2	2	0
2026-04-27	762256	4	4	0
2026-04-28	388528	2	2	0
2026-04-29	963176	5	5	0
2026-04-30	183256	1	1	0
2026-05-01	389648	2	2	0
2026-05-02	384176	2	2	0
2026-05-03	192088	1	1	0
2026-05-05	194824	1	1	0
2026-05-06	194808	1	1	0
2026-05-07	192088	1	1	0
2026-05-08	386912	2	2	0
2026-05-12	384176	2	2	0
2026-05-13	386928	2	2	0
2026-05-14	1347368	10	4	3
2026-05-15	6709608	52	17	18
2026-05-16	11352032	84	28	30
2026-05-17	12660248	86	20	46
2026-05-18	62156792	354	292	31
2026-05-19	18861616	111	85	13
2026-05-20	224189040	1528	753	753
2026-05-21	6237888	48	16	16
2026-05-22	6723176	50	20	15
2026-05-23	8239208	64	22	21
2026-05-24	10336384	78	30	24
2026-05-25	7938616	59	23	18
2026-05-26	5422592	41	15	13
2026-05-27	11604344	83	37	33
2026-05-28	9881040	71	31	30
2026-05-29	5833696	44	16	14
2026-05-30	8456128	66	22	22
2026-05-31	8400768	66	22	22
2026-06-01	4032568	31	11	10
2026-06-02	4805624	36	14	11
2026-06-03	13353776	88	52	18
2026-06-04	11082000	77	39	19
2026-06-05	4268720	26	18	4
2026-06-06	1345488	7	7	0
2026-06-07	2464456	13	13	0
2026-06-08	1903216	10	10	0
2026-06-09	1903152	10	10	0
2026-06-10	31469224	239	85	43
2026-06-11	17859320	135	51	21
2026-06-12	30792384	234	86	37
2026-06-13	22229568	170	62	27
2026-06-14	13063888	96	40	14
2026-06-15	9432568	71	27	11
2026-06-16	12616224	92	40	13
2026-06-17	9063208	63	31	8
2026-06-18	14000760	107	39	17
2026-06-19	11120040	81	33	12
2026-06-20	14924016	112	43	18
2026-06-21	14940120	111	43	17
2026-06-22	6685256	51	18	9
2026-06-23	18229800	139	50	23
2026-06-24	11352176	84	32	13
2026-06-25	12665216	96	36	15
2026-06-26	68783624	411	303	27
2026-06-27	15525304	115	47	17
2026-06-28	13797864	103	39	16
2026-06-29	26970536	171	111	15
2026-06-30	14252368	106	42	16
2026-07-01	20792976	158	58	25
2026-07-02	21033512	157	61	24
2026-07-03	17095800	131	47	21
2026-07-04	16382664	125	45	20
2026-07-05	19608840	149	53	24
2026-07-06	10914868	87	27	17
2026-07-07	9026756	71	23	10
2026-07-08	8607256	63	27	9
2026-07-09	56299768	315	271	11
2026-07-10	11172784	82	34	12
2026-07-11	11745192	87	35	13
2026-07-12	13500520	101	37	16
2026-07-13	14355512	107	43	17
2026-07-14	20160104	150	60	24
2026-07-15	12242320	94	34	15
2026-07-16	10933288	82	32	13
2026-07-17	12743968	95	37	15
2026-07-18	14448808	109	41	17
2026-07-19	27737792	211	77	42
2026-07-20	7898168	57	25	11
2026-07-21	4052344	29	13	8
2026-07-22	1920880	14	6	4
2026-07-23	2481528	13	13	0
2026-07-24	4423960	26	20	3
2026-07-25	2289408	12	12	0
2026-07-26	11714848	86	38	24
2026-07-27	26195192	200	74	63
2026-07-28	124118104	852	414	402
2026-07-29	16696296	125	49	38
2026-07-30	10353776	77	31	23
2026-07-31	9027512	62	32	15
2026-08-01	4606064	30	18	6
2026-08-02	6668056	49	21	14
2026-08-03	4783128	32	18	7
2026-08-04	9445144	69	29	20
2026-08-05	5627016	41	17	12
2026-08-06	5749808	41	19	11
2026-08-07	9776960	72	30	22
2026-08-08	8271576	62	24	19
