week_start	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220518.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220523.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220525.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220601.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220603.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220606.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220608.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220613.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220615.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220622.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220901.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220929.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221006.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221018.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221025.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221027.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221101.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221103.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221208.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221215.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20230228.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220518.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220523.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220525.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220601.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220603.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220606.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220608.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220613.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220615.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220622.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220901.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220929.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221006.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221018.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221025.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221027.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221101.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221103.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221208.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221215.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20230228.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20230417.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20230531.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20230628.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20230816.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20231009.nwb
2024-10-21	0	84807875	91034941	85840150	58897380	0	66344109	0	65648065	0	43713344	39452476	0	32711681	29314201	29486116	0	35419931	36141346	17448705	34683601	0	1226680	0	2580020	2997640	4295245	0	0	4131180	2959960	0	0	2600430	0	2751150	0	0	0	0	0	4251285	3312425	0	0	3525945	4790580
2024-10-28	7978981	11407555	12391741	12439830	11711460	11617752	8672429	11564825	7976385	10382345	7013184	7995196	7400951	6497281	8342681	8514596	10800516	9205531	9926946	6962945	8469201	4296815	1226680	3552635	2580020	2997640	4295245	10449746	4168860	6292944	2959960	5176674	7965630	5200860	4924689	2161764	0	2161764	0	0	0	0	2161764	0	0	2161764	0
2024-11-04	57586457	0	7860960	4389036	0	0	20438496	8254008	0	9891708	0	0	10153740	0	0	7860960	0	7336896	10219248	0	7074864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-11	0	84807875	0	85840150	0	0	66344109	4127004	65648065	0	43713344	39452476	0	32711681	0	29486116	0	0	0	0	34683601	4296815	1226680	0	2580020	2997640	4295245	12121420	0	0	0	3014910	3982815	2600430	2762925	0	0	5696980	2317045	0	0	0	2161764	0	3684515	7051890	4127004
2024-11-18	0	84807875	91034941	85840150	58897380	105989592	0	0	65648065	0	0	0	31312824	98743745	0	38853760	0	0	36141346	0	34683601	0	0	0	0	0	0	0	4168860	0	0	0	0	2600430	0	0	2842995	0	0	0	0	0	3312425	0	0	3525945	0
2024-11-25	73042761	128298019	21028068	20110956	16442508	0	132688218	0	65648065	73296905	94351028	78904952	0	32711681	0	58972232	0	35419931	0	34897410	34683601	4296815	0	0	0	2997640	0	6060710	4168860	0	2959960	3014910	0	0	0	0	2842995	2848490	2317045	3760660	5987430	4251285	3312425	6998510	3684515	3525945	9581160
2024-12-02	66289610	50331648	0	85840150	58897380	0	66344109	0	0	0	16777216	0	5303799	24323073	0	0	0	0	0	0	26294993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2751150	0	0	2317045	0	0	4251285	0	0	0	0	0
2024-12-09	49922021	84807875	24827532	85840150	0	105989592	0	84965145	0	0	43713344	39452476	38858231	32711681	0	0	0	0	0	0	34683601	0	0	0	0	0	0	0	0	4131180	0	3014910	3982815	2600430	0	2751150	0	2848490	0	0	2993715	4251285	0	3499255	3684515	3525945	0
2024-12-30	49922021	84807875	0	85840150	58897380	0	66344109	0	65648065	0	0	0	0	0	29314201	0	0	0	36141346	17448705	48633221	0	1226680	3552635	2580020	0	0	0	0	0	0	0	3982815	0	0	2751150	0	0	0	3760660	0	0	0	0	3684515	3525945	4790580
2025-01-06	0	0	0	85840150	0	0	0	0	65648065	0	0	39452476	38858231	0	0	29486116	0	0	0	0	34683601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2751150	0	0	2317045	0	0	4251285	0	0	0	0	0
2025-01-13	99844042	0	0	0	0	211979184	0	0	0	146593810	0	0	0	0	0	0	0	0	0	0	0	8593630	0	7105270	0	0	8590490	0	0	8262360	0	6029820	0	0	0	0	5685990	0	4634090	0	0	0	0	6998510	0	3525945	0
2025-01-20	49922021	0	91034941	85840150	58897380	105989592	66344109	84965145	0	0	43713344	0	38858231	32711681	0	0	31772036	0	36141346	0	0	4296815	1226680	3552635	2580020	2997640	4295245	6060710	4168860	4131180	2959960	3014910	3982815	2600430	2762925	2751150	2842995	0	2317045	0	2993715	0	3312425	3499255	0	0	4790580
2025-02-03	49922021	0	0	0	0	0	66344109	0	0	73296905	0	0	0	32711681	0	29486116	31772036	35419931	0	0	34683601	0	0	0	2580020	0	4295245	0	0	4131180	0	3014910	3982815	2600430	0	0	2842995	2848490	0	3760660	2993715	0	0	3499255	0	3525945	0
2025-02-10	99844042	84807875	91034941	257520450	117794760	317344720	265376436	254895435	196944195	146593810	131140032	78904952	77716462	65423362	58628402	117944464	0	106259793	36141346	52346115	69367202	12890445	4906720	10657905	2580020	0	12885735	0	16675440	16524720	2959960	3014910	7965630	5200860	11051700	5502300	8528985	5696980	4634090	15042640	5987430	8502570	6624850	3499255	14738060	17629725	14371740
2025-02-17	29953208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	49922021	84807875	0	0	58897380	105989592	66344109	0	0	0	43713344	0	38858231	32711681	29314201	29486116	0	0	0	17448705	0	4296815	2453360	3552635	5160040	0	0	12121420	4168860	4131180	2959960	0	7965630	2600430	2762925	0	2842995	0	2317045	0	0	0	0	0	0	0	0
2025-03-03	49922021	0	0	85840150	0	211979184	66344109	0	65648065	0	0	0	77716462	0	0	0	31772036	35419931	72282692	0	0	0	0	0	0	0	0	0	0	0	2959960	3014910	0	0	5525850	0	0	0	2317045	0	5987430	0	3312425	0	0	7051890	0
2025-03-10	210817276	130656307	205048854	49182172	153620468	317968776	78266565	174319326	65648065	153472150	87426688	88469120	77716462	65423362	29314201	88458348	0	35419931	108424038	17448705	104050803	4296815	0	3552635	0	2997640	0	6060710	4168860	8262360	5919920	0	7965630	2600430	5525850	7664064	2842995	2848490	4634090	3760660	5987430	0	6624850	204800	2161764	7051890	14371740
2025-03-17	105870778	84807875	91034941	85840150	0	0	66344109	84965145	65648065	0	87426688	0	77716462	65423362	29314201	29486116	31772036	35419931	36141346	17448705	34683601	8593630	1226680	3552635	5160040	5995280	8590490	12121420	8337720	8262360	0	3014910	7965630	2600430	5525850	5502300	5685990	2848490	2317045	7521320	2993715	4251285	3312425	3499255	0	3525945	4790580
2025-03-24	8800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	0	0	91034941	171680300	117794760	0	66344109	169930290	65648065	73296905	43713344	39452476	38858231	32711681	29314201	29486116	31772036	35419931	0	0	34683601	4296815	1226680	0	2580020	2997640	4295245	6060710	4168860	0	0	0	3982815	2600430	0	2751150	2842995	0	2317045	3760660	0	4251285	0	0	0	0	0
