week_start	sub-C3-2/sub-C3-2_ses-PPXopenField-C3-2-day1_ecephys.nwb	sub-C3-2/sub-C3-2_ses-PPXopenField-C3-2-day2_ecephys.nwb	sub-C9/sub-C9_ses-PPXopenField-C9-day1_ecephys.nwb	sub-C9/sub-C9_ses-PPXopenField-C9-day2_ecephys.nwb	sub-D0/sub-D0_ses-PPXopenField-D0-day1_ecephys.nwb	sub-D0/sub-D0_ses-PPXopenField-D0-day2_ecephys.nwb	sub-D0/sub-D0_ses-PPXopenField-D0-day3_ecephys.nwb	sub-D0/sub-D0_ses-PPXopenField-D0-day4_ecephys.nwb	sub-D0/sub-D0_ses-SalineopenField-DO_ecephys.nwb	sub-D3-1/sub-D3-1_ses-PPXopenField-D3-1-day1_ecephys.nwb	sub-D3-1/sub-D3-1_ses-PPXopenField-D3-1-day2_ecephys.nwb	sub-D3-1/sub-D3-1_ses-PPXopenField-D3-1-day3_ecephys.nwb	sub-D3-1/sub-D3-1_ses-PPXopenField-D3-1-day4_ecephys.nwb	sub-E0/sub-E0_ses-PPXopenField-E0-day1_ecephys.nwb	sub-E0/sub-E0_ses-PPXopenField-E0-day2_ecephys.nwb	sub-E0/sub-E0_ses-PPXopenField-E0-day3_ecephys.nwb	sub-E0/sub-E0_ses-PPXopenField-E0-day4_ecephys.nwb	sub-E0/sub-E0_ses-Saline-openField-E0_ecephys.nwb	sub-E5/sub-E5_ses-PPXopenField-E5-day1_ecephys.nwb	sub-E5/sub-E5_ses-PPXopenField-E5-day2_ecephys.nwb	sub-E5/sub-E5_ses-PPXopenField-E5-day3_ecephys.nwb	sub-E5/sub-E5_ses-PPXopenField-E5-day4_ecephys.nwb	sub-H0-2/sub-H0-2_ses-PPXopenField-H0-2-day1_ecephys.nwb	sub-H0-2/sub-H0-2_ses-PPXopenField-H0-2-day2_ecephys.nwb	sub-H0-2/sub-H0-2_ses-PPXopenField-H0-2-day3_ecephys.nwb	sub-H0-2/sub-H0-2_ses-PPXopenField-H0-2-day4_ecephys.nwb	sub-H1-3/sub-H1-3_ses-PPXopenField-H1-3-day1_ecephys.nwb	sub-H1-3/sub-H1-3_ses-PPXopenField-H1-3-day2_ecephys.nwb	sub-H1-3/sub-H1-3_ses-PPXopenField-H1-3-day3_ecephys.nwb	sub-H1-3/sub-H1-3_ses-SalineopenField-H1-3_ecephys.nwb	sub-H4-3/sub-H4-3_ses-PPXopenField-H4-3-day1_ecephys.nwb	sub-H4-3/sub-H4-3_ses-PPXopenField-H4-3-day2_ecephys.nwb	sub-H4-3/sub-H4-3_ses-PPXopenField-H4-3-day3_ecephys.nwb	sub-H4-3/sub-H4-3_ses-PPXopenField-H4-3-day4_ecephys.nwb	sub-H4-3/sub-H4-3_ses-SalineopenField-H4-3_ecephys.nwb	sub-J0/sub-J0_ses-PPXopenField-J0-day1_ecephys.nwb	sub-J0/sub-J0_ses-PPXopenField-J0-day2_ecephys.nwb	sub-J0/sub-J0_ses-PPXopenField-J0-day3_ecephys.nwb	sub-J0/sub-J0_ses-PPXopenField-J0-day4_ecephys.nwb	sub-JFB/sub-JFB_ses-PPXopenField-JFB-day1_ecephys.nwb	sub-JFC/sub-JFC_ses-PPXopenField-JFC-day1_ecephys.nwb	sub-JFF/sub-JFF_ses-PPXopenField-JFF-day1_ecephys.nwb	sub-K1/sub-K1_ses-PPXopenField-K1-day1_ecephys.nwb	sub-K1/sub-K1_ses-PPXopenField-K1-day2_ecephys.nwb	sub-K1/sub-K1_ses-PPXopenField-K1-day3_ecephys.nwb	sub-K1/sub-K1_ses-PPXopenField-K1-day4_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day1_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day2-optoSession_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day2_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day3_ecephys.nwb	sub-K4/sub-K4_ses-PPXopenField-K4-day4_ecephys.nwb	sub-N4/sub-N4_ses-PPXopenField-N4-day3_ecephys.nwb	sub-N4/sub-N4_ses-PPXopenField-N4-day4_ecephys.nwb	sub-P2/sub-P2_ses-PPXopenField-P2-day1_ecephys.nwb	sub-P2/sub-P2_ses-PPXopenField-P2-day2_ecephys.nwb	sub-P4/sub-P4_ses-PPXopenField-P4-day1_ecephys.nwb
2025-12-29	39559180482	36782287843	40455575355	38743243382	0	0	38421777304	19394711691	0	49911002232	40015019227	0	45660913196	0	0	0	0	51157653048	0	38237800633	0	0	0	0	0	0	0	36226962607	36154744903	0	0	0	0	32194461632	12572426240	0	0	0	0	0	13088581994	31306396877	0	0	0	15985541120	0	0	0	14791310594	37597649825	0	0	0	18287866401	39948814820
2026-01-05	62658572	45965565	47220291	48233886	61567416	42328836	64299524	31415623	62289431	34298304	56434326	48414093	35576560	41194930	41669739	109479435	15203898	30906308	58704692	75802583	47271136	34647626	62284430	18828998136	68598810	44039688	28597173	25280385	32795732	38079806	36596920	35626936	39387618	34290156	49400079	48078132	51508569	40974213	47556351	63833454	27447852	62216228	46379248	67866356	31429654	33492147	37112866	43925409	50721539	80343648	61049676	45025481	58623124	33423120	44168124	18839412
2026-01-12	0	0	0	0	0	0	0	0	0	0	0	6248825624	0	10974044684	0	0	0	0	0	0	0	20961056740	2709968188	0	0	0	0	0	0	0	19602764492	0	5866976108	0	0	10821166136	0	5742973148	0	0	0	0	0	0	0	0	0	0	0	12076352476	2160585248	10485760	5610192116	0	0	0
2026-01-19	19562797728	33307702	8581548	16901064	19978004868	18454976	12708552	28570761	21390562	8899792	12080631	19261806	26470948	32613382	10092666	14147342362	22396401105	17208860	17443886	18119045	13979548	13098547	16190842	11907843	21250406	31134612	14991391	15172218	22752142	13157938	10066342	8334684349	23179536	11430052	14702814	8778072	47088715	8188500	30589779	36371271	3210315730	21936994	18735080	18570701892	22571888	42270219	52935632	26685122	23305653	14755358	18505065	18787468186	8154112	22172900	28438338	13775988
2026-01-26	25802006	15988132948	16967136295	15376174926	28621944	12102308516	16089051212	29244586	10297513867	25510936	48808239	38589120	14785047132	42631305	18281166	35488689	7601949	31168340	15447496370	11061365390	20005495704	48463708	14414322112	11877378	25377410	14984539712	23441923	16763979541	14334281057	11302106126	16202204	34298045	20531610	37138660	24907551	39824124	15707847254	16583415396	13040022128	9039737001	49752370	13075944039	22141392	46314224	12570349200	32743870	14325485219	3014350552	18768830	27463910	37730718	27133203	41460028	5671860924	40041120	17730779908
2026-02-02	0	4192512	23814318	10269586	4258020	16031180	16002512	12100235	6502769	12615301900	10645757147	11964574207	12824620	34180773	14794187475	27873474	4258020	6362517332	32417226	22153870	25469792	8971543	24717248	0	16913971	17387560	15796806353	5522607	4127004	13616494	12583893632	15113617	13372995432	11313828160	4651068	39889632	8450532	17632223	18778141	8254008	14660308	14964485	10481072	13527419	13349446	0	24600838	17960875	7482413614	18947870	12352225280	8516040	13329244	10988188	5923990817	936420
2026-02-09	13814042	20664658	0	19571722	28621944	13452754	0	12034727	18883781	21917292	4192512	30923457	12693604	8385024	4454544	36651546	15156198	8758328	18229982	22219378	22299064	13033039	16452874	7871175	34102881	4585560	28466157	29996961	18559630	14393420	10131850	11117629	4127004	18471068	27804414	20697368	9417743	19280494	24520190	7734721	11588174	19091489	9433048	13527419	27667326	19576762	8974596	31478889	10481280	14755358	14247045	4851889	28296188	18176912	7930401	4997916
2026-02-16	18456964	8399843	16492719	4782084	0	14410032	11941016	8385024	6502769	0	4127004	4192512	4439596	10017923	5046333	18882591	0	9262648	26633764	13205945	0	4696236	26950706	8002191	12786967	22459616	15646471	5522607	0	4323528	0	6859609	4389036	14344064	12002475	10348684	0	4192512	9040104	8516040	3930480	0	0	8188500	9222442	4127004	18490925	0	5060887	0	14443569	4192512	12281116	6861184	23062749	936420
2026-02-23	9228482	12657863	19949346	26616246	29471356	4127004	19624012	7907723	21521578	16882472	16273143	15069294	17198708	38766333	8778072	19684974	10505130	8889344	27092320	18026866	37549608	26721158	16714906	16724970	12655951	4323528	10864387	4127004	19542250	14327912	20132684	6859609	19183548	11364544	23480886	14475688	17933783	14236378	19367713	12058249	15977210	19550045	14804600	0	4127004	19576762	13905365	13113283	28218753	19144394	19978050	17691457	8154112	23303692	27983715	9255936
2026-03-02	0	0	4127004	6142582	4585560	4520052	0	0	0	4314232	0	0	0	0	0	0	0	0	0	0	9590512	0	4323528	0	12786967	9002536	4585560	0	5087303	0	0	6859609	11819046	0	0	0	4323528	0	10196593	0	0	0	5240536	0	0	9788381	0	8986279	0	0	0	0	12936196	6861184	0	0
2026-03-09	9228482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7871175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4258020	0
2026-03-16	12905076	26036314	15560310	8828410	8164980	11487514	12792620	16536034	13691172	4314232	10284756	16181703	5422216	10017923	19067262	11218155	6443634	17601908	4716576	22573589	35649876	17943086	24007026	10950051	21446930	22235152	589572	11045214	0	9882538	28604944	20578827	8843580	18405560	19026342	21614480	18195815	5054687	20393186	11403169	46614728	13420954	9498556	14116991	31794330	39360178	11416061	40256961	15345643	30886384	10709613	14944418	31047524	10922680	7930401	4127004
2026-03-23	0	1310160	0	0	0	0	0	0	9695184	0	0	0	0	10017923	0	0	0	4127004	0	0	4127004	0	0	3809679	0	0	6737383	0	0	0	0	0	7364502	0	4258020	0	0	0	0	0	0	0	0	9400415	0	0	4127004	7729944	0	0	2620320	0	0	0	0	0
