week_start	sub-b519-5/sub-b519-5_ses-ASPA_ophys.nwb	sub-b519-5/sub-b519-5_ses-IBA1_ophys.nwb	sub-b519-6/sub-b519-6_ses-GFAP_ophys.nwb	sub-b519-6/sub-b519-6_ses-NeuN_ophys.nwb	sub-b519-7/sub-b519-7_ses-GFAP_ophys.nwb	sub-b519-7/sub-b519-7_ses-NeuN_ophys.nwb	sub-b519-8/sub-b519-8_ses-ASPA_ophys.nwb	sub-b519-8/sub-b519-8_ses-IBA1_ophys.nwb	sub-b534-2/sub-b534-2_ses-ASPA_ophys.nwb	sub-b534-2/sub-b534-2_ses-IBA1_ophys.nwb	sub-b534-3/sub-b534-3_ses-ASPA_ophys.nwb	sub-b534-3/sub-b534-3_ses-IBA1_ophys.nwb	sub-b535-1/sub-b535-1_ses-ASPA_ophys.nwb	sub-b535-1/sub-b535-1_ses-IBA1_ophys.nwb	sub-b547-0/sub-b547-0_ses-ASPA_ophys.nwb	sub-b547-0/sub-b547-0_ses-IBA1_ophys.nwb	sub-b547-0/sub-b547-0_ses-NeuN_ophys.nwb	sub-b553-4/sub-b553-4_ses-ASPA_ophys.nwb	sub-b553-4/sub-b553-4_ses-IBA1_ophys.nwb	sub-b614-4/sub-b614-4_ses-ASPA_ophys.nwb	sub-b614-4/sub-b614-4_ses-GFAP_ophys.nwb	sub-b614-4/sub-b614-4_ses-IBA1_ophys.nwb	sub-b614-4/sub-b614-4_ses-NeuN_ophys.nwb	sub-b614-5/sub-b614-5_ses-ASPA_ophys.nwb	sub-b614-5/sub-b614-5_ses-GFAP_ophys.nwb	sub-b614-5/sub-b614-5_ses-IBA1_ophys.nwb	sub-b614-5/sub-b614-5_ses-NeuN_ophys.nwb	sub-b640-0/sub-b640-0_ses-ASPA_ophys.nwb	sub-b640-0/sub-b640-0_ses-GFAP_ophys.nwb	sub-b640-0/sub-b640-0_ses-NeuN_ophys.nwb	sub-b640-1/sub-b640-1_ses-ASPA_ophys.nwb	sub-b640-1/sub-b640-1_ses-GFAP_ophys.nwb	sub-b640-1/sub-b640-1_ses-IBA1_ophys.nwb	sub-b640-1/sub-b640-1_ses-NeuN_ophys.nwb	sub-b640-3/sub-b640-3_ses-GFAP_ophys.nwb	sub-b640-3/sub-b640-3_ses-NeuN_ophys.nwb	sub-b641-0/sub-b641-0_ses-GFAP_ophys.nwb	sub-b641-0/sub-b641-0_ses-IBA1_ophys.nwb	sub-b641-0/sub-b641-0_ses-NeuN_ophys.nwb	sub-b641-3/sub-b641-3_ses-ASPA_ophys.nwb	sub-b641-3/sub-b641-3_ses-IBA1_ophys.nwb	sub-b641-3/sub-b641-3_ses-NeuN_ophys.nwb	sub-b659-5/sub-b659-5_ses-GFAP_ophys.nwb	sub-b659-5/sub-b659-5_ses-NeuN_ophys.nwb	sub-b659-6/sub-b659-6_ses-GFAP_ophys.nwb	sub-b659-6/sub-b659-6_ses-NeuN_ophys.nwb	sub-b677-2/sub-b677-2_ses-GFAP_ophys.nwb	sub-b677-2/sub-b677-2_ses-NeuN_ophys.nwb	sub-b677-7/sub-b677-7_ses-GFAP_ophys.nwb	sub-b677-7/sub-b677-7_ses-NeuN_ophys.nwb	sub-b697-0/sub-b697-0_ses-GFAP_ophys.nwb	sub-b697-0/sub-b697-0_ses-NeuN_ophys.nwb	sub-b697-6/sub-b697-6_ses-GFAP_ophys.nwb	sub-b697-6/sub-b697-6_ses-NeuN_ophys.nwb
2025-12-15	29008364	7205100	7224252	9632336	7224252	7224252	29123276	7224252	29369596	7224252	28630636	7224252	28630636	7224252	29369596	7224252	7224252	29123276	7224252	28876956	7224252	7224252	7224252	28876956	7224252	7224252	6977932	29369596	7224252	7224252	29123276	7224252	7224252	7224252	9632336	7224252	7224252	7224252	7224252	29369596	7224252	7224252	7224252	7224252	7224252	9632336	9632336	7224252	7224252	7224252	7224252	7224252	7224252	9632336
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408084	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	2408084	0	0	2408084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408084	0	0	0	0	2408084	0	2408084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	22043200	0	0	0	2408084	0	21652704	0	22145344	0	24553428	0	21899024	0	21899024	0	0	22145344	0	21899024	0	0	0	21899024	0	0	0	22145344	0	0	22145344	0	0	0	0	2408084	0	0	0	22145344	0	0	0	0	0	0	0	0	0	0	0	0	2408084	0
2026-01-12	0	0	0	7224252	0	0	0	7224252	0	7224252	0	0	0	0	0	7224252	7224252	0	0	0	0	0	7224252	7224252	0	0	7224252	0	0	0	0	0	0	0	7224252	0	0	0	0	7224252	0	7224252	7224252	0	0	7224252	7224252	0	0	0	7224252	14448504	0	7224252
2026-01-19	10781664	0	0	0	0	2408084	11072672	0	13430960	0	11072672	0	11072672	0	11072672	0	0	11072672	0	11072672	0	0	2408084	11072672	7224252	0	2408084	10826352	0	0	11072672	0	0	0	0	0	0	0	0	11072672	0	0	2408084	2408084	2408084	0	0	0	0	2408084	0	0	0	0
2026-01-26	18650752	2401700	2408084	0	0	0	16116368	0	16116368	0	16362688	0	18770772	2408084	18770772	2408084	0	19017092	2408084	19017092	2408084	2408084	0	16116368	0	2408084	0	18524452	2408084	0	19017092	0	2408084	2408084	0	0	0	2408084	2408084	18524452	2408084	0	0	0	0	0	0	2408084	2408084	0	0	0	0	0
2026-02-02	11021600	0	0	0	0	0	10826352	0	10826352	0	11072672	2408084	11072672	0	11072672	0	2408084	11072672	0	11072672	0	0	0	11072672	0	0	0	11072672	0	0	11072672	0	0	0	0	0	2408084	0	0	11072672	0	0	0	0	0	0	0	0	0	0	2408084	0	0	0
2026-02-09	11021600	0	0	0	0	0	11072672	0	11072672	0	10826352	0	11072672	0	11072672	0	0	10826352	0	11072672	0	0	0	11072672	0	0	0	11072672	0	0	11072672	0	0	0	0	0	0	0	0	11072672	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	10723800	5213000	5225768	2612884	2612884	2612884	8149220	2612884	8149220	2612884	5290016	0	5536336	0	5536336	0	0	5536336	0	4372904	0	0	0	5536336	0	0	0	5536336	0	0	5536336	0	0	0	0	0	0	0	0	5536336	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	16234600	7968400	7993936	7993936	5225768	0	11072672	0	11072672	0	11072672	0	13840840	0	13840840	0	0	10826352	0	11072672	0	2768168	0	11072672	0	0	0	11072672	0	0	11072672	2768168	2768168	2768168	0	2768168	0	0	2768168	13594520	0	2768168	0	0	0	0	0	0	0	2768168	0	2768168	0	2768168
2026-03-02	2755400	0	0	0	2768168	0	2768168	2768168	2768168	0	0	2768168	0	2768168	0	2768168	2768168	2768168	2768168	2768168	2768168	0	0	2768168	2768168	5536336	2768168	2768168	1604736	2768168	0	0	0	2768168	2768168	0	2768168	2768168	0	0	2768168	0	2768168	0	2768168	2768168	2768168	2768168	2768168	0	687624	0	0	0
2026-03-09	2401700	0	0	0	0	2768168	0	0	0	2768168	5536336	0	0	0	0	0	0	0	2408084	0	0	0	2768168	0	0	0	0	0	0	0	2768168	0	0	0	0	0	0	0	0	0	0	0	0	2768168	0	0	0	0	0	0	0	0	2768168	0
2026-03-16	14528592	0	0	4816168	4816168	0	19081060	4816168	18688012	4816168	19065348	0	13987148	0	14380196	0	0	15100784	0	14052656	0	0	0	20752844	4816168	0	0	17951712	0	4816168	13085748	4816168	0	0	4816168	4816168	0	0	0	15166292	0	4816168	4816168	0	0	4816168	4816168	0	0	0	0	4816168	4816168	4816168
2026-03-23	6305172	5008200	5020968	0	0	0	5536336	0	5536336	0	4045364	0	5536336	0	7944420	0	2408084	3783332	0	4045364	0	0	0	7944420	2408084	2408084	2408084	5536336	0	0	5536336	0	0	0	2408084	2408084	0	0	0	7944420	2408084	2408084	0	0	0	0	0	0	2408084	2408084	2408084	0	8149220	8149220
2026-03-30	0	0	0	0	2408084	2408084	0	0	2408084	2408084	0	0	0	0	0	9632336	2408084	2408084	2408084	0	0	0	0	2408084	4816168	7224252	2408084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408084	0	0	0	2408084	2612884	2612884
2026-04-06	0	0	0	0	0	0	0	0	2408084	2408084	0	0	0	0	4816168	4816168	0	4816168	7224252	0	2408084	0	0	0	9632336	4816168	2408084	0	0	0	2408084	2408084	2408084	2408084	4816168	2408084	0	0	0	7224252	4816168	9632336	0	0	0	0	0	7224252	2408084	0	7224252	7224252	0	0
2026-04-13	0	2401700	0	0	2408084	4816168	0	0	0	2408084	0	0	0	0	0	0	7224252	2408084	0	4816168	7224252	2408084	7224252	0	2408084	4816168	4816168	0	0	0	0	0	2408084	2408084	2408084	4816168	0	0	0	4816168	4816168	2408084	0	0	2408084	0	7224252	2408084	4816168	2408084	0	2408084	0	0
2026-04-20	15253244	0	2408084	4816168	9632336	0	23717536	4816168	17344888	4816168	25405032	0	17082856	0	11889352	0	0	15526376	0	27682100	7224252	7224252	2408084	29581832	4816168	0	2408084	18901368	0	4816168	22996948	9632336	2408084	2408084	4816168	4816168	0	0	0	20719880	2408084	4816168	0	0	0	12040420	9632336	0	0	7224252	0	4816168	4816168	4816168
2026-04-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1113636	0	0	0	2408084	0	0	0	2408084	0	0	0	0	2408084	0	2408084	0	0	4816168	0	0	0	2408084	2408084	0	0	0	0
2026-05-11	2401700	2755400	0	0	0	1277196	1277196	0	0	0	0	0	0	0	0	0	0	0	0	2768168	0	0	0	0	0	2768168	0	2768168	0	0	0	2768168	0	0	0	0	0	2768168	0	0	0	0	2768168	0	0	0	0	1080672	1408212	0	1015164	2768168	0	2768168
2026-05-18	2755400	0	0	7224252	2408084	0	2408084	9632336	0	5831332	7224252	0	0	0	0	0	0	2768168	0	0	0	0	0	8697972	4816168	2768168	0	0	2768168	7272508	1080672	4816168	2768168	0	5896840	3685280	2408084	2408084	3456212	0	0	7141492	4816168	2408084	1342704	7043440	4831880	0	0	0	0	7224252	4816168	7224252
2026-05-25	2401700	5112356	0	1342704	1080672	0	4192512	9016256	1277196	3038196	4602392	8501448	5675348	3038196	4315392	1015164	4053360	0	1080672	0	0	1080672	3300228	3234720	3791328	2907180	4380900	2841672	0	0	2972688	0	3103704	4249884	5265468	7149488	5453996	2408084	2408084	1211688	1277196	3038196	4816168	5831332	2710656	0	1211688	0	0	2226852	0	0	1277196	0
2026-06-01	2178316	0	3619772	0	0	0	0	0	0	2408084	0	0	0	7796572	1375668	7224252	2408084	0	0	0	1080672	0	1080672	0	0	0	4816168	0	0	0	0	0	0	3325196	0	0	2408084	2408084	1080672	0	0	1211688	0	0	0	1080672	8927460	2408084	2408084	6584884	2408084	2408084	0	0
2026-06-08	3073964	6711408	1056404	3414272	1056404	1121912	0	0	7224252	0	2408084	4962476	0	4388196	2357868	12252236	6584884	0	0	2292360	0	0	2357868	2095836	9451104	2292360	0	2488884	2095836	2095836	0	0	0	2408084	0	12711212	2408084	2292360	0	0	2095836	0	4257600	0	2357868	0	4816168	3521720	4896968	13088548	10564740	2161344	0	0
2026-06-15	4681292	7205100	2685408	0	0	0	0	0	2408084	2408084	0	0	0	0	2226852	2357868	0	0	2161344	2408084	4503920	2292360	0	0	0	0	0	0	0	0	0	4634936	0	2408084	0	0	3783752	2408084	0	0	0	2554392	0	0	0	4126584	0	2408084	0	0	0	0	2292360	2095836
2026-06-22	2401700	4615784	4700444	7451780	6191836	0	2358288	3602940	0	2358288	2554812	4896968	0	2292360	0	0	0	0	0	2619900	0	0	0	4650648	2408084	0	0	0	0	2423796	0	2489304	0	2554392	5305728	4978188	0	2292360	0	0	0	3013368	0	2226852	0	5174712	3078876	2619900	0	7370980	0	3078876	3013368	5043696
2026-06-29	2083068	2476116	2161344	2408084	0	0	4569428	4896968	0	2161344	0	0	0	0	0	2292360	2095836	0	0	0	0	0	0	4816168	0	0	0	0	0	0	0	0	0	0	2408084	2226852	0	0	0	0	0	2408084	2619900	2357868	2095836	2408084	2408084	0	4765952	2488884	2357868	2408084	0	2408084
