week_start	sub-grabAM05/sub-grabAM05_ses-11222019-spont_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11222019-spont_behavior+image+ophys/25cd489c-0aad-42de-b235-5a628dbabd43_external_file_0.avi	sub-grabAM05/sub-grabAM05_ses-11222019-vis-stim_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11222019-vis-stim_behavior+image+ophys/816d6426-246b-4d6d-b66e-d32de8d44de2_external_file_0.avi	sub-grabAM05/sub-grabAM05_ses-11232019-airpuffs_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11232019-airpuffs_behavior+image+ophys/18ba3e11-eb72-40e9-a256-5fb7a07f1128_external_file_0.avi	sub-grabAM05/sub-grabAM05_ses-11252019-vis-stim_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11252019-vis-stim_behavior+image+ophys/3c2c66b8-09cd-43c8-b6b7-70eed92c183a_external_file_0.avi	sub-grabAM05/sub-grabAM05_ses-11262019-airpuffs_behavior+image+ophys.nwb	sub-grabAM05/sub-grabAM05_ses-11262019-airpuffs_behavior+image+ophys/f50d1e93-4f52-4246-9e5a-818377078a1e_external_file_0.avi	sub-grabAM06/sub-grabAM06_ses-11222019-spont_behavior+image+ophys.nwb	sub-grabAM06/sub-grabAM06_ses-11222019-spont_behavior+image+ophys/5f0a5c4b-2363-4116-a1c8-9ec57e12a71e_external_file_0.avi	sub-grabAM06/sub-grabAM06_ses-11222019-vis-stim_behavior+image+ophys.nwb	sub-grabAM06/sub-grabAM06_ses-11222019-vis-stim_behavior+image+ophys/9c75c66d-e149-4734-979e-bf4049e91b39_external_file_0.avi	sub-grabAM06/sub-grabAM06_ses-11242019-airpuffs_behavior+image+ophys.nwb	sub-grabAM06/sub-grabAM06_ses-11242019-airpuffs_behavior+image+ophys/b5f31764-0d2d-45cd-a71b-4fbe323f81c7_external_file_0.avi	sub-grabAM06/sub-grabAM06_ses-11252019-vis-stim_behavior+image+ophys.nwb	sub-grabAM06/sub-grabAM06_ses-11252019-vis-stim_behavior+image+ophys/d6c78153-4b0a-4d6a-b8bc-7b663d015509_external_file_0.avi	sub-grabAM07/sub-grabAM07_ses-11232019-spont_behavior+image+ophys.nwb	sub-grabAM07/sub-grabAM07_ses-11232019-spont_behavior+image+ophys/09c23bd5-1f62-4f10-ba5f-d53b64827c68_external_file_0.avi	sub-grabAM07/sub-grabAM07_ses-11232019-vis-stim_behavior+image+ophys.nwb	sub-grabAM07/sub-grabAM07_ses-11232019-vis-stim_behavior+image+ophys/bba2f1e1-4545-4059-a69d-6d4b01bc88b4_external_file_0.avi	sub-grabAM07/sub-grabAM07_ses-11242019-airpuffs_behavior+image+ophys.nwb	sub-grabAM07/sub-grabAM07_ses-11242019-airpuffs_behavior+image+ophys/48309f84-db1a-4618-8d79-f00bd89099ec_external_file_0.avi	sub-grabAM07/sub-grabAM07_ses-11262019-airpuffs_behavior+image+ophys.nwb	sub-grabAM07/sub-grabAM07_ses-11262019-airpuffs_behavior+image+ophys/ab63e85c-19c5-4e7e-9aa3-7e92ffebdceb_external_file_0.avi	sub-grabAM08/sub-grabAM08_ses-11232019-spont_behavior+image+ophys.nwb	sub-grabAM08/sub-grabAM08_ses-11232019-spont_behavior+image+ophys/92fc1308-4b87-47c5-ba17-0186e5d717d3_external_file_0.avi	sub-grabAM08/sub-grabAM08_ses-11232019-vis-stim_behavior+image+ophys.nwb	sub-grabAM08/sub-grabAM08_ses-11232019-vis-stim_behavior+image+ophys/3fd26502-7f10-4485-8278-529455e50d52_external_file_0.avi	sub-grabAM08/sub-grabAM08_ses-11242019-airpuffs_behavior+image+ophys.nwb	sub-grabAM08/sub-grabAM08_ses-11242019-airpuffs_behavior+image+ophys/ae5c989f-dbc1-469b-99c8-fe63eb716749_external_file_0.avi
2026-03-23	13135606	254088496	65335841814	300723460	23439784	366303916	4534999	301582448	0	355616572	13408766	223913094	0	302055462	8854556815	348496200	0	303551426	17920657144	214935142	29643514748	300840886	43878477507	345376862	52155151256	394027190	32475264339	224204688	43415396871	303449320	46304408893	314039856
2026-03-30	0	0	42628004197	0	1042164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859880	0	0	0	0	0	0	0
2026-04-06	58285777	0	39694893	0	42200804	0	38015843	0	36882539	0	25102817	0	31537229	0	43300434	0	39503299	0	30671504	0	32838472	0	48910278	0	45479544	0	27746411	0	40140994	0	33487746	0
2026-04-13	289588	0	344136	0	419248	0	344632	0	404328	0	255016	0	344456	0	394820	0	345664	0	245396	0	344072	0	394960	0	449836	0	255376	0	345720	0	356076	0
2026-04-20	86442464	265814428	0	0	0	0	0	0	0	0	47870360	0	0	0	0	0	33540096	0	18866304	28102932	0	0	25744644	0	0	33736620	8073817	1381814	0	0	0	0
2026-04-27	36698913141	254088496	42628004197	300723460	52696348684	366303916	41840023995	301582448	51104108395	355616572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-04	36686601221	514072712	42633847106	300723460	52696348684	366303916	41840023995	301582448	51104108395	355616572	32520409341	223913094	43081283969	302055462	50275035042	348496200	42868320254	303551426	30878271916	214935142	42693623556	300840886	49512029895	345376862	56258787244	394027190	32461776859	224204688	43399827949	304908752	46292435265	314039856
2026-05-11	38157763753	261949456	9249325	9826200	9011412	0	7351575651	0	0	0	32520409341	0	0	4913100	0	348496200	0	0	30878271916	0	0	0	0	0	0	0	32469842046	224204688	871959768	0	0	0
2026-05-18	64263721309	254088496	0	0	0	0	6901512998	0	9131803	0	32545205369	0	0	0	0	0	9695184	0	21274697237	229281394	0	0	12910735	0	0	8254008	27174494030	0	0	0	0	0
2026-05-25	12588713	0	8846380	0	9077756	0	6901305688	0	6314996	0	8625028	0	9495645	0	8718837	0	14331284	0	7031796	0	14767400	0	8783973	0	6372228	0	7785488	0	13991776	0	6372228	0
2026-06-01	37269112	22671334	17032080	0	12512028	0	6940258490	0	0	0	34094712	0	0	0	5516731	0	48122683	0	31534712	0	0	0	0	0	3815032	0	0	0	0	0	4464653	0
