week_start	sub-20220512001/sub-20220512001_ses-20220512T161621_slice-20220512001_cell-20220512001_icephys.nwb	sub-20220512002/sub-20220512002_ses-20220512T172916_slice-20220512002_cell-20220512002_icephys.nwb	sub-20220617001/sub-20220617001_ses-20220617T155702_slice-20220617001_cell-20220617001_icephys.nwb	sub-20220622001/sub-20220622001_ses-20220622T152433_slice-20220622001_cell-20220622001_icephys.nwb	sub-20220622002/sub-20220622002_ses-20220622T163012_slice-20220622002_cell-20220622002_icephys.nwb	sub-20220622003/sub-20220622003_ses-20220622T172100_slice-20220622003_cell-20220622003_icephys.nwb	sub-20220622004/sub-20220622004_ses-20220622T180136_slice-20220622004_cell-20220622004_icephys.nwb	sub-20220623001/sub-20220623001_ses-20220623T170843_slice-20220623001_cell-20220623001_icephys.nwb	sub-20220623002/sub-20220623002_ses-20220623T172359_slice-20220623002_cell-20220623002_icephys.nwb	sub-20220623003/sub-20220623003_ses-20220623T174115_slice-20220623003_cell-20220623003_icephys.nwb	sub-20220623004/sub-20220623004_ses-20220623T194430_slice-20220623004_cell-20220623004_icephys.nwb	sub-20220623005/sub-20220623005_ses-20220623T204103_slice-20220623005_cell-20220623005_icephys.nwb	sub-20220623006/sub-20220623006_ses-20220623T214147_slice-20220623006_cell-20220623006_icephys.nwb	sub-20220623007/sub-20220623007_ses-20220623T215801_slice-20220623007_cell-20220623007_icephys.nwb	sub-20220624001/sub-20220624001_ses-20220624T154833_slice-20220624001_cell-20220624001_icephys.nwb	sub-20220624002/sub-20220624002_ses-20220624T161735_slice-20220624002_cell-20220624002_icephys.nwb	sub-20220624003/sub-20220624003_ses-20220624T174213_slice-20220624003_cell-20220624003_icephys.nwb	sub-20220624004/sub-20220624004_ses-20220624T182406_slice-20220624004_cell-20220624004_icephys.nwb	sub-20220624005/sub-20220624005_ses-20220624T191954_slice-20220624005_cell-20220624005_icephys.nwb	sub-20220701001/sub-20220701001_ses-20220701T171042_slice-20220701001_cell-20220701001_icephys.nwb	sub-20220701002/sub-20220701002_ses-20220701T172558_slice-20220701002_cell-20220701002_icephys.nwb	sub-20220701003/sub-20220701003_ses-20220701T174937_slice-20220701003_cell-20220701003_icephys.nwb	sub-20220701004/sub-20220701004_ses-20220701T180834_slice-20220701004_cell-20220701004_icephys.nwb	sub-20220701005/sub-20220701005_ses-20220701T190224_slice-20220701005_cell-20220701005_icephys.nwb	sub-20220701006/sub-20220701006_ses-20220701T191236_slice-20220701006_cell-20220701006_icephys.nwb	sub-20220701007/sub-20220701007_ses-20220701T193930_slice-20220701007_cell-20220701007_icephys.nwb
2024-04-15	13824668	10560184	23820924	15903797	15781841	28035539	14746490	22172444	15291909	13314619	23619708	13535586	8721677	13358103	21373295	31300555	13550137	31574225	23734988	23097622	11794265	24575331	10816441	12902750	15363662	12801759
2024-05-06	0	0	0	0	7830952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12277340	0	0	0	0	0	0	0
2024-06-10	0	0	0	0	0	0	0	9556416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	35977728	27482944	50925872	47867454	18346025	35633187	14925058	28682950	18843405	17269267	24305220	16716830	18989925	16357115	24106331	36759783	17804621	35579834	26400612	32084906	16116029	26627691	16075730	19888702	13463990	13198287
2024-07-29	11480972	11082788	12144612	10684604	9423688	10087328	8030044	2787288	9887408	2190012	10020964	5707304	10020964	10020964	10419148	10020964	6304580	11547336	12675524	11746428	10087328	10020964	8892776	11082788	11082788	9954600
2024-08-12	0	0	0	0	41982831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	45296884	34182474	20241020	17719188	16458272	25815596	22279870	20041928	23726189	5508212	24023768	12741888	35451518	33314728	22696488	25284684	23293764	25550140	20904660	18449192	28204700	28138336	15330084	10087328	20041928	17652824
2024-09-02	0	0	0	0	0	0	0	0	37930203	0	0	0	50330196	0	0	0	0	0	0	0	0	0	0	0	37565310	25039734
2024-09-09	0	49740866	0	0	0	0	0	29509332	0	0	48601940	34554552	0	0	0	46595406	12994949	93131694	66069620	27427758	0	28385318	0	33942744	0	0
2024-09-16	18752816	13674218	26091676	25245213	17483293	32713171	15522334	27023850	16786121	15477439	24172492	16982286	16069909	17286211	23309963	36361599	17738257	36708022	28126076	28036702	13262377	24570407	13626517	16371410	13463990	13397379
2024-09-23	57713984	37046154	72909852	63287607	41982831	96328185	27220302	75721278	37930203	37971093	63764172	37712394	37747647	38216049	73195593	101350389	38984847	93751767	74244780	74613678	37955931	74035257	27455931	37253538	37565310	37559601
2024-09-30	17490368	12348718	24303284	21095869	13994277	32109395	9073434	25240426	12643401	12657031	21254724	12570798	12582549	12738683	24398531	33783463	12994949	31250589	24748260	24871226	12651977	24678419	9151977	12417846	12521770	12519867
2024-10-07	0	9689144	0	0	13994277	0	0	0	0	0	0	0	12582549	12738683	0	0	12994949	0	0	0	0	0	0	0	12521770	0
2024-10-14	17490368	0	0	0	0	0	0	0	0	0	0	12570798	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-21	27843152	22236954	36182440	31249561	21692501	43059455	17966210	34199566	20607081	14847043	33532064	14760810	21408961	20635999	31034931	41813507	24608649	37886989	34769224	33963094	23004761	35761207	16518381	24835692	22476370	22540831
