week_start	sub-01/sub-01_ses-20140827T193800_behavior+ecephys.nwb	sub-02/sub-02_ses-20171011T152100_behavior+ecephys.nwb	sub-03/sub-03_ses-20170113T105000_behavior+ecephys.nwb	sub-03/sub-03_ses-20170113T111800_behavior+ecephys.nwb	sub-04/sub-04_ses-20170118T161000_behavior+ecephys.nwb	sub-05/sub-05_ses-20180704T132100_behavior+ecephys.nwb	sub-06/sub-06_ses-20171027T113600_behavior+ecephys.nwb	sub-07/sub-07_ses-20181027T183600_behavior+ecephys.nwb	sub-08/sub-08_ses-20190116T110300_behavior+ecephys.nwb	sub-08/sub-08_ses-20190116T125000_behavior+ecephys.nwb	sub-09/sub-09_ses-20150305T112000_behavior+ecephys.nwb	sub-10/sub-10_ses-20160303T114400_behavior+ecephys.nwb	sub-11/sub-11_ses-20190515T195800_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-16z48k1_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-1h9ryn9_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-cpvbt2_behavior+ecephys.nwb	sub-12/sub-12_ses-20161217T103800_obj-p4v231_behavior+ecephys.nwb	sub-13/sub-13_ses-20160213T110700_behavior+ecephys.nwb
2025-12-15	8042089220	4095400	785804896	1332434	5900002550	557791460	8292636082	3121560459	7246088560	1334284064	781013383	2586066306	539976	1437312	10288702714	2155968	5494474293	1733295294
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	539976	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2782925849	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2510296089	718656	0	0
2026-01-12	0	819080	0	0	0	20971520	0	3960529775	0	2023485168	0	0	539976	718656	2803664340	1437312	0	0
2026-01-19	0	0	2631181707	0	3680501760	0	0	0	3267487266	0	1792860899	2571523530	0	0	0	0	0	9005173438
2026-01-26	0	0	849346560	0	0	0	1137704960	1515192320	0	1137704960	780985059	1032847360	0	0	0	0	0	0
2026-02-02	1116733440	0	0	0	0	482344960	0	0	1022361600	0	0	0	0	614400	0	0	0	0
2026-02-16	0	1023880	614400	0	0	8057484	12577536	1228800	0	0	0	2571523530	0	1642112	0	0	0	0
2026-02-23	0	0	0	0	0	0	419430400	933951	0	0	1065699	0	0	0	0	718656	0	0
2026-03-02	0	0	0	0	1297700	0	0	2113929216	0	0	0	2130706432	1489552	0	2130706432	0	0	1264318
2026-03-09	0	0	0	0	0	0	0	0	0	7620535053	0	5512934	0	0	8578698549	0	0	0
2026-03-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22141704	0	12643044	0
2026-03-23	0	0	0	0	0	0	0	0	0	0	0	0	539976	614400	0	718656	0	0
