week_start	sub-20161022-1/sub-20161022-1_ses-20161022T151003_ophys.nwb	sub-20161109-2/sub-20161109-2_ses-20161109T211950_ophys.nwb	sub-20161206-1/sub-20161206-1_ses-20161206T123501_ophys.nwb	sub-20161206-2/sub-20161206-2_ses-20161206T161111_ophys.nwb	sub-20170111-1/sub-20170111-1_ses-20170111T123355_ophys.nwb	sub-20170113-2/sub-20170113-2_ses-20170113T124907_ophys.nwb	sub-20170113-3/sub-20170113-3_ses-20170113T150834_ophys.nwb	sub-20170113-4/sub-20170113-4_ses-20170113T171241_ophys.nwb	sub-20170127-1/sub-20170127-1_ses-20170127T111652_ophys.nwb	sub-20170203-1/sub-20170203-1_ses-20170203T122038_ophys.nwb	sub-20170228-3/sub-20170228-3_ses-20170228T165730_ophys.nwb	sub-20170228-4/sub-20170228-4_ses-20170228T185002_ophys.nwb
2023-10-16	264994386853	0	283516567015	0	0	1298656	301994481967	6354276	9760692	11725932	6419784	75668177143
2023-10-23	0	619284512258	0	0	0	0	300668686318	150669711248	0	0	192481520076	621559513680
2023-10-30	9171120	2650591655344	0	20045448	415311129874	403889003993	518301533878	150013320	551791014236	699048849097	0	698700826904
2023-11-06	0	144949647418	0	10153740	0	8141424	0	78119798392	546450702336	21814164	218751720	20724580799
2023-11-13	0	157402382	0	0	0	337179508	10088232	0	3217262665	0	0	6317445411
2023-11-20	0	43335692	0	0	13171810600	733448062	0	0	92631435337	0	0	7537089433
2023-11-27	0	0	12708552	0	0	0	0	0	0	65208273	0	13137380287
2023-12-04	25090889	9302599048	34237907	27770126	22605074	281209790910	45424866	38637236	43223113	6460180896	5540671786	68334848
2023-12-11	0	0	24041436	0	0	0	0	0	0	9764123224	2901811507	120200
2024-01-01	0	0	0	0	0	0	0	0	0	0	11856948	9331395544
2024-01-08	0	0	0	0	0	0	0	0	0	0	0	11260469350
2024-01-15	53389020	0	0	0	0	66762184	0	0	0	0	0	2931533898
2024-01-22	393921534630	4857346	143734008094	18702916	240628070918	333921783634	14494900	150572395548	610060378202	11665509	184286545728	524785182779
2024-01-29	393912179529	915466633216	4100423143	325044061228	415311129874	0	438282035426	150566964916	0	0	542192547998	517199803648
2024-02-05	6419784	533262596	8909088	6419784	32426460	0	0	9302136	6354276	10546788	0	12643044
2024-02-12	53389020	0	0	0	0	0	0	0	0	0	0	0
2024-02-19	0	0	0	0	0	0	0	0	0	0	13560156	0
2024-02-26	55288752	0	0	0	10481280	20248860	0	0	0	0	0	0
2024-03-04	20635020	0	300999825	0	164212351	50837369	0	185911704	0	15265604	0	18708849828
2024-03-11	63424616	234865326	35885505	20110956	20593020	139767553	135914056	17918678	25548120	122478801	177960758	3451054154
2024-03-18	20307480	0	0	0	0	65245968	152276992	220303404	0	0	0	0
2024-03-25	10849242	311915660	16745887	551649124	811099260	13729670	240801032	92915824	197277769	101769233	669227812	253449268
2024-04-01	24290925	316368962	9146959	2211086	2637074	526699684	117248226	93712192	6354276	6419784	293431454	7916433108
2024-04-08	1643760259	64958108	315039744	0	29634576	0	0	16039411	0	17262685	0	75067108
2024-04-15	78761984	36921344	0	351789056	6128039184	0	0	251269044	78171232	0	0	0
2024-04-22	47194145	252459188	0	0	20454674	732375829	84194944	122572800	123729993	877652921	246587786	1000681788
2024-04-29	253200310	578416482	525025280	0	485668728	540774400	0	0	0	541164824	0	0
2024-05-06	75754448	534863768	110900837	58206734	0	0	131264512	200154472	45266028	0	0	530309120
2024-05-13	152203350	0	0	0	563023236	498786304	472321748	0	257269760	114882674	135241876	0
2024-05-20	28430472	0	0	0	0	0	0	593309696	314625832	0	0	173264896
2024-05-27	493551616	584176884	0	0	5766613759	687821876	124020707	1034366976	0	0	246091672	0
2024-06-03	105005056	0	6616308	404505746702	13036092	0	90004828	0	610057553993	288776192	0	8857584
2024-06-10	0	47251456	0	0	0	430555136	0	0	0	0	0	0
2024-06-17	0	0	0	0	0	225909646	0	0	0	0	0	0
2024-06-24	0	0	0	0	138659395	0	0	0	0	0	0	0
2024-07-01	111363624	0	0	0	0	53423020	0	0	0	0	0	0
2024-07-08	6878340	137572026	31486683	44285198	57467034	149796729	171071330	0	93423689	213381509	177602560	0
2024-07-15	0	0	0	0	0	0	0	393764375	0	0	0	332529664
2024-07-22	333719679	4446388	0	8843580	8843580	8959140	10087328	13272800	13036092	0	0	22169048
2024-07-29	112571416	101247158	0	10088232	113029972	125636564	9760692	12643044	99469816	10219248	112702432	5764704
2024-08-05	121902134	938176186742	0	0	23033308	0	0	0	0	7795452	0	0
2024-08-19	51042641	148881250	49962931	55286575	28310152	186375658	54404295	141197935	50918281	251331657	286895550	417704676
2024-08-26	275498853158	12315504	289475969893	4389036	2273353188	175412134394	313598091422	32734620	44479932	490674947560	14215236	6616308
2024-09-02	469020674360	2404911898817	459403130947	709396178819	269700	336685802406	1308343619145	0	1150363247484	689594933013	504771351540	0
2024-09-09	406517362604	0	397329659935	385729844824	742804559522	296147662709	45099863	261067104065	0	611872579999	506945864180	960169144548
2024-09-16	334969218999	128252188	54642698	76235478	34336888	312802984	165030743	189665314	236778377	252447757	211022840	104511072
2024-09-23	111155903934	133660356	89536101	67563285	298612176	207949888	119570949	102570686	128768667	149952538	189083130	220734240
2024-09-30	261181245519	66830178	29845367	22521095	218765883	56092946	39856983	48663903	42922889	72354829	63027710	73578080
2024-10-07	225601	0	0	0	0	100158136	0	0	0	0	0	0
2024-10-21	110304342	66830178	29845367	22521095	42742499	114825086	39856983	48663903	42922889	72354829	63027710	73578080
2024-10-28	125354055292	8122992	7926468	7991976	264217101	0	7860960	12315504	144460903	0	6157752	0
2024-11-04	7860960	10153692	10022724	0	6616308	10352784	6636400	10041192	0	0	7860960	10286420
2024-11-18	228214862600	17201120	2713463	4716576	1886860	4057362	7938795	4651068	4452557	31919211	21323460	32378232
2024-11-25	0	15197856	0	0	0	0	0	13670984	0	0	0	0
2024-12-23	0	0	0	0	0	7167312	0	0	0	0	0	0
2025-01-20	0	0	0	0	0	53223928	0	0	0	0	0	0
2025-01-27	0	0	0	0	0	0	0	142799276	0	0	0	0
2025-02-03	394036455007	42237156	62756664	78216552	147065460	42200800	26877420	58631680	11398392	95314140	41925120	12210976
2025-02-10	24076928	35609438	25002047	22707127	19946024	32212502	214385571153	31903401	16302582	17489034	32542582	26308212
2025-02-17	0	0	0	0	0	0	522090433396	0	0	0	0	0
2025-02-24	0	0	0	0	0	64903992	0	0	0	0	0	0
2025-03-03	0	827120	10360	22992	16224	1376240	1470112	379188	808264	1691152	0	1970992
2025-03-10	15660627	429375155	17086118	14113729	12249996	143508516	256124669	184398871	13560436	110621917	484815278	281141577
2025-03-24	1154270316	366499187	29459764	0	135994692	0	66147920	92250837	0	0	72278865	61326883
2025-03-31	28837189047	0	1275767	1385735	8647056	9496372	4127004	0	12252273	15809417	4925950	8974204
2025-04-07	397920371565	0	4110575003	0	0	0	0	0	0	0	0	0
2025-04-21	0	0	0	0	0	57404860	0	0	0	0	0	0
2025-04-28	0	0	0	0	0	0	0	0	0	0	0	7569156
2025-05-12	158251100	102161052	73400320	83886080	94371840	94371840	123855480	41943040	41943040	93450248	94371840	104857600
2025-05-19	0	0	0	0	0	53423020	0	0	0	0	0	0
2025-05-26	4718188685	0	0	0	0	0	0	0	0	0	0	0
2025-06-02	20440053251	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	931970168	0	0	0	0	0	0	451722445269	0	0	0	0
2025-06-16	750971858671	938143891298	0	0	0	53423020	0	0	0	0	0	0
2025-06-23	531733946018	938334	422868141135	404316742049	38693033	333962887411	438322567921	31640696281	610247504794	699070477340	29931952	517226045285
2025-06-30	199690789733	0	0	0	0	333912205586	301423461377	150566505823	228395444700	0	0	0
2025-07-07	109165000	586534284922	0	0	0	0	167852669332	0	1645212733785	466010140002	0	0
2025-07-14	7923969121	906712329518	4409702161	104315878	104670933	43444842	149736519	140894043	83076826	30516406	107436866	18822501557
2025-07-21	51052416096	2472737873430	35714325532	0	0	28669399704	63845774636	0	0	0	0	0
2025-07-28	134733144218	428651553448	516853348168	306058330724	232524751424	19675685648	620509572900	188957003508	411117580476	409791425556	16770048	33933144
2025-08-04	557101238452	1633881837242	571963933511	540651933796	856867861896	0	1153810031196	0	572364531424	517487556240	0	0
2025-08-11	238251066601	2790284713628	377265566411	0	0	228838068772	325314298099	98094284800	1233379294162	531411337813	1582437962618	0
2025-08-18	0	0	0	464964040027	266308471436	442949811844	277558067200	0	0	473432064000	0	0
2025-08-25	0	0	0	0	0	0	0	87136665600	0	0	0	0
2025-09-01	0	0	0	0	286283853074	0	0	111516057600	0	0	625222906404	0
2025-09-08	286800141129	0	311892627899	0	0	0	0	0	0	0	0	960340848456
2025-09-15	40804962401	780944879492	131180250876	296945715599	208036794052	192500690824	185016101584	152850876103	188923757908	282026489755	77842695628	144273921184
2025-09-22	864599571575	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	8594367721	0	204721741212	0	421592463716	240690883504	438281710423	0	610135882285	0	0	415738430012
2025-10-06	17949192	0	0	0	0	0	0	0	0	152800130644	416772709590	0
2025-10-13	65835540	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	0	87584196	0	0	0	0	0	0	0	0	0	0
2025-10-27	394248512381	0	0	0	0	0	63411744	0	0	0	0	32075002
2025-11-03	49137364838	0	0	0	0	0	0	0	0	0	0	9888164896
2025-11-10	47789819718	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	15548	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	50170322	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	0	0	0	0	0	9633252032	0	0	0	0	0	0
2025-12-08	278717711593	0	0	0	0	0	324437814103	0	0	0	0	0
2025-12-15	13562396	14411760	294330625860	4127004	10219248	215227691016	0	7991976	15787428	9957216	0	7795452
2025-12-22	19842281	622099169280	422868117367	669674070549	415311121036	6105488	745852455993	150566505823	0	1161166851085	542192548350	517199804000
2025-12-29	0	0	0	404316726535	0	0	0	0	0	0	907993641980	0
2026-01-05	0	643231891298	0	0	0	0	105866183864	0	836672653385	0	0	0
2026-01-12	4731422608	15480261388	10295440544	9963723564	0	22999933696	18231169932	0	0	21618359508	0	7950125624
2026-01-19	0	0	0	286131725575	291537209996	0	0	0	0	452719545357	0	0
2026-01-26	254013266761	0	0	0	0	230161889145	0	0	0	0	0	341573632000
2026-02-02	0	6642906982	245869051904	0	272075648274	0	0	174393079412	0	0	292313628672	322688955648
2026-02-09	59468455286	0	0	0	0	0	0	92028272640	0	0	0	0
2026-02-16	10153740	0	108182380	4258020	4877876	1102372	5173082	11102526	10564217	0	819200	13126428
2026-02-23	4585560	2817139488	0	12184488	15394380	4716576	5289646	2358623	13496925	0	0	4847200
2026-03-02	46618937	5881698	8450532	5971295	0	0	0	2358623	0	10372253	13048942	4847200
2026-03-09	176505	230097151	0	0	1399436	0	0	6356641224	0	0	43539108338	0
2026-03-16	11529408	19738000	10481280	15852936	0	0	9040104	0	0	31902396	0	0
2026-03-23	17942985	10333584	4575295	9171120	851604	2803986	2747223	0	3007369	23441247	0	851604
2026-03-30	0	204800	5633688	7729944	0	0	6092244	0	0	4127004	0	0
2026-04-13	0	0	0	0	8188500	6223260	0	0	0	0	0	0
2026-04-20	0	7074864	19062828	0	0	0	0	0	23255340	0	0	0
