week_start	sub-Finch-z-r12r13-21-held-in-calib/sub-Finch-z-r12r13-21-held-in-calib_ses-20210626.nwb	sub-Finch-z-r12r13-21-held-in-calib/sub-Finch-z-r12r13-21-held-in-calib_ses-20210627.nwb	sub-Finch-z-r12r13-21-held-in-calib/sub-Finch-z-r12r13-21-held-in-calib_ses-20210628.nwb	sub-Finch-z-r12r13-21-held-in-minival/sub-Finch-z-r12r13-21-held-in-minival_ses-20210626.nwb	sub-Finch-z-r12r13-21-held-in-minival/sub-Finch-z-r12r13-21-held-in-minival_ses-20210627.nwb	sub-Finch-z-r12r13-21-held-in-minival/sub-Finch-z-r12r13-21-held-in-minival_ses-20210628.nwb	sub-Finch-z-r12r13-21-held-out-calib/sub-Finch-z-r12r13-21-held-out-calib_ses-20210630.nwb	sub-Finch-z-r12r13-21-held-out-calib/sub-Finch-z-r12r13-21-held-out-calib_ses-20210701.nwb	sub-Finch-z-r12r13-21-held-out-calib/sub-Finch-z-r12r13-21-held-out-calib_ses-20210705.nwb
2025-01-13	224583316	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2025-01-20	224583316	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2025-01-27	224583316	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2025-02-10	224583316	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2025-02-17	188778384	0	0	0	0	0	0	0	0
2025-02-24	230544544	595877272	173149516	45126844	45061336	50695024	65525008	67162708	65525008
2025-03-03	224583316	591750268	163388824	0	0	0	0	0	0
2025-03-10	449166632	665548892	326777648	40999840	40999840	40999840	61398004	61398004	61398004
2025-03-17	0	591750268	0	0	0	0	0	0	0
2025-03-24	224583316	591750268	163388824	0	0	0	0	0	0
2025-03-31	224583316	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2025-04-07	449166632	1183500536	326777648	81999680	81999680	81999680	122796008	122796008	122796008
2025-04-14	673749948	1775250804	490166472	81999680	81999680	81999680	122796008	122796008	122796008
2025-04-21	449166632	1183500536	326777648	40999840	40999840	40999840	61398004	61398004	61398004
2025-04-28	0	591750268	0	0	0	0	0	0	0
2025-05-05	673749996	1831980732	679561972	148875180	148220100	147106464	210528236	184194012	184194012
2025-05-19	224583316	2367001072	163388824	0	0	0	0	0	0
2025-06-23	711765948	2467225072	517814472	88911680	88911680	88911680	133164008	133164008	133164008
2025-06-30	449166632	1183500536	326777648	81999680	81999680	81999680	122796008	122796008	122796008
2025-07-07	673749948	1775250804	490166472	122999520	132956736	132694704	184194012	184194012	184194012
2025-07-14	38016000	100224000	27648000	6912000	6912000	6912000	10368000	10368000	10368000
2025-07-28	224583316	591750268	163388824	0	0	40999840	0	0	0
2025-08-04	224583364	591750268	163388824	81999680	40999840	40999840	61398004	61398004	122796008
2025-08-11	0	0	0	0	0	0	61398004	0	0
2025-08-18	449166632	1183500536	326777648	81999680	81999680	81999680	122796008	122796008	122796008
2025-08-25	224583316	591750268	163388824	81999680	40999840	40999840	61398004	61398004	61398004
2025-09-01	0	591750268	0	0	0	0	61398004	0	0
2025-09-08	224583316	1183500536	163388824	40999840	81999680	40999840	61398004	122796008	122796008
2025-09-29	0	591750268	0	0	0	0	0	0	0
2025-10-06	224583316	591750268	163388824	81712796	40999840	40999840	61398004	61398004	61398004
2025-10-20	224583316	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2025-10-27	0	5917502680	0	0	0	0	0	0	0
2025-11-03	224583316	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2025-11-17	224583316	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2025-12-01	449166632	1183500536	326777648	81999680	81999680	81999680	122796008	122796008	122796008
2025-12-08	224583316	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2025-12-15	932593948	2161178720	688995124	107940848	120452876	111412772	156598136	157056692	159349472
2025-12-22	224583316	0	0	0	0	0	0	0	0
2025-12-29	449166632	1183500536	490166472	81999680	81999680	81999680	122796008	122796008	122796008
2026-01-12	898333264	591750268	163388824	40999840	40999840	40999840	61398004	61398004	61398004
2026-01-19	224583316	1183500536	163388824	40999840	40999840	81999680	61398004	61398004	61398004
2026-01-26	0	0	0	0	40999840	0	0	61398004	61398004
2026-02-02	673749948	1775250804	490166472	163999360	122999520	122999520	245592016	184194012	184194012
2026-02-16	253259968	621344032	194423764	72788472	70823232	74688204	89943640	88502464	91581340
2026-02-23	290377964	591750268	169132992	151814260	46182408	40999840	61398004	66814212	67272768
2026-03-02	463201672	1200101604	330904652	58570856	45126844	45126844	75068220	67817788	69520996
2026-03-09	224583316	591750268	163388824	40999840	40999840	45985884	61398004	61398004	101685424
2026-03-16	24893040	0	21748656	0	0	0	0	0	0
2026-03-23	449166632	1243223492	331408376	49868248	48623596	40999840	122796008	72599872	96706816
2026-03-30	225500428	592667380	163388824	40999840	40999840	40999840	61398004	61398004	184194012
2026-04-06	693140316	1777412568	663053956	163999360	122999520	122999520	306990020	245592016	184194012
2026-04-13	499476776	1202825396	339158660	122999520	122999520	122999520	184194012	255418216	122796008
2026-04-20	17687160	17556144	31378332	129746844	81999680	81999680	61398004	22076196	61398004
2026-04-27	28561488	16311492	18800796	0	0	0	306990020	184194012	288696280
2026-05-11	673749948	1775250804	490166472	204999200	122999520	129484812	251139240	189696684	184194012
2026-05-18	920146045	1215285688	362807048	123138704	107358712	111019724	149916320	122796008	122796008
