week_start	sub-TC12/sub-TC12_ses-20190528_obj-14z69t8_ecephys.nwb	sub-TC12/sub-TC12_ses-20190528_obj-1n8m685_ecephys.nwb	sub-TC12/sub-TC12_ses-20190528_obj-1og567r_ecephys.nwb	sub-TC12/sub-TC12_ses-20190528_obj-1os5wbm_ecephys.nwb	sub-TC16/sub-TC16_ses-20191118_obj-11sw2aw_ecephys.nwb	sub-TC16/sub-TC16_ses-20191118_obj-180rjm7_ecephys.nwb	sub-TC16/sub-TC16_ses-20191118_obj-1s247w_ecephys.nwb	sub-TC16/sub-TC16_ses-20191118_obj-1v9q95y_ecephys.nwb	sub-TC17/sub-TC17_ses-20191119_obj-1ff8ns3_ecephys.nwb	sub-TC17/sub-TC17_ses-20191119_obj-1hh7e4d_ecephys.nwb	sub-TC17/sub-TC17_ses-20191119_obj-1ikssdf_ecephys.nwb	sub-TC17/sub-TC17_ses-20191119_obj-4aie44_ecephys.nwb	sub-TC18/sub-TC18_ses-20191120_obj-1lz3jca_ecephys.nwb	sub-TC18/sub-TC18_ses-20191120_obj-1pc5ijg_ecephys.nwb	sub-TC18/sub-TC18_ses-20191120_obj-6x66hm_ecephys.nwb	sub-TC18/sub-TC18_ses-20191120_obj-pwtqx7_ecephys.nwb	sub-TC19/sub-TC19_ses-20191125_obj-170ls42_ecephys.nwb	sub-TC19/sub-TC19_ses-20191125_obj-1whi779_ecephys.nwb	sub-TC19/sub-TC19_ses-20191125_obj-fbtjk7_ecephys.nwb	sub-TC19/sub-TC19_ses-20191125_obj-naaulh_ecephys.nwb	sub-TC20/sub-TC20_ses-20191127_obj-15djye_ecephys.nwb	sub-TC20/sub-TC20_ses-20191127_obj-1lx0hmq_ecephys.nwb	sub-TC20/sub-TC20_ses-20191127_obj-7hvry3_ecephys.nwb	sub-TC20/sub-TC20_ses-20191127_obj-hu2qdr_ecephys.nwb	sub-TC5/sub-TC5_ses-20190302_obj-1r17jwb_ecephys.nwb	sub-TC5/sub-TC5_ses-20190302_obj-cojoz8_ecephys.nwb	sub-TC5/sub-TC5_ses-20190302_obj-fww7zb_ecephys.nwb	sub-TC5/sub-TC5_ses-20190302_obj-w649l8_ecephys.nwb	sub-TC6/sub-TC6_ses-20190320_obj-18hbwq8_ecephys.nwb	sub-TC6/sub-TC6_ses-20190320_obj-19h11j5_ecephys.nwb	sub-TC6/sub-TC6_ses-20190320_obj-1lnb0yz_ecephys.nwb	sub-TC6/sub-TC6_ses-20190320_obj-ohakmi_ecephys.nwb	sub-TC7/sub-TC7_ses-20190321_obj-1iejpb0_ecephys.nwb	sub-TC7/sub-TC7_ses-20190321_obj-1wkcp1_ecephys.nwb	sub-TC7/sub-TC7_ses-20190321_obj-9s1ixd_ecephys.nwb	sub-TC7/sub-TC7_ses-20190321_obj-ipptgm_ecephys.nwb	sub-TC9/sub-TC9_ses-20190402_obj-122r4vw_ecephys.nwb	sub-TC9/sub-TC9_ses-20190402_obj-kgovqu_ecephys.nwb	sub-TC9/sub-TC9_ses-20190402_obj-qojv1k_ecephys.nwb	sub-TC9/sub-TC9_ses-20190402_obj-uoycvb_ecephys.nwb
2026-01-26	88881384	0	10879736	0	20971520	0	31255288	14255864	0	0	0	0	20804344	10485760	0	10485760	0	20971520	0	0	0	0	26214400	41246192	0	20971520	0	0	0	0	0	0	0	0	20292344	15728640	0	0	15728640	0
2026-02-02	0	10485760	0	10485760	0	0	0	0	20614904	0	0	20971520	0	0	0	0	0	0	20971520	0	0	0	0	0	0	0	0	0	8105720	5242880	0	0	20592376	15538936	0	0	0	0	0	0
2026-02-16	0	9302136	409600	40781148	16442508	8652080	204800	409600	0	0	0	0	8246744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30030584	0	0
2026-02-23	0	0	0	4258020	0	0	350968	4258020	4323528	0	0	0	385784	0	407288	4585560	355064	4258020	0	0	0	0	0	0	4640732	0	0	4716576	0	0	4323528	0	0	0	0	0	0	0	0	346872
2026-03-02	0	0	4258020	0	4585560	398072	0	0	401144	385784	0	4258020	0	0	0	0	0	0	4454544	4504596	359160	426744	0	0	0	0	0	0	4466736	4628444	0	4651068	0	342776	4557816	0	0	0	406264	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	545528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	204800	0	0	0	7074864	0	0	0	0	13953204	0	0	11791440	0	11529408	0	4389036	0	0	0	12905076	0	0	0	11987964	0	0	0	6616308	0	0	0	0	0	0	0	0	10677804	0	18473256
2026-03-23	0	0	0	6886616	20045448	0	36498168	0	0	0	0	0	0	0	0	0	10219248	0	12866068	0	0	0	0	0	34789112	23803940	9498660	32787192	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	0	0	37159672	0	0	0	0	0	0	0	0	0	0	0	0	917112	0	0	0	0	0	0	0	0	9236628	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37683960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
