week_start	sub-2282/sub-2282_ses-20190914T145458_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T151231_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T162358_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T164312_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T170145_ecephys+ophys.nwb	sub-2610/sub-2610_ses-20201005T153308_ecephys+ophys.nwb	sub-2615/sub-2615_ses-20201007T162625_ecephys+ophys.nwb	sub-2748/sub-2748_ses-20200928T173432_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T154656_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T161323_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T163435_ecephys+ophys.nwb	sub-2765/sub-2765_ses-20200814T153629_ecephys+ophys.nwb	sub-3112/sub-3112_ses-20210227T185041_ecephys+ophys.nwb	sub-3278/sub-3278_ses-20210614T151114_ecephys+ophys.nwb	sub-3443/sub-3443_ses-20210814T190234_ecephys+ophys.nwb	sub-3443/sub-3443_ses-20210814T193211_ecephys+ophys.nwb	sub-3445/sub-3445_ses-20210814T223214_ecephys+ophys.nwb	sub-3445/sub-3445_ses-20210814T223641_ecephys+ophys.nwb
2024-03-11	5485635786	132996477	163587260	114661826	161105284	139703529	17711709	104166351	7143290	139054007	64498782	2190012	13590026	31637044	316555064	25445216	139569639	119208686
2024-03-18	4446388	0	0	76716784	0	0	0	9893926	459032906	0	0	118061556	137704472	0	0	0	0	0
2024-03-25	12766915	15667946	1876956	13854910	6636400	55700052	7979388	13049407	14642422	10375039	14454956	955615	1961732	8471749	50341216	6312162	89030547	15716352
2024-04-01	821395	0	7243058	847566	7698224	7174740	0	95932416	7475110	7255931	7897316	822887	28536520	906253	789632	38550551	869707	923954
2024-04-08	14608396	116914661	214220800	348516046	74656188	0	327163602	0	0	0	110739086	0	0	0	0	0	0	0
2024-04-15	0	0	0	155107164	0	0	0	272014523	121638884	442120509	0	11472896	0	62930944	0	0	0	59414834
2024-04-22	295598948	92411353	42619954	0	15769600	18109396	12580222	10240000	10286420	123906091	6370944	83477289	26229446	95696589	22600832	43132888	56725571	58034482
2024-04-29	67108864	0	0	0	0	220872660	257335538	0	70943116	0	0	150752370	0	0	0	115326976	0	0
2024-05-06	231793448	47050993	64767798	0	95810055	0	0	0	185136294	88083388	0	0	0	0	0	0	28629679	30212096
2024-05-13	0	0	0	106258072	0	0	0	146547306	0	0	0	0	6636400	34177460	135606272	161482116	0	0
2024-05-20	110894244	0	0	0	176929118	0	54108446	0	0	93179680	0	0	314626048	0	14495320	0	252573504	57176608
2024-05-27	93323916	19444652	13074332	0	14931900	69216824	0	143146320	72162182	0	170614724	0	0	267748423	14913828	9888236	0	0
2024-06-03	121859129	161751272	637310204	314866784	0	0	0	0	7830952	0	0	0	0	0	57143296	0	0	0
2024-06-10	4966709395	0	0	0	0	23028308	0	0	150839166	7830952	0	0	0	0	0	9689144	0	0
2024-06-17	6769128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5523569687	0	0
2024-06-24	67108864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-01	15993724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	4974591562	1037785	0	0	4987161482	7901432	1009022	28602043	133818552	961983	31092092	6769128	106395702	6702764	100643792	109037491	7240651	7100948
2024-07-15	0	4224046553	5774660078	4279324366	3791603813	0	0	0	0	0	0	0	4152174466	4938122253	4924079232	5523569687	0	4939266354
2024-07-22	25085592	13405528	10020964	14268260	0	14069168	0	10153692	12609160	0	14268260	0	8627320	10087328	11746428	6570036	0	2190012
2024-08-19	53423020	0	0	0	0	1922052064	627894584	2150636195	19511016	72935028	19179196	550409168	1964738976	0	0	0	0	0
2024-08-26	0	11480972	10087328	9357324	20174656	21369208	21568300	20108292	10020964	0	18648284	0	0	6636400	11879156	4446388	0	2190012
2024-09-02	0	3012776257	0	0	2962867434	0	0	0	0	8769936762	0	0	0	0	0	0	0	0
2024-09-09	0	0	0	0	23976239	0	2588277268	0	2413072306	0	2463892040	0	14865536	1181318169	3066794836	3925861636	3242041168	0
2024-09-16	6769128	1037785	7167312	7243086	8037813	10485512	7446330	28602043	29432930	8062931	30959364	7100948	862082	1033229	883840	982039	869707	7634082
2024-09-23	36563385	42041739	39738176	50588778	34461999	37800828	36450426	40716201	39146790	38275389	33596802	44862261	46626438	45173799	34502016	39908421	24021654	48606102
2024-09-30	29973347	14013913	12734958	16862926	11487333	12600276	12150142	13572067	13048930	12758463	11198934	14954087	15542146	15057933	11500672	13302807	12010827	16202034
2024-10-14	67108864	0	0	0	0	0	137048	0	0	0	0	0	7830952	0	0	0	0	0
2024-10-21	26108613	0	0	0	0	0	643798176	6370944	10020964	13272800	10020964	10153692	0	8892776	0	11945520	8361864	0
2024-11-11	495256796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	17626083	0	0	0	0	0	1009022	0	796524544	1114541524	4114568	0	0	0	0	0	0	0
2024-11-25	0	0	0	0	0	4411376596	3687409022	2766084067	3211205730	2985471423	3130712534	3265539687	4152174466	0	0	0	0	4939266354
2024-12-02	7896488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-09	72403124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-23	5906396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-13	69549472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	4579116	0	0	21701028	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	0	33646548	0	0	14268260	16723728	17121912	0	13803712	22762852	0	0	11547336	0	0	10883696	0	0
2025-02-17	53423020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-24	4048204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	14218616	0	0	0	0	0	0	0	0	0	0	0	0	0	4076	4076	4076	4076
2025-03-10	4247296	0	0	0	0	0	0	0	0	0	446934	0	0	0	0	0	460107	0
2025-03-31	33885680	34726784	23114688	51973584	37606160	20783604	37342368	35762652	36387368	20721108	18873344	3996904	37192152	37722684	37796564	21326568	22730792	38103564
2025-04-07	6370944	0	0	0	0	0	0	158976147	0	0	0	0	0	0	0	0	0	0
2025-04-14	67108864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
