week_start	sub-RatR1/sub-RatR1_ses-RatR1-00base0_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-01CA1-stim_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-02base1_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-03CA3-stim_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-04base2_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-05ANT-stim_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-06base3_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-07DG-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-00base0_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-01DG-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-02base1_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-03ANT-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-04base2_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-05CA1-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-06base3_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-07CA3-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-00base0_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-01CA3-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-02base1_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-03ANT-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-04base2_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-05DG-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-06base3_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-07CA1-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-00base0_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-01CA1-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-02base1_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-03DG-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-04base2_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-05ANT-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-06base3_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-07CA3-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-00base0_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-01CA1-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-02base1_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-03ANT-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-04base2_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-05DG-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-06base3_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-07CA3-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-00base0_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-01ANT-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-02base1_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-03DG-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-04base2_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-05CA1-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-06base3_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-07CA3-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-00base0_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-01DG-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-02base1_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-03ANT-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-04base2_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-05CA1-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-06base3_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-07CA3-stim_ecephys.nwb
2025-11-03	45333612	46817076	27777576	24986807	22132726	43346196	23315070	44283394	47736811	31197028	31831444	36471960	40915323	36995705	41843070	24965296	40230312	37660486	38250154	38832468	40593420	37383752	42874212	37445936	45318317	22156547	27919304	34597324	28410493	41424576	28344768	30653958	37295428	38940567	50509944	36778482	21095848	42370476	40515637	22723494	40794951	33164274	32917453	28408908	32328180	25493513	48003140	29593626	28445046	38149984	30516858	23808884	19002408	28376572	34766598	29954754
2025-11-10	36183636	28933392	22012144	20925311	36210129	24966984	35042928	33900383	4385165	30151381	11881912	23501376	29715744	31832262	27076420	24380785	22585424	33336958	32812990	29947512	36965054	23228500	24303124	22123224	15725613	21745659	30736148	20450097	43446404	23064696	28865466	19364115	13362942	34039698	31184616	26134852	26074456	28096332	19239726	24250717	28681482	47026306	22024499	41707032	18129330	26810234	28303387	33589614	48114424	16574592	29504445	29548204	19857404	25827564	27141360	22877392
2025-11-17	25621368	7711524	28267794	10511337	20499515	19112124	24431274	15689159	23724675	16744904	17505464	10727316	15719631	4127004	21824972	24177513	23783604	24034822	11012840	16583880	25118876	19668972	13265284	15584744	13605059	23142164	13225911	24511593	21886972	12196248	21014604	16287132	23724239	20243423	15592308	22645841	18049158	23833912	28256889	14452838	18616923	3064696	28622181	11442336	17539758	10891790	15732963	20594271	18038965	19370312	22991334	12002704	10748400	22737080	14687338	10639998
2025-11-24	24843012	6844224	10744040	8254008	21890978	19308648	21943254	25083009	11081631	13907878	12209452	26354973	27773103	36810870	18969970	14939198	3410616	21114488	13902688	17876796	16431738	13462284	1768544	23701576	16687628	20694534	16435803	18143215	18022000	23130204	16039362	21595173	20896362	21081345	27382812	6451118	23978200	32153428	18191598	7005465	22618422	19154000	10630922	14007930	18145704	15256803	25409992	16532775	12191775	11989032	17228604	13352988	13956596	12065080	10174788	13403936
2025-12-01	31422696	11838528	20930898	15718324	27170025	20422284	10675236	11175662	10073582	17772850	15494988	12954588	15240765	11297817	17490636	7407465	10527752	14318726	10205234	17990568	19274008	19008368	16049116	26619762	21973171	18363077	19488373	23922021	30403012	6098124	19904334	13341165	14193170	18185311	25812492	8971756	12415470	17158696	20643772	11066961	19932594	11247454	20237157	22327446	12790422	16977473	10641494	23228174	14918846	13909888	15195882	21869028	11532800	6690522	15470412	10561888
2025-12-08	11413872	13706868	9531778	25815074	10924041	13506972	11855664	18289828	16151176	10501462	18846032	2153766	10720713	1941862	18535897	15135722	8254008	14301656	17199598	6609420	11387622	14755872	36988768	39277926	24110637	6788998	12243291	9196823	15039561	14417640	3330810	5414697	14771709	12892845	15723324	26896334	7240338	16892264	10714934	10391342	7789941	23758062	23297407	4192512	5731944	22552214	12643044	10271173	20487026	10787696	12311556	5804828	10550180	6098048	16982358	8425328
2025-12-15	81896766	104488352	165050822	91939882	63176475	23370144	164806226	199959481	71968638	46535342	87449660	174358192	51342344	102533293	212191445	17104336	94426332	20300866	101572218	84090180	90226336	36367988	25777312	198720732	101186856	168487835	191180108	28755511	26476182	186435748	10474548	133019839	17774044	99518054	97967888	29606776	176777746	106072488	76174414	87333495	123339140	74351660	105908313	42617797	35865624	129799650	131721041	20384164	96230484	97966244	33831921	17742024	40423524	10817526	212209534	80442118
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45859070	0	0	0	0	0	0	34456524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	15728640	0	0	8838924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18531368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20971520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	17935788	17749944	11694270	19714312	42261397	2002212	15719352	29137950	10073582	27772911	35474928	23624394	26309328	29628368	18666913	24439545	22257884	26486144	20715520	21496980	10692460	13331268	20143452	25434458	23721282	28210114	18296333	24118545	15105069	24705336	24751926	33199135	17588553	24435935	15854340	102894460	22046282	43160972	6063866	20107065	18318567	21170568	30170932	28829319	24287082	51112173	15405423	27262504	23769713	13583416	28950588	22065552	16845732	16582230	27730932	16182974
