region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
BR/Piauí	545315655	212	211	1
BR/Rio Grande do Norte	665184874	247	243	3
BR/Rio Grande do Sul	6596040213	2187	2179	8
BR/Rio de Janeiro	8261730695	2591	2557	12
BR/Rondônia	272269330	78	78	0
BR/Roraima	39654135	9	8	1
BR/Santa Catarina	3324693148	1240	1169	20
BR/São Paulo	229203012603	9489	8352	49
BR/Sergipe	520907711	194	192	2
BR/Tocantins	274556989	92	92	0
BS/Freeport	2756474	1	1	0
BS/Moore’s Island	929096	1	1	0
BS/New Providence	56313884	12	12	0
BT/Chukha	1318067	1	1	0
BT/Mongar	862732	1	1	0
BT/Punakha	1689568	1	1	0
BT/Thimphu District	5519576	8	8	0
BT/Trashi Yangste	917112	1	1	0
BW/Central	9760692	1	1	0
BW/City of Francistown	1064512	2	2	0
BW/Gaborone	77537489	55	55	0
BW/Kgatleng	27928	1	1	0
BW/South-East	1136	1	1	0
BY/Brest	125686144	28	28	0
BY/Grodnenskaya	75352838	24	24	0
BY/Homyel’ Voblasc’	104712621	31	31	0
BY/Minsk	79019977	24	24	0
BY/Minsk City	236229027	78	77	1
BY/Mogilev	51673164	16	16	0
BY/Vitebsk	57575618	18	18	0
BZ/Belize District	93331646	20	8	1
BZ/Cayo District	9595429	5	5	0
BZ/Corozal District	2417720	2	2	0
BZ/Orange Walk District	36355572	2	2	0
BZ/Southern District	2115157	1	1	0
CA/Alberta	3599988853261	409320	24901	446
CA/British Columbia	503660978692	65472	1677	158
CA/Manitoba	511259879	53	53	0
CA/New Brunswick	171322042	29	29	0
CA/Newfoundland and Labrador	117665101	18	17	1
CA/Nova Scotia	42007264755	63	63	0
CA/Ontario	30727398919321	610614	191179	916
CA/Prince Edward Island	68021676	8	8	0
CA/Quebec	4436560556025	317487	26603	39798
CA/Saskatchewan	187760542	30	29	1
CD/Haut-Katanga	12504747	13	13	0
CD/Kinshasa	53758809	36	36	0
CD/Lualaba	5990332	5	5	0
CD/North Kivu	6463440	6	6	0
CF/Bangui	1128188	1	1	0
CG/Brazzaville	269213389	110	110	0
CG/Pointe-Noire	217213711	58	58	0
CH/Aargau	14853520	3	3	0
CH/Basel-City	55996906245	651	630	2
CH/Basel-Landschaft	3289112442	224	4	6
CH/Bern	1104443727640	15375	14775	29
CH/Fribourg	1985296502	3313	233	220
CH/Geneva	4683509504461	35977	9941	156
CH/Grisons	2241824	2	2	0
CH/Lucerne	449810081	2	2	0
CH/Neuchâtel	153860293	11	10	1
CH/Saint Gallen	880414772	522	515	1
CH/Schwyz	1495766	1	1	0
CH/Solothurn	10153740	1	1	0
CH/Ticino	3072847	2	2	0
CH/Valais	526012685	37	37	0
CH/Vaud	762595311518	153692	13979	5210
CH/Zug	58535865	281	9	4
CH/Zurich	3687429501282	308042	3368	815
CI/Abidjan Autonomous District	607468095	199	199	0
CI/Lacs District	13058299	3	3	0
CI/Lagunes District	10677804	1	1	0
CI/Vallée du Bandama District	11396588	6	6	0
CL/Antofagasta	50471652	28	28	0
CL/Araucania	138943400	39	38	1
CL/Arica y Parinacota Region	61520360	11	11	0
CL/Atacama	23944403	9	9	0
CL/Aysén	3859562	4	4	0
CL/Biobio	490167270	154	153	1
CL/Coquimbo Region	162373298	45	45	0
CL/Los Lagos Region	150222845	43	43	0
CL/Los Ríos Region	37829558	18	18	0
CL/Maule Region	409742268	90	77	2
CL/Ñuble	26271589	10	10	0
CL/O'Higgins Region	212736859	64	64	0
CL/Region of Magallanes	83516480	21	21	0
CL/Santiago Metropolitan	189722940549	3061	2527	54
CL/Tarapacá	65226228	17	17	0
CL/Valparaiso	16755358616	119	119	0
CM/Centre	24696670	19	19	0
CM/East	4035151	5	5	0
CM/Far North	1194552	1	1	0
CM/Littoral	25033751	18	18	0
CM/North	6887944	2	2	0
CM/North-West	1244652	1	1	0
CM/South-West	1070349948	68	44	6
CM/West	1179144	1	1	0
CN/Anhui	178953307606	3819	2878	605
CN/Beijing	185816751328053	149131980	148934085	19050
CN/Chongqing	56919039826	99	40	31
CN/Fujian	181202671997	8851	8849	2
CN/Gansu	16168170625	2342	150	9
CN/Guangdong	31296667498735	17402515	17335769	1015
CN/Guangxi	1367293442	3	3	0
CN/Hainan	313456214126	5118	4632	64
CN/Hebei	216941970665	57062	5837	45121
CN/Heilongjiang	272463491897	351	325	15
CN/Henan	249643214	60	55	5
CN/Hubei	29261323884	603	591	10
CN/Hunan	46204956379	5232	1624	309
CN/Inner Mongolia	108816429	33	32	1
CN/Jiangsu	1655803074510	13029	1615	88
CN/Jiangxi	92770029	11	6	3
CN/Jilin	1435925265	105	103	2
CN/Liaoning	166137152687	218	143	56
CN/Ningxia	19302307720	36	36	0
CN/Shaanxi	6319993291	225	224	1
CN/Shandong	11639556493	444	283	40
CN/Shanghai	626732916875833	57169880	2729452	197842
CN/Shanxi	60008928653351	7137273	7949	16190
CN/Sichuan	71058454437	7	7	0
CN/Tianjin	562598013626	13145	12860	45
CN/Xinjiang	2805645	1	1	0
CN/Yunnan	222527965557	8384	8370	11
CN/Zhejiang	2609482472314	13162	12402	115
CO/Antioquia	12839763404	490	488	1
CO/Arauca Department	14105969	7	7	0
CO/Atlántico	462888236	125	124	1
CO/Bogota D.C.	70531594068	1131	1120	11
CO/Bolívar	199991617	69	69	0
CO/Boyacá	114628565	43	43	0
CO/Caldas Department	119270484	47	47	0
CO/Caquetá	16767053	10	10	0
CO/Casanare Department	16086825	7	7	0
CO/Cauca Department	2328323041	49	49	0
CO/Cesar Department	72304856	36	36	0
CO/Chocó	2103986	2	2	0
CO/Córdoba	72457049	17	17	0
CO/Cundinamarca	315462863	117	117	0
CO/Guaviare Department	5306148	1	1	0
CO/Huila Department	287935949	70	70	0
CO/La Guajira Department	37360893	20	20	0
CO/Magdalena Department	196062377	72	72	0
CO/Meta Department	131379602	44	44	0
CO/Nariño	162148914	57	57	0
CO/Norte de Santander Department	63171176	36	35	1
CO/Putumayo Department	23662940	4	4	0
CO/Quindío Department	72555036	27	27	0
CO/Risaralda Department	252710853	73	73	0
CO/San Andres y Providencia	8886380	4	4	0
CO/Santander Department	754286653	305	102	13
CO/Sucre Department	14664711	8	8	0
CO/Tolima Department	109110011	47	47	0
CO/Valle del Cauca Department	763726549	254	254	0
CR/Alajuela Province	177765002	60	60	0
CR/Cartago Province	122911784	23	23	0
CR/Guanacaste Province	114319588	26	26	0
CR/Heredia Province	112365016	23	23	0
CR/Limón Province	65441311	18	18	0
CR/Puntarenas Province	55682612	17	17	0
CR/San José	1219233104	268	266	2
CU/Havana	14422032	5	5	0
CV/Praia	6078461	5	5	0
CW/Curacao	30458852	12	12	0
CY/Ammochostos	3917852	2	2	0
CY/Limassol	695118571	3	3	0
CY/Nicosia	19650827327	387	382	2
CY/Pafos	862732	1	1	0
CZ/Central Bohemia	25457072	6	6	0
CZ/Hradec Králové Region	4460641	4	4	0
CZ/Liberec Region	885162	1	1	0
CZ/Moravian-Silesian Region	38153494004	28	28	0
CZ/Olomouc Region	593272	1	1	0
CZ/Pardubice Region	5925245	3	3	0
CZ/Plzeň Region	17687882	3	3	0
CZ/Prague	3254919902	1613	86	4
CZ/South Bohemian Region	20043179	6	6	0
CZ/South Moravian	7402541	5	5	0
CZ/Ústí nad Labem Region	1839171	2	2	0
CZ/Vysocina	18632716	4	4	0
CZ/Zlín	2797011	1	1	0
DE/Baden-Wurttemberg	33325872222412	401546	16518	2020
DE/Bavaria	1194486073212	24321	3108	331
DE/Brandenburg	45324584432	22703	504	81
DE/Bremen	8977654464	9	9	0
DE/Free Hanseatic City of Bremen	25914520306	143	12	1
DE/Free and Hanseatic City of Hamburg	73131947125	11	11	0
DE/Hamburg	34756217	11	11	0
DE/Hesse	513141508904	9147	6017	160
DE/Lower Saxony	455339024527	10934	5036	518
DE/Mecklenburg-Vorpommern	577105462	683	673	2
DE/North Rhine-Westphalia	425353025180	21864	1538	367
DE/Rheinland-Pfalz	18170841547	172	30	75
DE/Saarland	30944797	7	7	0
DE/Saxony	551796958176	2571	2387	14
DE/Saxony-Anhalt	13520507249	28	27	1
DE/Schleswig-Holstein	2070412605	42	24	18
DE/State of Berlin	4829260398995	178367	13646	838
DE/Thuringia	8268582818	2289	2289	0
DJ/Djibouti	4221809	4	4	0
DK/Capital Region	466018548297	70761	5404	2142
DK/Central Jutland	47938359525	161	161	0
DK/North Denmark	145621912	9	9	0
DK/South Denmark	6982421	5	5	0
DK/Zealand	9299408302	1782	12	2
DM/Saint Patrick Parish	9564650	1	1	0
DO/Azua Province	2288208	2	2	0
DO/Baoruco Province	3733344	2	2	0
DO/Barahona Province	20944132	4	4	0
DO/Dajabón	23632880	3	3	0
DO/Duarte Province	37913512	14	14	0
DO/El Seíbo	31707444	4	4	0
DO/Espaillat Province	66641401	16	16	0
DO/Hato Mayor Province	3415997	3	3	0
DO/Hermanas Mirabal	5635440	3	3	0
DO/La Altagracia Province	48586421	14	14	0
DO/La Romana	8639407	60	48	1
DO/La Vega	62583471	17	17	0
DO/María Trinidad Sánchez	14925928	6	6	0
DO/Monseñor Nouel	45988759	11	11	0
DO/Monte Cristi Province	5519518	3	3	0
