week_start	sub-Jenkins/sub-Jenkins_ses-large_desc-test_ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-large_desc-train_behavior+ecephys.nwb
2024-07-22	802352	164849716
2024-07-29	0	148590536
2024-08-05	0	594362144
2024-08-12	3209408	594362144
2024-08-19	802352	445771608
2024-08-26	2407056	292548468
2024-09-02	1604704	0
2024-09-09	7221168	1185988600
2024-09-16	1473632	681828016
2024-09-23	4011760	692440584
2024-09-30	0	346156888
2024-10-07	802352	148590536
2024-10-14	802352	0
2024-10-21	4011760	364805172
2024-10-28	2407056	445771608
2024-11-04	802352	8229136
2024-11-11	1604704	297181072
2024-11-18	4011760	165358948
2024-11-25	0	148590536
2024-12-02	802352	0
2024-12-09	5616464	594362144
2024-12-16	4011760	445771608
2024-12-30	0	297181072
2025-01-06	6418816	1040133752
2025-01-13	802352	0
2025-01-20	0	148590536
2025-01-27	1604704	148590536
2025-02-03	2407056	148590536
2025-02-10	3209408	594362144
2025-02-17	802352	0
2025-02-24	802352	148590536
2025-03-10	0	148590536
2025-03-24	0	297181072
2025-03-31	1604704	297181072
2025-04-07	2407056	445771608
2025-04-14	1604704	148590536
2025-04-21	802352	0
2025-04-28	1604704	0
2025-05-05	802352	297181072
2025-05-12	0	148590536
2025-05-26	802352	148590536
2025-06-09	3209408	1040133752
2025-06-16	2407056	297181072
2025-06-23	1604704	724812888
2025-06-30	1297504	322797576
2025-07-14	1297504	378568112
2025-07-21	802352	148590536
2025-07-28	802352	0
2025-08-04	802352	0
2025-08-11	1604704	156884796
2025-08-25	0	476299048
2025-09-01	802352	96161736
2025-09-15	6794720	173885456
2025-09-22	9389728	339604728
2025-09-29	3209408	148590536
2025-10-06	11637968	314205144
2025-10-13	12172688	67841068
2025-10-20	2099856	10988360
2025-10-27	20452864	667054608
2025-11-03	13162992	372521272
2025-11-10	8587376	192264872
2025-11-17	5002064	1513219264
2025-11-24	5497216	177629904
2025-12-01	6794720	328508292
2025-12-08	3397360	562132300
2025-12-15	19820304	772358756
2025-12-22	0	20501968
2025-12-29	1604704	253925064
2026-01-05	9696928	470500728
2026-01-12	3209408	0
2026-01-19	3892512	306007484
2026-01-26	4199712	19214084
2026-02-02	125664480	1596918196
2026-02-09	802352	4317072
2026-02-16	4216560	162858796
2026-02-23	3090160	308431476
2026-03-02	0	148590536
2026-03-09	802352	152705104
2026-03-16	2407056	299339608
2026-03-23	6196616	2954904
2026-03-30	1604704	148590536
