week_start	sub-128514/sub-128514_ses-128514-20191215-probe0_behavior+ecephys+ogen.nwb	sub-128515/sub-128515_ses-128515-20191216-probe0_ecephys+ogen.nwb	sub-128516/sub-128516_ses-128516-20191215-probe0_ecephys+ogen.nwb	sub-147463/sub-147463_ses-147463-20191113-probe0_ecephys+ogen.nwb	sub-147465/sub-147465_ses-147465-20191113-probe0_ecephys+ogen.nwb	sub-152414/sub-152414_ses-152414-20191023-probe0_ecephys+ogen.nwb	sub-152417/sub-152417_ses-152417-20191023-probe0_ecephys+ogen.nwb	sub-152419/sub-152419_ses-152419-20191106-probe0_ecephys+ogen.nwb	sub-156130/sub-156130_ses-156130-20191112-probe0_ecephys+ogen.nwb	sub-156131/sub-156131_ses-156131-20191112-probe0_ecephys+ogen.nwb	sub-216300/sub-216300_ses-216300-20200518-probe0_ecephys+ogen.nwb	sub-216301/sub-216301_ses-216301-20200521-probe0_ecephys+ogen.nwb	sub-225757/sub-225757_ses-225757-20200519-probe0_ecephys+ogen.nwb	sub-225758/sub-225758_ses-225758-20200519-probe0_ecephys+ogen.nwb	sub-225759/sub-225759_ses-225759-20200521-probe0_ecephys+ogen.nwb	sub-258412/sub-258412_ses-258412-20200915-probe0_ecephys+ogen.nwb	sub-258414/sub-258414_ses-258414-20200915-probe0_ecephys+ogen.nwb	sub-258416/sub-258416_ses-258416-20200921-probe0_ecephys+ogen.nwb	sub-258419/sub-258419_ses-258419-20200921-probe0_ecephys+ogen.nwb	sub-259112/sub-259112_ses-259112-20200914-probe0_ecephys+ogen.nwb	sub-268947/sub-268947_ses-268947-20200922-probe0_ecephys+ogen.nwb	sub-268951/sub-268951_ses-268951-20200922-probe0_ecephys+ogen.nwb	sub-273853/sub-273853_ses-273853-20200925-probe0_ecephys+ogen.nwb	sub-273855/sub-273855_ses-273855-20200928-probe0_ecephys+ogen.nwb	sub-273858/sub-273858_ses-273858-20200925-probe0_ecephys+ogen.nwb
2023-11-20	10156640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	436200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	75781367	20971520	20971520	20971520	0	20971520	20971520	0	20971520	20971520	26214400	20971520	20971520	20971520	20971520	20971520	20971520	20971520	15728640	0	0	0	0	0	0
2023-12-11	169240	0	0	0	20971520	0	0	20971520	0	0	0	0	0	0	0	0	0	0	36828936	20971520	20971520	20971520	20971520	20971520	20971520
2024-01-22	6961800	6870764	0	7649284	14207660	5502672	9500060	0	4864844	1024000	3886012	1331200	8492612	10808820	4978608	2048000	5437164	1564616	10850900	6419784	1331200	5437164	13167108	13900460	15862612
2024-02-12	14348492	773480432	9171120	33081540	17097588	14215236	17556144	9040104	81753984	27120312	11725932	0	71862276	45986616	15728640	6354276	7729944	9695184	23582880	15001332	24893040	640171652	0	167105880	9629676
2024-03-04	126470760	0	48148380	0	145755300	0	0	175430424	0	82016016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	202223196	11919669	9695184	150087804	1433600	27012244	198096192	0	38660072	26803004	0	144117600	22304008	150744116	6419784	20972768	199971796	130222328	259181066	125251296	77910052	198030684	78937140	1126400	22713136
2024-03-18	0	25482612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102225012	0	0	0	0	0	20700528	178574808
2024-03-25	14551752	230988552	112555212	10539912	1126400	23490156	9631076	1433600	14756552	9491784	15960524	14956864	9344216	14817572	7685476	139728200	13732552	21643168	322549264	16091540	7685476	7480676	0	1257416	164022424
2024-04-01	8262984	0	0	6419784	0	6354276	4389036	0	6747324	1024000	0	1331200	54261664	1126400	73063284	0	6288768	7336896	6419784	6354276	0	233655756	8778072	0	6812832
2024-04-08	0	0	0	0	0	362732764	93038924	681757080	0	0	135864152	703618180	0	0	0	0	0	0	0	0	8647056	0	108784624	0	0
2024-04-15	170690688	70662176	44651876	95423276	100590772	61337600	0	0	0	97448204	0	0	0	130614524	0	0	169132864	0	0	140742920	0	0	0	102860248	0
2024-04-22	0	0	159205424	0	0	0	319681788	45553836	40140800	326626836	34444280	23520584	38502400	47923200	167790944	45568000	135786860	68064584	14540800	20480000	331331088	27443200	529680164	27039076	47903848
2024-04-29	0	318269248	0	0	0	0	0	0	0	158725620	0	0	218727804	167035172	0	0	198899376	199695452	0	0	101413516	107086336	0	0	0
2024-05-06	0	0	98361868	0	172953940	114701592	0	0	206553712	0	95323924	227895520	0	0	140220036	0	0	0	0	0	0	0	0	180861212	0
2024-05-13	387656580	91758616	78646200	177031292	58481612	90856032	233387444	6292639720	86370988	372263584	102789304	315845608	66638140	154175984	58834112	164986660	154984388	286509304	121520908	180828780	298281948	302738320	58487948	75479480	58914148
2024-05-20	632853724	325373204	427717648	459270408	369857464	666156168	422447660	563041244	324733860	314434868	580387900	442552344	325146592	548952488	412114960	364554652	480491616	277254144	355432800	376399988	590311608	272762792	404382188	295056760	879212740
2024-05-27	0	0	0	0	0	0	0	167730864	269496084	0	0	0	0	170528700	538070664	0	82372612	0	0	0	0	470531604	0	305904688	0
2024-06-03	221268548	0	0	0	80619220	0	0	0	0	229559336	0	9831026166	0	0	0	195467160	0	11594916	221162316	153322504	0	0	0	175033064	0
2024-06-10	341516564	0	0	0	0	0	0	0	0	140409400	0	4892421513	0	0	7860960	0	0	0	0	0	0	1016407892	0	0	0
2024-06-17	0	0	0	0	340815090	0	0	0	0	0	20427815	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-24	458072952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-01	23779404	0	0	0	7795452	0	0	0	0	0	0	23713896	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	10661027	5007175901	0	6148515676	10743312	1860940	4389036	2161764	6681816	1927581	6419784	0	6550800	10546788	1854095	8517487	3209892	0	1906172	1883850	0	0	0	1932495	1910027
2024-07-15	0	0	0	0	9629676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-22	12577536	0	0	6148515676	7271388	0	4389036	0	0	25679136	10546788	25351596	9891708	0	11725932	11922456	12446520	0	0	0	0	0	0	0	0
2024-08-26	33610084	0	0	3144384	5437164	9957216	0	5131928504	0	0	5764704	10088232	0	8843580	7009356	7926468	32819508	0	5437164	3537432	9367644	7926468	9891708	6288768	131016
2024-09-02	0	3164448473	0	0	3186132095	0	0	0	0	7716108195	0	10874328	0	0	0	0	0	4446182219	0	0	0	0	1895025838	0	0
2024-09-09	3226058616	0	0	3810489492	0	3654942212	0	0	0	0	0	0	3552600116	0	0	0	0	0	0	0	5242880	2505077060	0	2485748728	0
2024-09-16	39958783	29320741	20971520	27522320	1960711	22832460	35252264	13238412	27325796	27325796	26345416	20971520	22911460	20971520	25969999	20971520	20971520	20971520	24783864	22855370	20971520	0	0	6354276	1910027
