week_start	CHANGES	README	dataset_description.json	derivatives/labels/dataset_description.json	derivatives/labels/sub-21G2022/micr/sub-21G2022_sample-21G2022_BF_seg-axon-manual.png	derivatives/labels/sub-21G2022/micr/sub-21G2022_sample-21G2022_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-21G2022/micr/sub-21G2022_sample-21G2022_BF_seg-myelin-manual.png	derivatives/labels/sub-21G2031/micr/sub-21G2031_sample-21G2031_BF_seg-axon-manual.png	derivatives/labels/sub-21G2031/micr/sub-21G2031_sample-21G2031_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-21G2031/micr/sub-21G2031_sample-21G2031_BF_seg-myelin-manual.png	derivatives/labels/sub-21G207/micr/sub-21G207_sample-21G207_BF_seg-axon-manual.png	derivatives/labels/sub-21G207/micr/sub-21G207_sample-21G207_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-21G207/micr/sub-21G207_sample-21G207_BF_seg-myelin-manual.png	derivatives/labels/sub-22G131440x1/micr/sub-22G131440x1_sample-22G1314_BF_seg-axon-manual.png	derivatives/labels/sub-22G131440x1/micr/sub-22G131440x1_sample-22G1314_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G131440x1/micr/sub-22G131440x1_sample-22G1314_BF_seg-myelin-manual.png	derivatives/labels/sub-22G1315/micr/sub-22G1315_sample-22G1315_BF_seg-axon-manual.png	derivatives/labels/sub-22G1315/micr/sub-22G1315_sample-22G1315_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G1315/micr/sub-22G1315_sample-22G1315_BF_seg-myelin-manual.png	derivatives/labels/sub-22G132040x3/micr/sub-22G132040x3_sample-22G1320_BF_seg-axon-manual.png	derivatives/labels/sub-22G132040x3/micr/sub-22G132040x3_sample-22G1320_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G132040x3/micr/sub-22G132040x3_sample-22G1320_BF_seg-myelin-manual.png	derivatives/labels/sub-22G132340x1/micr/sub-22G132340x1_sample-22G1323_BF_seg-axon-manual.png	derivatives/labels/sub-22G132340x1/micr/sub-22G132340x1_sample-22G1323_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G132340x1/micr/sub-22G132340x1_sample-22G1323_BF_seg-myelin-manual.png	derivatives/labels/sub-22G13240x5/micr/sub-22G13240x5_sample-22G132_BF_seg-axon-manual.png	derivatives/labels/sub-22G13240x5/micr/sub-22G13240x5_sample-22G132_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G13240x5/micr/sub-22G13240x5_sample-22G132_BF_seg-myelin-manual.png	participants.tsv	samples.json	samples.tsv	sub-21G2022/micr/sub-21G2022_sample-21G2022_BF.json	sub-21G2022/micr/sub-21G2022_sample-21G2022_BF.tif	sub-21G2031/micr/sub-21G2031_sample-21G2031_BF.tif	sub-21G204/micr/sub-21G204_sample-21G204_BF.tif	sub-21G207/micr/sub-21G207_sample-21G207_BF.tif	sub-22G1311/micr/sub-22G1311_sample-22G1311_BF.tif	sub-22G131440x1/micr/sub-22G131440x1_sample-22G1314_BF.tif	sub-22G1315/micr/sub-22G1315_sample-22G1315_BF.tif	sub-22G1319/micr/sub-22G1319_sample-22G1319_BF.tif	sub-22G1320/micr/sub-22G1320_sample-22G1320_BF.tif	sub-22G132040x3/micr/sub-22G132040x3_sample-22G1320_BF.tif	sub-22G132340x1/micr/sub-22G132340x1_sample-22G1323_BF.tif	sub-22G13240x5/micr/sub-22G13240x5_sample-22G132_BF.tif	sub-22G1328/micr/sub-22G1328_sample-22G1328_BF.tif	sub-22G1329/micr/sub-22G1329_sample-22G1329_BF.tif
2026-04-13	770	528	579	602	83150	162749	152512	72119	153112	144077	56511	131087	122804	87133	136973	127477	71117	163988	153677	40711	77333	72588	71731	117104	109492	78688	131705	123219	1024	886	2424	1890	4542846	4542846	4543375	4542849	4441126	4441126	13630149	4441126	4441126	13323378	4441126	3435636	4441126	13323378
2026-04-20	1540	2112	386	301	0	325498	0	0	306224	0	0	0	245608	0	0	0	142234	0	307354	0	0	145176	0	0	218984	0	263410	0	1536	886	2424	504	9085692	9085692	0	0	0	0	0	8882252	0	0	0	6871272	0	0
2026-04-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	0	0	0	0	0	0	0	0	0	8882252	4441126	0	0	0	0
2026-05-04	0	0	0	0	0	162749	0	0	153112	0	0	131087	0	0	136973	0	0	163988	0	0	77333	0	0	117104	0	0	131705	0	0	0	0	0	4542846	4542846	0	4542849	0	4441126	4543383	0	0	4441126	4441126	3435636	0	0
2026-05-11	770	528	193	301	83150	162749	152512	72119	153112	144077	56511	131087	122804	87133	136973	127477	71117	163988	153677	40711	77333	72588	71731	117104	109492	78688	131705	123219	1024	443	808	1764	4542846	4542846	4543375	9085698	4441126	4441126	4543383	4441126	4441126	4441126	4441126	3435636	4441126	4441126
2026-05-18	770	1584	193	301	83150	488247	152512	144238	765560	288154	56511	131087	491216	174266	136973	127477	284468	163988	614708	40711	77333	290352	71731	117104	437968	78688	526820	123219	512	443	2424	2268	18171384	13628538	13410278	4542849	4441126	4441126	4543383	17646906	4441126	4441126	4441126	13742544	4441126	4441126
2026-05-25	770	0	193	0	0	0	0	144238	153112	288154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0	630	0	0	851604	0	0	7074864	0	0	0	0	0	6871272	0	0
2026-06-01	0	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	1616	252	0	0	0	0	0	0	0	0	0	0	0	0	4441126	0
2026-06-08	2310	1584	772	602	332600	650996	610048	288476	612448	576308	169533	393261	368412	261399	410919	382431	213351	491964	461031	122133	231999	217764	215193	351312	328476	236064	395115	369657	2048	2658	3232	3780	18171384	18171384	13630125	13628547	22205630	13323378	13630149	13323378	13323378	13323378	13323378	10306908	17581398	13323378
2026-06-15	770	528	0	0	0	0	0	72119	153112	432231	0	0	0	87133	136973	0	284468	491964	614708	40711	77333	72588	0	0	0	0	0	0	0	0	0	504	0	0	0	0	0	0	0	4441126	1375668	0	0	0	10388936	0
2026-06-22	0	1056	0	0	0	325498	0	0	306224	0	0	0	245608	0	0	0	142234	163988	307354	0	0	145176	0	0	218984	0	263410	0	0	0	1616	0	2292780	2751336	0	0	0	0	0	2816844	0	0	0	2685828	0	0
2026-06-29	0	0	0	0	0	0	0	0	0	0	0	0	122804	0	0	0	71117	0	153677	0	0	72588	0	0	109492	0	131705	0	512	0	808	0	4542846	0	0	0	0	0	0	4441126	0	0	0	0	0	0
2026-07-06	770	1584	193	301	83150	488247	152512	72119	459336	144077	56511	131087	368412	87133	136973	127477	213351	163988	461031	40711	77333	217764	71731	117104	328476	78688	395115	123219	512	443	2424	1764	7032150	6901134	18173500	4542849	4441126	13323378	4543383	7126954	4441126	4441126	4441126	10015656	4441126	4441126
2026-07-13	0	0	0	0	83150	162749	152512	72119	153112	144077	56511	131087	122804	87133	136973	127477	71117	163988	153677	40711	77333	72588	71731	117104	109492	78688	131705	123219	0	0	0	0	0	0	0	0	0	4441126	0	0	0	0	0	0	0	0
2026-07-20	0	0	0	301	83150	162749	305024	72119	153112	144077	113022	262174	122804	87133	136973	127477	142234	163988	307354	81422	154666	145176	215193	117104	109492	78688	131705	123219	0	0	0	252	917112	4542846	4543375	917112	4441126	11175032	5919051	4441126	4441126	4441126	3995988	1375668	2685828	982620
2026-08-10	0	1056	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024	0	1616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
