	date	bytes_sent
84	2023-05-26	6300840
85	2023-05-27	2144209
86	2023-05-28	2719144
87	2023-05-29	2292856
88	2023-05-30	2384560741
89	2023-05-31	2318340
90	2023-06-01	577284968
91	2023-06-02	4839726
92	2023-06-03	1509104
93	2023-06-04	3785683
94	2023-06-05	2014924
95	2023-06-06	650424
96	2023-06-07	4681012
97	2023-06-08	3747677
98	2023-06-09	47123848
99	2023-06-10	2228058
100	2023-06-11	1136628
101	2023-06-12	2206512
102	2023-06-13	5057085
103	2023-06-14	872416
104	2023-06-15	2086280
105	2023-06-16	2732188
106	2023-06-17	6701686
107	2023-06-18	2286429
108	2023-06-19	1631124
109	2023-06-20	2057528
110	2023-06-21	4327177
111	2023-06-22	3224320
112	2023-06-23	3196194
113	2023-06-24	5072560
114	2023-06-25	934101734
115	2023-06-26	201537838
116	2023-06-27	1955928
117	2023-06-28	2127120
118	2023-06-29	879402709
119	2023-06-30	51056332
120	2023-07-01	60135360
121	2023-07-02	2755283
122	2023-07-03	48031528
123	2023-07-04	2104280
124	2023-07-05	1765016
125	2023-07-06	56384874
126	2023-07-07	3080748
127	2023-07-08	2154185
128	2023-07-09	2981112
129	2023-07-10	3063955
130	2023-07-11	5036232
131	2023-07-12	3583602
132	2023-07-13	3605436
133	2023-07-14	26037094
134	2023-07-15	2843436
135	2023-07-16	1788896
136	2023-07-17	1753497545
137	2023-07-18	2922963
138	2023-07-19	3891353
139	2023-07-20	21723308
140	2023-07-21	2723128
141	2023-07-22	5981065
142	2023-07-23	1626774
143	2023-07-24	3989523
144	2023-07-25	723565931
145	2023-07-26	3831810
146	2023-07-27	2069979
147	2023-07-28	27699963
148	2023-07-29	28853472
149	2023-07-30	1434805
150	2023-07-31	5620223
151	2023-08-01	1726062
152	2023-08-02	5547649
153	2023-08-03	1991584
154	2023-08-04	4454869
155	2023-08-05	4379207
156	2023-08-06	1594072
157	2023-08-07	7559549
158	2023-08-08	3246512
159	2023-08-09	5631877
160	2023-08-10	1144784262
161	2023-08-11	3019825
162	2023-08-12	1184552
163	2023-08-13	3272748
164	2023-08-14	2882084
165	2023-08-15	2640036
166	2023-08-16	1705460
167	2023-08-17	3733047
168	2023-08-18	5867450315
169	2023-08-19	4079624
170	2023-08-20	1913406
171	2023-08-21	7709603
172	2023-08-22	1969496
173	2023-08-23	4818857158
174	2023-08-24	2225984
175	2023-08-25	2235347
176	2023-08-26	1961616
177	2023-08-27	2214004
178	2023-08-28	1709536922
179	2023-08-29	2316000
180	2023-08-30	5570635
181	2023-08-31	5647055921
182	2023-09-01	74002382
183	2023-09-02	2550028
184	2023-09-03	9486550
185	2023-09-04	5858364
186	2023-09-05	2438991
187	2023-09-06	1407693
188	2023-09-07	6024063
189	2023-09-08	434968
190	2023-09-09	2449655
191	2023-09-10	3371273
192	2023-09-11	133512526
193	2023-09-12	1917835
194	2023-09-13	5022330
195	2023-09-14	29620774
196	2023-09-15	1268892
197	2023-09-16	3447699
198	2023-09-17	1748286
199	2023-09-18	3486103
200	2023-09-19	2017682
201	2023-09-20	2462560
202	2023-09-21	5135483
203	2023-09-22	3234580
204	2023-09-23	2741840
205	2023-09-24	6335482
206	2023-09-25	11632897
207	2023-09-26	7488048917
208	2023-09-27	1055162674
209	2023-09-28	2500187
210	2023-09-29	4656965
211	2023-09-30	1856547
212	2023-10-01	7333289
213	2023-10-02	12800841
214	2023-10-03	12456122
215	2023-10-07	783340
216	2023-10-08	6730080
217	2023-10-10	3564013
218	2023-10-12	2801190
219	2023-10-13	1412864
220	2023-10-14	174640
221	2023-10-15	2292738
222	2023-10-16	480
223	2023-10-20	1420552
224	2023-10-21	108001756
225	2023-10-22	36344456
226	2023-10-23	67827326
227	2023-10-24	154556892
228	2023-10-25	3274265727
229	2023-10-26	4124631814
230	2023-10-27	1882457222
231	2023-10-28	3206786342
232	2023-10-29	1479109111
233	2023-10-31	83019097
234	2023-11-01	118390429
235	2023-11-02	80098139
236	2023-11-03	39276263
237	2023-11-04	1368797
238	2023-11-05	67003030
239	2023-11-06	77735842
240	2023-11-08	1021028
241	2023-11-10	25088223
242	2023-11-12	29480221
243	2023-11-13	2055166
244	2023-11-14	2597043289
245	2023-11-16	2347908
246	2023-11-17	16441034
247	2023-11-18	1144463
248	2023-11-19	7844568015
249	2023-11-21	20729115277
250	2023-11-23	103592
251	2023-11-24	9523200
252	2023-11-27	6276471510
253	2023-11-28	11605467428
254	2023-11-29	5729929
255	2023-11-30	142384
256	2023-12-01	2499825
257	2023-12-03	3542272
258	2023-12-04	109231513
259	2023-12-05	1376339
260	2023-12-06	2998151
261	2023-12-07	13361172
262	2023-12-08	1625831
263	2023-12-09	4353424432
264	2023-12-10	1286120
265	2023-12-11	348762768
266	2023-12-12	4324149148
267	2023-12-14	362019013
268	2023-12-18	5547175697
269	2024-01-04	25468328
270	2024-01-05	12734164
271	2024-01-17	25638195
272	2024-01-22	414467097
273	2024-01-23	238310880
274	2024-01-24	180662282
275	2024-01-25	144229744
276	2024-01-26	299975247
277	2024-01-27	393560789
278	2024-01-28	200595294
279	2024-01-29	173233228
280	2024-01-30	108742586
281	2024-01-31	182762356
282	2024-02-01	282252586
283	2024-02-02	272133140
284	2024-02-03	122539237
285	2024-02-04	210720438
286	2024-02-05	221111069
287	2024-02-06	254428478
288	2024-02-07	217975042
289	2024-02-08	146650102
290	2024-02-09	159899683
291	2024-02-10	143724698
292	2024-02-11	202406444
293	2024-02-12	223324224
294	2024-02-13	103453378
295	2024-02-14	198563311
296	2024-02-15	86605105
297	2024-02-16	87305741
298	2024-02-17	80980059
299	2024-02-18	101667433
300	2024-02-19	104299791
301	2024-02-20	115341333
302	2024-02-21	48589366
303	2024-02-22	33409087
304	2024-02-23	139936869
305	2024-02-24	146754061
306	2024-02-25	116675719
307	2024-02-26	53732626
308	2024-02-27	95495136
309	2024-02-28	88523199
310	2024-02-29	1680987741
311	2024-03-01	115099075
312	2024-03-02	78648492
313	2024-03-03	71105087
314	2024-03-04	58825734
315	2024-03-05	57739710
316	2024-03-06	43720872
317	2024-03-07	53704017
318	2024-03-08	199720885
319	2024-03-09	68218519
320	2024-03-10	104599063
321	2024-03-11	52771266
322	2024-03-12	3870369453
323	2024-03-13	7599689176
324	2024-03-14	1565993650
325	2024-03-15	4652036782
326	2024-03-16	5053064389
327	2024-03-17	2778475455
328	2024-03-18	3559367550
329	2024-03-19	804123244
330	2024-03-20	1691769102
331	2024-03-21	1138077524
332	2024-03-22	36549760
333	2024-03-23	20838296
334	2024-03-24	13173666
335	2024-03-25	1072905895
336	2024-03-26	1706505238
337	2024-03-27	1150844619
338	2024-03-28	3096550901
339	2024-03-29	2494659230
340	2024-03-30	224020557
341	2024-03-31	9882751256
342	2024-04-01	199079605
343	2024-04-02	445175676
344	2024-04-03	1329087046
345	2024-04-04	1780294699
346	2024-04-05	1173854228
347	2024-04-06	1187147950
348	2024-04-07	1140363374
349	2024-04-08	659027019
350	2024-04-09	396131039
351	2024-04-10	363545351
352	2024-04-13	282609066
353	2024-04-15	342037348
354	2024-04-16	210677553
355	2024-04-18	7830952
356	2024-04-19	640964029
357	2024-04-22	293920788
358	2024-04-23	402229882
359	2024-04-24	440569299
360	2024-04-25	755113824
361	2024-05-02	1183858969
362	2024-05-04	859399692
363	2024-05-06	452711417
364	2024-05-07	786269074
365	2024-05-08	439408886
366	2024-05-09	957965758
367	2024-05-10	718015183
368	2024-05-11	365289306
369	2024-05-12	7764588
370	2024-05-13	249819471
371	2024-05-14	6130070477
372	2024-05-15	8629440594
373	2024-05-16	242171665
374	2024-05-18	369715359
375	2024-05-19	139624556
376	2024-05-20	175952177
377	2024-05-21	263634662
378	2024-05-22	128340456
379	2024-05-24	210405127
380	2024-05-25	188339914
381	2024-05-26	150133515
382	2024-05-27	43777548
383	2024-05-28	6241625798
384	2024-05-30	128946158
385	2024-05-31	129940660
386	2024-06-01	312410646
387	2024-06-02	183300117
388	2024-06-03	38823256
389	2024-06-04	202435069
390	2024-06-05	73286653
391	2024-06-06	29767524
392	2024-06-07	27837380
393	2024-06-08	173742953
394	2024-06-09	229860773
395	2024-06-10	35770196
396	2024-06-11	38689628
397	2024-06-12	478822802
398	2024-06-13	275301059
399	2024-06-15	198091212
400	2024-06-16	45193884
401	2024-06-17	51830284
402	2024-06-18	52958472
403	2024-06-19	324873813
404	2024-06-21	32551060
405	2024-06-22	55145126
406	2024-06-23	137037062
407	2024-06-24	142951128
408	2024-06-25	138232153
409	2024-06-26	69328044
410	2024-06-27	478743310
411	2024-06-28	50151312
412	2024-06-29	568575938
413	2024-06-30	343881748
414	2024-07-01	58521373
415	2024-07-02	42719351
416	2024-07-03	20639204
417	2024-07-05	7764588
418	2024-07-06	18913740
419	2024-07-08	12210976
420	2024-07-09	22073580
421	2024-07-10	28536520
422	2024-07-11	76433718
423	2024-07-13	829063157
424	2024-07-14	695368576
425	2024-07-15	993668425
426	2024-07-16	1076500765
427	2024-07-17	1276331601
428	2024-07-18	580835512
429	2024-07-19	660802213
430	2024-07-20	584060977
431	2024-07-21	12011884
432	2024-07-22	2093414235
433	2024-07-23	1913657232
434	2024-07-24	566288466
435	2024-07-25	653682124
436	2024-07-26	1563618972
437	2024-07-27	162674396
438	2024-07-28	422851827
439	2024-07-29	270654920
440	2024-07-30	313204601
441	2024-07-31	151646487
442	2024-08-01	262842168
443	2024-08-02	370264500
444	2024-08-03	18742924
445	2024-08-04	276388840
446	2024-08-05	78531403
447	2024-08-06	114650519
448	2024-08-07	293511068
449	2024-08-08	287700405
450	2024-08-09	82549488
451	2024-08-10	175080706
452	2024-08-11	302308488
453	2024-08-12	216665498
454	2024-08-13	173488536
455	2024-08-14	185973980
456	2024-08-15	169821574
457	2024-08-16	235116367
458	2024-08-17	195453170
459	2024-08-18	16402092
460	2024-08-19	182315408
461	2024-08-20	28859393
462	2024-08-21	42630526
463	2024-08-22	74842682
464	2024-08-23	24469140
465	2024-08-24	42723372
466	2024-08-25	80998477
467	2024-08-26	190122062
468	2024-08-27	129531820
469	2024-08-28	229752168
470	2024-08-29	314435944
471	2024-08-30	9102981419
472	2024-08-31	292410812
473	2024-09-01	13953204
474	2024-09-02	208105745
475	2024-09-03	109324329
476	2024-09-04	699353007
477	2024-09-05	389198160
478	2024-09-06	436077357
479	2024-09-07	306175104
480	2024-09-08	461583075
481	2024-09-09	625617836
482	2024-09-10	769321876
483	2024-09-11	602335715
484	2024-09-12	12315504
485	2024-09-13	223796038
486	2024-09-15	24130008
487	2024-09-20	677197390
488	2024-09-21	1958109708
489	2024-09-22	964914448
490	2024-09-23	877113501
491	2024-09-24	1126170521
492	2024-09-25	1546913929
493	2024-09-26	866624503
494	2024-09-27	592670132
495	2024-09-28	343537559
496	2024-09-29	524082641
497	2024-09-30	311082681
498	2024-10-01	555309888
499	2024-10-02	570086023
500	2024-10-03	512687967
501	2024-10-04	369773471
502	2024-10-05	547026814
503	2024-10-06	416672804
504	2024-10-07	181205978
505	2024-10-08	146351885
506	2024-10-09	141074160
507	2024-10-10	209679262
508	2024-10-11	217405999
509	2024-10-12	304910152
510	2024-10-13	32325300
511	2024-10-14	146582569
512	2024-10-15	117991572
513	2024-10-16	55063853
514	2024-10-17	288777723
515	2024-10-18	232536619
516	2024-10-19	1031861740
517	2024-10-20	333933385
518	2024-10-21	498897161
519	2024-10-22	32296397
520	2024-10-23	1748937417
521	2024-10-24	4572050839
522	2024-10-25	355347000
523	2024-10-26	194006298
524	2024-10-27	150054079
525	2024-10-28	241877739
526	2024-10-29	20105148
527	2024-10-30	338977745
528	2024-10-31	1533402015
529	2024-11-01	31037084
530	2024-11-02	12953416
531	2024-11-03	247803176
532	2024-11-04	1280177629
533	2024-11-05	27722904
534	2024-11-06	105997441
535	2024-11-07	25218320
536	2024-11-09	10020964
537	2024-11-10	5961228
538	2024-11-12	8241572
539	2024-11-13	52000916
540	2024-11-14	8092332085
541	2024-11-15	12144612
542	2024-11-16	7963680
543	2024-11-17	45459340
544	2024-11-19	4114568
545	2024-11-20	12282659786
546	2024-11-21	82549236
547	2024-11-22	27142876
548	2024-11-23	92086737
549	2024-11-24	153163902
550	2024-11-25	4114568
551	2024-11-26	109723299
552	2024-11-27	5703814634
553	2024-11-28	6368096202
554	2024-11-29	6681816
555	2024-11-30	65998203
556	2024-12-01	45846896
557	2024-12-02	601087209
558	2024-12-03	340803625
559	2024-12-04	7244264525
560	2024-12-05	926835586
561	2024-12-11	32647457
562	2025-01-18	14732808
563	2025-01-19	22165576
564	2025-01-23	15197356
565	2025-02-16	45375456
566	2025-02-18	37672339
567	2025-02-26	8259025521
568	2025-02-28	29222376
569	2025-03-01	10088232
570	2025-03-02	230747628
571	2025-03-04	97942371
572	2025-03-07	65294914
573	2025-03-19	465808916
574	2025-03-20	99214180
575	2025-04-02	65294914
576	2025-04-11	543208295
577	2025-04-14	56735
578	2025-04-24	8481352388
579	2025-05-09	5717544328
580	2025-06-20	5799151093
