week_start	sub-163/sub-163_ses-20200212T160655_ophys.nwb	sub-164/sub-164_ses-20200124T161514_image+ophys.nwb	sub-164/sub-164_ses-20200124T161514_image+ophys/dfbe7f63-8653-4084-aa84-c282ffcd7871_external_file_0.mkv	sub-164/sub-164_ses-20200124T161514_ophys.nwb	sub-7/sub-7_ses-20200213T113524_ophys.nwb	sub-8/sub-8_ses-20200204T180138_ophys.nwb	sub-9/sub-9_ses-20200204T154200_ophys.nwb
2023-07-31	57778056	0	54781153	0	102192480	64473228	69635004
2023-08-07	562250740	0	0	0	351777960	1875729248	707224368
2023-08-14	2098090224	0	0	0	754979700	361183872	472574712
2023-08-21	864771108	0	0	0	1184450148	437610804	1177637316
2023-08-28	1396617412	402700360	200609925	0	1108993312	1307182000	749018472
2023-09-04	1453019800	96723526	0	0	755969019	1413913656	1471637220
2023-09-11	379356828	201350180	0	0	363700416	1249213264	267441528
2023-09-18	780593328	0	0	0	442703064	26079020	1080750984
2023-09-25	399585652	402700360	200609925	0	430788988	21019348	1223465280
2023-10-02	465696372	0	0	0	588720396	983519004	1094769696
2023-10-09	1913423172	0	200609925	0	655706516	356035980	890946672
2023-10-16	1181633304	0	0	0	505590744	750075578	292100172
2023-10-23	842577360	604050540	0	0	709551988	182597896	726000836
2023-10-30	970618888	0	0	117440512	933554508	598284564	660424020
2023-11-06	1233536376	0	0	0	264259272	417875532	701132124
2023-11-13	203729880	201350180	0	0	0	166919384	460586748
2023-11-20	0	0	0	0	0	385141176	0
2023-11-27	0	13298125	0	0	0	353024	0
2023-12-04	0	604050540	401219850	0	0	123112112	0
2023-12-11	248655220	201350180	200609925	0	0	235864	205601976
2024-01-01	0	0	0	0	381068416	0	0
2024-01-08	248655220	0	0	0	0	200616	0
2024-01-15	258822108	18080208	0	0	12249996	6419784	333370212
2024-01-22	506251916	617079984	401219850	192940820	388433928	359718312	424284780
2024-02-19	0	0	0	0	190534208	0	0
2024-03-04	732182916	17359620	0	0	17163096	359441092	210215172
2024-03-11	17555812	118868356	0	0	403420092	1370034312	866605332
2024-03-18	348124812	36605220	0	0	553593812	83735120	63088460
2024-03-25	39290120	33821556	0	0	15217420	403620448	303934408
2024-04-01	231711904	215788244	8450534	0	188160964	11676320	6945976
2024-04-08	18538764	76540976	0	0	5246976	164723180	326116940
2024-04-15	264357288	42468112	0	0	305318584	390284144	225027700
2024-04-22	0	0	0	0	506949908	110727316	206636860
2024-04-29	0	8647056	0	0	206874264	339842892	173288768
2024-05-06	198193140	66068656	0	0	199504680	15590904	0
2024-05-13	0	149454416	0	0	59788172	111311148	109856916
2024-05-20	190560392	60330788	0	0	211302676	183312672	52913336
2024-05-27	38522816	0	0	0	260764076	308661388	601306580
2024-06-03	183160368	154860868	31457280	0	288617464	98642544	45271992
2024-06-10	0	79201132	0	0	29740632	0	45046040
2024-07-08	255271528	209473172	0	0	203200968	0	0
2024-07-22	24157400	0	9891708	0	24223764	10415772	25114340
2024-08-19	248655220	0	0	0	0	0	0
2024-08-26	29869888	7336896	19783416	14334624	212349624	89778656	9141564
2024-09-02	0	0	0	0	246323024	0	0
2024-09-09	663888524	566466920	317333770	0	306006272	0	523564084
2024-09-16	18424536	92885160	0	0	5633688	0	15675736
2024-09-23	506269880	456248500	0	0	514059648	412637880	489122896
2024-09-30	96611700	0	0	0	85676608	82527576	27344056
2024-10-21	105969024	91249700	10022724	101949136	199310388	102281784	109007552
2024-10-28	0	0	0	0	0	0	4061496
2024-11-11	0	0	0	0	11680064	0	0
2024-11-18	488910224	201350180	0	192940820	372668880	334912056	197203000
2024-11-25	0	0	10677804	0	0	0	0
2024-12-02	12202072	0	0	0	115025808	0	0
2024-12-09	80008	0	0	0	0	0	0
2025-02-03	0	0	0	0	190534208	0	0
2025-03-03	497310440	402700360	200609925	0	0	171656536	616805928
2025-03-31	248655220	201350180	401219850	0	190534208	686626144	411203952
2025-04-14	248655220	0	0	0	381068416	0	205601976
2025-06-23	97131520	59166720	0	0	330316800	330752000	135357440
2025-06-30	0	201350180	200609925	0	0	0	205601976
2025-07-14	189042260	356342820	200609925	0	344917568	116157440	341394616
2025-07-28	436481424	104857600	0	0	209715200	0	205601976
2025-08-04	0	0	0	192940820	0	171656536	197203000
2025-08-11	0	0	305467525	0	33247808	0	0
2025-08-25	52428800	157286400	104857600	0	0	58397920	0
2025-09-08	248655220	233318084	0	385881640	0	171656536	0
2025-09-29	0	0	10338900	0	0	0	0
2025-11-24	0	0	0	192940820	0	0	0
2025-12-15	255468052	408399556	204671421	0	190534208	343313072	220406784
2025-12-22	0	0	0	0	83886080	0	0
2025-12-29	0	0	0	110100480	85676608	0	0
2026-01-12	240255004	0	0	0	364269344	0	0
2026-01-19	133311860	0	0	0	0	68157440	115343360
2026-01-26	124911644	0	0	0	0	110100480	152043520
2026-02-02	240255004	96492580	62914560	0	0	0	0
2026-02-16	15099944	11243248	98304	0	10768140	0	10833648
2026-02-23	16317588	8078600	0	0	614400	12031776	7955812
2026-03-02	0	0	32768	0	0	4061496	3566776
2026-03-09	0	0	209257093	0	190534208	0	0
2026-03-16	0	0	200609925	5773668	20892272	0	10677804
2026-03-23	7633640	4389036	0	0	54699180	8254008	0
2026-03-30	720588	307200	6747324	0	0	0	655080
2026-04-06	0	0	0	0	0	4127004	0
