week_start	sub-Temp-pref-F34-B34-5dpf-01-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-01-unsorted-nac_ses-20230705T120200_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-02-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-02-unsorted-nac_ses-20230705T123600_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-03-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-03-unsorted-nac_ses-20230705T131900_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-04-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-04-unsorted-nac_ses-20230705T135300_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-05-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-05-unsorted-nac_ses-20230705T142500_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-06-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-06-unsorted-nac_ses-20230705T145700_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-07-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-07-unsorted-nac_ses-20230705T153000_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-08-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-08-unsorted-nac_ses-20230705T160300_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-09-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-09-unsorted-nac_ses-20230706T102500_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-10-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-10-unsorted-nac_ses-20230706T105700_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-11-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-11-unsorted-nac_ses-20230706T113000_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-12-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-12-unsorted-nac_ses-20230706T120200_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-13-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-13-unsorted-nac_ses-20230706T123400_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-14-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-14-unsorted-nac_ses-20230706T130500_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-15-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-15-unsorted-nac_ses-20230706T160600_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-16-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-16-unsorted-nac_ses-20230706T163800_behavior.nwb
2026-03-16	0	0	19513700	0	0	0	0	0	19447274	0	0	15773686	0	9760692	11005344	0
2026-03-23	22030584	8626716	16968440	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	925388	0	1027788	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	0	6321872	3210592	0	0	0	0	35200724	0	0	16545914	19100852	0	5011712	0	0
2026-04-13	0	0	0	0	0	0	0	9690499	9723637	0	10584686	9550426	17831295	0	0	10813850
2026-04-20	0	0	19513700	38401176	0	28680678	0	0	26456630	0	30078460	27485876	0	19145596	13261548	0
2026-04-27	0	0	0	0	0	0	0	0	9723637	0	0	0	0	0	0	0
2026-05-11	16007348	9741238	0	0	9154855	0	0	7358027	6469565	0	0	5681954	0	3424310	0	0
2026-05-18	0	0	15062998	5629422	0	0	0	0	8581548	0	3424961	19100852	0	11463900	13560156	5766233
2026-05-25	11915564	2186592	14257496	1990068	8858894	5422146	2354500	2316390	2579640	16363582	2448624	1990068	22454800	2186592	5426404	2448624
2026-06-01	0	12355156	11791440	0	2448624	0	2375041	0	0	0	0	0	2794058	0	0	0
2026-06-08	2285204	2461388	8100732	20750184	2490004	2285204	4488050	0	0	4982030	15939987	9550426	0	9572798	0	0
2026-06-15	0	9741238	20889368	9600294	5656578	10608354	9240329	0	0	0	0	0	9446270	5693604	0	9634705
2026-06-22	9765864	9741238	17529342	9600294	9154855	0	4422542	0	8038094	0	0	0	0	4651068	8989268	0
2026-06-29	5195028	0	9756850	0	6115134	0	0	0	0	4851014	0	0	0	0	6172424	0
2026-07-06	46106302	46046154	49919970	45622532	9154855	9560226	9240329	17192397	27747400	19244946	9667573	9550426	14616510	12127610	15947376	9634705
2026-07-13	9765864	10774936	4497092	4052964	0	17394640	4488050	0	0	0	6337922	4289044	0	5431572	0	4195570
2026-07-20	0	0	0	0	0	3133154	0	0	0	0	6534446	0	0	0	0	0
2026-07-27	2294452	0	0	0	0	7523858	0	0	0	0	0	0	0	0	0	0
