week_start	sub-1/sub-1_ses-2_ecephys+image.nwb	sub-10/sub-10_ses-1_ecephys+image.nwb	sub-11/sub-11_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-2_ecephys+image.nwb	sub-13/sub-13_ses-1_ecephys+image.nwb	sub-14/sub-14_ses-1_ecephys+image.nwb	sub-15/sub-15_ses-1_ecephys+image.nwb	sub-16/sub-16_ses-1_ecephys+image.nwb	sub-16/sub-16_ses-2_ecephys+image.nwb	sub-17/sub-17_ses-1_ecephys+image.nwb	sub-18/sub-18_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-2_ecephys+image.nwb	sub-2/sub-2_ses-1_ecephys+image.nwb	sub-2/sub-2_ses-2_ecephys+image.nwb	sub-20/sub-20_ses-1_ecephys+image.nwb	sub-21/sub-21_ses-1_ecephys+image.nwb	sub-22/sub-22_ses-1_ecephys+image.nwb	sub-23/sub-23_ses-1_ecephys+image.nwb	sub-24/sub-24_ses-2_ecephys+image.nwb	sub-24/sub-24_ses-3_ecephys+image.nwb	sub-25/sub-25_ses-1_ecephys+image.nwb	sub-26/sub-26_ses-1_ecephys+image.nwb	sub-27/sub-27_ses-1_ecephys+image.nwb	sub-27/sub-27_ses-2_ecephys+image.nwb	sub-28/sub-28_ses-1_ecephys+image.nwb	sub-29/sub-29_ses-1_ecephys+image.nwb	sub-3/sub-3_ses-2_ecephys+image.nwb	sub-30/sub-30_ses-1_ecephys+image.nwb	sub-31/sub-31_ses-1_ecephys+image.nwb	sub-32/sub-32_ses-2_ecephys+image.nwb	sub-33/sub-33_ses-1_ecephys+image.nwb	sub-34/sub-34_ses-1_ecephys+image.nwb	sub-35/sub-35_ses-1_ecephys+image.nwb	sub-36/sub-36_ses-1_ecephys+image.nwb	sub-37/sub-37_ses-1_ecephys+image.nwb	sub-38/sub-38_ses-1_ecephys+image.nwb	sub-39/sub-39_ses-1_ecephys+image.nwb	sub-4/sub-4_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-2_ecephys+image.nwb	sub-6/sub-6_ses-1_ecephys+image.nwb	sub-7/sub-7_ses-1_ecephys+image.nwb	sub-8/sub-8_ses-1_ecephys+image.nwb	sub-9/sub-9_ses-1_ecephys+image.nwb
2024-12-30	881160450	339242436	341393952	437464405	0	0	474862648	0	438551568	189664196	0	1194286560	0	614014812	0	0	0	0	0	0	301764656	0	416148647	279674825	0	0	0	0	535043769	0	0	0	0	608922430	176675432	305628238	0	175025854	0	0	0	0	0	0	0	509077935
2025-01-13	437534103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-27	0	557495908	341393952	369896985	195230083	228460864	474862648	0	696668695	189664196	0	597143280	1048143284	614014812	567164017	587080425	1261284688	0	359988496	566896889	0	0	416148647	279674825	476474746	0	0	0	0	0	297172101	256295531	361351136	0	0	0	0	175025854	0	355025161	482807142	0	0	0	519350045	0
2025-02-03	437534103	557495908	0	0	0	228460864	474862648	0	0	0	620711241	0	1048143284	0	567164017	587080425	0	630156828	0	566896889	301764656	0	416148647	279674825	0	0	27257909	0	0	364020825	0	0	0	154263176	176675432	0	0	0	252839750	0	0	224314592	0	316514249	0	0
2025-02-17	437534103	0	682787904	1793223916	0	228460864	0	0	0	189664196	620711241	597143280	1048143284	614014812	0	0	1261284688	630156828	359988496	1133793778	603529312	363331798	714856782	315180161	1445077066	282432835	748678197	510275147	1070087538	364020825	0	256295531	722702272	608922430	176675432	305628238	489124524	350051708	757337740	355025161	482807142	515738048	1370677256	633028498	519350045	509077935
2025-02-24	67174372	0	0	0	0	0	0	209211755	0	189664196	620711241	0	1376576	0	567164017	587080425	1261284688	630156828	359988496	0	0	267202890	0	279674825	0	282432835	0	0	535043769	0	297172101	0	0	0	0	0	0	0	0	0	482807142	257869024	0	0	519350045	0
2025-03-03	35243304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85030258	0	0	0	0	0	0	0	0
2025-03-10	0	0	0	4061496	0	0	0	0	0	4061496	0	0	0	0	0	0	0	0	0	0	0	0	716800	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	8909088	0	0	0	0	0	0	0	0
2025-03-17	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20684800	0	0	0	0	0	0	0	0
2025-04-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20684800	0	0	0	0	0	0	0	0
2025-04-14	0	0	0	0	0	65442492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38811414	0	0	0	0	0	0	0	0
2025-04-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70629200	0	0	0	0	0	0	0	0
2025-05-12	437534103	29036	341393952	0	195230083	228460864	0	0	0	189664196	0	0	0	614014812	0	587080425	0	0	0	0	301764656	0	416148647	279674825	0	0	748678197	0	0	364020825	0	0	0	608922430	176675432	0	0	175025854	0	355025161	0	0	685338628	0	0	0
2025-06-23	74856	19216	87424	52784	10104	10104	10104	45904	44904	45920	50720	29432	29816	39920	42152	54984	51816	52280	26240	81064	99800	90784	52800	20208	29320	65120	35168	45408	32048	45416	38520	53376	49552	42624	41648	52728	65040	51736	52728	45872	55000	54976	61856	32544	22472	77968
2025-07-14	55640	75240	32480	45440	30312	45424	57784	68360	56944	42176	51456	0	32568	29320	33040	12832	22496	49032	55088	23528	77152	42160	22984	10104	48624	42168	55376	29320	32544	22968	55480	38688	29328	62336	42640	61840	61840	74648	51736	42648	68336	44880	33032	88024	42184	32560
2025-07-21	0	0	0	212610585	0	0	0	0	0	0	0	0	628712884	0	95304817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	175390103	104857600	0	0	0	0	209715200	0	0	52428800	0	0	143539676	0	0	367001600	0	0	359988496	0	0	0	0	0	0	0	486534197	0	52428800	0	209715200	256295531	256493536	0	0	200770638	0	0	209715200	0	0	0	0	0	0	209715200
2025-08-04	0	0	0	0	52428800	0	0	0	0	0	0	367001600	0	299442012	0	0	0	314572800	0	95037689	0	0	0	0	0	0	0	52428800	0	0	0	0	0	0	0	0	0	0	0	0	0	205440224	0	0	314572800	0
2025-08-11	20377600	4192512	0	32693785	29262411	136307328	12526648	51925355	157286400	0	282521600	32100080	0	11878400	32328817	15412229	906799776	0	4323528	4127004	32759856	282521600	0	157286400	36791874	234285312	16094433	4716576	4127004	0	20377600	11764331	0	314572800	11197032	11878400	192133462	24811804	20377600	233511726	32963942	0	496001028	37198053	0	37429711
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157286400	0	209715200	0	0	0	0	104857600	0	0	0	0	0	0	0	0	0	0	0	0	0	316514249	0	0
2025-08-25	0	295351908	0	0	104857600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124246632	0	0	104857600	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272507625	632139088	0	209715200	0	0	0	0	0	0	125146435	0	0	0	0	0	0	256493536	0	0	0	104857600	0	0	104857600	367001600	153011424	0	0	0	0
2025-09-08	0	0	157286400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92049456	0	0	0	0	0	0	0	104857600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-15	14477268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	0	70907536	103486420	41013301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	147813612	117565236	492806553	241038086	217430772	193269244	148542282	815732027	189664196	786910336	189725032	99696044	0	153909529	587080425	115457572	815775752	60586828	448255888	209489968	142209704	161880524	65487345	123608238	282432835	946739747	172685743	0	213302812	172711659	0	186198208	730125160	353545912	160969300	181405170	170110494	553445702	475973347	157403888	0	837798964	112610848	706510882	116088597
2025-10-13	0	71660824	201570344	69969199	0	196946984	193606792	153212299	147498416	0	201689337	118029516	189691452	0	178283117	0	152282340	122495088	72094784	93253285	0	0	150040704	171805303	211318092	0	246047777	209702375	0	192738661	159756953	0	113865140	86871926	115213616	137212500	192522764	120769672	119627228	116559150	165478984	0	121243388	95625935	97037912	114500986
2025-10-20	0	72694908	49729796	99194310	0	50344196	107752848	87495893	61854894	0	61173101	20435044	65904820	0	68559353	0	41148296	97990484	77221704	90358293	0	0	80034020	77782875	69522252	0	77071070	119036641	0	104356320	49074716	0	78879256	73115548	54113996	80517404	69110728	100321124	64530190	99064887	86833742	0	65729092	95015398	60444247	94581942
2025-10-27	0	60655480	83093400	102797931	0	50350948	87309740	57924175	71620198	0	62593682	100427244	50434868	0	32328817	0	57398892	114634128	4258020	42724454	0	0	39213312	86102391	40853370	0	49140224	62427174	0	65769283	57111997	0	127560124	26530438	63149264	64512000	40942394	49845912	55686610	70036604	103084338	0	42897168	79309206	93630438	92485686
2025-11-03	0	283751512	341997080	311799528	0	327624576	256397308	337533831	246152147	0	256815107	286691868	321631268	0	272174529	0	333912168	289510280	215331712	208963174	0	0	306047536	237990469	327589250	0	259365727	293901884	0	279360472	269234944	0	260486492	300197352	318451492	267590716	294457612	374381462	251806306	289980542	266576276	0	237750404	310072874	296417768	327464305
2025-11-10	0	221299120	248055580	208739565	0	201464812	251333176	194300918	154317366	0	237380715	249200552	181075428	0	170655428	0	246702476	140154316	134074576	125081846	0	0	222492348	122100093	187365786	0	241059236	255883565	0	233819614	201469958	0	270847580	227015994	161124828	222380972	184404490	142282076	207841214	146499261	196115340	0	194077872	202679077	215695960	119575940
2025-11-17	0	95692828	164478188	139618720	0	143648176	131577744	182073092	207327174	0	148265886	120665764	177669012	0	93420258	0	115780452	162932392	121169500	99402710	0	0	85335556	132342108	126036646	0	106055365	107240589	0	128402368	147592668	0	101675240	75599636	146011600	89050284	122045698	154556072	161190294	98209656	123920494	0	127204616	144927240	118135042	156158659
2025-11-24	0	142507464	54255252	70365497	0	130693320	104266304	132140893	112375398	0	173712809	123756156	136963804	0	102263838	0	189102400	102286080	151635332	103988270	0	0	176816348	146139710	114310530	0	104916582	84188335	0	115106031	163798246	0	103705188	60991956	105729240	161733944	142746226	104735940	85584640	149377986	152159054	0	135836488	128657678	158659187	127068495
2025-12-01	0	82474256	136451572	115503233	0	150063472	90313100	140743609	144124001	0	79691270	171705720	112021612	0	121842744	0	139760944	143331244	80580148	76806165	0	0	180860716	84744878	65231386	0	122562672	144712496	0	85958545	116598160	0	148783916	120678364	150924700	99459592	97466256	99988558	194787766	59422338	115068108	0	139520280	186606039	114170031	106524429
2025-12-08	0	102786348	78311316	222456540	0	67051000	94440104	99225046	132490966	0	89084121	91259576	793769328	0	230475659	0	140154040	110114076	76968440	124234854	0	0	113120172	101191998	113945900	0	41450641	58038138	0	103046160	61697557	0	81963544	87657720	91378376	73421088	36618866	120219828	137873860	118393374	112775328	0	100537104	132278959	77052302	114828526
2025-12-15	1318498029	1786181208	891907088	154685560	195230083	562864264	1527685112	195345825	170228186	206106704	794837693	689762396	3308927144	622399836	179789801	587080425	1456147132	1508465936	514899228	1800813666	621871552	0	1414440293	657898561	1546440318	590406622	2376296948	586196969	550438149	692608963	171946053	768886593	526446544	736942906	113529528	1072211102	631482314	520853764	853779550	810555400	664462408	515738048	1554142672	160381891	647343322	1132571317
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	288358400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335544320	0	0	0	0	0	0	0	0	262144000	0	0	0
2025-12-29	0	0	0	0	0	139331904	162529280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169713609	0	304605615
2026-01-05	437534103	170825576	174002284	175168503	195230083	185031280	635307772	244287557	1231821049	104857600	758778474	1044549124	152761296	1228029624	146150824	1174160850	1430266860	854626728	826799784	1283524482	301764656	183500800	134676916	614411075	571806506	0	922917926	646117222	0	111373862	192343856	256295531	510390872	163589810	380942316	636261304	416473490	357830952	189931148	154165354	120981022	515738048	1499533992	174455620	142213125	657502038
2026-01-12	437534103	0	0	285139996	0	20971520	0	0	0	0	787739517	0	3133944092	1228029624	567164017	0	0	549181936	370474256	0	0	256717130	0	290160585	0	0	0	0	0	728041650	0	266781291	0	1196873340	187161192	0	0	0	0	0	0	427723104	685338628	0	0	0
2026-01-19	0	144065612	65930304	81896267	0	80468900	102356564	64529110	26737994	0	394329636	76646680	144310764	0	84862859	597566185	37217816	65281108	40174396	342221586	0	0	69417112	76359854	279399022	0	440973968	1100341832	0	36883829	260369422	0	37343372	57651048	78800840	125661640	82287166	41652386	40466786	96378074	94559492	0	28989676	66377928	72925298	69553274
2026-01-26	0	397525268	624185016	440324740	73400320	112482096	71059144	74675274	44915711	0	164672705	69116712	62815880	0	693973818	178257920	525425620	97859468	584303356	27399596	125829120	267202890	253025447	76752902	134814718	403019075	92706947	288769561	0	470799154	98391261	125829120	579420236	100436694	166692712	40264816	278603184	180190134	599107552	574864969	91288286	0	86434232	95494919	754018395	98809904
2026-02-02	131072000	42556616	44882204	77703755	0	37908916	70459564	46148463	4127004	0	66786194	36227084	73704884	0	69701750	0	53796000	53370312	52717100	83414146	0	0	47851804	55982254	45078728	0	48373954	49522098	246685369	24760237	73665318	0	86090548	28823218	67341776	72417016	53122164	45718908	104695818	49336748	225834626	95339744	65729092	49623608	29221180	13101600
2026-02-09	0	97559752	12587552	106269855	0	79481792	49819932	53597426	64703739	0	45335259	33217168	21415664	0	73841352	0	20967220	118499100	32151744	29155672	0	0	23347200	38767193	44559092	0	113699266	77899567	0	45136050	49422746	0	24635620	60931362	43955644	60887608	53056656	74571454	40401278	71938978	57730578	0	44882204	28899502	16281573	49634230
2026-02-16	10731248	512000	50450384	50173038	4061496	58573376	512000	221508310	30727864	0	21838482	29155672	0	0	4585560	0	32894288	20377600	12027408	4720889	0	0	36178204	5550025	20737802	0	4127004	20377600	0	24504604	69865854	0	32954336	20241670	187872464	32256000	44606124	0	36274274	30790730	12586342	0	20377600	8516040	29548720	53090735
2026-02-23	0	72367368	45870228	65387570	0	56449944	45430896	62029009	28631608	0	50666614	88835780	119690660	16201928	20336241	14691641	90686228	57120540	68967696	20377600	12382256	0	47851804	54624741	64936692	0	59751811	106465667	0	57515275	65345802	0	57786480	52410408	60599288	49729796	81224990	4127004	68421544	47041326	29299688	12313824	41718024	37263561	129524197	41032651
2026-03-02	4651068	0	12587552	0	4127004	0	0	0	11305495	0	15570309	24570112	0	0	0	0	0	36742940	4520052	25098489	0	32092490	0	4127004	0	0	11705397	0	0	0	20377600	15956843	0	0	4127004	11878400	0	4127004	0	0	20377600	0	4127004	0	0	0
2026-03-09	0	0	0	0	0	228460864	0	209211755	0	0	0	0	0	0	0	413920560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20377600	0	0	0	0	0	0	20377600
2026-03-16	0	76414820	87416928	61980473	0	31897908	43057988	68464521	84819307	0	77358189	75849068	41138184	23975928	51117015	0	74697664	102695400	24504604	56219401	0	6092244	93184000	81356617	61427494	0	77489265	74539592	0	53390058	111251319	13560156	58107808	105551232	42771664	72831516	29010608	41959172	13276354	127958527	71889112	0	87240124	48772004	102124835	21179115
2026-03-23	437534103	559461148	13918752	12316185	0	0	4454544	0	17687160	0	22080808	608865760	25144168	0	588131189	0	1261874260	642329656	0	0	0	0	477005579	279674825	20377600	0	748678197	0	535043769	0	0	0	0	0	4585560	20377600	20377600	720588	4782084	355025161	0	0	20377600	0	0	0
