week_start	sub-anm101105/sub-anm101105_ses-20100619_behavior+icephys.nwb	sub-anm101105/sub-anm101105_ses-20100620_behavior+icephys.nwb	sub-anm101105/sub-anm101105_ses-20100621_behavior+icephys.nwb	sub-anm106213/sub-anm106213_ses-20100822_behavior+icephys.nwb	sub-anm106213/sub-anm106213_ses-20101214_behavior+icephys.nwb	sub-anm106213/sub-anm106213_ses-20101215_obj-1copi4i_behavior+icephys.nwb	sub-anm106213/sub-anm106213_ses-20101215_obj-1ykz3wz_behavior+icephys.nwb	sub-anm131970/sub-anm131970_ses-20110511_behavior+icephys.nwb	sub-anm134333/sub-anm134333_ses-20110601_behavior+icephys.nwb	sub-anm134333/sub-anm134333_ses-20110606_behavior+icephys.nwb	sub-anm134333/sub-anm134333_ses-20110607_behavior+icephys.nwb	sub-anm17702/sub-anm17702_ses-20100430_behavior+icephys.nwb	sub-anm17702/sub-anm17702_ses-20100507_behavior+icephys.nwb	sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb	sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb	sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb	sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb	sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb	sub-anm217330/sub-anm217330_ses-20131126_behavior+icephys+ogen.nwb	sub-anm226692/sub-anm226692_ses-20140224_behavior+icephys+ogen.nwb	sub-anm226694/sub-anm226694_ses-20140222_obj-1noi7y3_behavior+icephys+ogen.nwb	sub-anm226694/sub-anm226694_ses-20140222_obj-cj20ns_behavior+icephys+ogen.nwb	sub-anm226694/sub-anm226694_ses-20140225_behavior+icephys+ogen.nwb	sub-anm226695/sub-anm226695_ses-20140224_obj-1d0uka0_behavior+icephys+ogen.nwb	sub-anm226695/sub-anm226695_ses-20140224_obj-y42tpg_behavior+icephys+ogen.nwb	sub-anm226695/sub-anm226695_ses-20140225_behavior+icephys+ogen.nwb	sub-anm234230/sub-anm234230_ses-20140119_behavior+icephys+ogen.nwb	sub-anm234231/sub-anm234231_ses-20140126_behavior+icephys+ogen.nwb	sub-anm234232/sub-anm234232_ses-20140108_behavior+icephys+ogen.nwb	sub-anm244024/sub-anm244024_ses-20141111_behavior+icephys+ogen.nwb	sub-anm244024/sub-anm244024_ses-20141112_obj-1otlhm2_behavior+icephys+ogen.nwb	sub-anm244024/sub-anm244024_ses-20141112_obj-8tj80c_behavior+icephys+ogen.nwb	sub-anm244024/sub-anm244024_ses-20141112_obj-jyoa6b_behavior+icephys+ogen.nwb	sub-anm244025/sub-anm244025_ses-20141026_obj-1q7bmz0_behavior+icephys+ogen.nwb	sub-anm244025/sub-anm244025_ses-20141026_obj-gspsia_behavior+icephys+ogen.nwb	sub-anm244028/sub-anm244028_ses-20141021_obj-15ygrjz_behavior+icephys+ogen.nwb	sub-anm244028/sub-anm244028_ses-20141021_obj-1a5sqoc_behavior+icephys+ogen.nwb	sub-anm244028/sub-anm244028_ses-20141022_behavior+icephys+ogen.nwb	sub-anm266945/sub-anm266945_ses-20141221_behavior+icephys+ogen.nwb	sub-anm266945/sub-anm266945_ses-20141222_obj-14qffnp_behavior+icephys+ogen.nwb	sub-anm266945/sub-anm266945_ses-20141222_obj-1574tgg_behavior+icephys+ogen.nwb	sub-anm266951/sub-anm266951_ses-20141201_obj-10p0o3z_behavior+icephys+ogen.nwb	sub-anm266951/sub-anm266951_ses-20141201_obj-1i6vt6d_behavior+icephys+ogen.nwb	sub-jf35892/sub-jf35892_ses-20100219_behavior+icephys.nwb	sub-jf35892/sub-jf35892_ses-20100308_behavior+icephys.nwb	sub-jf35892/sub-jf35892_ses-20100310_behavior+icephys.nwb	sub-jf35892/sub-jf35892_ses-20100311_behavior+icephys.nwb	sub-jf37166/sub-jf37166_ses-20100304_behavior+icephys.nwb	sub-jf42400/sub-jf42400_ses-20100612_behavior+icephys.nwb	sub-jf42400/sub-jf42400_ses-20100613_behavior+icephys.nwb	sub-jf42400/sub-jf42400_ses-20100615_behavior+icephys.nwb
2023-01-30	138559700	168162624	156413437	190723625	132257824	160728918	183689110	170882610	154025271	154985204	247614996	86470416	202834586	63806641	135078818	189764133	68814888	169869701	231301672	204913109	154224308	206416421	262759566	161490752	214282790	86735872	143738906	194969928	176289924	122438766	130567197	110158612	157743476	168694544	124062339	136306966	174232585	141117004	198489096	275568537	205320008	6702764	168192523	176158079	183922667	165838380	133918800	103258810	82255833	115072362	109198734
2023-02-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210313472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-03-27	209819910	0	0	0	80539372	0	335218330	0	0	0	0	0	802853200	0	0	486031072	408192656	479840020	294757856	955699888	288786824	382536992	0	0	0	227090688	195248560	0	159417272	0	0	0	47979264	0	109674664	0	127569024	0	251192784	0	0	38019072	0	216937600	261718344	0	0	168567520	213402834	0	166813482
2023-04-03	0	0	0	0	0	0	0	0	0	0	0	0	267404937	0	0	0	0	0	0	0	0	0	87199537	0	0	0	0	237940204	236512909	0	0	0	0	80032170	190228185	263985839	51132055	0	123364165	0	293381339	0	0	331477972	0	0	0	0	115602336	0	0
2023-04-10	0	0	0	0	0	344185792	0	0	169554447	0	0	0	0	0	0	181632640	0	479840020	0	0	0	0	0	0	0	227090688	0	0	0	0	181664470	0	0	0	0	0	0	0	0	205199208	0	0	0	143442503	133420601	0	0	0	0	151669818	0
2023-04-17	0	113844159	0	0	189031812	153895302	0	0	168094439	0	145298819	0	0	0	0	0	0	0	0	80264913	0	191450925	0	0	0	0	0	0	0	252410315	0	0	0	0	0	0	168989939	0	0	0	0	0	0	0	148084341	0	100805040	0	79137663	0	0
2023-04-24	0	0	153794349	160695322	0	0	0	0	0	0	0	169322587	0	0	0	0	116796943	0	0	0	0	0	0	106312314	234521934	0	125091505	0	111389629	0	0	0	137370666	202369983	0	0	0	0	259573875	0	0	0	0	85740412	0	146328923	0	0	0	0	0
2023-05-01	166833523	0	0	0	0	0	197858224	162817977	0	212590094	0	0	0	255293866	0	180438088	0	81393101	180870916	0	0	0	170683518	0	0	130102401	0	167696310	0	0	0	88991310	0	0	261333045	144900690	0	0	0	0	0	0	165275321	0	0	0	0	88992248	0	188865433	125090567
2023-05-08	134349697	0	0	0	0	110988686	65633058	73762179	0	0	0	0	110259620	123567892	217501913	171448111	0	91977690	119783323	94533173	172540827	0	239333793	0	0	0	0	0	162120686	0	0	0	143937792	170151723	0	0	0	185879991	0	91081307	322543113	0	0	0	0	0	110526897	0	0	0	0
2023-05-15	0	0	0	0	0	0	0	0	142147053	154624368	174299059	408954604	0	0	0	0	0	355336244	0	167132630	0	157312579	0	0	0	0	0	0	130865118	86104007	0	0	191917056	0	0	0	192549104	0	195568142	0	322867544	0	0	244278435	221415513	0	0	109731467	0	132989704	0
2023-05-22	0	0	171377995	153230724	143940757	271588573	261363992	99378683	129868830	0	0	0	218099189	0	0	0	128676044	0	91878613	0	0	0	100506871	0	0	0	152566146	0	0	228881932	12840965	0	169388951	0	0	0	0	0	0	0	0	0	0	0	0	10087328	248159322	0	0	0	0
2023-05-29	148649732	125555998	0	0	0	201273735	0	0	0	72268520	0	0	0	0	0	75915836	0	0	150575226	194241855	124362439	0	0	160264425	224796435	0	0	0	0	137102396	0	0	431813376	166135349	0	0	0	135112469	96789549	0	479353984	0	0	0	0	0	0	245174763	0	141717039	0
2023-06-05	0	0	246334781	0	0	0	0	0	0	0	154756158	0	0	0	126651473	0	6403657	0	0	0	148749802	0	0	0	0	104916794	101433153	0	0	0	0	0	144402436	0	225101060	0	0	196429991	0	94831342	0	0	63773928	214714625	0	0	45026567	0	0	0	292358684
2023-06-12	0	0	0	0	0	0	330781619	0	0	0	0	0	121409655	0	0	0	0	135809705	0	72268520	0	0	67093066	0	0	0	0	193113667	82190407	0	0	0	239896320	0	0	0	0	0	0	0	239676992	26214400	0	0	196662789	181136317	0	0	96887688	0	0
