week_start	sub-1/sub-1_ses-1_ecephys+image.nwb	sub-1/sub-1_ses-2_ecephys+image.nwb	sub-10/sub-10_ses-1_ecephys+image.nwb	sub-11/sub-11_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-2_ecephys+image.nwb	sub-13/sub-13_ses-1_ecephys+image.nwb	sub-14/sub-14_ses-1_ecephys+image.nwb	sub-15/sub-15_ses-1_ecephys+image.nwb	sub-16/sub-16_ses-1_ecephys+image.nwb	sub-17/sub-17_ses-1_ecephys+image.nwb	sub-18/sub-18_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-2_ecephys+image.nwb	sub-2/sub-2_ses-1_ecephys+image.nwb	sub-20/sub-20_ses-1_ecephys+image.nwb	sub-21/sub-21_ses-1_ecephys+image.nwb	sub-22/sub-22_ses-1_ecephys+image.nwb	sub-22/sub-22_ses-2_ecephys+image.nwb	sub-22/sub-22_ses-3_ecephys+image.nwb	sub-23/sub-23_ses-1_ecephys+image.nwb	sub-24/sub-24_ses-1_ecephys+image.nwb	sub-25/sub-25_ses-1_ecephys+image.nwb	sub-26/sub-26_ses-1_ecephys+image.nwb	sub-26/sub-26_ses-2_ecephys+image.nwb	sub-27/sub-27_ses-1_ecephys+image.nwb	sub-28/sub-28_ses-1_ecephys+image.nwb	sub-29/sub-29_ses-1_ecephys+image.nwb	sub-3/sub-3_ses-1_ecephys+image.nwb	sub-30/sub-30_ses-1_ecephys+image.nwb	sub-31/sub-31_ses-1_ecephys+image.nwb	sub-31/sub-31_ses-2_ecephys+image.nwb	sub-32/sub-32_ses-1_ecephys+image.nwb	sub-33/sub-33_ses-1_ecephys+image.nwb	sub-34/sub-34_ses-1_ecephys+image.nwb	sub-35/sub-35_ses-1_ecephys+image.nwb	sub-36/sub-36_ses-1_ecephys+image.nwb	sub-4/sub-4_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-2_ecephys+image.nwb	sub-6/sub-6_ses-1_ecephys+image.nwb	sub-7/sub-7_ses-1_ecephys+image.nwb	sub-8/sub-8_ses-1_ecephys+image.nwb	sub-9/sub-9_ses-1_ecephys+image.nwb
2024-07-01	19361078	0	0	2478101184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410836135	0	0	0
2024-07-08	26321169	11138152	0	4456448	28641815	32274525	11072868	27549947	36812800	4849608	33021260	31961160	6354276	32258301	36279037	0	32935296	6419784	321241916	6354276	6616308	0	25165824	26777012	9565400	0	36249612	31846969	3932160	32344023	2883584	28843373	8385808	3407872	6419784	25708592	26180537	33932116	3670016	28898128	25746599	0	9696640	4061496
2024-07-15	1431208286	550824544	1065721822	870312808	557897503	846456742	1099360050	400056571	764330764	860461556	1020324040	361020412	1288783974	132676200	0	180138836	0	436196162	0	294892744	685464350	262550285	241241346	419993012	0	348146547	732607148	50899716	953604801	342327847	701642134	317255801	397552896	383971289	11463900	140265520	23058816	1247188240	0	843877224	10284756	237290484	558687552	727934002
2024-07-22	2006632730	719127936	555097293	25155072	493816343	461609389	10022724	400056571	6812832	10022724	1030281256	3537432	1288783974	10022724	733972885	460056740	566331092	446873966	342252064	0	0	0	254342946	419993012	10481280	0	0	537458133	746815888	0	350821067	0	396373752	383381717	327012844	0	203515689	1584897908	1527721894	523166384	185444984	189178940	475594736	502974604
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	0	0	847463377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240787565	0	0	0	0	0	0	140265520	0	628607348	0	0	259841191	1080934883	0	127203542
2024-08-05	30264696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	752246411	0	542512028	0	0	12708552	12905076	0	0	0	7009356	394757032	0	931349457	735348553	12381012	0	0	0	0	0	0	19848924	9891708	0	0	0	0	0	13625664	0	6354276	0	0	314697340	0	0	0	5437164	1375668	0	0	0	0
2024-09-02	1492046302	690697464	519460941	679365152	518982167	405439365	549680025	400056571	1219463024	894015988	0	361020412	0	0	721722889	0	555194732	0	315608228	294892744	342732175	262550285	0	419993012	304393669	336686231	350366376	0	920654277	332370631	674092934	180739917	386285520	371852309	635728448	242697084	233143225	0	733301465	517925744	410836135	1231929827	723697624	596965590
2024-09-09	457490548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175064072	0	0	348035196	0	0	101957328	0	269768036	268353820	0	167772160	0	0	0	0	0	0	0	0	0	0	0	318812900	209715200	0	0	0	0
2024-09-16	752835983	10483072	545413197	705467456	552011786	405439365	589221946	430226054	34651036	922825704	1053148776	385972216	1339058148	961054626	725655049	220038400	601953336	0	27905188	328752716	369974046	272638517	482482692	419993012	307277253	369413526	357244716	30535129	1832532162	9042008	379467158	290332013	411991968	26215445	314697340	29835596	7009356	1122600840	37765909	510130292	412933287	39826795	954597344	608300154
2024-09-23	223553247	804678128	1668483303	792499264	1672226908	927959695	664201010	917054193	883787288	1906101724	2211625560	475625464	2816811416	1050052514	2402752045	659952640	1308517808	436196162	315608228	294892744	685464350	525100570	723724038	419993012	913181007	673372462	700732752	1612374399	2735628615	94371840	941910828	514480199	1010368320	743704618	818387440	529604800	382400370	3374799964	853185970	510130292	1232508405	3816228748	1540620224	716829100
2024-10-07	1492046302	1381394928	1038921882	679365152	1037964334	0	561930021	800113142	0	894015988	1020324040	0	1288783974	943533945	721722889	220038400	0	436196162	93312064	299019748	342732175	262550285	241241346	419993012	0	336686231	350366376	538084469	1823752410	332370631	350821067	290332013	772571040	0	314697340	140265520	0	2207521120	733301465	0	0	1231929827	0	596965590
