week_start	sub-17797/sub-17797_ses-4-scan-10_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-4-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-4-scan-9_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-5-scan-3_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-5-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-2_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-4_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-7-scan-3_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-7-scan-5_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-8-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-8-scan-9_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-9-scan-3_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-9-scan-4_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-9-scan-6_behavior+image+ophys.nwb
2024-12-16	0	112531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-30	0	0	0	0	0	59939820	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-06	0	469348624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-13	70206209928	377435369	62421277435	1056416	70789894845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	9747246799	13410800872	6893483510	10240586364	7857903531	8113268428	4513117145	3684201010	2964390639	0	0	3079283746	4713550238	0	0	13298124	0	19848924	0
2025-01-27	4804418	734161514	1829875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-03	46511380	50036090	0	33343572	0	62142808	32164428	0	109818106	0	0	33671112	0	33278064	0	0	33736620	0	0
2025-02-10	19674418041	0	0	0	0	0	0	0	60212478	0	622649556	0	0	0	0	0	0	0	0
2025-02-17	389395297	178257920	0	0	0	0	0	0	473479068	0	0	0	0	0	0	0	0	0	0
2025-02-24	12315504	0	0	0	0	59038974	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	531478264	33760	11824	22432	42568	8808	48672	60096	28456	22056	42760	87728	8904	46032	21672	42784	34768	33688	22208
2025-03-10	4061496	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	488414
2025-03-17	0	0	0	0	0	60323448	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-24	431724789	0	0	492795686	0	0	0	0	0	0	0	0	0	0	0	71229724002	0	0	0
2025-03-31	568055115	2146943750	148673559	163559742	10743097	36215388	18050321	9242905	15903004	15790414	13840071	13612066	9560478	12945574	9194282	17555098	4127004	9433152	7451614
2025-04-07	0	61564218	0	0	0	24283128	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-14	427344723	71663152918	63110352103	71311342291	71295096721	88333456	0	70694222105	0	52897223216	0	66460460066	70081778078	0	70537399082	71229724002	12656411976	66769588482	91939980
2025-04-21	21744991832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-28	55747308	1457926278	28887385	0	0	53192496	0	0	0	0	0	37339560	0	0	0	0	0	0	0
2025-05-05	193961521	17089491580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-12	663952647	10485760	10350264	0	10485760	10485760	0	10485760	0	0	0	10485760	0	10485760	20971520	0	10485760	0	0
2025-05-19	872960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	0	4127004	0	0	0	65442492	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-02	58171104	69569496	0	36946512	136313984	22796784	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	21617640	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	70202407493	0	0	0	0	17834442	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	210760053	4163695460	13205110459	5875146948	6293845626	44212962	6480861	3413507	6487545	9535802	6381141	6471754	3407887	3373142	6472540	9576745	3052272	5937113	5959449
2025-07-07	50047584	0	0	16573524	99797356	0	0	0	0	0	9957216	102548692	0	11201868	11987964	0	134217728	0	0
2025-07-14	6470420	159896425	23386527	107202280	6476682	33684315	9491130	6442858	6432223	3446649	6492481	6494746	3413677	12585384	6590223	3483391	8685361	295383	11645182
2025-07-21	71246482357	70959637818	0	70754286751	70745283897	0	71443723225	0	0	0	135513039191	66460460066	70081778078	0	0	71229724002	67112724689	48363205780	95925838814
2025-07-28	20971520	0	0	43491310751	0	42632671984	47500492800	0	18997320	15983952	0	35999327266	0	13756680	43268171760	19652400	16770048	18443641652	56572781534
2025-08-04	0	0	0	0	46189772800	14313062400	0	42435098905	0	0	0	0	0	0	0	0	40636180689	0	0
2025-08-11	50017075200	40579891200	0	0	0	0	0	0	47028633600	0	0	0	0	36440744040	0	0	0	40135758082	0
2025-08-18	0	0	0	0	0	0	0	0	0	83683829810	0	0	0	0	0	0	0	0	0
2025-08-25	0	36280729600	0	0	0	0	0	44407193600	0	0	0	0	0	0	0	0	74941152	118994672592	63524840414
2025-09-01	45927873093	0	33973862400	0	52009369600	0	0	0	0	0	0	0	39043928478	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	40453072199	0	0	0	0	47636764002	0	0	0
2025-09-22	45254727	98688882	51700437	38529910	40876347	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	71232017652	0	0	70745283897	70604510054	71443723225	141388444210	0	70733916210	69760858411	66460460066	70081778078	70562111370	0	0	67112724689	133539176964	211588299952
2025-10-06	59575376	457194870	61924560	43704057	42972388	30816516	50220483	18485810	24706599	31646336	19426134	38430488	16253756	26867592	22515568	31114208	14905725	21042264	26547354
2025-10-13	70511657306	1073865746	83144277	153245624	114114076	55871162	56509251	17431405	20514087	35773340	27042945	86804594	36153036	23685798	22777600	17620606	50320764	49428522	15705622
2025-10-20	14779205	908777828	4258020	4192512	15263149	4258020	18115829	9242905	12260079	15790414	12267879	18660670	9560478	0	13583318	13493602	10516689	4127004	0
2025-10-27	143504789	1635713818	86625951	58318929	81883710	72081336	78853213	35583398	57939321	60865890	61631169	86097470	59597520	50094834	48610914	89282174	90255855	20976756	27415256
2025-11-03	191879002	1792633056	62626547517	179149299	130096953	103867677	168086577	139077023	214483338	148140462	120421776	156906862	147024870	171817848	130920080	167625558	107091411	87517062	102324128
2025-11-10	1624168576	3574420490	3755657636	265696942	315539707	212229644	154782719	253026607	242088583	135625448	101025384	173116674	135033216	159689556	139609482	226644082	101820672	94715844	79019578
2025-11-17	71150999869	5513664168	108051942	92787343	51619444	40797160	95230213	85007815	99740011	35838848	36428472	78157538	48268326	73031946	53327490	43888268	77541993	15085560356	44414740
2025-11-24	70264839618	82486856494	59823429	8074538441	42645278	75625930	100965030	49876696	94195494	101558302	35821017	82874114	46757952	62282868	58263752	58101412	52643643	44435718	34604838
2025-12-01	94086791	80787235332	39768231	88398307	30002234	58084110	86976205	76747530	62983437	56673378	44533581	69411150	62738214	47961168	44221878	98124708	65226489	45236010	66065292
2025-12-08	502405910	7913267034	88329159	34607706	111493541	52574276	54347487	58065196	128063711	78955056	47237292	66598794	64310406	50094834	34962088	66420928	55364880	33920469516	38060464
2025-12-15	70287360068	99440292846	62517271030	70889927532	141539960611	70715488818	71498624663	70756277012	132537840	70822825496	70051959	66558348976	96733176	70629041760	70600641442	88561586	67200914387	85282692	61250296
2025-12-22	321756	1694263998	0	0	0	0	0	0	0	45381445682	0	0	0	40619737088	0	0	0	0	0
2025-12-29	0	2991052412	14416635	4127004	4454544	40359622940	4127004	13369909	0	11663410	7616811	4258020	0	15693822	13321286	18013654	42374004736	0	11578618
