week_start	sub-A7801/sub-A7801_ses-20240509T185057_behavior+ecephys.nwb	sub-A7801/sub-A7801_ses-20240509T185458_behavior+ecephys.nwb	sub-A7801/sub-A7801_ses-20240509T185805_behavior+ecephys.nwb	sub-A7801/sub-A7801_ses-20240509T190101_behavior+ecephys.nwb	sub-A7802/sub-A7802_ses-20240509T190545_behavior+ecephys.nwb	sub-A7802/sub-A7802_ses-20240509T190914_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T212028_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T212641_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T213129_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T213653_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T221227_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T221830_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T222731_behavior+ecephys.nwb	sub-A7803/sub-A7803_ses-20240509T224110_behavior+ecephys.nwb
2025-03-17	117999362	0	0	92943946	0	70821302	42772558	20443114	20192758	6288768	9629676	156338854	96742134	133201798
2025-03-24	352984894	72306042	84995398	185887892	181475964	70821302	47812508	40886228	20192758	0	122292754	156338854	96742134	123965170
2025-03-31	1013208	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-07	1125792	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-14	118111946	72306042	0	92943946	0	70821302	23906254	20443114	0	0	122292754	156338854	0	123965170
2025-04-21	1350960	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-28	1238376	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-05	112584	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	34571120	44430512	40464880	50734464	48646864	28585584	11564256	15590912	16359032	29213976	57058240	64542720	48525000	55557792
2025-07-14	35471752	44430512	44511368	54962336	27798208	34937936	12527944	13642048	9622960	34525608	62764064	69921280	45290000	61730880
2025-07-28	117774210	0	0	0	0	0	0	0	0	0	0	103910054	96742134	0
2025-08-04	41237068	0	0	92943946	0	0	1070888	0	0	0	69863954	0	0	0
2025-08-11	450320	0	52428800	0	90737982	70821302	0	0	0	0	0	0	0	52428800
2025-08-18	53186468	0	0	0	0	0	0	20443114	20192758	70027458	0	0	0	0
2025-08-25	337744	0	0	92943946	38309182	0	23906254	0	0	0	0	0	0	0
2025-09-01	12691442	0	0	0	0	0	0	4127004	0	22927800	27185820	0	0	26203200
2025-09-08	112576	0	0	0	0	0	0	0	0	25613628	19979940	0	20045448	0
2025-09-15	337744	0	0	0	0	0	45331536	0	0	22534752	0	0	0	0
2025-09-22	337744	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	225152	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	7383964	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	337728	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	450320	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	225168	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	115459958	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	225168	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	112584	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	117323890	150311280	100455286	278831838	100629690	70821302	33863470	0	32573770	8450532	137228578	156338854	96742134	247930340
2025-12-22	0	0	0	0	0	0	0	0	14949878	36700160	0	0	0	0
2025-12-29	0	0	31457280	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	20443114	0	0	96078354	99614720	73400320	0
2026-01-12	127809650	0	0	0	0	0	71718762	0	0	210082374	0	0	0	0
2026-01-19	0	47185920	0	0	0	0	0	0	50092514	0	0	0	0	0
2026-01-26	0	0	0	0	0	55092662	0	0	0	0	0	0	0	73400320
2026-02-02	68157440	0	0	68157440	48794942	0	13420494	0	0	0	0	0	0	0
2026-02-16	8831516	4127004	13155044	12213804	8438468	11046724	16942444	21003940	19223160	78727958	0	0	0	0
2026-02-23	19067264	12103406	16238718	102418478	656532792	146228164	7914404	0	0	0	0	476010766	0	8181774
2026-03-02	117323890	0	0	96697492	93821564	70821302	26103708	20443114	0	70027458	0	156338854	0	0
2026-03-09	0	0	0	0	0	73239404	0	7071782	0	0	4323528	99614720	96742134	0
2026-03-16	0	0	12249996	0	0	0	0	10612296	19521384	8647056	6419784	5568180	7991976	0
2026-03-23	0	0	412998	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	307272	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	0	802768060	527634290	0	0	9236628	0	20192758	0	0	2565283770	0	1216816230
