week_start	sub-monk-g/sub-monk-g_ses-session0.nwb	sub-monk-g/sub-monk-g_ses-session1.nwb	sub-monk-g/sub-monk-g_ses-session2.nwb	sub-monk-g/sub-monk-g_ses-session3.nwb	sub-monk-g/sub-monk-g_ses-session4.nwb	sub-monk-g/sub-monk-g_ses-session5.nwb	sub-monk-g/sub-monk-g_ses-session6.nwb	sub-monk-g/sub-monk-g_ses-session7.nwb	sub-monk-g/sub-monk-g_ses-session8.nwb	sub-monk-j/sub-monk-j_ses-session0.nwb	sub-monk-j/sub-monk-j_ses-session1.nwb	sub-monk-j/sub-monk-j_ses-session2.nwb	sub-monk-j/sub-monk-j_ses-session3.nwb
2026-06-08	6936272	9528676	53446952	11364260	7198304	6870764	11251948	11628148	7067288	20878992	10264548	12765096	8840492
2026-06-15	3767060	9327316	8891848	4539528	3832568	8676340	3963584	23340040	26681972	3767060	4448228	88788920	4029092
2026-06-22	100868740	64128568	183566108	157251588	117869436	105691220	28432908	26844432	29950000	197135372	130063712	145690672	105874296
2026-06-29	98960732	67264676	187962032	80519772	111387688	109544096	53229772	37459176	56576800	196275492	251290160	74192388	103098376
2026-07-06	180688458	137365144	464509282	245746306	31419320	70771036	24361504	22473304	30707352	18131828	28244000	19019640	19091228
2026-07-13	49840660	36998076	181715332	154850808	110396792	52382916	30578120	23945528	37256552	200681520	127479304	77052312	114685016
2026-07-20	859880	925388	46216740	1233144	925388	925388	925388	925388	925388	859880	1095680	925388	23803988
2026-07-27	925388	3087152	925388	14059352	1121912	32107196	925388	38436324	21724156	6052004	2340332	21560408	17701432
2026-08-03	149956408	94092108	548200044	230623020	328021164	154372584	85982420	67548352	72793344	583470672	373451676	286549604	297454032
2026-08-10	180485584	150294146	531942772	429903220	319847488	194326140	94943464	95153096	52198676	595074056	454557532	266486068	437505692
2026-08-17	190420448	122311760	723159776	310639212	437361552	205830112	102102912	67548352	72793344	777960896	497935568	285435968	406538464
