week_start	Neurophysiology	Video	Miscellaneous
2024-07-22	1096333280	1191565620	7808649816
2024-07-29	19812200	33463978	24130055923
2024-08-05	85624113	0	275402062
2024-08-12	8216702496	30925624	509225149
2024-08-19	0	7830952	596864035
2024-08-26	128537059764	70437209214	113129926012
2024-09-02	134619598323	194929291092	459189836898
2024-09-09	161139399061	204683807970	290727569777
2024-09-16	55948073503	105850580	379943084
2024-09-23	263999246864	28470156	914673488
2024-09-30	55957631119	4114568	482572724
2024-10-07	0	31058352	434545536
2024-10-14	326223640	7842294492	14936800814
2024-10-21	56941411055	1022533200	37105565689
2024-10-28	4114568	15993724	270315019
2024-11-04	603381312	6394391082	2033275677
2024-11-11	405773225641	623540207635	996713806932
2024-11-18	70014020	1875768298	4778206623
2024-11-25	344870382329	136200157069	596614471462
2024-12-02	6915888160	0	154183267281
2024-12-09	651590532	0	213371070
2024-12-16	0	0	4114568
2024-12-23	191954408	0	31575004
2024-12-30	6891612530	3381434943	0
2025-01-06	1248225465400	193123691146	70096268
2025-01-13	309304206251	0	0
2025-01-20	74386500	1875912612	29399252
2025-01-27	112883211	80270269	0
2025-02-03	56880138	0	141357278
2025-02-10	4327751329	2005983800	8414200518
2025-02-17	30069274419	0	5351991688
2025-02-24	9630432396	0	0
2025-03-03	553024	0	16591000
2025-03-10	211768	0	0
2025-03-17	35342088	2780026698	404071421
2025-03-24	5122232259	0	9954600
2025-03-31	134336	0	46653892
2025-04-07	9641323037	276824384	16326568
2025-04-14	756248337058	128543582829	0
2025-04-21	132745722863	28271064	197510074
2025-04-28	6787306920	0	0
2025-05-05	23514529763	3526464026	38126672
2025-05-12	10338627198	57717063231	314572800
2025-05-19	67012007836	49984833463	0
2025-05-26	107463751621	10776831948	0
2025-06-02	15081828087	0	0
2025-06-09	10265226878	5279223900	0
2025-06-16	326724832	0	0
2025-06-23	82662364232	0	0
2025-06-30	10265226878	222988582	0
2025-07-07	0	0	181169494
2025-07-14	80509969656	0	0
2025-07-21	23070776494	7727594765	26971600907
2025-07-28	487370948947	216281252933	301820698617
2025-08-04	73680073787	108497130268	218659946795
2025-08-11	120245507933	166670739379	190807109161
2025-08-18	100312659617	118967225493	682904689694
2025-08-25	73453951307	94807465619	195722684786
2025-09-01	25161115631	104071647953	172435519989
2025-09-08	36802743871	62336563794	90078607050
2025-09-22	122124620	118938021	0
2025-09-29	13376679616	0	0
2025-10-06	10888962384	50398769	0
2025-10-13	14762769519	0	0
2025-10-20	2369541031	0	0
2025-11-03	0	0	330124672
2025-11-10	232635028	255593558	64495256
2025-11-17	99029948	0	627010653
2025-11-24	0	2667416880	264038162
2025-12-01	522924146	201387746	337414341
2025-12-08	18604867784	97343208	15368628068
2025-12-15	455236414487	941294197625	1812040665516
2025-12-22	26450589820	51763391024	94481428615
2025-12-29	36354084273	58346770462	331798751858
2026-01-05	14244291646	65602702598	69928376851
2026-01-12	214647590580	302898284525	665134786234
2026-01-19	171052736973	116978930365	192486364393
2026-01-26	392737672155	219731156815	403015721518
2026-02-02	147052022782	121408465700	226837539604
2026-02-09	11539853778	0	17351376052
2026-02-16	7359383541	29005583275	163110814
2026-02-23	66365766064	4034804963	31092998804
2026-03-02	60881167277	3865349592	182705345
2026-03-09	245972454935	1110027981	653485672179
2026-03-16	841960068	2859818056	363144694125
2026-03-23	56677529690	735046836	15861191540
2026-03-30	333190750848	892595800	15845884696
2026-04-06	39595964672	1243929339	18010097263
2026-04-13	2923315076	809707165	14441847003
2026-04-20	15204082936	1886792400	37017232024
2026-04-27	106612895433	3360422916	22988674822
2026-05-04	25309319225	87467752	2143174425
2026-05-11	533792173235	46194994026	221283702290
2026-05-18	158095057910	543118836	538433545613
2026-05-25	8291339306	6177872983	2155876311
2026-06-01	9550156269	229831604	10402734309
2026-06-08	56760955335	5403531504	342861942
