week_start	sub-JenkinsC/sub-JenkinsC_ses-20150924T154125_behavior+ecephys+image.nwb	sub-JenkinsC/sub-JenkinsC_ses-20150925T151743_behavior+ecephys+image.nwb	sub-JenkinsC/sub-JenkinsC_ses-20151001T150307_behavior+ecephys.nwb	sub-JenkinsC/sub-JenkinsC_ses-20151002T143706_behavior+ecephys.nwb	sub-JenkinsC/sub-JenkinsC_ses-20151009T150007_behavior+ecephys+image.nwb	sub-JenkinsC/sub-JenkinsC_ses-20151015T151424_behavior+ecephys.nwb	sub-JenkinsC/sub-JenkinsC_ses-20160127T110630_behavior+ecephys.nwb	sub-JenkinsC/sub-JenkinsC_ses-20160128T160749_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170115T125333_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170116T102856_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170117T104643_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170118T094022_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170119T123128_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170124T094957_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170125T100800_behavior+ecephys.nwb
2023-09-25	0	0	0	0	0	0	0	0	0	0	1123120	0	0	0	0
2023-10-02	0	0	0	0	0	0	93710164	0	0	0	881544	0	0	0	0
2023-10-09	0	0	0	0	0	0	0	0	0	0	265104	0	0	0	0
2023-10-16	0	0	0	0	0	0	0	0	0	0	79720	2072484978	0	0	0
2023-10-23	0	0	0	1767750704	0	2297971237	3800349931	0	0	0	194576	0	4895662186	3187639046	3037103600
2023-10-30	0	0	1527926464	0	0	0	0	0	0	0	267000	0	0	0	0
2023-11-06	0	0	0	0	0	0	0	0	0	0	160920	0	0	0	0
2023-11-13	0	0	0	0	0	0	0	0	0	0	611214984	0	0	0	0
2023-11-20	0	0	0	0	0	0	0	0	0	0	18135200	0	0	0	0
2023-11-27	0	0	0	0	0	0	0	0	0	0	318808	0	0	0	0
2023-12-04	0	0	15728640	0	0	69747237	198491371	226436779	62242743	58862658	129554456	62364786	65466421	62882566	59147760
2023-12-11	0	0	0	0	0	0	0	0	0	0	278856	0	0	0	0
2024-02-12	0	0	43402056	0	0	0	0	0	21767392	22032848	0	0	21833756	21369208	0
2024-02-19	0	0	0	3562912816	0	0	3800349931	5285815979	3454386103	0	2880141464	3045563506	3001479221	3187639046	3037103600
2024-02-26	0	0	0	0	0	422888972	0	0	0	0	0	0	0	0	0
2024-03-04	0	0	76726768	0	0	0	3901970352	32916544	0	0	64714904	0	0	6375278092	6074207200
2024-03-25	0	0	0	0	0	0	0	0	271355472	0	330353068	775824900	928785012	848269628	1079209424
2024-04-01	0	0	0	0	0	0	0	0	0	0	11879156	0	0	0	0
2024-04-22	0	0	0	0	0	7830952	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	0	8030044	0
2024-06-10	0	0	23094672	0	0	0	0	0	0	0	0	0	7764588	7764588	0
2024-07-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7963680
2024-07-15	0	0	56158908	0	0	0	3800349931	5285815979	0	0	0	0	0	0	0
2024-07-22	0	0	10020964	10020964	0	12144612	0	11547336	6636400	0	6437308	0	12609160	8229136	25351048
2024-07-29	0	0	92620364	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	0	0	0	0	0	0	0	0	9954600	0	64714904	2450519507	0	0	0
2024-09-02	0	0	4890388888	2681025048	0	0	0	0	0	0	0	6308296015	6002958442	0	0
2024-09-09	0	0	77013612	237349104	0	3954577166	585183904	9157797221	6586327493	2413518948	2880141464	3045563506	0	0	3037103600
2024-09-16	0	0	227692224	207469616	0	185090597	156548331	0	62242743	58862658	155644208	62364786	122998943	188647698	177443280
2024-09-23	0	0	1119304448	741203316	0	1410800597	1339326359	1780859223	950173258	1516530242	437971628	335545172	578855837	487523852	808108016
2024-09-30	0	0	0	0	0	0	0	0	0	0	143358104	5242880	290910261	220168966	316048880
2024-10-21	0	0	80682088	0	0	0	0	235929600	182828983	147991618	0	277322866	290910261	120586240	0
2024-11-04	0	0	7897316	9954600	0	0	0	10286420	7830952	0	0	7698224	8494592	7896488	0
2024-11-18	0	0	245144960	230943952	0	222972186	4114568	515001562	2184273379	0	130696864	565917924	311811857	235096146	4114568
2024-11-25	0	0	2240806292	2036227864	0	3513812042	0	0	5104073367	2433730408	2535410184	4752059346	1898477984	2916773874	6120660016
2024-12-02	0	0	0	0	0	2298247253	0	0	0	0	0	0	0	0	0
2025-01-13	0	0	0	0	0	20407973	0	0	0	0	0	0	0	0	0
2025-01-20	0	0	0	24542080	0	21435824	0	0	0	0	0	0	0	0	0
2025-01-27	0	0	0	0	0	2297971237	3800349931	5285815979	3454386103	3141676098	2880141464	3045563506	3001479221	3187639046	3037103600
2025-02-24	0	0	0	0	0	0	0	0	751735760	0	21767392	0	152866012	4180932	826410120
2025-03-03	0	0	2665388292	3093875072	0	2140626792	3498298148	2947717320	2814366775	2170890590	2839619400	2316855954	838195064	2261627198	2250313376
2025-03-10	0	0	0	0	0	0	490731	0	0	0	0	0	0	0	0
2025-04-14	0	0	2786217664	0	0	0	3800349931	5285815979	3454386103	3141676098	2880141464	0	0	0	3037103600
2025-04-21	0	0	0	0	0	4595942474	7600699862	5285815979	6908772206	6283352196	2880141464	3045563506	6002958442	3187639046	3037103600
2025-05-12	0	0	2039631552	561490964	0	2328802761	3817391611	62541632	0	2485916550	3547150424	3077775798	0	0	2231913516
2025-05-26	0	0	2786217664	0	0	2297971237	3800349931	5285815979	3454386103	0	0	3045563506	3001479221	3187639046	3037103600
2025-06-23	0	0	183773408	87513648	0	118642240	61075696	134555016	156479496	114055904	471686208	146782152	197265760	109911632	453865536
2025-06-30	0	0	0	0	0	0	0	0	0	0	217518164	0	0	0	0
2025-07-07	0	0	25483776	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	0	0	143773408	135027296	0	158642240	181075696	189703344	164319664	137027952	171045996	117854768	217265760	144779080	129233192
2025-07-28	0	0	1265782464	0	0	2184951076	0	4342097579	2825240503	1568812098	0	2673868800	1952903221	2149580800	0
2025-08-04	0	0	0	2042477616	0	0	2359296000	0	0	0	167195216	0	0	0	0
2025-08-11	0	0	0	0	0	0	0	0	0	0	1835008000	0	0	0	1621526000
2025-08-18	0	0	0	0	0	0	0	0	0	0	261788972	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	2254438400	0	1415577600	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1831241200
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1929347846	0
2025-09-29	0	0	0	0	0	0	0	0	0	0	8300660	0	0	0	0
2025-10-06	0	0	0	0	0	0	0	0	0	0	561835004	0	0	0	0
2025-10-13	0	0	2786217664	3562912816	0	2297971237	3800349931	5285815979	0	3141676098	2880141464	0	3001479221	0	3037103600
2025-12-08	0	0	56741220	4110717936	0	10220056	3800349931	5308311391	3658684215	28735612	206567364	144130724	141793124	52162104	250234876
2025-12-15	0	0	5842050476	2293007172	0	14799172	11553849441	5384049559	7811047270	2310607352	9740538476	10255054826	6314992070	12574579648	8038597512
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	2044723200	0	0
2025-12-29	0	0	1735393280	0	0	0	2143599851	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	1889201636	0	0	0	0	0	0	0	4138019978	5226424269	0	0
2026-01-19	0	0	5572435328	0	0	0	0	2617190059	0	0	0	0	0	0	0
2026-01-26	0	0	0	0	0	1259880997	0	0	1903165440	0	1621850264	0	0	0	0
2026-02-02	0	0	0	0	0	2297971237	0	0	0	4568930436	2469099672	2881280902	699929244	1787790086	3807806960
2026-02-09	0	0	0	0	0	0	0	5285815979	3454386103	3141676098	0	0	3001479221	0	3037103600
2026-02-16	0	0	5572435328	7125825632	0	4595942474	7600699862	5285815979	0	0	2880141464	0	0	0	0
2026-02-23	0	0	2796535828	3562912816	0	4595942474	1104982263	5963001686	6908772206	6297500604	5818948704	3104627466	6002958442	6378174738	3054224520
2026-03-02	0	0	2113929216	9632816	0	2302387274	0	5285815979	2130706432	3148189964	4180932	5176269938	3005859245	0	3037103600
2026-03-09	0	0	0	3562912816	0	2297971237	3800349931	0	13584383781	10561542276	2896918680	0	7279669301	6378174738	3037103600
2026-03-16	0	0	0	0	0	0	7565496	0	0	0	0	5972760	12210976	0	0
2026-03-23	0	0	1963452	3566504032	0	730004	7903534	11940258	0	8843536	3773213024	0	3002093621	1179739992	6389368
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	7631860	929096
2026-04-06	0	0	0	0	0	0	0	0	0	0	9025504	0	929096	0	0
