week_start	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170316T095515_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170316T183021_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170317T094453_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170317T144531_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170318T135856_behavior+ecephys.nwb	sub-13f5788208822c35-0/sub-13f5788208822c35-0_ses-20170318T185915_behavior+ecephys.nwb	sub-58313/sub-58313_ses-20170320T113440_behavior+ecephys.nwb	sub-58313/sub-58313_ses-20170321T173346_behavior+ecephys.nwb	sub-58313/sub-58313_ses-20170322T111919_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170316T095515_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170316T183021_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170317T094453_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170317T144531_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170318T135856_behavior+ecephys.nwb	sub-70375/sub-70375_ses-20170318T185915_behavior+ecephys.nwb	sub-8931a088caf410cf-0/sub-8931a088caf410cf-0_ses-20170320T113440_behavior+ecephys.nwb	sub-8931a088caf410cf-0/sub-8931a088caf410cf-0_ses-20170321T173346_behavior+ecephys.nwb	sub-8931a088caf410cf-0/sub-8931a088caf410cf-0_ses-20170322T111919_behavior+ecephys.nwb
2024-03-25	0	0	0	0	0	0	4446388	186789440	1442304	130958668	200695772	16220268	243191520	291340260	8720088	0	0	0
2024-04-01	0	0	0	0	0	0	24	5375484	263450916	861368	284433568	5886940	1457576	8390140	105040052	0	0	0
2024-04-08	0	0	0	0	0	0	0	280621908	217218476	313663076	0	275659232	0	344098944	0	0	0	0
2024-04-15	0	0	0	0	0	0	227813908	0	252388544	148528340	0	459105652	148753356	244052236	0	0	0	0
2024-04-22	0	0	0	0	0	0	4446388	1439504	8742344	168858824	163486028	155216736	645364296	277627728	246093888	0	0	0
2024-04-29	0	0	0	0	0	0	342548756	0	102961184	579030540	0	0	192889212	151120140	151822952	0	0	0
2024-05-06	0	0	0	0	0	0	328729744	176829160	113577412	300127764	222316228	162809072	165896588	0	232073724	0	0	0
2024-05-13	0	0	0	0	0	0	0	285239940	0	442406988	0	0	309507128	653169828	211939572	0	0	0
2024-05-20	0	0	0	0	0	0	0	346386636	0	256707804	466398808	303523488	208826124	0	146777152	0	0	0
2024-05-27	0	0	0	0	0	0	457152164	0	318118496	248686408	0	190022860	209787828	367006480	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	157386912	539569796	191646576	205064196	162849660	0	195149576	252138128	0	0	0
2024-06-10	0	0	0	0	0	0	0	137032088	0	11879156	0	0	0	327320112	165178296	0	0	0
2024-07-08	0	0	0	0	0	0	40778568	39572672	37419740	7595244	0	0	33598648	1761888	61605808	0	0	0
2024-07-22	11547336	0	10087328	11613700	0	0	12277340	14334624	22696488	65545444	10020964	0	68561116	3119108	5906396	0	12343704	0
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	0	0	25485920	0	0	0	0
2024-08-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13870076
2024-08-12	0	0	0	0	0	0	0	12210976	0	7897316	0	0	0	0	0	0	0	0
2024-08-26	10087328	0	13471892	0	51858824	15860996	46587528	41809320	29930164	10087328	60261776	0	48242164	23360128	13339164	5640940	10020964	0
2024-09-02	0	0	0	6993168	87487008	0	26926576	0	0	0	153446624	24275752	72854280	0	0	0	0	0
2024-09-09	0	20971520	0	0	0	0	5963208	4531984	0	95650056	55475056	30884216	30935288	34514720	26712848	0	0	0
2024-09-16	0	0	0	0	0	0	60354900	1779472	0	7661608	1792568	9312704	6702764	6636400	8711024	0	0	0
2024-09-23	0	0	0	0	0	0	92730600	85574480	85588480	97531800	69560544	79435720	79520840	85486560	64908352	0	0	0
2024-09-30	0	0	0	0	0	0	13588612	0	0	0	0	0	0	0	0	0	0	0
2024-10-14	0	0	0	0	0	0	17664	0	0	0	0	0	0	0	0	0	0	0
2024-10-21	0	0	0	0	11414608	11945520	16060088	2190012	8096408	19311924	14467352	6901856	11547336	6171852	7499132	12343704	0	5242756
2024-11-18	0	0	0	0	0	0	0	0	0	4048204	0	1338152	0	5876456	0	0	0	0
2024-12-02	0	0	8388608	0	0	0	0	0	0	0	38361656	8388608	15896152	0	0	0	0	0
2025-02-10	0	0	0	0	0	0	28382736	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	0	0	0	0	0	0	0	415504	0	0	0	416552	0	0	0	0	0	0
2025-06-23	0	0	0	0	0	0	22864160	21620000	21620000	28824000	39156000	20410000	24492000	17288000	27384000	0	0	0
2025-07-07	0	0	0	0	0	0	42000	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	0	0	0	0	0	0	4572832	4324000	0	4804000	19578000	8164000	4082000	0	9128000	0	0	0
2025-07-21	0	0	0	0	0	0	26926576	0	0	0	0	0	24284760	0	0	0	0	0
2025-07-28	0	0	0	0	0	0	0	0	0	27886952	0	0	24292776	0	0	0	29181192	0
2025-08-04	0	0	0	0	0	0	0	0	15974612	0	0	24267736	0	0	0	0	0	0
2025-08-11	0	0	0	27964688	0	0	0	25503504	0	0	0	0	24284760	25485920	26704832	0	0	0
2025-08-18	0	0	0	0	0	30416584	0	0	10257752	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	51007008	0	27894968	0	0	24292776	0	0	0	0	0
2025-09-01	31586608	0	0	0	0	30416584	0	0	0	0	38353640	0	0	25485920	0	0	0	0
2025-09-08	0	43956328	0	0	0	0	0	0	25506304	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	0	0	0	0	0	45830884	0	0	0	0	0	0	0	0	0
2025-11-03	0	0	0	0	0	0	0	0	7764588	0	0	0	0	0	0	0	0	0
2025-11-24	24554680	22231940	27806516	14201896	13936440	19046468	45392976	37429296	54617572	21634664	18581920	69881292	23492028	44729336	54153024	35770196	31456536	17851916
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0
2025-12-15	0	0	0	0	15728640	0	74973456	25503504	51012608	32009536	109109564	52666072	27606016	40948732	53425696	0	0	0
2025-12-22	0	0	15728640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	12158312	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	15728640	0	0	0	0	20255408	0	0	20971520	0	0	0	0	0	0
2026-01-12	0	0	55930624	0	71105376	60833168	53853152	0	45061632	0	170836760	59037264	76167520	0	0	0	0	68812832
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10984208	0	10485760	13434896
2026-01-26	20971520	0	0	0	0	15728640	0	50990976	0	10485760	6896360	0	0	15728640	26704832	0	0	0
2026-02-02	0	22984808	0	0	0	0	20971520	0	9777664	0	0	0	10485760	9749264	10485760	0	0	0
2026-02-16	0	0	0	0	0	0	819200	11581584	35659996	4421768	14910680	12958104	35675268	40821448	10953632	0	0	0
2026-02-23	0	0	0	0	0	0	10238920	8229136	8428228	4421768	2547368	4711844	0	0	0	0	0	0
2026-03-02	0	0	0	0	0	0	48158332	46793472	45168128	48853116	90088560	41052968	0	44585876	46330160	0	0	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	4180932	0	0	0	0	0	0
2026-03-16	0	0	15993724	6835492	12609160	0	10352784	0	0	13372004	15794632	5906396	10220056	13936440	0	0	0	0
2026-03-23	0	0	0	0	0	0	0	0	0	4844572	0	0	1457576	2351016	396048	0	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	4313660	0	0	0	0	0	0	0	0
2026-04-06	0	0	0	0	0	0	0	614400	5476096	0	1190456	0	0	0	4576980	0	0	0
