week_start	sub-BWRat17/sub-BWRat17_ses-BWRat17-121712_ecephys.nwb	sub-BWRat17/sub-BWRat17_ses-BWRat17-121912_ecephys.nwb	sub-BWRat18/sub-BWRat18_ses-BWRat18-020513_ecephys.nwb	sub-BWRat19/sub-BWRat19_ses-BWRat19-032413_ecephys.nwb	sub-BWRat19/sub-BWRat19_ses-BWRat19-032513_ecephys.nwb	sub-BWRat20/sub-BWRat20_ses-BWRat20-101013_ecephys.nwb	sub-BWRat20/sub-BWRat20_ses-BWRat20-101513_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121113_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121613_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121813_ecephys.nwb	sub-Bogey/sub-Bogey_ses-Bogey-012615_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-061814_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-061914_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-062014_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072114_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072314_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072414_ecephys.nwb	sub-Rizzo/sub-Rizzo_ses-Rizzo-022615_ecephys.nwb	sub-Rizzo/sub-Rizzo_ses-Rizzo-022715_ecephys.nwb	sub-Splinter/sub-Splinter_ses-Splinter-020515_ecephys.nwb	sub-Splinter/sub-Splinter_ses-Splinter-020915_ecephys.nwb	sub-Templeton/sub-Templeton_ses-Templeton-032415_ecephys.nwb
2023-12-04	108125669	542543244	115822440	153221869	157875177	131362013	134668989	141181054	116478176	124372477	184128036	157182635	249047330	353633836	228577969	226376047	251692220	87767836	133908012	149179441	134795262	189637220
2023-12-11	0	44815620	0	40075352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-08	0	0	0	82394928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	22480282	22525216	22404220	17458270	20428726	16214204	14743134	17647670	20645528	22248546	18811636	16769482	25061704	18225824	22435698	22669714	32317440	18273864	16031520	14903014	17878656	19263328
2024-02-26	31686904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	0	271918080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	34583165	35513256	71183712	82215327	68385471	83007425	74435841	56969275	104482198	94916231	102138652	83458651	108949042	90781804	115478531	83646743	126269352	86023920	118377048	116233609	92067350	105851218
2024-03-25	1608510873	76351028	32011252	22619670	21526586	20205766	21512606	19164758	13465012	25367998	28084028	27689558	37245860	26152024	33797834	24569994	41751444	22324200	20396552	21088414	27372972	18827320
2024-04-01	17863853	15485456	17299724	11276653	10829657	9605153	15965877	9516015	9287520	12650817	14473380	17959347	24595690	13208740	20018025	13247275	20577084	10498460	10861916	10444661	13022846	13528228
2024-04-22	1530632945	0	0	0	0	0	0	0	0	0	9149452836	0	0	0	0	0	0	0	0	0	0	0
2024-04-29	3094315562	0	4976583960	0	0	0	0	0	0	0	26057887672	0	11647068450	0	0	0	0	0	0	0	0	0
