week_start	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250101T111740.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250101T112404.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250108T110520.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250108T111022.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250108T111455.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250113T120811.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250113T121303.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250115T110633.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250115T111328.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250119T113543.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250119T114045.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250120T115044.nwb	sub-HumanPitt-held-in-calib/sub-HumanPitt-held-in-calib_ses-19250120T115537.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250101T111740.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250101T112404.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250108T110520.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250108T111022.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250108T111455.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250113T120811.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250113T121303.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250115T110633.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250115T111328.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250119T113543.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250119T114045.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250120T115044.nwb	sub-HumanPitt-held-in-minival/sub-HumanPitt-held-in-minival_ses-19250120T115537.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250126T113454.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250126T114029.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250127T120333.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250127T120826.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250129T112555.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250129T113059.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250202T113958.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250202T114452.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250203T113515.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250203T114018.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250206T112219.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250206T112712.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250209T111826.nwb	sub-HumanPitt-held-out-calib/sub-HumanPitt-held-out-calib_ses-19250209T112327.nwb
2024-10-28	5158319	3090448	5801669	3308274	3151141	5853252	5567825	5944811	6858862	6153697	5997093	6725140	6144273	0	1015480	1024284	1067820	1019604	0	0	1106836	1111248	1067268	1021356	1109660	1044752	1472872	1431320	1505958	1415291	1351985	1254631	1381886	1271944	1206269	1172811	1363294	1360362	1509485	1384702
2024-11-04	11820298	3090448	4389036	2161764	0	4389036	5567825	5944811	6616308	4389036	0	6616308	4389036	925980	1015480	1024284	0	1019604	0	922184	0	1111248	1067268	0	0	1044752	0	0	1505958	1415291	1351985	1254631	1381886	0	0	0	0	1360362	1509485	1384702
2024-11-11	101703706	9271344	11603338	3308274	9453423	15768000	11135650	15951118	6858862	16368890	17991279	0	12288546	1851960	0	3072852	4271280	2039208	1969696	2766552	3320508	4444992	3201804	3064068	2219320	2089504	4418616	2862640	4517874	4245873	2703970	2509262	4145658	3815832	2412538	3518433	4089882	2720724	4528455	2769404
2024-11-18	9023123	10908820	18546626	6485476	7939758	5197892	13428505	9809559	17058296	24749019	23457526	16266564	18969802	2777940	3046440	0	0	0	0	0	0	0	0	0	0	0	0	0	1505958	0	0	0	0	0	0	0	0	1360362	0	0
2024-11-25	20633276	9271344	17405007	6616548	9453423	11706504	16703475	17834433	13717724	28676284	32504412	13450280	18432819	2777940	2030960	1024284	3203460	3058812	1969696	1844368	2213672	3333744	3201804	2042712	3328980	5223760	7364360	1431320	4517874	5661164	2703970	3763893	5527544	5087776	3618807	3518433	2726588	1360362	4528455	4154106
2024-12-02	5158319	3090448	11603338	9924822	9453423	17559756	16703475	11889622	27435448	6153697	17991279	13450280	6144273	1851960	1015480	2048568	4271280	3058812	2954544	2766552	3320508	3333744	4269072	2042712	2219320	1044752	4418616	2862640	1505958	5661164	1351985	3763893	4145658	1271944	3618807	3518433	1363294	6801810	1509485	4154106
2024-12-09	5158319	6180896	11603338	6616548	6302282	11706504	11135650	5944811	13717724	12307394	11994186	6725140	12288546	925980	2030960	2048568	2135640	2039208	984848	1844368	2213672	2222496	2134536	1021356	2219320	0	2945744	1431320	3011916	1415291	2703970	2509262	2763772	2543888	2412538	2345622	0	2720724	3018970	2769404
2024-12-30	0	3090448	5801669	3308274	3151141	0	5567825	0	6858862	6153697	0	6725140	0	925980	0	0	0	1019604	984848	922184	0	1111248	0	1021356	0	1044752	1472872	0	0	1415291	1351985	1254631	1381886	0	0	1172811	0	1360362	1509485	1384702
2025-01-06	0	3090448	0	3308274	3151141	0	5567825	5944811	6858862	0	5997093	6725140	6144273	0	1015480	1024284	0	0	0	922184	0	0	0	1021356	1109660	1044752	1472872	1431320	0	0	1351985	0	0	0	0	0	0	0	0	0
2025-01-13	5158319	3090448	5801669	3308274	0	5853252	0	5944811	0	6153697	5997093	0	6144273	0	0	1024284	1067820	0	984848	922184	1106836	1111248	0	0	1109660	1044752	1472872	1431320	1505958	1415291	0	0	1381886	1271944	0	0	1363294	1360362	1509485	0
2025-01-27	26873495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-03	582290610	3090448	5801669	0	3151141	0	0	5944811	6858862	0	5997093	6725140	6144273	925980	1015480	0	0	1019604	984848	0	1106836	1111248	0	1021356	1109660	1044752	1472872	0	1505958	1415291	0	1254631	1381886	1271944	0	1172811	0	1360362	1509485	0
2025-02-10	30949914	9271344	34810014	6616548	18906846	23413008	27839125	11889622	41153172	24614788	35982558	20175420	30721365	2777940	5077400	6145704	3203460	4078416	4924240	3688736	3320508	5556240	5336340	5106780	4438640	3134256	4418616	8587920	4517874	7076455	5407940	7527786	5527544	3815832	4825076	5864055	5453176	5441448	6037940	5538808
