week_start	Miscellaneous
2024-11-04	582069900267
2024-11-11	616339157456
2024-11-18	334790653035
2024-11-25	235820217338
2024-12-02	2600728675726
2024-12-09	160605328563
2024-12-16	20878775140
2024-12-23	10414897667
2024-12-30	3261078228
2025-01-06	20475964385
2025-01-13	414483297401
2025-01-20	58459346397
2025-01-27	803910212981
2025-02-03	308469780261
2025-02-10	5993477238667
2025-02-17	6100208426001
2025-02-24	885575893131
2025-03-03	1162674720843
2025-03-10	319596181848
2025-03-17	284658688992
2025-03-24	502452738838
2025-03-31	105253840795
2025-04-07	197347730240
2025-04-14	83956115843
2025-04-21	96327653260
2025-04-28	493620266583
2025-05-05	4965135054870
2025-05-12	533883018316
2025-05-19	200988330254
2025-05-26	275094616163
2025-06-02	1864975559820
2025-06-09	35443494020063
2025-06-16	1032742562707
2025-06-23	934573029522
2025-06-30	2615677534768
2025-07-07	615195567347
2025-07-14	279147337086
2025-07-21	10864927203420
2025-07-28	153208819316448
2025-08-04	115245418668252
2025-08-11	111936985550117
2025-08-18	43360248783776
2025-08-25	51874012610494
2025-09-01	62973207838838
2025-09-08	49097081404672
2025-09-15	4399438675886
2025-09-22	1934250330221
2025-09-29	7722339489443
2025-10-06	8159059420130
2025-10-13	8457716722900
2025-10-20	6942033690281
2025-10-27	461646416875
2025-11-03	308508882887
2025-11-10	149924292872
2025-11-17	362074594160
2025-11-24	131622412729
2025-12-01	640056577503
2025-12-08	40321472803598
2025-12-15	24748883982878
2025-12-22	22690255543525
2025-12-29	51263036438881
2026-01-05	23400891921108
2026-01-12	44831381624703
2026-01-19	53957078699544
2026-01-26	130704954635405
2026-02-02	45622042562213
2026-02-09	2487062861578
2026-02-16	8975136438674
2026-02-23	8233367423497
2026-03-02	813671034219
2026-03-09	816998562626
2026-03-16	1445467277803
2026-03-23	468873653602
2026-03-30	104646052970
2026-04-06	419623797410
2026-04-13	3320218153900
2026-04-20	3293559380120
2026-04-27	3817098886238
2026-05-04	4479161999606
2026-05-11	23033367309027
2026-05-18	4509413705831
2026-05-25	2588034119039
2026-06-01	8773404636872
2026-06-08	6655618383598
2026-06-15	17437541616727
2026-06-22	32155674410316
2026-06-29	3821928810475
2026-07-06	3203652962073
2026-07-13	253519570403
2026-07-20	5067092536937
2026-07-27	4283231575269
