week_start	sub-MonkeyL-held-in-calib/sub-MonkeyL-held-in-calib_ses-20120924_behavior+ecephys.nwb	sub-MonkeyL-held-in-calib/sub-MonkeyL-held-in-calib_ses-20120926_behavior+ecephys.nwb	sub-MonkeyL-held-in-calib/sub-MonkeyL-held-in-calib_ses-20120927_behavior+ecephys.nwb	sub-MonkeyL-held-in-calib/sub-MonkeyL-held-in-calib_ses-20120928_behavior+ecephys.nwb	sub-MonkeyL-held-in-minival/sub-MonkeyL-held-in-minival_ses-20120924_behavior+ecephys.nwb	sub-MonkeyL-held-in-minival/sub-MonkeyL-held-in-minival_ses-20120926_behavior+ecephys.nwb	sub-MonkeyL-held-in-minival/sub-MonkeyL-held-in-minival_ses-20120927_behavior+ecephys.nwb	sub-MonkeyL-held-in-minival/sub-MonkeyL-held-in-minival_ses-20120928_behavior+ecephys.nwb	sub-MonkeyL-held-out-calib/sub-MonkeyL-held-out-calib_ses-20121004_behavior+ecephys.nwb	sub-MonkeyL-held-out-calib/sub-MonkeyL-held-out-calib_ses-20121017_behavior+ecephys.nwb	sub-MonkeyL-held-out-calib/sub-MonkeyL-held-out-calib_ses-20121024_behavior+ecephys.nwb
2025-12-29	146154764	160536654	156963052	136674200	1200940	1169880	1497438	1199166	5211844	5420428	7556190
2026-01-05	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2026-01-12	304745296	321073308	313926104	478359700	4203290	4094580	5241033	4197081	10423688	10840856	15112380
2026-01-19	73077382	80268327	78481526	68337100	600470	1169880	748719	599583	5211844	5420428	3778095
2026-01-26	365386910	321073308	392407630	273348400	2401880	2339760	3743595	2997915	10423688	10840856	18890475
2026-02-02	223938610	321073308	235444578	205011300	1801410	1754820	2246157	1798749	7817766	8130642	11334285
2026-02-09	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2026-02-16	16117016	14829636	14633112	16942444	2415810	2369220	2860557	2413149	8432166	6034828	0
2026-02-23	155582414	160536654	242399848	150382840	1200940	2442160	1497438	1199166	5211844	5420428	13678780
2026-03-02	336672658	365836336	156963052	322451812	3002350	1169880	2246157	2895515	11698410	5420428	11334285
2026-03-09	0	0	0	0	0	0	1395038	0	0	3986828	0
2026-03-16	73077382	80268327	78481526	92575060	2401880	584940	748719	599583	2605922	5420428	3778095
2026-03-23	331836354	342303470	324868444	273348400	4012420	2339760	2994876	2398332	15635532	10840856	15112380
2026-03-30	146154764	164970858	161659288	136674200	2401880	1169880	1497438	2997915	10423688	10840856	15112380
2026-04-06	0	0	0	0	0	1169880	748719	0	0	2710214	0
2026-04-13	219232146	240804981	235444578	205011300	1801410	4196980	2994876	1798749	7817766	8130642	18890475
2026-04-20	195989472	0	0	86143020	3002350	1169880	748719	599583	2605922	0	0
2026-04-27	174033538	236293218	165135700	151758292	5739290	5323380	7218552	6025464	14913490	13838372	21593555
2026-05-04	73077382	80268327	78481526	68337100	600470	584940	748719	599583	2605922	2710214	3778095
2026-05-11	306594368	332390340	366595130	289087572	6032560	6493260	7124913	6625047	21501002	22910512	37070367
2026-05-18	330558566	366563515	334262900	298639676	11464650	6800460	12088547	7531830	16727374	31226498	28923575
2026-05-25	533117942	337370348	326030632	332810668	8550770	9784080	8899572	8848213	21436374	18252236	25148568
2026-06-01	225787042	202118382	196841572	155885296	4831620	5250440	4888002	4226715	7306646	6886874	9429035
2026-06-08	166036316	92012911	126774338	77227248	10366110	8994340	9063692	6947064	9931454	13532056	12995783
2026-06-15	869935824	890332454	1044665772	787024984	9034910	10002900	10934016	10222545	27695466	31147784	42842318
2026-06-22	151038454	125476353	160111924	107441640	6926300	4431240	4637064	4519098	6016826	6121118	7737891
2026-06-29	1733444372	1283806562	1305173320	1269606776	10221920	10075840	12565773	9008562	33261132	32195470	48952844
2026-07-06	728041310	591298078	829198480	640341866	12651660	9549820	11446016	9535379	25107730	24818262	26417019
2026-07-13	1511022868	1112290182	622006432	550092140	6311900	7326480	5454594	5703447	26097746	26540926	31085669
