week_start	sub-Jaq/sub-Jaq_ses-jaq-01_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-02_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-03_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-01_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-02_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-05_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-06_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-01_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-02_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-03_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-04_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-05_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-01_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-01_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-03_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-04_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-05_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-06_behavior+ecephys.nwb
2024-09-02	80662317916	129800491980	182741881850	180140213710	167003386052	157985535244	76944950051	97880255752	105837875935	290998607044	81337335748	191138318128	256673564206	79386358676	613180742968	1002481370588	95708645700	94532782244	196868341564	84420545840	102161778396	144331181572
2024-09-09	113276167936	146674437972	226707682248	0	234130535552	221326476984	94252345711	137826896472	127152949493	0	81264068036	251766908184	0	120246221586	0	0	91415366668	131829534636	256344686892	78612069996	143021675296	0
2024-09-16	85756644	88252624	182968428142	86520326	95213264	92463756	82476898	86722956	90610466	82881388	87454592	112034532	87481804	85155656	82266844	82934504	82725468	86646592	114420464	87304756	83926664	80292628
2024-09-23	197812288	206764900	250313710	194043451	140173704	220454692	200558953	122444304	136029630	126595776	129662856	165056096	132375840	184752828	192118836	194265988	197327496	200817580	262337476	197515452	193920480	188828404
2024-10-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31247316	0	0	0	0	0	0	0
2024-10-21	177048820	178853880	191208386	172713665	194388680	193963932	187135495	176941312	174891515	182816512	178126792	202637364	184592908	172260440	170979580	173639448	176777296	181522508	195216308	173630056	178720500	179032800
2024-10-28	19052220	0	0	0	0	0	9105612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-11	67108864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	10022724	5109624	7795452	7205880	8778072	7860960	10022724	6485292	9957216	8647056	8385024	6550800	7860960	7860960	10153740	8254008	4389036	7860960	8057484	1926344968	8188500	4454544
2024-11-25	81534333072	0	0	0	20897052	0	0	0	0	0	0	0	0	0	86433724	0	0	0	0	0	0	16966572
