week_start	sub-BPAE-8bipolar-1Hz-03/sub-BPAE-8bipolar-1Hz-03_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-05/sub-BPAE-8bipolar-1Hz-05_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-12/sub-BPAE-8bipolar-1Hz-12_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-600ns-04/sub-BPAE-8bipolar-1Hz-600ns-04_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-600ns-07/sub-BPAE-8bipolar-1Hz-600ns-07_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-1Hz-600ns-11/sub-BPAE-8bipolar-1Hz-600ns-11_ses-Cross-directional-1Hz_image.nwb	sub-BPAE-8bipolar-770kHz-02/sub-BPAE-8bipolar-770kHz-02_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-08/sub-BPAE-8bipolar-770kHz-08_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-09/sub-BPAE-8bipolar-770kHz-09_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-10/sub-BPAE-8bipolar-770kHz-10_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-600ns-01/sub-BPAE-8bipolar-770kHz-600ns-01_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-600ns-06/sub-BPAE-8bipolar-770kHz-600ns-06_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8bipolar-770kHz-600ns-10/sub-BPAE-8bipolar-770kHz-600ns-10_ses-Cross-directional-770kHz_image.nwb	sub-BPAE-8unipolar-1Hz-04/sub-BPAE-8unipolar-1Hz-04_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-07/sub-BPAE-8unipolar-1Hz-07_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-11/sub-BPAE-8unipolar-1Hz-11_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-600ns-03/sub-BPAE-8unipolar-1Hz-600ns-03_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-600ns-08/sub-BPAE-8unipolar-1Hz-600ns-08_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-1Hz-600ns-09/sub-BPAE-8unipolar-1Hz-600ns-09_ses-Co-directional-1Hz_image.nwb	sub-BPAE-8unipolar-770kHz-01/sub-BPAE-8unipolar-770kHz-01_ses-Co-directional-770kHz_image.nwb	sub-BPAE-8unipolar-770kHz-06/sub-BPAE-8unipolar-770kHz-06_ses-Co-directional-770kHz_image.nwb	sub-BPAE-8unipolar-770kHz-600ns-02/sub-BPAE-8unipolar-770kHz-600ns-02_ses-Co-directional-770kHz_image.nwb	sub-BPAE-8unipolar-770kHz-600ns-05/sub-BPAE-8unipolar-770kHz-600ns-05_ses-Co-directional-770kHz_image.nwb	sub-BPAE-8unipolar-770kHz-600ns-12/sub-BPAE-8unipolar-770kHz-600ns-12_ses-Co-directional-770kHz_image.nwb
2024-05-06	0	0	0	0	0	0	401704341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-13	25548120	0	0	0	0	0	1377190816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	0	0	0	0	0	0	847259015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-27	0	0	0	0	0	0	509396569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	0	0	0	1123120236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-10	0	0	0	0	0	0	84624657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	16573524	8773373	8725198	9625434	6812832	7336896	18014700	2280488	6550800	6550800	2321586	2302725	6812832	12970584	0	6288768	13325873	6354276	0	9236628	8475281	0	6288768	0
2024-07-15	13691172	12643044	0	11267376	0	11529408	0	0	11136360	12774060	0	12118980	0	0	12381012	0	0	0	11463900	0	0	0	9564168	10022724
2024-08-05	0	0	0	0	0	0	0	0	0	7795452	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	2620320	0	0	1775815370	22141704	1801430556	0	10350264	10022724	6419784	20569512	14018712	18145716	0	20176464	8909088	0	10284756	0	0	7271388	0	0	0
2024-09-02	0	0	0	0	0	0	0	0	0	1044169044	0	4632513410	0	0	0	0	0	0	1147847637	1083746291	0	0	0	0
2024-09-09	0	0	0	0	0	0	1481345868	1399770152	0	0	0	0	922822602	1212006712	0	1194572624	0	0	0	0	0	0	0	425749889
2024-09-16	0	0	2305414	8708322	2385631	0	6443625	8700272	2322394	0	6448590	9115557	8479730	9569094	6354276	0	6447533	0	0	4716576	0	2136293	2300577	7447685
2024-09-23	0	0	0	0	0	0	9957216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10022724	0	0	0	0
2024-10-28	9367644	0	0	4389036	0	0	0	0	4127004	0	0	10153740	0	8254008	6812832	18407748	7860960	0	0	0	0	0	0	0
2024-11-11	0	0	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	17752668	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9498660	0	0	0	0	0	0	0
2025-02-17	0	0	0	0	0	1792193928	0	0	0	0	0	1813062405	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	345990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204800	0	0	0	0	0	0
2025-07-21	0	0	0	0	0	1058190728	0	0	0	0	0	734003200	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	1258291200	0	0	0	0	0	681574400	891289600	0	0	0	0	0	981398773	0	0	0	0	0	1310720000	0	971971233	838860800
2025-08-04	0	0	0	0	0	0	260397389	0	0	0	0	0	0	969740138	0	0	0	0	0	0	0	0	0	0
2025-08-11	585049990	0	1062808966	838860800	1234200287	0	0	0	0	0	681574400	0	681574400	0	0	734003200	917596305	419430400	1212140665	209715200	0	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	1214893526	0	0	0	0	0	0	0	0	0	0	0	1064474853	0	0
2025-08-25	0	0	0	1258291200	0	0	576716800	0	0	0	0	0	0	0	0	367001600	0	0	0	0	0	0	0	0
2025-09-01	471859200	0	0	0	0	0	0	0	0	0	0	0	0	0	681574400	0	0	0	0	0	0	0	22862292	0
2025-09-08	0	629145600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1222073673	0	0	905686285
2025-09-22	18399690	12076422	7812136	7819344	16079094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	15782729	0	0	0	0	0	0	0	0	0	0	0	23644056	27173990	20087460	25673541	32570044	34947951	0	0	0	10481280	0
2025-10-13	0	0	0	0	0	0	0	0	0	0	0	0	0	35805264	43146112	42105150	27307884	46090495	46967724	0	0	0	0	0
2025-10-20	0	0	0	0	0	0	0	0	0	0	0	0	0	11548356	12774060	22934802	5499315	16154006	16376622	0	0	0	0	0
2025-10-27	0	0	0	0	0	0	0	0	0	0	0	0	0	12708552	15769683	10160742	10021605	16940102	5862777	0	0	0	0	0
2025-11-03	0	0	0	0	0	0	0	0	0	0	0	0	0	72398790	37679373	49580064	54037386	41806005	70877388	0	0	0	0	0
2025-11-10	0	0	0	0	0	0	0	0	0	0	0	0	0	42947802	45957041	34819758	29994831	40404534	34620033	0	0	0	0	0
2025-11-17	0	0	0	0	0	0	0	0	0	0	0	0	0	20916000	22445584	36181422	9626319	23634486	17260413	0	0	0	0	0
2025-11-24	0	0	0	0	0	0	0	0	0	0	0	0	0	17596206	17085758	28589496	28423758	24290233	24499236	0	0	0	0	0
2025-12-01	0	0	0	0	0	0	0	0	0	0	0	0	0	20546232	26114032	28458480	13292529	26595581	32294688	0	0	0	0	0
2025-12-08	0	0	0	0	0	786432000	0	0	0	0	0	895558405	0	9693018	32998287	11936460	20829306	29242371	14148594	0	0	0	0	0
2025-12-15	1814167730	1779617513	1754668122	1765268582	1823298099	1806278148	5353699635	1760742440	3481849452	0	1819368186	1821447429	8254008	34017600	1803902021	3551422606	3643511978	49078060	3615315766	0	1753174505	1798478053	1820592725	1814728553
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	707788800	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	989449686	0	0	0	0	0	0	0	964689920	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	796880050	0	0	35479890	33891739	22424742	30259101	28377532	31770624	1041687691	0	0	933232640	0
2026-01-12	0	0	0	0	0	10485760	0	5282227320	0	0	0	1886066989	0	0	0	0	0	2228488941	3567229170	0	0	0	0	1807461645
2026-01-19	0	0	802160640	0	0	0	0	701680680	0	0	0	0	1027604480	4258020	1789566164	16456512	867783347	17581947	16245606	0	0	0	0	0
2026-01-26	0	0	0	0	935356127	0	713031680	0	755331034	0	0	0	0	850622314	785483536	871174728	13818831	16678070	18046887	0	0	1006632960	0	886046720
2026-02-02	844103680	838860800	0	707788800	0	0	0	0	0	0	0	0	0	20808264	4127004	8136996	7793214	14202001	8516040	0	613416960	0	0	0
2026-02-09	0	0	0	0	0	0	0	0	0	0	0	0	0	9978330	10671889	10291758	15719682	3641978	0	0	0	0	0	0
2026-02-16	10628848	4258020	204800	10096508	204800	10424048	10162016	204800	0	4462820	0	0	0	4127004	2352373	1841226	4127004	1820989	4520052	0	0	0	0	0
2026-02-23	0	0	4258020	0	0	0	6226425	0	6199430	1863126	0	0	1609358	10436886	13024262	10109238	16112730	14175531	11660046	0	0	0	10087641	2006285
2026-03-02	4651068	0	0	0	0	0	0	4389036	0	0	0	0	0	1855338	0	6164754	12577536	0	0	6290715	0	1665253	0	0
2026-03-09	0	0	0	1846170	0	0	0	0	0	0	1907890	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	11856948	0	0	0	0	11332884	8974596	0	4824312	4704746	3544434	7793214	20608550	9268815	0	0	0	8188500	0
2026-03-23	0	0	0	4266296	382687	0	0	0	0	0	0	0	0	0	2352373	0	0	589572	0	0	0	0	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	4061496	0	0	0	0	0	0	0	0	0	0	0	0
