week_start	CHANGES	LICENSE	README	dataset_description.json	derivatives/labels/dataset_description.json	derivatives/labels/sub-rat1/micr/sub-rat1_sample-data1_SEM_seg-axon-manual.png	derivatives/labels/sub-rat1/micr/sub-rat1_sample-data1_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat1/micr/sub-rat1_sample-data1_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat2/micr/sub-rat2_sample-data5_SEM_seg-axon-manual.png	derivatives/labels/sub-rat2/micr/sub-rat2_sample-data5_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat2/micr/sub-rat2_sample-data5_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data10_SEM_seg-axon-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data10_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data10_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data11_SEM_seg-axon-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data11_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data11_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data9_SEM_seg-axon-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data9_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat3/micr/sub-rat3_sample-data9_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat4/micr/sub-rat4_sample-data12_SEM_seg-axon-manual.png	derivatives/labels/sub-rat4/micr/sub-rat4_sample-data12_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat4/micr/sub-rat4_sample-data12_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat5/micr/sub-rat5_sample-data14_SEM_seg-axon-manual.png	derivatives/labels/sub-rat5/micr/sub-rat5_sample-data14_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat5/micr/sub-rat5_sample-data14_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat6/micr/sub-rat6_sample-data15_SEM_seg-axon-manual.png	derivatives/labels/sub-rat6/micr/sub-rat6_sample-data15_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat6/micr/sub-rat6_sample-data15_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM_seg-axon-manual.png	derivatives/labels/sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM_seg-myelin-manual.png	derivatives/labels/sub-rat8/micr/sub-rat8_sample-V915_SEM_seg-axon-manual.png	derivatives/labels/sub-rat8/micr/sub-rat8_sample-V915_SEM_seg-axonmyelin-manual.png	derivatives/labels/sub-rat8/micr/sub-rat8_sample-V915_SEM_seg-myelin-manual.png	participants.json	participants.tsv	samples.tsv	sub-rat1/micr/sub-rat1_sample-data1_SEM.json	sub-rat1/micr/sub-rat1_sample-data1_SEM.png	sub-rat2/micr/sub-rat2_sample-data5_SEM.json	sub-rat2/micr/sub-rat2_sample-data5_SEM.png	sub-rat3/micr/sub-rat3_SEM.json	sub-rat3/micr/sub-rat3_sample-data10_SEM.png	sub-rat3/micr/sub-rat3_sample-data11_SEM.png	sub-rat3/micr/sub-rat3_sample-data9_SEM.png	sub-rat4/micr/sub-rat4_sample-data12_SEM.png	sub-rat5/micr/sub-rat5_sample-data14_SEM.json	sub-rat5/micr/sub-rat5_sample-data14_SEM.png	sub-rat6/micr/sub-rat6_sample-data15_SEM.png	sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM.json	sub-rat7/micr/sub-rat7_sample-Maxo03img60_SEM.png	sub-rat8/micr/sub-rat8_sample-V915_SEM.json	sub-rat8/micr/sub-rat8_sample-V915_SEM.png
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391749	0	0	0	0	98	2297802	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	29321	0	0	0	53125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163464	156656	29129	0	0	0	0	0	0	0	0	0	0	0	0	0	480267	0	0	0	0	0	0	0
2026-01-05	467	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48383	0	0	0	0	0	0	316540	36643	0	0	0	0	0	0	0	58430	0	0	0	0	1004958	190	0	0	0	0	0	0	0	0	722477	0	0	0	912029
2026-01-12	1401	3195	1860	1497	666	224922	321162	407319	68799	153294	150858	87963	184800	172146	99279	159375	193842	88092	145149	168711	61074	132723	249738	656252	823782	949620	109929	189300	225294	249864	490392	469968	87387	183792	175290	1404	717	1011	564	3014874	570	5561418	1116	1222245	1254057	1175247	1440801	564	0	2167431	294	6893406	564	2736087
2026-01-19	467	2130	620	499	222	74974	107054	135773	22933	51098	100572	29321	61600	114764	33093	53125	64614	29364	48383	56237	20358	88482	41623	164063	549188	316540	36643	63100	75098	83288	163464	156656	29129	61264	58430	234	239	674	188	1004958	190	926903	372	407415	418019	391749	480267	564	2434671	722477	98	2297802	188	912029
2026-01-26	0	0	0	0	222	74974	0	135773	22933	0	50286	0	61600	0	0	0	64614	29364	0	56237	0	0	0	0	0	0	0	63100	0	83288	0	0	0	61264	0	0	239	0	188	0	0	0	0	407415	0	0	0	0	2434671	0	0	0	188	0
2026-03-09	0	0	0	0	0	0	214108	0	0	51098	0	0	61600	0	0	53125	0	0	48383	0	0	44241	0	0	274594	0	0	0	0	0	163464	0	0	61264	0	0	0	0	0	2009916	0	926903	0	407415	418019	391749	480267	0	2434671	0	0	2297802	0	912029
2026-03-16	0	0	0	998	222	0	214108	0	0	102196	0	58642	0	0	66186	53125	0	0	0	0	40716	0	83246	0	0	0	0	0	150196	0	0	313312	58258	0	0	468	0	0	0	0	0	1853806	372	0	836038	783498	0	0	0	0	196	4595604	0	0
2026-03-23	0	0	0	0	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	934	2130	2480	998	444	149948	214108	271546	45866	102196	100572	58642	123200	114764	66186	106250	129228	58728	96766	112474	40716	88482	83246	328126	549188	633080	73286	126200	150196	166576	490392	313312	87387	122528	175290	936	717	674	940	5024790	380	1853806	930	814830	836038	783498	960534	752	4869342	1444954	196	4595604	376	1824058
2026-04-06	467	1065	2480	998	222	74974	107054	135773	22933	51098	50286	29321	61600	57382	33093	53125	64614	29364	48383	56237	20358	44241	41623	164063	274594	316540	36643	63100	75098	166576	490392	313312	87387	245056	58430	468	239	337	188	2009916	570	926903	372	407415	418019	391749	480267	376	2434671	722477	98	2297802	188	912029
2026-04-13	467	2130	620	998	222	74974	107054	135773	22933	51098	50286	29321	61600	57382	33093	53125	64614	29364	48383	56237	20358	44241	41623	164063	274594	316540	36643	63100	75098	83288	326928	469968	58258	122528	116860	702	239	674	188	1004958	380	1853806	372	407415	418019	391749	960534	376	2434671	722477	98	2297802	188	912029
2026-04-20	934	2130	0	998	0	0	214108	0	0	102196	0	58642	0	0	66186	0	0	0	0	0	40716	0	83246	0	0	0	0	0	150196	166576	0	313312	58258	0	0	702	239	0	0	0	190	1853806	372	0	836038	783498	0	0	0	0	196	4595604	0	0
2026-04-27	934	0	1240	998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	239	674	0	0	0	1853806	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-04	0	0	0	0	0	0	107054	0	0	51098	0	0	61600	0	0	53125	0	0	48383	0	0	44241	0	0	274594	0	0	63100	0	0	163464	0	0	61264	0	0	0	0	0	1004958	0	926903	0	407415	418019	391749	480267	0	2434671	722477	0	2297802	0	912029
2026-05-11	934	2130	1240	998	444	149948	214108	271546	68799	102196	100572	58642	123200	114764	66186	106250	129228	88092	96766	168711	40716	132723	83246	328126	549188	633080	73286	126200	150196	166576	326928	313312	58258	122528	116860	468	478	674	376	2009916	380	1853806	744	814830	836038	783498	960534	752	4869342	1444954	196	4595604	564	1824058
2026-05-18	0	0	0	1497	0	149948	321162	135773	0	102196	0	146605	123200	114764	132372	106250	64614	0	0	56237	61074	0	124869	0	0	0	0	0	225294	0	0	313312	58258	0	0	702	0	0	0	0	0	2780709	930	407415	1672076	1175247	0	0	0	0	196	5709240	0	0
2026-05-25	934	2130	1240	1497	444	224922	428216	543092	45866	102196	100572	58642	184800	172146	99279	159375	258456	146820	241915	224948	40716	88482	83246	328126	549188	633080	73286	126200	150196	166576	326928	313312	58258	122528	116860	702	956	1011	376	2009916	380	1853806	930	1629660	1672076	1566996	960534	752	4869342	1444954	196	4595604	376	1824058
2026-06-01	467	2130	1240	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926903	0	0	0	0	0	0	0	0	0	0	0	0
2026-06-08	467	2130	1860	499	222	74974	107054	135773	22933	51098	50286	29321	61600	57382	33093	53125	64614	29364	48383	112474	20358	44241	41623	164063	274594	316540	36643	63100	75098	166576	163464	313312	29129	61264	58430	234	239	337	188	1004958	380	926903	372	407415	418019	391749	480267	376	6179502	722477	98	6893406	188	912029
2026-06-15	0	0	0	0	0	0	107054	0	0	0	0	0	0	0	0	0	64614	29364	0	0	0	0	0	164063	274594	316540	0	0	0	83288	0	0	0	0	0	0	239	337	0	0	190	0	0	0	0	0	0	0	0	0	0	0	188	912029
2026-06-22	467	1065	620	1497	222	74974	321162	135773	22933	153294	50286	87963	61600	57382	99279	53125	64614	29364	48383	56237	61074	44241	124869	164063	274594	316540	36643	63100	225294	83288	163464	313312	87387	61264	58430	702	239	337	188	1004958	190	2780709	744	407415	1254057	1175247	480267	376	2434671	722477	294	5114646	188	912029
