week_start	sub-Rat1/sub-Rat1_ses-20200921T124059_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T124159_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T124259_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T131723_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T131823_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T131923_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T153806_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T153906_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T154006_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T155423_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T155523_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T155623_ecephys.nwb	sub-San2/sub-San2_ses-20190904T115428_ecephys.nwb	sub-San2/sub-San2_ses-20190904T115958_ecephys.nwb	sub-San4/sub-San4_ses-20191028T151843_ecephys.nwb	sub-San4/sub-San4_ses-20191107T150118_ecephys.nwb	sub-San4/sub-San4_ses-20191107T150515_ecephys.nwb	sub-San4/sub-San4_ses-20191113T154743_ecephys.nwb	sub-San4/sub-San4_ses-20191127T114535_ecephys.nwb	sub-San4/sub-San4_ses-20191127T122703_ecephys.nwb	sub-San4/sub-San4_ses-20191216T144004_ecephys.nwb	sub-San4/sub-San4_ses-20200106T151106_ecephys.nwb	sub-San4/sub-San4_ses-20200106T153513_ecephys.nwb	sub-San4/sub-San4_ses-20200204T141344_ecephys.nwb	sub-San4/sub-San4_ses-20200204T141717_ecephys.nwb	sub-San4/sub-San4_ses-20200218T182812_ecephys.nwb	sub-San4/sub-San4_ses-20200218T183658_ecephys.nwb	sub-San4/sub-San4_ses-20200302T142114_ecephys.nwb	sub-San4/sub-San4_ses-20200302T142549_ecephys.nwb	sub-San4/sub-San4_ses-20200430T084358_ecephys.nwb	sub-San4/sub-San4_ses-20200430T084710_ecephys.nwb	sub-San4/sub-San4_ses-20200430T090906_ecephys.nwb	sub-San6/sub-San6_ses-20200204T144357_ecephys.nwb	sub-San6/sub-San6_ses-20200204T145647_ecephys.nwb	sub-San6/sub-San6_ses-20200204T150032_ecephys.nwb	sub-San6/sub-San6_ses-20200218T175723_ecephys.nwb	sub-San6/sub-San6_ses-20200218T180538_ecephys.nwb	sub-San6/sub-San6_ses-20200218T181019_ecephys.nwb	sub-San6/sub-San6_ses-20200218T181402_ecephys.nwb	sub-San6/sub-San6_ses-20200302T151055_ecephys.nwb	sub-San6/sub-San6_ses-20200302T151530_ecephys.nwb	sub-San6/sub-San6_ses-20200302T152233_ecephys.nwb
2023-04-17	72320832	0	0	0	73106928	75334200	0	0	34981272	0	0	0	0	122893008	0	0	0	0	0	130426428	113918412	0	60725916	0	0	0	46707204	0	61774044	0	0	0	0	0	0	0	0	0	0	66097572	0	61708536
2023-04-24	0	74024040	0	0	0	0	23779404	0	0	55026720	59022708	125775360	48279396	0	53651052	0	45266028	37863624	69372972	0	0	0	0	0	117455844	0	0	0	0	0	36225924	0	9105612	0	0	0	0	0	0	0	107629644	0
2023-05-01	0	0	36487956	108677772	0	0	0	51947844	57122976	0	54961212	0	0	0	0	46510680	0	0	62887680	0	0	47427792	0	34915764	0	78740616	0	100096224	0	54175116	0	56533404	102061464	8516040	37732608	135798084	41270040	33343572	84374304	0	0	0
2023-05-08	0	0	0	81688476	0	0	0	0	0	0	0	0	171368928	129836856	113044467	0	77495964	0	0	0	0	40483944	63804792	140711184	0	72517356	0	0	0	0	0	71731260	114114936	65573508	57974580	0	0	0	0	0	149816796	0
2023-05-15	0	115556112	0	0	0	64590888	58629660	60070836	137894340	0	40025388	45790092	0	0	58171104	85749972	0	0	139925088	0	0	0	0	0	55681800	0	36749988	561397744	0	127937124	0	0	0	0	89942484	0	0	71272704	0	0	0	41925120
2023-05-22	36553464	0	46838220	0	57974580	41139024	0	0	0	0	86405052	88894356	73893024	0	0	0	0	0	0	0	0	84374304	0	0	0	69503988	70814148	970736	0	88828848	0	68652384	62363616	39566832	0	0	109332852	0	57516024	39959880	41204532	0
2023-05-29	0	0	0	62036076	103044084	0	0	27775392	0	86994624	0	0	0	197048064	55878324	41990628	73303452	0	99375636	51292764	122630976	0	33343572	0	81753984	41925120	0	977632	0	0	0	0	82081524	0	0	0	0	0	0	0	53913084	0
2023-06-05	77954520	75661740	31050792	0	0	0	0	0	40287420	29347584	0	31574856	91580184	0	0	0	0	34915764	0	0	0	0	0	0	71534736	0	32295444	988152	0	34457208	9433152	78151044	0	0	61118964	0	0	0	0	77495964	0	0
2023-06-12	0	0	0	0	0	156302088	59612280	0	0	0	0	0	0	0	0	0	0	0	0	85684464	0	71469228	22469244	6419784	0	0	0	1007584	52799448	0	0	0	0	64328856	0	112346220	78806124	12708552	119879640	0	0	107040072
2023-06-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32547496	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	0	0	0	0	40483944	0	0	0	38846244	0	0	17949192	31574856	0	97344888	0	0	0	34915764	0	0	0	0	71534736	0	126722736	55288752	0	43169772	65835540	10022724	0	73172436	0	79199172	0	0	0	0	127282044
2023-07-03	12905076	0	35898384	61839552	0	0	0	0	22207212	0	0	113132316	58891692	0	0	38518704	0	49524048	0	63477252	0	0	121910388	85029384	114901032	0	29020044	11483064	0	102257988	0	0	0	79657728	0	0	0	0	89614944	0	105271356	0
2023-07-10	0	0	0	10284756	113132316	0	0	0	71010672	171434436	0	0	0	0	0	0	0	32754000	0	0	0	42383676	0	25089564	75923772	0	0	24164912	0	0	0	0	0	0	0	94986600	70421100	115294080	0	0	57188484	0
2023-07-17	0	0	27447852	0	0	0	109070820	43038756	55485276	0	0	65770032	47296776	113656380	0	58302120	100947828	0	0	0	0	0	0	0	0	61184472	39370308	1006752	0	35636352	0	0	0	85094892	0	0	0	0	45593568	39239292	0	99637668
2023-07-24	0	0	45003996	61118964	60201852	0	0	0	79199172	0	0	0	124858248	101471892	0	0	66949176	0	0	0	102847560	72975912	0	113983920	40811484	36160416	0	1058376	0	0	61512012	0	0	0	88304784	0	0	31312824	0	186566784	0	0
2023-07-31	16442508	12839568	9236628	0	0	9957216	0	6354276	0	0	0	0	21028068	106345201	119398743	0	6354276	0	10677804	0	0	9302136	9433152	6354276	10088232	0	6419784	1129504	12774060	0	17490636	0	0	10219248	0	0	0	0	0	0	0	0
2023-08-07	0	10546788	25089564	0	0	0	4389036	0	69110940	0	0	0	0	0	64787412	0	0	0	0	43366296	0	0	0	21945180	0	0	0	51367372	90401040	40942500	0	0	66425112	0	0	0	69176448	31836888	0	0	0	0
2023-08-14	0	96034728	77233932	0	0	157415724	26989296	0	0	0	82278048	0	0	0	0	79657728	0	0	0	35308812	0	0	0	0	0	0	0	58840988	24172452	50375652	0	0	0	178771332	0	0	0	0	0	127544076	0	72255324
2023-08-21	44021376	67342224	0	0	26661756	0	0	0	0	98982588	98786064	19914432	0	30002664	76251312	0	0	57712548	0	0	56074848	0	0	0	0	0	81164412	932000	0	0	0	24631008	0	88108260	0	0	23844912	0	0	82802112	55550784	0
2023-08-28	0	0	0	78675108	0	0	0	46641696	74089548	0	0	0	98982588	106345201	339133401	0	14411760	0	69307464	50441160	0	85553448	91056120	0	0	44217900	0	1021528	87584196	0	164425080	0	0	0	46641696	47427792	0	81426444	0	0	0	0
2023-09-04	0	0	0	0	0	117717876	0	36684480	0	0	0	0	0	35439828	54437148	0	0	0	0	0	0	0	0	73762008	81557460	46379664	0	65295172	0	110577504	0	0	62756664	0	0	0	0	97148364	38649720	0	0	186370260
2023-09-11	0	56009340	0	0	80050776	0	0	54371640	0	0	0	0	21879672	80050776	0	0	0	80640348	0	0	0	0	0	0	0	212180412	0	1156536	41270040	0	0	0	60594900	0	0	0	0	0	0	0	0	0
2023-09-18	0	0	0	118634988	18997320	0	37405068	0	81295428	148179096	0	0	0	49524048	0	0	0	181064112	0	0	0	0	0	56074848	0	87387672	0	53118728	0	0	0	0	0	0	0	0	59743296	57909072	0	0	0	0
2023-09-25	29675124	0	0	0	0	52668432	0	0	0	0	0	0	72517356	106345201	113044467	0	0	0	77561472	31574856	0	0	0	0	0	0	0	843176	55223244	67407732	0	0	0	0	0	0	0	125382312	0	0	9105612	70617624
2023-10-02	0	91252644	42645708	0	0	0	23320848	87322164	79133664	64066824	0	0	67342224	0	0	0	0	108350232	0	0	0	0	0	0	0	53389020	0	84016	0	0	64066824	136125624	0	0	0	0	0	51816828	0	0	56860944	26203200
2023-10-09	0	0	0	0	67669764	60070836	0	0	0	46183140	0	0	0	0	0	51292764	50768700	54371640	0	45397044	45790092	106450500	0	0	0	0	89614944	75434784	16901064	77037408	0	0	0	0	0	97868952	0	107040072	0	0	0	0
2023-10-16	68652384	0	0	0	0	0	0	0	0	0	8057484	75792756	0	74810136	64787412	0	0	0	0	0	0	0	52013352	26006676	25351596	0	0	117944	0	0	0	0	0	59415756	29806140	0	0	0	72517356	0	0	0
2023-10-23	0	0	0	3514826752	0	0	0	0	0	0	0	0	0	212690402	113044467	0	0	0	0	0	0	0	0	0	0	0	0	117944	0	0	0	32950524	0	0	0	0	0	0	0	64656396	0	0
2023-10-30	0	0	0	52799448	0	0	0	41943040	0	48868968	0	0	0	106345201	16704540	0	0	0	99244620	0	0	0	49982604	0	94397028	0	0	162400528	134217728	0	0	0	0	0	0	0	45003996	0	78413076	46510680	44741964	8647056
2023-11-06	0	0	4626863523	0	4433748584	4479828236	0	6986181834	17359620	0	0	0	103149575	188492233	113044467	211604672	196787782	0	261895749	265935252	277318234	256831014	0	229969202	227684683	314261901	261821711	237381740	231163300	228489592	245094998	225453116	332875218	73041420	292687403	560493788	0	0	0	0	232435157	229932524
2023-11-13	54240624	89352912	0	0	0	0	0	0	0	0	56402388	0	0	0	113044467	9826200	0	0	0	0	35112288	0	0	26268708	0	66097572	0	0	99572160	0	0	0	0	0	0	24958548	0	0	0	0	0	0
2023-11-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57071694	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	26653594	31129835	22005847	24486504	22546552	21376144	25765031	21180790	24839138	22552092	21214534	14020615	0	18672627	22860992	13286982	11930456	12950217	14172876	0	15728640	21779599	15011122	12726603	20660621	20649231	17066108	16205220	13531512	0	13786116	0	0	0	25720028	0	19267557	17874332	23483958	17477077	20217324
2023-12-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	0	0	0	0	0	0	106345201	226088934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	3296440	9491784	14695532	8021992	3072000	6878340	7424144	6833872	4701424	6485292	1621532	3412506	6550800	124402538	129725579	3275400	8778072	4585560	5773680	8009664	6993504	4426628	2355200	10439584	8996690	8762220	15115634	9286284	14731724	12262760	15032544	9082184	12021768	12066236	7543550	5921248	1024000	6919720	7190028	7272088	3980136	7075564
2024-02-05	15590904	12839568	67473240	0	45855600	53389020	51554796	61839552	18080208	36553464	36881004	69110940	14542776	52209876	17228604	17621652	0	28954536	65508000	23713896	35243304	32360952	35767368	26661756	31181808	34653732	36094908	27447852	8516040	114376968	59743296	26727264	8319516	46838220	56860944	15328872	27840900	32426460	21421116	60332868	77889012	18735288
2024-03-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74220564	0	0	0	0	0	0	0	0	0	15728640	0	44741964	0	0	0	0	64852920	0	0	0	0	69503988	0	48344904
2024-03-11	131016	7964060	7992676	1871816	5371656	75371792	8189200	89615644	7955784	9171120	0	2161764	10743312	15529149	125809164	61965488	84151688	19575725	8654333	93617377	3390564	55623276	18934308	21963584	32288922	73047823	18932118	105273852	11390816	10618634	17703624	3275400	1638400	12003224	11493776	14046736	59452756	20142556	60662904	11270572	84557472	7796152
2024-03-18	0	0	10022724	0	0	189275544	0	0	41401056	0	0	66294096	0	0	0	0	0	0	125120280	0	0	7336896	0	0	0	0	0	0	0	0	0	48017364	0	0	0	0	0	0	0	0	0	0
2024-03-25	12839568	103940296	4934140	14580368	9286984	8180924	12074512	7423444	0	9082184	7685476	7750984	5413036	1024000	8545356	47110528	7828366	184131728	6354276	6699504	14395908	8451232	95816348	7086770	1024000	10040676	2032911	7648584	7853384	7443784	15409986	14601408	0	16746620	6681816	124706172	13438816	7485164	2530104	14543476	1228800	3276800
2024-04-01	8209540	0	178973692	0	7787876	1433600	1331200	8209540	8930128	1331200	1331200	0	2161764	1024000	7890276	1126400	2817164	6419784	921600	8140680	1228800	7435508	6419784	152312022	0	6419784	8452695	7583076	11783864	0	1587798	6354276	0	10567828	7258007	2252800	0	11505280	1265052	0	107747024	13756680
2024-04-08	0	0	0	197011440	0	0	51223956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100890136	0	0	0	0	38518704	184268480	79374092	0	0	0	0	0	105351411	0	0	0	0	0	0	0
2024-04-15	0	0	0	0	0	0	0	0	0	0	91093752	0	0	95142576	189649452	0	0	0	0	0	0	0	0	0	0	320804965	0	0	0	0	0	32067648	115713276	0	0	0	104951548	0	0	0	0	145419544
2024-04-22	1462216	1536000	14956864	6419784	121525856	7853384	0	94483576	6419784	98189656	6768364	0	5413036	7967848	6747324	12839568	15656412	7348412	161717952	83064144	0	5208236	7640308	7152278	1024000	1843200	2032911	1228800	131016	8491912	101178494	8086800	1769416	6681816	7402404	2161764	1740800	97051848	75465216	1638400	7583076	1638400
2024-04-29	128058888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94724568	0	0	0	0	0	0	0	196834815	0	0	0	0	164811276	0	0	0	105880985	139879716	0	0	0	0	0	0	0
2024-05-06	0	0	135389832	0	0	224092384	0	0	0	23517372	0	112973424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117441156	161459136	0	0	0	0	0	0	0	0	0	92672848	0	69957220	0
2024-05-13	0	0	0	89218980	0	0	0	76316820	0	0	127429152	0	0	0	0	0	0	0	0	0	51685812	0	0	0	0	0	0	0	0	0	48039564	87702564	0	0	0	0	0	0	0	31116300	0	0
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	0	129561272	0	174643200	0	0	0	0	0	60387564	95667764	0	0	0	140752096	0	89147456	0	0	0	0	168947434	0	0	0	0	0	0	0	0
2024-05-27	0	0	0	0	0	0	0	0	0	0	0	0	89203416	0	0	0	0	0	116450368	0	0	0	0	0	0	287820996	0	0	0	87996360	0	0	0	73718264	19259352	0	0	104413336	0	0	0	0
2024-06-03	110296968	0	0	54861492	0	12381012	0	0	72423972	0	0	0	0	152023324	0	0	0	0	112863264	0	0	66951036	0	0	0	0	117228388	0	0	0	0	0	0	0	0	0	0	0	0	150524748	0	0
2024-06-10	0	0	0	0	36453744	0	0	0	246737362	0	0	0	23451864	0	0	0	0	0	0	13822188	0	0	0	0	12643044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	6761987222	6616308	6878340	1703936	4433748584	7927196	6813504	8189172	7927140	0	9499724	6354276	5437612	0	7861520	12185104	7861464	8058044	0	1310720	7795900	6616308	8254792	6485740	7205880	0	8189228	13298124	0	7861408	7720918	7730504	8254792	3144384	0	4521060	8385864	1441765	7074864	7861576	7599376	6419784
2024-07-22	12643044	10022724	12118980	0	12446520	8385024	8843580	9236628	12446520	10415772	0	10350264	4389036	11594916	10219248	16770048	11594916	0	0	0	13363632	6616308	11856948	10481280	7402404	0	4061496	12184488	11529408	0	11987964	10088232	5568180	0	0	0	4389036	13756680	0	0	0	0
2024-08-26	16770048	0	9957216	0	25810152	21617640	131016	13232616	9433152	15525396	10481280	10481280	6550800	10612296	15590904	10153740	0	17490636	4389036	23386356	11791440	6616308	11594916	244249946	19783416	18538764	6616308	24375696	24041436	20045448	11463900	16704540	14084220	6354276	9040104	2161764	15852936	7467912	9957216	12249996	13691172	9236628
2024-09-02	0	0	0	13788545939	0	0	4058552776	3986414058	0	0	0	0	0	0	0	0	0	200674136	8516040	0	215258292	0	0	286512080	0	0	0	0	0	0	0	192044036	0	0	0	560493788	0	0	0	0	0	183943676
2024-09-09	0	3853530466	4271620783	0	0	0	0	47185920	0	3996334406	0	4145714982	0	0	100843692	178257920	0	0	0	121356656	0	228701202	0	0	104857600	8188500	257545771	0	0	31457280	0	0	0	0	31457280	306628412	0	0	0	154555958	0	0
2024-09-16	0	7141100	1703936	10155196	1703936	9106340	7010028	6354276	8385696	8385696	9303200	1572864	1048576	26453877	1310720	1441792	13625664	0	6485292	1310720	23035642	8385584	12447304	7926916	7992480	9106340	8123720	18245756	1966024	1048576	19651158	9040664	23629510	7861464	1477171	4521060	9040944	0	1752476	6616308	1048576	8778968
2024-09-23	106616576	26653594	31129835	22005847	24486504	22546552	21376144	25765031	21180790	24839138	22552092	10728774	42061845	68864964	18672627	45721984	13286982	34346672	12950217	14172876	60696936	15728640	11293839	0	0	20660621	0	66926964	16205220	13531512	78604632	13786116	81112146	70374996	55716044	25720028	83134096	77070228	71497328	70451874	52431231	60651972
2024-10-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127004
2024-10-14	0	0	0	7729944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12315504	0	0	0	0	0	0	0	0	0
2024-10-21	26654144	38379526	41218067	22005847	24486504	22546552	25765180	39783743	32317150	36565070	32705832	29075494	18409651	27173457	26533587	35897084	21147942	22018688	12950217	21182232	15174234	29223288	31933339	15011122	12726603	20660621	34405911	27285356	16205220	33576960	30197946	22891728	21794502	28664601	34498523	27881792	22094244	24049641	26259356	39926466	24093385	32794860
2024-11-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7336896	0	0	0	0	0	0	0	0	4127004	0
2024-11-18	7860960	6092244	15721920	0	9891708	10088232	4389036	10153740	8319516	10022724	7926468	9760692	4389036	8188500	0	8254008	9957216	8385024	10088232	7860960	6681816	6616308	7860960	8188500	0	10219248	0	4454544	0	6681816	0	7860960	0	6550800	4389036	4389036	0	10284756	0	0	8385024	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15656412	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	37528916	4525044634	0	0	0	1782765124	4676322344	4545127591	4587573166	4580602642	4567992660	4580415366	103149575	106345201	0	211604672	196787782	0	201693897	202916556	168266330	0	215766159	397741362	227684683	314261901	261821711	237267068	231163300	0	0	192044036	0	0	0	560493788	0	405536714	0	238442038	232435157	236941880
2024-12-16	1070372244	0	0	0	0	458334984	0	0	0	0	0	0	103149575	106345201	0	211604672	0	200674136	201693897	0	277318234	220212042	0	0	0	0	0	237267068	0	0	245094998	0	289181382	227308949	218401331	409728048	258023844	244711397	248561052	238442038	232435157	229932524
2025-02-10	19848924	13953204	14870316	12512028	9367644	14739300	9302136	16901064	11725932	0	9891708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	32768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	24576	0	0	0	0	0	0	4520052	0	0	4127004	512000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512000	0	0	0	0	0	0	0	0
2025-03-17	57344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-24	24576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-31	40960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18145716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-07	40960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-14	32768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-21	6998382064	4525044634	4524277995	4446996567	4433748584	4437051512	0	0	0	0	4547157532	0	103149575	106345201	113044467	211604672	196787782	200674136	201693897	202916556	277318234	220212042	215766159	229969202	227684683	314261901	261821711	237267068	231163300	228489592	245094998	192044036	289181382	0	218401331	560493788	0	0	0	0	0	229932524
2025-04-28	40960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	0	0	0	0	0	0	0	0	0	0	0	0	4772020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	1318143	372724	809710	1315688	1403379	1487055	571806	639291	542268	650957	346399	1030022	201923	1155429	478088	737332	808226	288161	372623	291026	1210153	599709	401312	647277	449938	410668	596701	5482639	832952	640429	1238027	800724	1431616	1174551	951664	609323	776410	772801	949003	659202	627614	519560
