week_start	sub-Rat10/sub-Rat10_ses-20221215T120000_behavior.nwb	sub-Rat2/sub-Rat2_ses-20220429T120000_behavior.nwb	sub-Rat3/sub-Rat3_ses-20220530T120000_behavior.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-10z48pa_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-1vnvq86_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-1xl94wt_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-1xl94wt_image/c8a137e4-5d06-4a5c-83a4-e95c81b74a52_external_file_0.avi	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-n5g9s7_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-ogozfz_image.nwb	sub-Rat332/sub-Rat332_ses-20220922T000000_obj-v56xyv_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1fu2bxj_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1j0tzjv_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1j0tzjv_image/a6f023a7-d247-4b8f-8954-9035c900dde7_external_file_0.avi	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1n298b2_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-1nzpgz3_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-8w20wz_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-l5a7yv_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-nh21tz_image.nwb	sub-Rat335/sub-Rat335_ses-20220922T000000_obj-rufbb4_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-11qxj7t_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-11qxj7t_image/0d53869e-fafd-4f4d-a6b2-93df280fc4f6_external_file_0.avi	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-1egiah6_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-1il4fcc_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-ocvr7w_image.nwb	sub-Rat335/sub-Rat335_ses-20220926T000000_obj-wl3kex_image.nwb	sub-Rat4/sub-Rat4_ses-20220530T120000_behavior.nwb	sub-Rat5/sub-Rat5_ses-20220810T120000_behavior.nwb	sub-Rat7/sub-Rat7_ses-20221220T120000_behavior.nwb	sub-Rat8/sub-Rat8_ses-20221220T120000_behavior.nwb	sub-Rat9/sub-Rat9_ses-20221215T120000_behavior.nwb
2024-03-25	1888800	2250672	2120304	1368512	1368512	1368512	0	1368512	1368512	1368512	1368512	1562464	0	1368512	1368512	1368512	1368512	1368512	1368512	1368512	0	1368512	1368512	1368512	1368512	2345184	1982928	2344080	2145696	2057760
2024-04-01	629600	750224	706768	387904	387904	387904	0	387904	387904	387904	387904	387904	0	387904	387904	387904	387904	387904	387904	387904	0	387904	387904	387904	387904	781728	660976	781360	715232	685920
2024-04-15	445816	750224	706768	387904	387904	387904	0	387904	387904	387904	387904	387904	0	387904	387904	387904	387904	387904	324968	387904	0	387904	387904	387904	387904	781728	660976	781360	715232	685920
2024-06-03	0	375112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-10	314800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	944400	750224	706768	387904	387904	387904	0	387904	581856	387904	387904	387904	0	387904	387904	387904	387904	387904	387904	387904	0	387904	387904	387904	387904	781728	660976	781360	715232	685920
2024-07-22	314800	375112	353384	193952	193952	193952	55288752	193952	193952	193952	193952	193952	68783400	193952	193952	193952	193952	193952	193952	193952	50572176	193952	193952	193952	193952	390864	330488	390680	357616	342960
2024-07-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	629600	750224	706768	581856	387904	387904	38649720	387904	387904	387904	387904	387904	70879656	387904	387904	387904	387904	387904	387904	387904	60725916	387904	387904	387904	581856	781728	991464	1172040	715232	473976
2024-09-02	314800	0	0	0	0	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	969760	0	0	1172040	0	0
2024-09-09	0	1125336	0	581856	193952	0	12374896696	0	0	193952	193952	0	13286317848	0	1163712	0	581856	0	0	193952	1549305188	193952	0	775808	0	1172592	0	1172040	0	0
2024-09-16	629600	750224	706768	387904	387904	387904	0	387904	387904	387904	387904	387904	0	387904	387904	387904	387904	387904	387904	387904	0	387904	387904	387904	387904	781728	660976	781360	715232	685920
2024-09-23	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	193952	0	0	0	0	0	7860960	193952	0	0	0	0	0	0	0	0
2024-10-14	0	0	0	0	0	0	387266968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-21	0	0	0	0	0	0	0	0	0	0	0	0	797789276	193952	0	193952	193952	0	0	193952	485885180	0	0	0	0	0	0	0	0	0
2024-10-28	0	0	0	193952	193952	193952	38977260	193952	193952	193952	193952	193952	54568164	193952	193952	193952	193952	193952	193952	193952	34260684	193952	193952	193952	193952	0	0	0	0	0
2024-11-04	314800	375112	353384	0	0	0	0	0	0	0	0	193952	8057484	0	0	0	0	0	0	0	0	0	0	0	0	390864	330488	390680	357616	342960
2024-11-11	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	0	0	0	193952	0	0	0	193952	0	0	0	0	0	0	0
2024-11-18	1259200	1500448	1413536	0	0	387904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	0	0
2024-11-25	0	375112	0	193952	0	0	0	0	0	0	0	0	9957216	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	0	0	0	0	0	0	12774060	0	0	0	0	0	14149728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	0	421240	24480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36240	39504	80016	63048	46920
2025-07-14	0	46128	24480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36240	39504	80016	63048	46920
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330488	0	0	0
2025-07-28	0	375112	0	0	0	0	8955730944	0	0	0	0	0	8955730944	193952	193952	193952	193952	193952	0	0	0	0	193952	0	193952	390864	0	390680	357616	0
2025-08-04	314800	0	0	2715328	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	0	0	0
2025-08-11	0	0	353384	193952	0	0	0	193952	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	0	342960
2025-08-18	0	0	0	775808	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	1296039936	0	0	0	0	0	0	0	0	0
2025-08-25	0	375112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193952	0	0	0	0	357616	342960
2025-09-01	0	0	0	0	0	193952	0	0	193952	0	0	193952	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	387904	581856	193952	193952	0	0	0	0	0	0	0	193952	193952	0	0	0	0	0	390864	0	0	0	685920
2025-09-15	0	0	0	0	0	0	21093576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	0	0	0	0	0	0	20766036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	0	0	387904	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	775808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	0	0	0	0	0	0	19979940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	0	0	0	0	0	120731244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330488	0	0	0
2025-12-15	1259200	1500448	1413536	969760	775808	775808	53830158360	775808	775808	775808	775808	775808	71753542704	775808	775808	775808	775808	775808	775808	775808	13045232220	775808	775808	775808	969760	1563456	1321952	1953400	1430464	1371840
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193952	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	314800	0	0	0	0	0	0	193952	0	0	0	0	0	193952	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193952	193952	0	0	0	0	0	0	0
2026-01-12	944400	1125336	1413536	581856	581856	581856	0	581856	581856	581856	581856	581856	0	581856	581856	581856	581856	581856	581856	581856	0	581856	581856	581856	581856	1172592	991464	1172040	1072848	1028880
2026-01-19	0	0	0	0	0	0	8955730944	0	193952	0	0	0	0	0	0	0	193952	0	0	193952	1296039936	0	0	193952	0	0	0	0	0	0
2026-01-26	0	375112	0	0	0	193952	0	0	0	193952	193952	193952	8955730944	0	0	0	0	0	193952	0	0	0	0	0	0	390864	0	0	357616	342960
2026-02-16	1558800	1364624	1674552	592704	592704	592704	622592	592704	592704	592704	592704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330488	0	357616	342960
2026-02-23	0	0	0	387904	0	387904	0	387904	0	0	387904	0	0	0	387904	387904	387904	387904	0	0	0	0	0	0	387904	0	0	0	0	0
2026-03-02	629600	750224	0	193952	387904	0	229376	0	387904	0	0	387904	0	387904	0	0	0	0	387904	387904	0	387904	387904	0	0	781728	660976	781360	715232	685920
2026-03-09	0	0	1413536	0	0	0	510288256	0	0	387904	0	0	566079632	0	0	387904	0	0	0	0	312567572	0	0	387904	0	0	0	0	0	0
2026-03-16	629600	0	0	387904	0	0	341037024	387904	0	0	0	0	518062268	387904	387904	387904	0	387904	0	0	181880212	0	0	0	387904	0	660976	781360	0	0
2026-03-23	0	0	0	296352	296352	296352	0	0	0	0	0	0	31967904	0	0	0	193952	0	0	0	9695184	0	193952	0	0	390864	0	0	0	0
2026-03-30	0	375112	0	387904	387904	387904	9957216	193952	193952	193952	0	0	5175132	193952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	0	0	0	1185408	0	0	22665768	0	0	193952	0	0	1048128	0	0	193952	0	193952	0	0	0	0	0	0	193952	0	660976	781360	715232	0
2026-04-13	0	0	0	0	0	0	11529408	193952	193952	0	0	0	27054804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	629600	0	0	969760	387904	387904	22993308	581856	581856	387904	0	0	16835556	387904	387904	387904	0	387904	0	0	13822188	193952	0	0	387904	0	660976	781360	0	0
2026-04-27	0	0	0	0	0	0	21093576	0	0	0	0	0	73893024	0	0	0	0	0	0	0	20176464	0	0	0	0	0	0	0	0	0
2026-05-11	314800	375112	706768	0	0	0	0	387904	0	387904	193952	0	0	0	0	0	0	387904	0	0	0	0	0	0	0	0	0	0	715232	0
2026-05-18	1873600	1364624	1321168	1950368	786656	980608	1834224	786656	592704	592704	980608	980608	0	980608	980608	980608	592704	980608	980608	1174560	0	592704	980608	980608	1174560	1396128	2927816	2958480	1329632	1300320
2026-05-25	2495600	3000896	2120304	889056	889056	889056	1048128	889056	1276960	889056	0	889056	2882352	1276960	193952	387904	1276960	0	889056	889056	0	387904	889056	889056	889056	2345184	0	3125440	2145696	0
2026-06-01	0	0	353384	592704	387904	0	0	0	0	0	0	0	0	0	387904	0	0	0	193952	0	0	0	0	387904	387904	781728	0	0	357616	1028880
2026-06-08	622000	1125336	706768	592704	592704	592704	0	592704	296352	296352	296352	296352	6485292	296352	296352	296352	0	0	0	0	3930480	0	0	0	0	0	0	1562720	1072848	0
2026-06-15	629600	375112	706768	775808	0	387904	4061496	0	0	775808	1163712	387904	3275400	969760	0	775808	581856	0	387904	0	0	0	581856	0	0	0	0	0	357616	685920
2026-06-22	629600	0	0	1357664	193952	1163712	0	193952	387904	387904	0	0	0	387904	387904	1745568	387904	775808	0	0	0	0	0	0	387904	0	660976	781360	0	685920
2026-06-29	0	0	0	193952	387904	0	1113636	0	0	0	0	0	0	0	0	387904	0	0	0	0	0	0	0	0	193952	0	330488	390680	0	685920
2026-07-06	1574002	1875562	1060154	969762	193952	387904	11267376	581856	581856	581856	193952	193952	0	581856	581856	581856	581856	193952	581856	387904	851604	581856	193952	581856	581856	0	660976	781360	0	0
2026-07-13	629600	0	706768	387904	387904	193952	1637700	581856	387904	193952	387904	775808	36684480	0	387904	0	0	581856	0	581856	1048128	0	387904	387904	387904	781728	660976	0	715232	0
2026-07-20	0	0	0	0	0	0	0	0	0	0	193952	0	0	387904	0	0	0	0	193952	0	83064144	193952	0	0	0	0	330488	781360	0	0
2026-07-27	1566400	682312	660584	296352	490304	296352	1375668	296352	684256	490304	296352	296352	1179144	490304	684256	490304	296352	296352	490304	296352	851604	296352	296352	296352	296352	1479792	968176	697880	2095280	650160
