week_start	sub-Temp-pref-F22-B22-6dpf-01-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-01-unsorted-nac_ses-20230605T145500_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-02-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-02-unsorted-nac_ses-20230605T152900_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-03-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-03-unsorted-nac_ses-20230605T160000_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-04-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-04-unsorted-nac_ses-20230605T163200_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-14-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-14-unsorted-nac_ses-20230612T113200_behavior.nwb	sub-Temp-pref-F22-B22-6dpf-15-unsorted-nac/sub-Temp-pref-F22-B22-6dpf-15-unsorted-nac_ses-20230612T120500_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-05-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-05-unsorted-nac_ses-20230606T100500_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-06-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-06-unsorted-nac_ses-20230606T104200_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-07-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-07-unsorted-nac_ses-20230606T111900_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-08-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-08-unsorted-nac_ses-20230606T115200_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-09-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-09-unsorted-nac_ses-20230606T122400_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-10-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-10-unsorted-nac_ses-20230606T125600_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-11-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-11-unsorted-nac_ses-20230606T135500_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-12-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-12-unsorted-nac_ses-20230606T144900_behavior.nwb	sub-Temp-pref-F22-B22-7dpf-13-unsorted-nac/sub-Temp-pref-F22-B22-7dpf-13-unsorted-nac_ses-20230606T160000_behavior.nwb
2026-04-06	18332418	27339894	30895372	0	0	10767322	9179256	18161843	5048604	0	10612589	18530160	0	0	18562430
2026-04-13	58998156	9113298	43607874	0	0	71292746	0	0	0	16616440	35506214	0	0	0	9281215
2026-04-20	0	18226596	13260256	9221022	0	15385286	0	0	54461838	26856009	9302428	18530160	0	0	9281215
2026-04-27	19249532	0	0	18442044	0	0	0	0	0	0	18604856	0	0	0	0
2026-05-11	0	0	0	0	0	2165722	0	0	0	17904006	9302428	6830208	0	5115276	0
2026-05-18	3427321	12942366	14313860	2978410	5832000	13953204	0	1048128	14710661	0	0	18632724	4323528	0	2657619
2026-05-25	2223484	11160598	11385352	2252100	2383116	2252100	5078068	14572654	4742369	5444875	4259300	2252100	12512903	2391392	2522408
2026-06-01	9166209	21035754	0	0	0	0	0	9080921	13859057	2448624	0	0	2244987	0	0
2026-06-08	2182804	2416220	3218868	3771548	2481728	2051788	0	0	0	5746322	8749388	0	0	0	5249730
2026-06-15	0	10816506	0	0	4851168	0	4709996	0	0	8952003	0	5430536	0	0	10433952
