week_start	sub-N1/sub-N1_ses-2019-02-12_ecephys.nwb	sub-N1/sub-N1_ses-2019-12-20_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-12_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-14_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-17_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-21_ecephys.nwb	sub-P1/sub-P1_ses-2016-04-27_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-04_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-11_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-16_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-20_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-23_ecephys.nwb
2025-09-08	37060992	18783360	3729600	3408208	1904844	1529792	1651448	7585600	1575432	3216032	4704048	4379436
2025-09-15	0	0	0	0	2273688	0	0	0	0	0	0	1793224
2025-09-22	0	0	0	7935128	11368440	0	7566536	0	0	9484928	0	5713084
2025-09-29	0	0	0	0	4547376	0	0	0	0	0	0	0
2025-10-06	5757440	9044088	4387200	4154016	14272504	1529792	320248	1805440	3844128	2571248	3475248	0
2025-10-13	16955676	19140288	3729600	4526920	2642532	2733760	6926040	6645120	7341624	7232128	4492896	6839484
2025-10-20	782464	5572164	2193600	372904	2273688	0	1971696	1805440	346632	481616	339216	1793224
2025-10-27	24026908	21182988	5702400	8680936	7558752	9454912	11509928	7798400	6994992	9803376	11104176	8299296
2025-11-03	34220732	47148060	21278400	22826048	21999192	16477056	22329152	18631040	15534240	25720368	20301120	18599064
2025-11-10	37892812	37706940	20071200	21355472	21200880	18307840	13801872	13214720	18527376	17198672	21529920	6253744
2025-11-17	28022896	16855476	12175200	5272728	11737284	7624128	7196080	14155200	9610320	13664192	9196944	9299532
2025-11-24	30050012	22759164	9432000	11716240	15546972	7323136	10178728	4475840	8381520	13664192	10764960	11092756
2025-12-01	29267548	17514540	14040000	9053840	11368440	9153920	9538232	6281280	8034888	8358528	11993760	8299296
2025-12-08	23309952	20126892	7567200	10385040	10261908	10683712	7886784	8738880	6112824	9966544	8857728	10425932
2025-12-15	67982692	67904760	18756000	20982568	17082972	14345280	18115720	18418240	12950088	14790592	10556760	14805368
2025-12-29	0	790080	2193600	2077008	1904844	1830784	320248	1805440	1922064	1608016	1568016	333412
2026-01-05	26832856	32458332	14368800	10757944	9094752	6696320	10178728	9603840	13107816	14627424	11782608	8299296
2026-01-12	26575232	37566720	0	0	5714532	3059584	0	4551360	0	0	4704048	0
2026-01-19	6539904	16261920	6252000	6231024	8357064	7323136	7566536	3899200	4190760	9484928	7289712	1793224
2026-01-26	25591836	30219108	7238400	10385040	7558752	8250944	7886784	7221760	7688256	8358528	7968144	8966120
