week_start	sub-1295011705/sub-1295011705_ses-1296715466_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296727703_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296874712_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296877011_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296900023_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296931992_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297083509_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297106824_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297146806_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297154502_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297160609_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297162982_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297174496_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298034217_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298063931_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298065117_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298081966_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298087442_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298257785_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298320190_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298530094_icephys.nwb	sub-1303030608/sub-1303030608_ses-1303058096_icephys.nwb	sub-1303030608/sub-1303030608_ses-1303080158_icephys.nwb	sub-1306905154/sub-1306905154_ses-1306941150_icephys.nwb	sub-1307828346/sub-1307828346_ses-1309476217_icephys.nwb	sub-1307828346/sub-1307828346_ses-1309514920_icephys.nwb	sub-1307828346/sub-1307828346_ses-1309543028_icephys.nwb	sub-1307828346/sub-1307828346_ses-1310113951_icephys.nwb
2024-08-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9498660	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	29553992	0	0	0	0	0	0	0	0	51664522	0	9891708	0	0	0	0	0	0	0	0	41752832	0	0	0	0	0	0	0
2024-09-02	0	0	0	0	0	56657623	0	203790819	0	113050526	0	0	0	0	0	0	0	0	136277275	0	0	0	0	0	66153225	0	0	0
2024-09-09	3339592	17037372	0	0	0	0	0	0	0	0	0	0	0	3844081	20971520	0	0	0	0	58781953	8057484	0	0	0	0	0	0	20971520
2024-09-16	50063372	36304956	39187889	33030144	7730336	4389036	23528682	0	0	43667002	0	22061504	46982131	33378274	75669389	12839568	35707352	66322432	51224082	27787264	7271388	55705600	43801725	20575336	0	6354276	37773468	22675456
2024-09-23	40039752	0	0	53234006	0	56657623	42009834	67930273	0	0	53774877	0	0	45787121	0	68414660	51049288	0	0	53886773	41752832	0	0	0	0	58789622	0	40989785
2024-10-14	316979768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-21	135847896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-28	10153740	10022724	83359153	0	103307100	56657623	46857426	0	90808794	46421642	0	0	0	52599953	151405518	78371876	51049288	87738896	47173385	62009765	41752832	0	0	42272767	10088232	58789622	8122992	0
2024-11-04	9695184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-11	0	0	0	0	0	0	29478600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	18538764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	0	0	0	0	0	0	0	0	0	55726018	0	17097588	0	0	75934277	0	0	13101600	0	0	0	0	0	42272767	66153225	0	0	0
2024-12-02	0	0	0	0	0	23103191	0	9210017	0	33554432	33554432	8388608	38331379	0	0	0	44757832	0	25165824	0	8388608	0	0	0	0	0	0	0
2025-01-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22927800	0	0	0	0	0
2025-02-24	4127004	8385024	6157752	4061496	6485292	6354276	0	0	4127004	8057484	0	0	4127004	0	9564168	0	0	0	9826200	9891708	0	0	4127004	0	9695184	4127004	8319516	0
2025-03-10	0	0	0	0	0	0	0	0	0	362122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5294084	0	0	0
2025-03-17	45282632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-05	45282632	58980412	83359153	0	98265224	56657623	52495594	67930273	0	0	59017757	43887708	71885811	45787121	75934277	0	61535048	92981776	52416265	53886773	41752832	80897676	49437821	0	0	64032502	0	0
2025-06-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4192512	0
2025-07-21	0	0	0	0	0	0	0	0	0	0	59017757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	0	0	0	0	0	0	0	43887708	0	0	0	0	0	0	52416265	53886773	0	0	0	0	0	0	0	0
2025-08-04	0	0	83359153	53234006	0	0	0	0	0	0	0	0	0	0	0	0	0	92981776	0	0	0	0	0	0	0	0	0	0
2025-08-11	45282632	52428800	0	0	0	52428800	0	0	0	0	0	0	0	0	75934277	0	0	0	0	0	0	0	0	0	13724425	0	0	0
2025-09-01	45282632	0	0	0	0	0	0	0	96051674	0	0	0	0	0	75934277	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	0	30930353	53234006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49437821	0	0	64032502	0	0
2025-10-06	56876512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	98688256	4127004	6550800	112691272	106519232	113315246	104991188	94144673	7402404	113050526	48531997	59616348	185377057	107165146	75934277	68414660	81127056	12708552	83861010	9826200	29090032	174241872	60443165	10088232	76241457	7402404	35108420	16049460
2025-12-22	0	0	0	0	0	52428800	0	0	0	0	0	0	0	0	0	41943040	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13724425	0	0	0
2026-01-12	0	0	0	0	0	102829486	0	67930273	0	103329044	0	77289656	71885811	0	0	136829320	72020808	0	73387785	0	62534144	0	0	0	0	0	0	0
2026-01-19	0	107475064	0	0	0	0	26214400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44197516	0	21301247	0	0	15728640	0
2026-01-26	0	20971520	10485760	0	36700160	0	0	0	36700160	0	0	0	0	5242880	18262597	0	0	0	0	20971520	0	0	15728640	0	0	0	0	46232665
2026-02-02	26214400	0	0	21776726	0	0	0	0	0	0	0	0	0	0	0	0	0	45795856	0	0	0	0	0	0	0	31457280	0	0
2026-02-16	10698844	614400	0	10219248	10350264	2252800	14997544	15259576	0	566922	0	11591128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	0	10655153	0	0	0	0	38580546	10219248	0	0	0	42497011	0	0	0	0	0	0	0	0	62465676	28153073	4192512	0	0	0	4192512
2026-03-02	868886250	0	0	17701206	0	29388800	409600	0	22733274	39124244	0	0	0	26601560	19716677	1536000	0	56322576	0	0	0	0	0	0	0	0	4192512	0
2026-03-09	0	0	0	0	38463624	0	0	0	0	0	36694557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28294902	0	0
2026-03-16	0	0	0	0	0	0	0	12708552	0	0	11725932	12053472	10481280	0	0	0	0	0	0	0	12512028	0	0	0	17425128	0	0	0
2026-03-23	0	0	0	12084646	0	0	0	62167092	23347674	0	0	0	14411760	34653732	0	0	0	0	0	53886773	0	0	0	0	0	0	0	0
2026-03-30	45282632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
