week_start	sub-mouse-1/sub-mouse-1_ses-20230114T135024.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T135507_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T135541_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T140327_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T140406_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T140630.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T141433.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T141705_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T141752_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T142120.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T142310_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T142345_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T143250.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T143414_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T143440_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T143806.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T143951_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T144020_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T144916.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T145037_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T145111_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T145809.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T145930_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T145951_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T150516.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T150650_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T150707_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T151004.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T151225_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T151241_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T152138.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T152313_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T152339_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T152626.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T152914_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T152944_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T154804_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T154843_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T155240.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T155657.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T155836_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T160215_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T160423.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T160537_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T160614_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T160833.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T161034_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T161058_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T161332.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T161502_image.nwb	sub-mouse-1/sub-mouse-1_ses-20230114T161538_image.nwb
2024-09-09	5374312	0	0	83886080	0	0	0	0	141325000	0	0	0	0	0	0	3188632	90715416	62914560	0	0	0	0	0	0	0	124959596	0	1345992	0	0	0	0	0	0	0	0	0	0	3451792	0	0	0	0	0	0	0	0	104857600	0	0	0
2024-09-16	5374312	1736192	0	0	6616308	422232	445272	0	6419784	0	0	1674496	492168	6550800	1617152	0	6616308	6616308	4389036	0	1687808	2651556	1623296	1623296	412608	0	0	1345992	1704960	1704960	0	0	1652480	0	0	0	4127004	0	2161764	431408	1729024	0	0	0	0	447632	1623808	6354276	0	0	7402404
2024-09-23	5374312	23478016	23478016	23478016	23478016	1077592	1624920	22726400	22726400	4265752	20155648	20155648	2720392	20753664	15510784	3188632	0	0	5757400	0	0	0	0	0	0	0	0	0	0	0	0	18822912	0	0	0	0	0	28141824	0	0	19017984	19017984	1411096	22095104	22095104	2413712	19842816	19842816	2310528	19524864	19524864
2024-10-21	4389036	12315504	11594916	8385024	8254008	1077592	0	0	0	0	9957216	0	0	0	0	3188632	8581548	0	0	11136360	7860960	2161764	0	6747324	0	10022724	5175132	0	9629676	10088232	6485292	0	0	2161764	0	7991976	0	0	0	0	12315504	0	1411096	10022724	0	0	7140372	10022724	0	8254008	0
2024-10-28	5374312	23478016	23478016	23478016	23478016	1077592	1624920	6997760	0	4265752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7330728	0	0	2720392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	0	0	0	0	0	0	0	0	0	13444604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	0	0	0	14739300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	111381760	0	0	0	0	0	0	0	0	0	0	0	83886080	0	0	92274688	0	0	0	0	0	0	0	0	0	0	0	0	0	58720256	0	0	94446848	0	0	0	0	0	97119488	0
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4061496	0	0	0	0	4651068	0	0	0	0	0	360704	0	0	0	0	0	0	4847592	0	0	0
2025-05-12	5374312	81149696	81149696	206978816	206978816	1077592	0	0	195741440	0	203656448	0	2720392	199011584	0	0	200438528	200438528	5757400	208126208	208126208	3897664	202556672	0	0	251936000	0	0	194905088	0	0	0	0	0	199011584	199011584	0	206399744	0	0	197275904	197275904	1411096	0	195110144	2413712	198100736	0	2310528	197782784	197782784
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52428800	0	0	52428800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	81149696	0	0	0	0	0	0	38455040	0	0	0	0	94153984	104857600	0	0	0	0	0	0	0	0	0	0	52428800	0	0	0	37618688	0	0	0	2720392	0	0	0	0	0	0	144847104	0	0	37823744	0	0	0	0	2310528	0	0
2025-08-04	0	0	81149696	102121216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5757400	0	155697408	3897664	0	0	20335552	0	0	0	0	0	0	0	0	0	0	41725184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	0	0	0	0	0	0	0	0	0	4265752	0	157286400	0	0	0	3188632	104857600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104857600	0	52428800	145671936	0	0	197782784
2025-08-18	0	0	0	0	0	0	1624920	90883840	0	0	0	0	0	0	0	0	0	0	0	208126208	0	0	0	0	0	0	0	0	142476288	0	0	0	0	0	52428800	0	104857600	0	0	0	0	0	0	0	0	2413712	0	0	0	0	0
2025-08-25	0	0	81149696	102121216	102121216	0	0	0	0	0	0	0	0	0	0	0	0	0	5757400	0	0	3897664	157286400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	21290100	0	20504004	0	1624920	104857600	19652400	0	157286400	0	0	0	0	0	95580928	95580928	0	0	0	0	0	0	19979940	21159084	0	0	0	0	0	0	0	0	0	0	19259352	0	3451792	0	20176464	22731276	0	0	0	0	0	0	2310528	0	0
2025-09-08	0	0	0	0	0	0	0	9891708	0	8531504	0	19848924	0	7664436	0	3188632	0	25286088	5757400	0	0	0	0	0	0	0	0	0	0	19979940	0	55523072	13101600	2720392	0	9891708	0	0	0	0	0	0	1411096	0	0	2413712	22141704	0	0	0	0
2025-09-29	0	0	0	0	0	0	1624920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10743312	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	11273272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	81149696	0	0	0	1077592	0	195741440	0	4265752	203656448	0	2720392	0	0	0	200438528	200438528	0	0	0	0	0	202556672	0	251936000	0	0	0	0	0	212809472	212809472	0	199011584	0	0	0	3451792	2135344	0	0	0	195110144	0	0	0	198100736	0	0	0
2025-12-15	5374312	97526696	81149696	427255756	214970792	0	4874760	205698656	195741440	4265752	210207248	0	8161176	11660424	404573968	3188632	200438528	200438528	11514800	0	12053472	3897664	10219248	282686160	36998176	503872000	360920604	5383968	4127004	20307480	21015732	6354276	220473908	2720392	6681816	206676020	0	206399744	3451792	4270688	207102104	394551808	4233288	202840088	0	7241136	0	216377468	2310528	113564684	197782784
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	77827328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89128960	0	0	0	0	0	55718144	0	0	89128960	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82297088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94371840	0	0	0	2135344	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52210944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90047488	0	0	0	0	0	0	0	0	0	0	0	52428800	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	0	0	3249840	0	0	8531504	0	142316528	0	0	20971520	0	0	0	0	0	0	0	0	10485760	30185344	0	755808000	0	0	0	0	0	0	0	199011584	0	0	0	0	0	197275904	0	4233288	205595904	0	0	0	0	4621056	593348352	77196544
2026-01-19	5374312	117849856	0	0	0	1077592	0	0	0	0	0	0	0	94153984	0	0	0	0	0	405766656	68157440	0	0	0	0	125829120	0	0	121504768	0	0	0	0	0	0	398023168	104857600	0	0	4270688	0	0	0	0	94371840	0	72271616	0	0	0	0
2026-01-26	0	0	31457280	60178176	60178176	0	0	89128960	57671680	0	68157440	0	2720392	0	0	0	90338048	0	5757400	0	0	0	120586240	0	0	0	0	0	0	0	0	0	83886080	0	0	0	0	101542144	0	0	0	0	0	0	0	2413712	0	88000256	0	0	0
2026-02-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69366528	0	0	0	0	0	0	0	0	0	0	0	0	0	73400320	0	2720392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	4483716	8254008	4548608	7074864	335616	1438384	3645960	7109564	0	374552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	8937644	0	4127004	1359616	0	0	4782084	0	0	5936500	0	0	0	0	0	0	0	0	0	0	0	4389036	0	0	0	0	0	0	0	0	0	6129212	0	0	0	0	1394944	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-02	0	0	4389036	4127004	0	1077592	0	0	0	0	0	1416448	0	1379584	1379584	0	0	1372928	0	0	0	0	0	0	0	1363200	0	1785176	0	4782084	0	4127004	0	0	4127004	4454544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-09	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	3188632	0	0	0	0	0	0	0	0	0	0	0	0	5561600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5823888	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	1077592	1624920	0	0	8531504	7009356	0	0	0	0	0	0	0	0	13167108	0	0	0	0	8974596	0	0	0	0	0	0	0	0	0	11332884	10284756	0	0	0	0	0	0	0	7533420	0	0	0	0	0	7467912	12249996
2026-03-23	0	0	0	0	0	0	0	0	0	0	0	0	2720392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
