week_start	sub-Fig1F/sub-Fig1F_ses-BPAE-staining_image.nwb	sub-Fig2-0-03/sub-Fig2-0-03_ses-BPAE-bipolar-0 percent_image.nwb	sub-Fig2-0-06/sub-Fig2-0-06_ses-BPAE-bipolar-0 percent_image.nwb	sub-Fig2-0-07/sub-Fig2-0-07_ses-BPAE-bipolar-0 percent_image.nwb	sub-Fig2-100-03/sub-Fig2-100-03_ses-BPAE-bipolar-100 percent_image.nwb	sub-Fig2-100-07/sub-Fig2-100-07_ses-BPAE-bipolar-100 percent_image.nwb	sub-Fig2-100-08/sub-Fig2-100-08_ses-BPAE-bipolar-100 percent_image.nwb	sub-Fig2-25-04/sub-Fig2-25-04_ses-BPAE-bipolar-25 percent_image.nwb	sub-Fig2-25-10/sub-Fig2-25-10_ses-BPAE-bipolar-25 percent_image.nwb	sub-Fig2-25-14/sub-Fig2-25-14_ses-BPAE-bipolar-25 percent_image.nwb	sub-Fig2-50-06/sub-Fig2-50-06_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-50-10/sub-Fig2-50-10_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-50-12/sub-Fig2-50-12_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-50-13/sub-Fig2-50-13_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-50-18/sub-Fig2-50-18_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-75-02/sub-Fig2-75-02_ses-BPAE-bipolar-75 percent_image.nwb	sub-Fig2-75-05/sub-Fig2-75-05_ses-BPAE-bipolar-75 percent_image.nwb	sub-Fig2-75-10/sub-Fig2-75-10_ses-BPAE-bipolar-75 percent_image.nwb
2023-09-18	672288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	380968	1021672026	0	0	0	0	0	0	0	0	0	0	0	0	23651555	0	0	0
2023-10-02	112048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	80264	1021672026	2044702414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-30	112048	1021672026	1022351207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	226470264	2043344052	3067053621	0	1033143851	0	1028325323	0	1044366550	1033856120	1047437078	2064191726	0	1016155183	1035527395	1038712359	1029177135	1035780266
2023-11-20	235360640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	38304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	76608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-11	112048	0	0	0	0	0	20971520	0	0	0	0	41191543	0	0	0	0	0	0
2024-01-01	0	2043344052	1022351207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	1947582	1024502642	1026971542	10145548	6691727	4718846	8262374	11168474	6781442	665840	6255906	3406416	9993346	13186751	7926468	4814214	10423854	4815444
2024-02-12	0	0	8319516	0	14804808	456130560	0	0	10088232	0	0	0	0	15852936	0	6354276	0	464450076
2024-03-04	92615924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	2947860	7942330	7991976	5442044	43202099	8265254	13835347	7787731	3995988	4337884	5347770	0	7729944	20497974	8563271	4381323	9917742	11784342
2024-03-18	0	0	0	0	0	0	0	0	0	0	0	63260398	0	0	0	0	0	0
2024-03-25	11584722	47881750	58383717	21790820	15006002	99507670	22134918	21405674	30121256	24755436	21340240	11769787	21726391	24798225	91530434	21937467	16304422	18074766
2024-04-01	6354276	6157062	8150191	1757044	8845915	6419784	27984199	2219551	54655584	1766520	0	6485292	6419784	6354276	1799395	0	24567887	8164850
2024-04-08	0	0	0	0	23582880	0	0	63073349	0	31639736	44860860	0	75509159	0	0	65287846	0	0
2024-04-15	75557906	150498824	37365607	103142828	63556131	52147360	62661907	88697359	22923436	37532736	40345600	57071679	73626264	0	0	0	0	26325314
2024-04-22	196493016	0	0	0	0	0	0	0	47689824	49219228	50402182	0	63548651	63090755	87270711	44291232	140939536	20480000
2024-04-29	0	0	129843650	155432044	0	0	0	130074971	0	0	0	30588535	0	0	0	0	117178427	22868882
2024-05-06	0	0	0	0	0	30362842	41095162	0	76415330	12381012	27337056	0	23079219	22796784	0	64404503	0	0
2024-05-13	47892264	69399970	0	52995972	25810152	0	0	0	0	0	0	104691147	0	0	63205986	0	0	40836228
2024-05-20	0	29306814	0	46538096	100904424	0	0	0	113357610	0	29214562	23633189	0	0	0	0	48598878	0
2024-05-27	0	0	13853100	45994028	0	0	0	0	0	50113620	0	29598118	0	0	50368597	64582302	32783778	0
2024-06-03	57390924	78020028	62741018	0	20635020	0	0	0	58798300	0	63583944	0	0	68848908	0	0	0	0
2024-06-10	0	0	0	0	0	26264970	0	0	0	0	0	0	0	0	0	414303187	0	0
2024-07-08	1033316924	8613794	2217831	8832104	6419784	2242642	2162635	6419784	0	12080116	6419784	2787447	11387022	7009356	8510023	12839568	4456030	2277546
2024-07-22	0	3275400	0	6616308	8974596	1045243126	7205880	7271388	10088232	12381012	6616308	0	11070852	10874328	11922456	8843580	6485292	11267376
2024-07-29	0	0	0	0	0	0	0	0	0	1033856120	0	0	0	0	0	0	0	0
2024-08-26	83449878	5175132	5437164	18145716	12249996	16835556	9695184	6354276	11594916	12446520	0	28430472	11463900	14018712	9564168	20176464	21879672	24893040
2024-09-02	0	0	0	0	0	1033648210	0	798015268	0	0	0	0	0	0	0	0	0	743728052
2024-09-09	0	0	0	624345596	0	0	0	0	0	811815928	43769154	692537635	812827244	0	625852280	33323637	36175245	40255998
2024-09-16	2792058	2194010	6943848	9618200	6419784	6747324	8713435	6354276	6157752	8935732	7009356	6681816	9230943	8995023	2155747	5502672	9957959	9024870
2024-10-21	10022724	6616308	5961228	10350264	12643044	10219248	13887696	0	0	10088232	6616308	7402404	10415772	6616308	0	8843580	10677804	7795452
2024-10-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4061496	0
2024-11-18	0	7860960	8319516	7271388	7664436	7860960	0	7402404	9957216	7860960	6616308	0	0	7860960	10088232	0	7271388	0
2024-12-02	688560762	837122650	0	0	714376747	671088640	0	679477248	0	0	0	0	0	0	0	0	0	683458730
2025-03-31	0	0	0	0	0	8319516	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-21	1024105082	0	1022351207	0	0	1033648210	1028325323	0	1044366550	1033856120	1047437078	1032095863	1039263251	0	0	1038712359	0	1035780266
2025-07-21	0	811956826	0	0	0	0	0	571358751	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	1048576000	0	0	0	0	0	0	0	0	1144120851	0	930669795	0	0	1075413332
2025-08-04	419430400	0	0	0	0	719075410	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-11	0	0	0	0	1033143851	0	713752523	0	778013100	0	0	891289600	0	701582383	0	1038712359	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	561996920	0	0	0	0	0	0	681574400	0
2025-08-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825812195	0	0	0
2025-09-01	0	0	891289600	0	0	0	818610123	0	0	0	0	1101004800	471859200	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	418291478	0	0	0	0	0	0	0
2025-09-22	0	0	0	0	11730602	0	0	54104637	52029164	64044864	0	0	0	0	0	0	0	0
2025-09-29	7835726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	12855056	51876816	46586146	42355808	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	0	78077256	67248365	77433080	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	0	13689102	20754926	9398136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	0	97724826	118627705	114262872	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	0	59733636	63279576	73460436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	0	50892816	53557193	44475408	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	0	25740504	18554853	21975672	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	0	35175726	24477772	35893860	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	0	29213808	37803095	29551256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	595480342	25160051	23667208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	2808005002	1062413172	2092370018	1086143424	1803811682	1847811568	2070734866	2844306581	1050655318	1047743816	3148796526	1038646663	2090973022	2041088438	2075116286	2087643966	1035400395	2746889998
2026-01-05	0	36812736	26535719	45708388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	2048210164	2043344052	0	0	1043629611	1821898306	0	3119168093	2088733100	0	1068408598	0	3107303993	0	0	2087910478	0	3096855038
2026-01-19	0	9431082	14427849	7968632	0	0	0	0	766493910	865075200	0	0	0	0	0	754974720	735575855	0
2026-01-26	0	34584774	644367391	799669944	0	0	592445440	0	0	0	0	0	708961811	795954223	474539235	0	0	0
2026-02-02	0	13951134	13510737	9398136	0	0	0	0	0	0	711892758	696551543	0	0	0	0	0	0
2026-02-09	0	16441128	21699237	12226652	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	12790612	13502234	6267011	15060048	4127004	4331804	16778324	9678487	9965492	12913352	0	0	0	0	0	0	0	0
2026-02-23	0	12510648	584435634	20284136	0	0	0	0	0	0	4127004	0	0	0	0	1809959	0	0
2026-03-02	5935994	4258020	0	1757044	0	6479986	5957835	0	0	6352080	0	0	1746451	0	1799395	0	6252479	6330626
2026-03-09	0	0	0	0	0	0	0	1834224	0	0	0	5939575	0	5973295	0	0	0	0
2026-03-16	0	48997914	10693893	13251436	17752668	0	0	0	0	20438496	0	0	0	0	0	0	0	0
2026-03-23	6035012	5306148	6643507	2412124	0	0	0	0	13012978	0	8876226	0	0	0	0	0	0	0
2026-03-30	0	57974580	0	0	0	0	0	0	204800	0	851604	0	0	0	0	0	0	0
2026-04-06	0	0	0	0	0	0	51423780	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	0	0	0	0	0	0	0	0	0	0	0	0	8974596	0	0	0	0
2026-04-20	0	1768026	9302136	5271132	0	0	0	0	0	0	0	0	0	0	0	0	0	18473256
